Control_ID,Title,Category,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
Your Staff-1,Develop a culture of awareness to encourage employees to make good choices online,Your Staff,manual,,,,,,,0
Your Staff-2,Learn about risks like phishing and business email compromise,Your Staff,manual,,,,,,,0
Your Staff-3,Maintain awareness of current events related to cybersecurity,Your Staff,manual,,,,,,,0
Your Staff-4,Leverage basic cybersecurity training,Your Staff,manual,,,,,,,0
Your Staff-5,Identify available training resources,Your Staff,manual,,,,,,,0
Your Systems-1,Learn what is on your network - Maintain inventories of hardware and software assets,Your Systems,automated,aws_eip_attached; aws_vpc_network_acl_unused; aws_ec2_instance_managed_by_ssm; aws_ec2_ssm_association_compliance; aws_ec2_patch_compliance; aws_ec2_stopped_instance; aws_ec2_volume_in_use,azure_eip_attached; azure_network_network_acl_unused; azure_vm_instance_managed_by_ssm; azure_vm_ssm_association_compliance; azure_vm_patch_compliance; azure_vm_stopped_instance; azure_vm_volume_in_use,gcp_eip_attached; gcp_vpc_network_acl_unused; gcp_compute_instance_managed_by_ssm; gcp_compute_ssm_association_compliance; gcp_compute_patch_compliance; gcp_compute_stopped_instance; gcp_compute_volume_in_use,oracle_eip_attached; oracle_vcn_network_acl_unused; oracle_compute_instance_managed_by_ssm; oracle_compute_ssm_association_compliance; oracle_compute_patch_compliance; oracle_compute_stopped_instance; oracle_compute_volume_in_use,ibm_eip_attached; ibm_vpc_network_acl_unused; ibm_vsi_instance_managed_by_ssm; ibm_vsi_ssm_association_compliance; ibm_vsi_patch_compliance; ibm_vsi_stopped_instance; ibm_vsi_volume_in_use,alicloud_eip_attached; alicloud_vpc_network_acl_unused; alicloud_ecs_instance_managed_by_ssm; alicloud_ecs_ssm_association_compliance; alicloud_ecs_patch_compliance; alicloud_ecs_stopped_instance; alicloud_ecs_volume_in_use,42
Your Systems-2,Learn who is on your network - Maintain inventories of network connections,Your Systems,automated,aws_iam_user_unused_credentials; aws_iam_no_admin_policy; aws_iam_user_mfa_enabled,azure_entra_user_unused_credentials; azure_entra_no_admin_policy; azure_entra_user_mfa_enabled,gcp_iam_user_unused_credentials; gcp_iam_no_admin_policy; gcp_iam_user_mfa_enabled,oracle_identity_user_unused_credentials; oracle_identity_no_admin_policy; oracle_identity_user_mfa_enabled,ibm_iam_user_unused_credentials; ibm_iam_no_admin_policy; ibm_iam_user_mfa_enabled,alicloud_ram_user_unused_credentials; alicloud_ram_no_admin_policy; alicloud_ram_user_mfa_enabled,18
Your Systems-3,Learn what information resides on your network,Your Systems,automated,aws_s3_bucket_public_read_prohibited; aws_s3_bucket_public_write_prohibited; aws_ec2_instance_managed_by_ssm,azure_storage_bucket_public_read_prohibited; azure_storage_bucket_public_write_prohibited; azure_vm_instance_managed_by_ssm,gcp_gcs_bucket_public_read_prohibited; gcp_gcs_bucket_public_write_prohibited; gcp_compute_instance_managed_by_ssm,oracle_object_storage_bucket_public_read_prohibited; oracle_object_storage_bucket_public_write_prohibited; oracle_compute_instance_managed_by_ssm,ibm_cos_bucket_public_read_prohibited; ibm_cos_bucket_public_write_prohibited; ibm_vsi_instance_managed_by_ssm,alicloud_oss_bucket_public_read_prohibited; alicloud_oss_bucket_public_write_prohibited; alicloud_ecs_instance_managed_by_ssm,18
Booting Up-1,Employ a backup solution that automatically and continuously backs up critical data,Booting Up: Things to Do First,automated,aws_rds_aurora_backup_enabled; aws_backup_plan_min_retention; aws_backup_recovery_point_retention; aws_dynamodb_backup_enabled; aws_ec2_backup_enabled; aws_fsx_backup_enabled; aws_rds_backup_enabled; aws_redshift_backup_enabled; aws_rds_instance_backup_enabled,azure_sql_aurora_backup_enabled; azure_backup_plan_min_retention; azure_backup_recovery_point_retention; azure_dynamodb_backup_enabled; azure_vm_backup_enabled; azure_fsx_backup_enabled; azure_sql_backup_enabled; azure_redshift_backup_enabled; azure_sql_instance_backup_enabled,gcp_sql_aurora_backup_enabled; gcp_backup_plan_min_retention; gcp_backup_recovery_point_retention; gcp_dynamodb_backup_enabled; gcp_compute_backup_enabled; gcp_fsx_backup_enabled; gcp_sql_backup_enabled; gcp_redshift_backup_enabled; gcp_sql_instance_backup_enabled,oracle_database_aurora_backup_enabled; oracle_backup_plan_min_retention; oracle_backup_recovery_point_retention; oracle_dynamodb_backup_enabled; oracle_compute_backup_enabled; oracle_fsx_backup_enabled; oracle_database_backup_enabled; oracle_redshift_backup_enabled; oracle_database_instance_backup_enabled,ibm_database_aurora_backup_enabled; ibm_backup_plan_min_retention; ibm_backup_recovery_point_retention; ibm_dynamodb_backup_enabled; ibm_vsi_backup_enabled; ibm_fsx_backup_enabled; ibm_database_backup_enabled; ibm_redshift_backup_enabled; ibm_database_instance_backup_enabled,alicloud_rds_aurora_backup_enabled; alicloud_backup_plan_min_retention; alicloud_backup_recovery_point_retention; alicloud_dynamodb_backup_enabled; alicloud_ecs_backup_enabled; alicloud_fsx_backup_enabled; alicloud_rds_backup_enabled; alicloud_redshift_backup_enabled; alicloud_rds_instance_backup_enabled,54
Booting Up-2,Require multi-factor authentication (MFA) for all users,Booting Up: Things to Do First,automated,aws_iam_user_mfa_enabled; aws_iam_console_mfa_enabled; aws_iam_root_hardware_mfa_enabled; aws_iam_root_mfa_enabled,azure_entra_user_mfa_enabled; azure_entra_console_mfa_enabled; azure_entra_root_hardware_mfa_enabled; azure_entra_root_mfa_enabled,gcp_iam_user_mfa_enabled; gcp_iam_console_mfa_enabled; gcp_iam_root_hardware_mfa_enabled; gcp_iam_root_mfa_enabled,oracle_identity_user_mfa_enabled; oracle_identity_console_mfa_enabled; oracle_identity_root_hardware_mfa_enabled; oracle_identity_root_mfa_enabled,ibm_iam_user_mfa_enabled; ibm_iam_console_mfa_enabled; ibm_iam_root_hardware_mfa_enabled; ibm_iam_root_mfa_enabled,alicloud_ram_user_mfa_enabled; alicloud_ram_console_mfa_enabled; alicloud_ram_root_hardware_mfa_enabled; alicloud_ram_root_mfa_enabled,24
