cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,alicloud_mapped_compliance_functions,alicloud_mapped_compliance_ids
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authn_required,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authn_required,,ai_services,PAI-EAS Endpoint,,
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authz_policies_enforced,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authz_policies_enforced,,ai_services,PAI-EAS Endpoint,alicloud.vpc.endpoint_services_allowed_principals_trust_boundaries,"iso27001_2022_multi_cloud_A.8.20_0076;iso27001_2022_multi_cloud_A.8.20_0076,iso27001_2022_multi_cloud_A.8.21_0077,iso27001_2022_multi_cloud_A.8.22_0078;iso27001_2022_multi_cloud_A.8.21_0077;iso27001_2022_multi_cloud_A.8.22_0078"
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_private_networking_enforced,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_private_networking_enforced,,ai_services,PAI-EAS Endpoint,,
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_rate_limiting_enabled,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_rate_limiting_enabled,,ai_services,PAI-EAS Endpoint,alicloud.vpc.endpoint_multi_az_enabled,"iso27001_2022_multi_cloud_A.8.14_0069;iso27001_2022_multi_cloud_A.8.14_0069,iso27001_2022_multi_cloud_A.8.20_0076,iso27001_2022_multi_cloud_A.8.21_0077,iso27001_2022_multi_cloud_A.8.22_0078;iso27001_2022_multi_cloud_A.8.20_0076;iso27001_2022_multi_cloud_A.8.21_0077;iso27001_2022_multi_cloud_A.8.22_0078"
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_waf_attached,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_waf_attached,,ai_services,PAI-EAS Endpoint,,
alicloud,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_authn_required,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_authn_required,,ai_services,PAI-EAS (Elastic Algorithm Service),,
alicloud,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_private_networking_enforced,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_private_networking_enforced,,ai_services,PAI-EAS (Elastic Algorithm Service),,
alicloud,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_token_scopes_least_privilege,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_token_scopes_least_privilege,,ai_services,PAI-EAS (Elastic Algorithm Service),,
alicloud,alicloud.PAI - Feature Store.ai_services_security_vector_index_authn_required,alicloud.PAI - Feature Store.ai_services_security_vector_index_authn_required,,ai_services,PAI - Feature Store,,
alicloud,alicloud.PAI - Feature Store.ai_services_security_vector_index_rbac_tenant_isolation_enforced,alicloud.PAI - Feature Store.ai_services_security_vector_index_rbac_tenant_isolation_enforced,,ai_services,PAI - Feature Store,,
alicloud,alicloud.PAI - Feature Store.ai_services_security_vector_index_private_networking_enforced,alicloud.PAI - Feature Store.ai_services_security_vector_index_private_networking_enforced,,ai_services,PAI - Feature Store,,
alicloud,alicloud.PAI - Feature Store.ai_services_security_vector_index_encrypted_at_rest_cmek,alicloud.PAI - Feature Store.ai_services_security_vector_index_encrypted_at_rest_cmek,,ai_services,PAI - Feature Store,,
alicloud,alicloud.PAI - Training.ai_services_security_training_pipeline_private_networking_enforced,alicloud.PAI - Training.ai_services_security_training_pipeline_private_networking_enforced,,ai_services,PAI - Training,,
