catalog_rule_id,service,category,compliance_ids,has_compliance_ids,config_covered,config_rule_ids,config_best_jaccard,ciem_covered,ciem_rule_ids,coverage_status,covered,ai_match_rule_id,ai_confidence,ai_reasoning
ibm.No.checks.defined,No,security,nist_800_171_r2_multi_cloud_3_13_4_3.13.4_Prevent_unauthorized_and_unintended_0010,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.accessanalyzer.enabled,accessanalyzer,,iso27001_2022_multi_cloud_A.8.3_0085,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.accessanalyzer.enabled_without_findings,accessanalyzer,,iso27001_2022_multi_cloud_A.8.3_0085,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.account.maintain_current_contact_details,account,security,iso27001_2022_multi_cloud_A.5.5_0037,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.account.maintain_different_contact_details_to_security_billing_and_operations,account,security,iso27001_2022_multi_cloud_A.5.6_0038,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.acm.certificates_expiration_check,acm,,"gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_e_1_0030;iso27001_2022_multi_cloud_A.8.5_0092;iso27001_2022_multi_cloud_A.8.5_0092,soc2_multi_cloud_cc_6_7_0013;nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005;nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_13_2_3.13.2_Employ_architectural_designs_softw_0008;nist_800_171_r2_multi_cloud_3_13_8_3.13.8_Implement_cryptographic_mechanisms_0013;soc2_multi_cloud_cc_6_7_0013",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.activity.bucket.access_logging_enabled,activity,,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;soc2_multi_cloud_cc_a_1_1_0021,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.activity.tracker_alert_configuration_verification,activity,,cis_ibm_ibm_3.4_0030,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.activity.tracker_cos_dataevents_read_enabled,activity,,"gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_a_2_i_0023;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_i_0031;nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_14_6_3.14.6_Monitor_organizational_systems_inc_0018;nist_800_171_r2_multi_cloud_3_14_7_3.14.7_Identify_unauthorized_use_of_organi_0019;nist_800_171_r2_multi_cloud_3_1_12_3.1.12_Monitor_and_control_remote_access_s_0021;nist_800_171_r2_multi_cloud_3_3_1_3.3.1_Create_and_retain_system_audit_logs_a_0031;nist_800_171_r2_multi_cloud_3_3_2_3.3.2_Ensure_that_the_actions_of_individual_0032;nist_800_171_r2_multi_cloud_3_3_3_3.3.3_Review_and_update_logged_events_0033;soc2_multi_cloud_cc_2_1_0002;soc2_multi_cloud_cc_2_1_0002,soc2_multi_cloud_cc_7_2_0016;soc2_multi_cloud_cc_7_2_0016",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
ibm.activity.tracker_cos_dataevents_write_enabled,activity,,"gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_a_2_i_0023;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_i_0031;nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_14_6_3.14.6_Monitor_organizational_systems_inc_0018;nist_800_171_r2_multi_cloud_3_14_7_3.14.7_Identify_unauthorized_use_of_organi_0019;nist_800_171_r2_multi_cloud_3_1_12_3.1.12_Monitor_and_control_remote_access_s_0021;nist_800_171_r2_multi_cloud_3_3_1_3.3.1_Create_and_retain_system_audit_logs_a_0031;nist_800_171_r2_multi_cloud_3_3_2_3.3.2_Ensure_that_the_actions_of_individual_0032;nist_800_171_r2_multi_cloud_3_3_3_3.3.3_Review_and_update_logged_events_0033;pci_dss_v4_multi_cloud_10.2.1.7_0150;soc2_multi_cloud_cc_2_1_0002;soc2_multi_cloud_cc_2_1_0002,soc2_multi_cloud_cc_7_2_0016;soc2_multi_cloud_cc_7_2_0016",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
