catalog_rule_id,service,category,provider_service,catalog_compliance_ids,has_compliance_ids,config_covered,config_rule_count,config_best_confidence,config_rule_ids,ciem_via_yaml_covered,ciem_via_yaml_count,ciem_via_yaml_best_conf,ciem_via_yaml_rule_ids,ciem_direct_covered,ciem_direct_count,ciem_direct_best_comp_j,ciem_direct_best_tok_j,ciem_direct_rule_ids,coverage_status,covered,ciem_ai_gap_rule_id,ciem_ai_gap_confidence,ciem_ai_gap_reasoning,ciem_ai_gap_title,review_decision_note
aws.apigateway.restapi_waf_acl_attached,apigateway,,"boto3.client(""apigateway"")","nist_800_53_rev5_multi_cloud_AC-4_21_0070;nist_800_53_rev5_multi_cloud_AC-4_21_0070,pci_dss_v4_multi_cloud_1.1.1_0001,pci_dss_v4_multi_cloud_1.1.2_0002",yes,yes,2,high,aws.apigateway.restapi.waf_enabled;aws.apigateway.v2api.waf_enabled,yes,1,medium,aws.netsec.cloudtrail.waf_disassociate_web_acl,no,0,0.0,0.0,,config+ciem,yes,,,,,
aws.backup.replication_check:aws.backup.backup_vault.cross_region_replication_enabled,backup,,"boto3.client(""backup"")",cis_aws_aws_6.9_0127,yes,yes,2,high,aws.backup.backupvault.backup_cross_region_replication_enabled;aws.backup.resource.backup_replication_enabled,yes,1,medium,aws.datasec.correlation.cloudtrail.replication_enabled,no,0,0.0,0.0,,config+ciem,yes,,,,,
aws.backup.vaults_encrypted:aws.backup.backup_vault.encrypted_at_rest_cmek,backup,,"boto3.client(""backup"")","canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144,cis_aws_aws_2.2.1_0040,cis_aws_aws_2.3.1_0147,cis_aws_aws_3.3.1_0169,cis_aws_aws_3.5_0047,cis_aws_aws_3.6_0048,cis_aws_aws_4.5_0024,cis_aws_aws_4.6_0025,cis_aws_aws_5.3.1_0186,cis_aws_aws_6.1.1_0174,cisa_ce_v1_multi_cloud_Your_Data-2_0018,fedramp_moderate_multi_cloud_CM-6_0116,fedramp_moderate_multi_cloud_CM-6_1_0117,fedramp_moderate_multi_cloud_CM-6_2_0118,fedramp_moderate_multi_cloud_CM-9_0128,fedramp_moderate_multi_cloud_CP-9_0160,fedramp_moderate_multi_cloud_CP-9_1_0161,fedramp_moderate_multi_cloud_CP-9_2_0162,fedramp_moderate_multi_cloud_CP-9_3_0163,fedramp_moderate_multi_cloud_CP-9_5_0164,fedramp_moderate_multi_cloud_CP-9_8_0165,fedramp_moderate_multi_cloud_SC-12_0346,fedramp_moderate_multi_cloud_SC-13_0348,fedramp_moderate_multi_cloud_SC-28_0357,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001,gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002,gdpr_multi_cloud_Article_32_Security_of_processing_0003,hipaa_multi_cloud_164_308_a_1_ii_b_0002,hipaa_multi_cloud_164_308_a_1_ii_d_0003,hipaa_multi_cloud_164_308_a_4_ii_a_0009,hipaa_multi_cloud_164_312_a_2_iv_0025,hipaa_multi_cloud_164_312_c_1_0027,hipaa_multi_cloud_164_312_c_2_0028,hipaa_multi_cloud_164_312_e_2_ii_0032,iso27001_2022_multi_cloud_A.10.1_0001,iso27001_2022_multi_cloud_A.8.11_0066,iso27001_2022_multi_cloud_A.8.12_0067,iso27001_2022_multi_cloud_A.8.13_0068,iso27001_2022_multi_cloud_A.8.15_0070,iso27001_2022_multi_cloud_A.8.16_0071,iso27001_2022_multi_cloud_A.8.24_0080,iso27001_2022_multi_cloud_A.8.3_0085,iso27001_2022_multi_cloud_A.8.5_0092,nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005,nist_800_171_r2_multi_cloud_3_13_16_3.13.16_Protect_the_confidentiality_of_CU_0007,nist_800_171_r2_multi_cloud_3_3_8_3.3.8_Protect_audit_information_and_audit_l_0036,nist_800_171_r2_multi_cloud_3_5_10_3.5.10_Store_and_transmit_only_cryptograph_0042,nist_800_53_rev5_multi_cloud_AU-9_3_0261,nist_800_53_rev5_multi_cloud_CM-6-a_0397,nist_800_53_rev5_multi_cloud_CM-9-b_0428,nist_800_53_rev5_multi_cloud_CP-9-d_0512,nist_800_53_rev5_multi_cloud_CP-9_8_0508,nist_800_53_rev5_multi_cloud_PM-11-b_0867,nist_800_53_rev5_multi_cloud_SA-9_6_1118,nist_800_53_rev5_multi_cloud_SC-12_1_1236,nist_800_53_rev5_multi_cloud_SC-12_2_1237,nist_800_53_rev5_multi_cloud_SC-12_3_1238,nist_800_53_rev5_multi_cloud_SC-12_3_1239,nist_800_53_rev5_multi_cloud_SC-12_3_1240,nist_800_53_rev5_multi_cloud_SC-12_4_1241,nist_800_53_rev5_multi_cloud_SC-12_5_1242,nist_800_53_rev5_multi_cloud_SC-12_6_1243,nist_800_53_rev5_multi_cloud_SC-13-a_1248,nist_800_53_rev5_multi_cloud_SC-16_1_1256,nist_800_53_rev5_multi_cloud_SC-28_1_1280,nist_800_53_rev5_multi_cloud_SC-8_3_1229,nist_800_53_rev5_multi_cloud_SC-8_4_1230,nist_800_53_rev5_multi_cloud_SI-19_4_1445,pci_dss_v4_multi_cloud_3.4.1_0039,pci_dss_v4_multi_cloud_3.4.2_0040,pci_dss_v4_multi_cloud_3.5.1.2_0042,pci_dss_v4_multi_cloud_3.5.1.3_0043,pci_dss_v4_multi_cloud_8.2.1_0101,pci_dss_v4_multi_cloud_8.2.6_0104,pci_dss_v4_multi_cloud_8.2.7_0105,pci_dss_v4_multi_cloud_8.2.8_0106,rbi_bank_multi_cloud_11.1_0004,rbi_bank_multi_cloud_3.3_0016,rbi_bank_multi_cloud_8.1_0024,rbi_nbfc_multi_cloud_2.9_0013,soc2_multi_cloud_a1_2_0025,soc2_multi_cloud_cc_6_7_0013,soc2_multi_cloud_cc_7_3_0017,soc2_multi_cloud_cc_7_5_0019;iso27001_2022_multi_cloud_A.8.24_0080",yes,yes,1,high,aws.backup.resource.backup_vaults_encrypted,yes,1,medium,aws.datasec.correlation.cloudtrail.encryption_disabled,no,0,0.0,0.0,,config+ciem,yes,,,,,
aws.batch.compute_environment.volumes_encrypted,batch,compute,"boto3.client(""batch"")",,no,yes,1,high,aws.batch.compute_environment.volumes_encrypted,yes,1,medium,aws.datasec.correlation.encryption_downgrade,no,0,0.0,0.0,,config+ciem,yes,,,,,
s3.bucket.default.encryption,bucket,security,"boto3.client(""bucket"")",gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_c_1_0027;hipaa_multi_cloud_164_312_c_2_0028;hipaa_multi_cloud_164_312_e_2_ii_0032,yes,yes,1,high,aws.s3.bucket.default_encryption_configured,yes,1,medium,aws.datasec.correlation.cloudtrail.encryption_disabled,no,0,0.0,0.0,,config+ciem,yes,,,,,
s3.bucket.object.versioning,bucket,security,"boto3.client(""bucket"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_7_i_0017;hipaa_multi_cloud_164_308_a_7_ii_a_0018;hipaa_multi_cloud_164_308_a_7_ii_b_0019;hipaa_multi_cloud_164_308_a_7_ii_c_0020;hipaa_multi_cloud_164_312_a_2_ii_0024;hipaa_multi_cloud_164_312_c_1_0027;hipaa_multi_cloud_164_312_c_2_0028,yes,yes,1,high,aws.s3.bucket.object_versioning_configured,yes,1,medium,aws.storage.cloudtrail.s3_put_bucket_versioning_suspend,no,0,0.0,0.0,,config+ciem,yes,,,,,
s3.bucket.policy.public.write.access,bucket,security,"boto3.client(""bucket"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022,yes,yes,1,high,aws.s3.bucket.policy_public_write_access_configured,yes,1,medium,aws.datasec.correlation.cloudtrail.bucket_policy_change,no,0,0.0,0.0,,config+ciem,yes,,,,,
s3.bucket.public.access,bucket,security,"boto3.client(""bucket"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022;hipaa_multi_cloud_164_312_a_2_i_0023,yes,yes,1,high,aws.s3.bucket.public_access_configured,yes,1,medium,aws.storage.cloudtrail.s3_put_bucket_public_access_block_disable,no,0,0.0,0.0,,config+ciem,yes,,,,,
cloudwatch.changes.to.network.route.tables.alarm.configured,changes,security,"boto3.client(""changes"")",hipaa_multi_cloud_164_308_a_6_i_0015,yes,yes,1,high,aws.cloudwatch.changes.to_network_route_tables_alarm_configured,yes,1,medium,aws.network.flow_log.cloudtrail.route_table_modified,no,0,0.0,0.0,,config+ciem,yes,,,,,
aws.cloudtrail.account.usage_monitoring_config:aws.cloudtrail.trail.alert_destinations_configured,cloudtrail,,"boto3.client(""cloudtrail"")",cis_aws_aws_5.3_0030,yes,yes,1,high,aws.cloudtrail.account.usage_monitoring_config_configured,yes,1,medium,aws.threat.correlation.cloudtrail.root_account_usage,no,0,0.0,0.0,,config+ciem,yes,,,,,
