rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id
aws.acm-pca.certificateauthority.cloudwatch_audit_logging,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.logging,key_management.acm_pca_certificateauthority_cloudwatch_audit_logging
aws.apigateway.resource.api_resource_attached_enabled,apigateway,resource,configuration_and_change_management,medium,apigateway.resource.configuration,security.configuration.apigateway_resource_api_resource_attached_enabled
aws.controltower.enrollment.controltower_all_accounts_enrolled_in_org_configured,controltower,enrollment,configuration_and_change_management,medium,controltower.enrollment.configuration,security.configuration.controltower_enrollment_controltower_all_accounts_enrolled_in_org_configured
aws.controltower.enrollment.controltower_scps_enabled,controltower,enrollment,configuration_and_change_management,medium,controltower.enrollment.configuration,security.configuration.controltower_enrollment_controltower_scps_enabled
aws.controltower.enrollment.restrict_region_usage_by_policy_where_required,controltower,enrollment,identity_and_access_management,high,controltower.enrollment.access_control,identity_access.least_privilege.controltower_enrollment_restrict_region_usage_by_policy_where_required
aws.controltower.landingzone.controltower_all_accounts_enrolled_in_org_configured,controltower,landingzone,configuration_and_change_management,medium,controltower.landingzone.configuration,security.configuration.controltower_landingzone_controltower_all_accounts_enrolled_in_org_configured
aws.controltower.landingzone.controltower_scps_enabled,controltower,landingzone,configuration_and_change_management,medium,controltower.landingzone.configuration,security.configuration.controltower_landingzone_controltower_scps_enabled
aws.controltower.landingzone.restrict_region_usage_by_policy_where_required,controltower,landingzone,identity_and_access_management,high,controltower.landingzone.access_control,identity_access.least_privilege.controltower_landingzone_restrict_region_usage_by_policy_where_required
aws.costexplorer.anomalydetector.alert_destinations_configured,costexplorer,anomalydetector,configuration_and_change_management,medium,costexplorer.anomalydetector.configuration,security.configuration.costexplorer_anomalydetector_alert_destinations_configured
aws.costexplorer.anomalydetector.costexplorer_detectors_enabled,costexplorer,anomalydetector,configuration_and_change_management,medium,costexplorer.anomalydetector.configuration,security.configuration.costexplorer_anomalydetector_costexplorer_detectors_enabled
aws.costexplorer.anomalydetector.costexplorer_severity_thresholds_configured,costexplorer,anomalydetector,configuration_and_change_management,medium,costexplorer.anomalydetector.configuration,security.configuration.costexplorer_anomalydetector_costexplorer_severity_thresholds_configured
aws.costexplorer.cost_allocation_tag.cost_tag_policy_enforced,costexplorer,cost_allocation_tag,identity_and_access_management,high,costexplorer.cost_allocation_tag.access_control,identity_access.least_privilege.costexplorer_cost_allocation_tag_cost_tag_policy_enforced
aws.costexplorer.cost_allocation_tag.costexplorer_required_cost_tags_present,costexplorer,cost_allocation_tag,configuration_and_change_management,medium,costexplorer.cost_allocation_tag.configuration,security.configuration.costexplorer_cost_allocation_tag_costexplorer_required_cost_tags_present
aws.costexplorer.cost_allocation_tag.untagged_resource_alerts_enabled,costexplorer,cost_allocation_tag,configuration_and_change_management,medium,costexplorer.cost_allocation_tag.configuration,security.configuration.costexplorer_cost_allocation_tag_untagged_resource_alerts_enabled
aws.costexplorer.costcategory.billing_admins_mfa_required,costexplorer,costcategory,identity_and_access_management,critical,costexplorer.costcategory.access_control,identity_access.authentication.costexplorer_costcategory_billing_admins_mfa_required
aws.costexplorer.costcategory.billing_console_rbac_least_privilege,costexplorer,costcategory,identity_and_access_management,high,costexplorer.costcategory.access_control,identity_access.least_privilege.costexplorer_costcategory_billing_console_rbac_least_privilege
aws.costexplorer.costcategory.costexplorer_cost_export_destinations_least_privilege,costexplorer,costcategory,identity_and_access_management,high,costexplorer.costcategory.access_control,identity_access.least_privilege.costexplorer_costcategory_costexplorer_cost_export_destinations_least_privilege
aws.ec2.eip.not_in_use,ec2,eip,configuration_and_change_management,medium,ec2.eip.configuration,security.configuration.ec2_eip_not_in_use
aws.eip.address.address_enabled,eip,address,configuration_and_change_management,medium,eip.address.configuration,security.configuration.eip_address_address_enabled
aws.eks.api.cluster_required_allowlist_for_namespace_services,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_cluster_required_allowlist_for_namespace_services
aws.eks.api.default_deny_egress_per_namespace_configured,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_default_deny_egress_per_namespace_configured
aws.eks.api.drop_net_raw_and_reduce_caps_configured,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_drop_net_raw_and_reduce_caps_configured
aws.eks.api.external_ips_not_used_configured,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_external_ips_not_used_configured
aws.eks.api.image_registry_allowlist_enforced,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_image_registry_allowlist_enforced
aws.eks.api.image_signature_verification_enabled,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_image_signature_verification_enabled
aws.eks.api.image_tag_not_latest_configured,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_image_tag_not_latest_configured
aws.eks.api.network_policies_present,eks,api,network_security_and_connectivity,high,eks.api.network,network_security.network_access.eks_api_network_policies_present
aws.eks.api.nodeport_usage_restricted,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_nodeport_usage_restricted
aws.eks.api.read_only_root_filesystem_configured,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_read_only_root_filesystem_configured
aws.eks.api.run_as_non_root_configured,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_run_as_non_root_configured
aws.eks.api.seccomp_profile_runtime_default_configured,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_seccomp_profile_runtime_default_configured
aws.eks.api.type_loadbalancer_internal_only_where_required,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_type_loadbalancer_internal_only_where_required
aws.eks.api.wildcard_verbs_disallowed_configured,eks,api,configuration_and_change_management,medium,eks.api.configuration,security.configuration.eks_api_wildcard_verbs_disallowed_configured
aws.globalaccelerator.accelerator.access_logs_enabled,globalaccelerator,accelerator,logging_monitoring_and_alerting,medium,globalaccelerator.accelerator.logging,logging_monitoring.logging.globalaccelerator_accelerator_access_logs_enabled
aws.globalaccelerator.accelerator.listener_tls_min_1_2_configured,globalaccelerator,accelerator,data_protection_and_privacy,high,globalaccelerator.accelerator.encryption,data_protection.encryption_transit.globalaccelerator_accelerator_listener_tls_min_1_2_configured
aws.globalaccelerator.accelerator.waf_attached_if_supported,globalaccelerator,accelerator,configuration_and_change_management,medium,globalaccelerator.accelerator.configuration,security.configuration.globalaccelerator_accelerator_waf_attached_if_supported
aws.identitycenter.group.identitycenter_external_sharing_restricted_if_supported,identitycenter,group,configuration_and_change_management,medium,identitycenter.group.configuration,security.configuration.identitycenter_group_identitycenter_external_sharing_restricted_if_supported
