cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,oci_mapped_compliance_functions,oci_mapped_compliance_ids
oci,oci.oci_data_science_https_endpoint.ai_services_security_ai_endpoint_authn_required,oci.data_science_https_endpoint.ai_services_security_ai_endpoint_authn_required,,ai_services,OCI Data Science - HTTPS Endpoint,,
oci,oci.oci_data_science_https_endpoint.ai_services_security_ai_endpoint_authz_policies_enforced,oci.data_science_https_endpoint.ai_services_security_ai_endpoint_authz_policies_enforced,,ai_services,OCI Data Science - HTTPS Endpoint,,
oci,oci.oci_data_science_https_endpoint.ai_services_security_ai_endpoint_private_networking_enforced,oci.data_science_https_endpoint.ai_services_security_ai_endpoint_private_networking_enforced,,ai_services,OCI Data Science - HTTPS Endpoint,,
oci,oci.oci_data_science_https_endpoint.ai_services_security_ai_endpoint_rate_limiting_enabled,oci.data_science_https_endpoint.ai_services_security_ai_endpoint_rate_limiting_enabled,,ai_services,OCI Data Science - HTTPS Endpoint,,
oci,oci.oci_data_science_https_endpoint.ai_services_security_ai_endpoint_waf_attached,oci.data_science_https_endpoint.ai_services_security_ai_endpoint_waf_attached,,ai_services,OCI Data Science - HTTPS Endpoint,,
oci,oci.oci_data_science_model_deployment.ai_services_security_prompt_gateway_authn_required,oci.data_science_model_deployment.ai_services_security_prompt_gateway_authn_required,,ai_services,OCI Data Science - Model Deployment,,
oci,oci.oci_data_science_model_deployment.ai_services_security_prompt_gateway_private_networking_enforced,oci.data_science_model_deployment.ai_services_security_prompt_gateway_private_networking_enforced,,ai_services,OCI Data Science - Model Deployment,,
oci,oci.oci_data_science_model_deployment.ai_services_security_prompt_gateway_token_scopes_least_privilege,oci.data_science_model_deployment.ai_services_security_prompt_gateway_token_scopes_least_privilege,,ai_services,OCI Data Science - Model Deployment,,
oci,oci.oci_data_science_custom_feature_store_pattern.ai_services_security_vector_index_authn_required,oci.data_science_custom_feature_store_pattern.ai_services_security_vector_index_authn_required,,ai_services,OCI Data Science (custom feature store pattern),,
oci,oci.oci_data_science_custom_feature_store_pattern.ai_services_security_vector_index_rbac_tenant_isolation_enforced,oci.data_science_custom_feature_store_pattern.ai_services_security_vector_index_rbac_tenant_isolation_enforced,,ai_services,OCI Data Science (custom feature store pattern),,
oci,oci.oci_data_science_custom_feature_store_pattern.ai_services_security_vector_index_private_networking_enforced,oci.data_science_custom_feature_store_pattern.ai_services_security_vector_index_private_networking_enforced,,ai_services,OCI Data Science (custom feature store pattern),,
oci,oci.oci_data_science_custom_feature_store_pattern.ai_services_security_vector_index_encrypted_at_rest_cmek,oci.data_science_custom_feature_store_pattern.ai_services_security_vector_index_encrypted_at_rest_cmek,,ai_services,OCI Data Science (custom feature store pattern),,
oci,oci.oci_data_flow_apache_spark.ai_services_security_training_pipeline_private_networking_enforced,oci.data_flow_apache_spark.ai_services_security_training_pipeline_private_networking_enforced,,ai_services,OCI Data Flow (Apache Spark),,
oci,oci.oci_data_flow_apache_spark.ai_services_security_training_pipeline_secrets_from_vault_only,oci.data_flow_apache_spark.ai_services_security_training_pipeline_secrets_from_vault_only,,ai_services,OCI Data Flow (Apache Spark),,
oci,oci.oci_data_science_jobs.ai_services_security_training_pipeline_private_networking_enforced,oci.data_science_jobs.ai_services_security_training_pipeline_private_networking_enforced,,ai_services,OCI Data Science Jobs,,
oci,oci.oci_data_science_jobs.ai_services_security_training_pipeline_secrets_from_vault_only,oci.data_science_jobs.ai_services_security_training_pipeline_secrets_from_vault_only,,ai_services,OCI Data Science Jobs,,
oci,oci.oci_data_integration.ai_services_security_data_pipeline_access_controls_least_privilege,oci.data_integration.ai_services_security_data_pipeline_access_controls_least_privilege,,ai_services,OCI Data Integration,,
