catalog_rule_id,service,category,compliance_ids,has_compliance_ids,config_covered,config_rule_ids,config_best_jaccard,ciem_covered,ciem_rule_ids,coverage_status,covered,ai_match_rule_id,ai_confidence,ai_reasoning
gcp.api.gateway_restapi_logging_enabled:gcp.gke_control_plane_apiserver.containers_kubernetes_security_apiserver_audit_logging_enabled,api,,"canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033;canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,fedramp_moderate_multi_cloud_AU-12_0081,fedramp_moderate_multi_cloud_AU-12_1_0082,fedramp_moderate_multi_cloud_AU-12_3_0083,fedramp_moderate_multi_cloud_AU-2_0058,fedramp_moderate_multi_cloud_AU-3_0059,fedramp_moderate_multi_cloud_AU-3_1_0060,fedramp_moderate_multi_cloud_AU-8_0074,fedramp_moderate_multi_cloud_CA-7_0093,fedramp_moderate_multi_cloud_CA-7_1_0094,fedramp_moderate_multi_cloud_CA-7_4_0095,nist_800_53_rev5_multi_cloud_AC-4_26_0075,nist_800_53_rev5_multi_cloud_AU-10_1_0268,nist_800_53_rev5_multi_cloud_AU-10_2_0269,nist_800_53_rev5_multi_cloud_AU-10_3_0270,nist_800_53_rev5_multi_cloud_AU-10_4_0271,nist_800_53_rev5_multi_cloud_AU-10_5_0272,nist_800_53_rev5_multi_cloud_AU-12-a_0278,nist_800_53_rev5_multi_cloud_AU-12-c_0280,nist_800_53_rev5_multi_cloud_AU-12_1_0274,nist_800_53_rev5_multi_cloud_AU-12_2_0275,nist_800_53_rev5_multi_cloud_AU-12_3_0276,nist_800_53_rev5_multi_cloud_AU-12_4_0277,nist_800_53_rev5_multi_cloud_AU-14-a_0289,nist_800_53_rev5_multi_cloud_AU-14-b_0290,nist_800_53_rev5_multi_cloud_AU-14_3_0288,nist_800_53_rev5_multi_cloud_AU-2-b_0224,nist_800_53_rev5_multi_cloud_AU-3-a_0231,nist_800_53_rev5_multi_cloud_AU-3-b_0232,nist_800_53_rev5_multi_cloud_AU-3-c_0233,nist_800_53_rev5_multi_cloud_AU-3-d_0234,nist_800_53_rev5_multi_cloud_AU-3-e_0235,nist_800_53_rev5_multi_cloud_AU-3-f_0236,nist_800_53_rev5_multi_cloud_AU-8-b_0258,nist_800_53_rev5_multi_cloud_CA-7-b_0338,nist_800_53_rev5_multi_cloud_PM-31-a_0911,nist_800_53_rev5_multi_cloud_PM-31-b_0912,nist_800_53_rev5_multi_cloud_PM-31-c_0913,nist_800_53_rev5_multi_cloud_PM-31-d_0914,nist_800_53_rev5_multi_cloud_PM-31-e_0915,nist_800_53_rev5_multi_cloud_PM-31-f_0916,nist_800_53_rev5_multi_cloud_SI-4_17_1373;canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024;canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025;canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030;canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039;fedramp_moderate_multi_cloud_AU-12_0081;fedramp_moderate_multi_cloud_AU-12_1_0082;fedramp_moderate_multi_cloud_AU-12_3_0083;fedramp_moderate_multi_cloud_AU-2_0058;fedramp_moderate_multi_cloud_AU-3_0059;fedramp_moderate_multi_cloud_AU-3_1_0060;fedramp_moderate_multi_cloud_AU-8_0074;fedramp_moderate_multi_cloud_CA-7_0093;fedramp_moderate_multi_cloud_CA-7_1_0094;fedramp_moderate_multi_cloud_CA-7_4_0095;nist_800_53_rev5_multi_cloud_AC-4_26_0075;nist_800_53_rev5_multi_cloud_AU-10_1_0268;nist_800_53_rev5_multi_cloud_AU-10_2_0269;nist_800_53_rev5_multi_cloud_AU-10_3_0270;nist_800_53_rev5_multi_cloud_AU-10_4_0271;nist_800_53_rev5_multi_cloud_AU-10_5_0272;nist_800_53_rev5_multi_cloud_AU-12-a_0278;nist_800_53_rev5_multi_cloud_AU-12-c_0280;nist_800_53_rev5_multi_cloud_AU-12_1_0274;nist_800_53_rev5_multi_cloud_AU-12_2_0275;nist_800_53_rev5_multi_cloud_AU-12_3_0276;nist_800_53_rev5_multi_cloud_AU-12_4_0277;nist_800_53_rev5_multi_cloud_AU-14-a_0289;nist_800_53_rev5_multi_cloud_AU-14-b_0290;nist_800_53_rev5_multi_cloud_AU-14_3_0288;nist_800_53_rev5_multi_cloud_AU-2-b_0224;nist_800_53_rev5_multi_cloud_AU-3-a_0231;nist_800_53_rev5_multi_cloud_AU-3-b_0232;nist_800_53_rev5_multi_cloud_AU-3-c_0233;nist_800_53_rev5_multi_cloud_AU-3-d_0234;nist_800_53_rev5_multi_cloud_AU-3-e_0235;nist_800_53_rev5_multi_cloud_AU-3-f_0236;nist_800_53_rev5_multi_cloud_AU-8-b_0258;nist_800_53_rev5_multi_cloud_CA-7-b_0338;nist_800_53_rev5_multi_cloud_PM-31-a_0911;nist_800_53_rev5_multi_cloud_PM-31-b_0912;nist_800_53_rev5_multi_cloud_PM-31-c_0913;nist_800_53_rev5_multi_cloud_PM-31-d_0914;nist_800_53_rev5_multi_cloud_PM-31-e_0915;nist_800_53_rev5_multi_cloud_PM-31-f_0916;nist_800_53_rev5_multi_cloud_SI-4_17_1373",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.api.gateway_restapi_waf_acl_attached:gcp.apigateway_api.platform_security_api_endpoint_waf_attached,api,,nist_800_53_rev5_multi_cloud_AC-4_21_0070,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.apikeys.key.rotated_in_90_days:gcp.apikeys_key.platform_security_api_key_scopes_least_privilege,apikeys,,"iso27001_2022_multi_cloud_A.5.16_0012;iso27001_2022_multi_cloud_A.5.16_0012,iso27001_2022_multi_cloud_A.8.12_0067;iso27001_2022_multi_cloud_A.8.12_0067",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.app.engine.enforce.https.in.transit,app,cis_control,cis_gcp_gcp_4.10_0119,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.app.engine_managed_updates_enabled:gcp.appengine_application.paas_security_app_logging_enabled,app,,"cisa_ce_v1_multi_cloud_Booting_Up-3_0011;cisa_ce_v1_multi_cloud_Booting_Up-3_0011,rbi_bank_multi_cloud_21.2_0013,rbi_nbfc_multi_cloud_2.6_0010;rbi_bank_multi_cloud_21.2_0013;rbi_nbfc_multi_cloud_2.6_0010",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.artifact.registry.repository.minimum.user.access,artifact,cis_control,cis_gcp_gcp_5.1.2_0035,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.artifact.registry_image_scan_on_push_enabled,artifact,,"rbi_bank_multi_cloud_10.1_0003;rbi_bank_multi_cloud_10.1_0003,rbi_nbfc_multi_cloud_2.10_0014;rbi_nbfc_multi_cloud_2.10_0014",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.artifacts.container_analysis_enabled:gcp.artifacts.container_analysis_enabled,artifacts,,soc2_multi_cloud_cc_3_1_0003,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.bigquery.capacity_monitoring:gcp.bigquery_dataset.data_analytics_security_dataset_encrypted_at_rest_cmek,bigquery,,soc2_multi_cloud_a1_1_0024,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
gcp.bigquery.dataset.default.cmek.encryption.check,bigquery,cis_control,cis_gcp_gcp_7.3_0148,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
