catalog_rule_id,service,category,compliance_ids,has_compliance_ids,config_covered,config_rule_ids,config_best_jaccard,ciem_covered,ciem_rule_ids,coverage_status,covered,ai_match_rule_id,ai_confidence,ai_reasoning
oci.adb_adw_projects.lineage_security_database_encrypted,,lineage,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_adb_schemas.datalake_security_schema_encrypted,,datalake,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_backup_snapshot.data_warehouse_security_snapshot_not_publicly_shared,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_external_tables_hive_metastore_entries.datalake_security_table_encrypted,,datalake,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_network_acl_iam.data_warehouse_security_endpoint_authz_no_anonymous_access,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_network_acl_iam.data_warehouse_security_endpoint_authz_rbac_least_privilege,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_parameter_sets_init_params.data_analytics_security_parameter_group_logging_enabled_where_supported,,data_analytics,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_parameter_sets_init_params.data_analytics_security_parameter_group_tls_required,,data_analytics,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_parameters_profile.data_warehouse_security_parameter_group_logging_enabled_where_supported,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_parameters_profile.data_warehouse_security_parameter_group_require_ssl,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_private_endpoint_vpn.data_warehouse_security_endpoint_access_allowed_cidrs_minimized,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_private_endpoint_vpn.data_warehouse_security_endpoint_access_private_only,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.adw_private_endpoint_vpn.data_warehouse_security_endpoint_access_tls_required,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.alarms_escalation.incident_security_escalation_policy_exists_for_critical_severity,,incident_response,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.api_gateway_jwt_custom_auth.platform_security_authorizer_cache_ttl_reasonable,,platform_surfaces_versions,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.api_gateway_jwt_custom_auth.platform_security_authorizer_token_audience_restricted,,platform_surfaces_versions,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
oci.automation_via_functions.vuln_security_maintenance_window_defined,,vulnerability_management,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
