catalog_rule_id,service,category,compliance_ids,has_compliance_ids,config_covered,config_rule_ids,config_best_jaccard,ciem_covered,ciem_rule_ids,coverage_status,covered,ai_match_rule_id,ai_confidence,ai_reasoning
alicloud.(Analogue) DataHub + Flink (delivery).streaming_security_firehose_destination_encrypted,,streaming_data,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.(Analogue) DataHub + Flink (delivery).streaming_security_firehose_destination_least_privilege,,streaming_data,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.(Analogue) DataHub + Flink (delivery).streaming_security_firehose_logging_enabled,,streaming_data,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.(N/A) — use ApsaraDB.paas_security_db_public_access_disabled,,paas,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.(N/A) — use ApsaraDB.paas_security_db_require_tls_in_transit,,paas,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.(N/A) — use ECS/SAE.paas_security_instance_disk_encrypted,,paas,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.(N/A) — use ECS/SAE.paas_security_instance_no_public_ip_unless_required,,paas,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Add-ons (Cluster add-ons).containers_kubernetes_security_addon_from_trusted_channel,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Add-ons (Cluster add-ons).containers_kubernetes_security_addon_version_pinned_and_supported,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK CNI (Terway/Cilium) NetworkPolicy.containers_kubernetes_security_networkpolicy_required_allowlist_for_namespace_services,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Control Plane (API Server).containers_kubernetes_security_apiserver_anonymous_auth_disabled,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Control Plane (API Server).containers_kubernetes_security_apiserver_audit_logging_enabled,,containers_kubernetes,iso27001_2022_multi_cloud_A.8.15_0070,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Control Plane (API Server).containers_kubernetes_security_apiserver_authorization_mode_rbac,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Control Plane (API Server).containers_kubernetes_security_apiserver_etcd_connection_encrypted,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Control Plane (API Server).containers_kubernetes_security_apiserver_insecure_port_disabled,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Controller Manager.containers_kubernetes_security_controller_manager_root_ca_file_configured,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Controller Manager.containers_kubernetes_security_controller_manager_secure_port_tls_enabled,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Controller Manager.containers_kubernetes_security_controller_manager_use_service_account_credentials_enabled,,containers_kubernetes,"iso27001_2022_multi_cloud_A.8.20_0076;iso27001_2022_multi_cloud_A.8.20_0076,iso27001_2022_multi_cloud_A.8.21_0077,iso27001_2022_multi_cloud_A.8.22_0078;iso27001_2022_multi_cloud_A.8.21_0077;iso27001_2022_multi_cloud_A.8.22_0078",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Controller Manager.k8s_controllermanager_secure_port_enabled,,k8s,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Controller Manager.k8s_controllermanager_service_account_token_signing_enabled,,k8s,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Deployment/StatefulSet/DaemonSet/Job/CronJob.containers_kubernetes_security_workload_drop_net_raw_and_reduce_caps,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Deployment/StatefulSet/DaemonSet/Job/CronJob.containers_kubernetes_security_workload_image_tag_not_latest,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Deployment/StatefulSet/DaemonSet/Job/CronJob.containers_kubernetes_security_workload_read_only_root_filesystem,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Deployment/StatefulSet/DaemonSet/Job/CronJob.containers_kubernetes_security_workload_seccomp_profile_runtime_default,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
"alicloud.ACK Managed Services (CoreDNS, Ingress).containers_kubernetes_security_cluster_service_dns_and_metrics_from_approved_sources",,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Namespaces.containers_kubernetes_security_namespace_pod_security_level_restricted,,containers_kubernetes,cis_alicloud_alicloud_5.1.4_0092,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Node (kubelet).k8s_kubelet_client_cert_rotation_enabled,,k8s,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Node (kubelet).k8s_kubelet_protect_kernel_defaults_enabled,,k8s,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Node Pool.containers_kubernetes_security_node_pool_shielded_secure_boot_enabled,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Node Pool.containers_kubernetes_security_node_pool_workload_identity_enabled,,containers_kubernetes,iso27001_2022_multi_cloud_A.5.1_0005,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK RBAC.containers_kubernetes_security_rbac_subjects_scoped_to_namespaces,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK RBAC.k8s_rbac_wildcard_verbs_disallowed,,k8s,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Scheduler.k8s_scheduler_leader_election_enabled,,k8s,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Scheduler.k8s_scheduler_profiling_disabled,,k8s,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Service (SLB/ALB/NLB integration).containers_kubernetes_security_service_nodeport_usage_restricted,,containers_kubernetes,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ACK Service Account (RRSA with RAM Role).identity_access_security_service_account_workload_identity_federation_used_where_supported,,identity_access,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ADB/Hologres Access Control (VPC/IP/login).data_warehouse_security_endpoint_authz_rbac_least_privilege,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ADB/Hologres Parameter Group.data_warehouse_security_parameter_group_logging_enabled_where_supported,,data_warehouse,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ALB/NLB Target Group.network_security_tg_health_checks_tls_where_supported,,network_perimeter,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway (request/response schema validation).api_security_validation_api_content_type_whitelist_enforced,,api_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_body_size_limit_configured,,api_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_quota_limit_configured,,api_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_burst_limit_configured,,api_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_rate_limit_configured,,api_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_throttle_overrides_not_unbounded,,api_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_usage_plan_required_for_api_keys,,api_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway App Key/Secret.platform_security_api_key_expiration_required,,platform_surfaces_versions,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway App Key/Secret.platform_security_api_key_rotation_policy_defined,,platform_surfaces_versions,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway Authorizer/Signature.platform_security_authorizer_cache_ttl_reasonable,,platform_surfaces_versions,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway Stage.platform_security_stage_require_usage_plan_for_api_keys,,platform_surfaces_versions,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.API Gateway Usage Plan/Quota.platform_security_usage_plan_quota_limits_configured,,platform_surfaces_versions,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ARMS Tracing Analysis.monitoring_security_trace_retention_days_minimum,,monitoring_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ARMS Tracing Analysis.monitoring_security_trace_store_encrypted,,monitoring_security,soc2_multi_cloud_cc_3_1_0003,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ARMS Tracing Sampling Rule.monitoring_security_sampling_rule_rules_present,,monitoring_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ARMS.api_security_monitoring_api_execution_logging_level_minimum_error,,api_security,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ARMS.api_security_monitoring_api_logs_retention_days_minimum,,api_security,soc2_multi_cloud_cc_c_1_2_0023,yes,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ASR (Alibaba Cloud Site Recovery) DR Drills/Tests.dr_security_testing_results_storage_encrypted_and_private,,dr,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ASR DR Plan.resilience_security_dr_plan_approvals_required_for_changes,,resilience_recovery,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ASR DR Plan.resilience_security_dr_plan_change_audit_logging_enabled,,resilience_recovery,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ASR DR Plan.resilience_security_dr_plan_storage_encrypted_and_private,,resilience_recovery,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ASR Recovery Instance.resilience_security_recovery_instance_private_network_only,,resilience_recovery,"iso27001_2022_multi_cloud_A.8.20_0076;iso27001_2022_multi_cloud_A.8.20_0076,iso27001_2022_multi_cloud_A.8.21_0077,iso27001_2022_multi_cloud_A.8.22_0078,soc2_multi_cloud_cc_6_6_0012;iso27001_2022_multi_cloud_A.8.21_0077;iso27001_2022_multi_cloud_A.8.22_0078;soc2_multi_cloud_cc_6_6_0012",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ASR Recovery Instance.resilience_security_recovery_instance_security_groups_restrictive,,resilience_recovery,,no,no,,0.0,no,,ai_confirmed_gap,no,,,
alicloud.ASR Source Server.resilience_security_dr_source_agent_to_service_tls_required,,resilience_recovery,"iso27001_2022_multi_cloud_A.5.16_0012;iso27001_2022_multi_cloud_A.5.16_0012,iso27001_2022_multi_cloud_A.5.19_0015,iso27001_2022_multi_cloud_A.5.21_0018,iso27001_2022_multi_cloud_A.5.22_0019,iso27001_2022_multi_cloud_A.5.25_0022,iso27001_2022_multi_cloud_A.5.28_0025,iso27001_2022_multi_cloud_A.5.29_0026,iso27001_2022_multi_cloud_A.8.7_0094,iso27001_2022_multi_cloud_A.8.9_0096,soc2_multi_cloud_cc_3_1_0003,soc2_multi_cloud_cc_3_2_0004,soc2_multi_cloud_cc_4_2_0007,soc2_multi_cloud_cc_6_8_0014,soc2_multi_cloud_cc_7_1_0015;iso27001_2022_multi_cloud_A.5.19_0015;iso27001_2022_multi_cloud_A.5.21_0018;iso27001_2022_multi_cloud_A.5.22_0019;iso27001_2022_multi_cloud_A.5.25_0022;iso27001_2022_multi_cloud_A.5.28_0025;iso27001_2022_multi_cloud_A.5.29_0026;iso27001_2022_multi_cloud_A.8.7_0094;iso27001_2022_multi_cloud_A.8.9_0096;soc2_multi_cloud_cc_3_1_0003;soc2_multi_cloud_cc_3_2_0004;soc2_multi_cloud_cc_4_2_0007;soc2_multi_cloud_cc_6_8_0014;soc2_multi_cloud_cc_7_1_0015",yes,no,,0.0,no,,ai_confirmed_gap,no,,,
