rule_id,service,resource,scope,template_id
aws.k8s.api.leader_election_enabled,k8s,api,k8s.scheduler,k8s.scheduler.leader_election_enabled
aws.eks.cluster.leader_election_enabled,eks,cluster,k8s.scheduler,k8s.scheduler.leader_election_enabled
aws.k8s.api.profiling_disabled,k8s,api,k8s.scheduler,k8s.scheduler.profiling_disabled
aws.eks.cluster.profiling_disabled,eks,cluster,k8s.scheduler,k8s.scheduler.profiling_disabled
aws.k8s.api.wildcard_verbs_disallowed,k8s,api,k8s.rbac,k8s.rbac.wildcard_verbs_disallowed
aws.k8s.api.default_sa_not_cluster_admin,k8s,api,k8s.rbac,k8s.rbac.default_sa_not_cluster_admin
aws.k8s.api.no_cluster_admin_to_authenticated,k8s,api,k8s.rbac,k8s.rbac.no_cluster_admin_to_authenticated
aws.k8s.api.client_cert_rotation_enabled,k8s,api,k8s.kubelet,k8s.kubelet.client_cert_rotation_enabled
aws.eks.fargate_profile.client_cert_rotation_enabled,eks,fargate_profile,k8s.kubelet,k8s.kubelet.client_cert_rotation_enabled
aws.eks.node_group.client_cert_rotation_enabled,eks,node_group,k8s.kubelet,k8s.kubelet.client_cert_rotation_enabled
aws.k8s.api.protect_kernel_defaults_enabled,k8s,api,k8s.kubelet,k8s.kubelet.protect_kernel_defaults_enabled
aws.eks.fargate_profile.protect_kernel_defaults_enabled,eks,fargate_profile,k8s.kubelet,k8s.kubelet.protect_kernel_defaults_enabled
aws.eks.node_group.protect_kernel_defaults_enabled,eks,node_group,k8s.kubelet,k8s.kubelet.protect_kernel_defaults_enabled
aws.k8s.api.read_only_port_disabled,k8s,api,k8s.kubelet,k8s.kubelet.read_only_port_disabled
aws.eks.fargate_profile.read_only_port_disabled,eks,fargate_profile,k8s.kubelet,k8s.kubelet.read_only_port_disabled
aws.eks.node_group.read_only_port_disabled,eks,node_group,k8s.kubelet,k8s.kubelet.read_only_port_disabled
aws.eks.fargate_profile.anonymous_auth_disabled,eks,fargate_profile,k8s.kubelet,k8s.kubelet.anonymous_auth_disabled
aws.eks.node_group.anonymous_auth_disabled,eks,node_group,k8s.kubelet,k8s.kubelet.anonymous_auth_disabled
aws.eks.cluster.client_cert_auth_enabled,eks,cluster,k8s.etcd,k8s.etcd.client_cert_auth_enabled
aws.eks.cluster.encryption_at_rest_enabled,eks,cluster,k8s.etcd,k8s.etcd.encryption_at_rest_enabled
aws.k8s.api.secure_port_enabled,k8s,api,k8s.controllermanager,k8s.controllermanager.secure_port_enabled
aws.eks.cluster.secure_port_enabled,eks,cluster,k8s.controllermanager,k8s.controllermanager.secure_port_enabled
aws.k8s.api.service_account_token_signing_enabled,k8s,api,k8s.controllermanager,k8s.controllermanager.service_account_token_signing_enabled
aws.eks.cluster.service_account_token_signing_enabled,eks,cluster,k8s.controllermanager,k8s.controllermanager.service_account_token_signing_enabled
aws.k8s.api.admission_psa_enforce_mode,k8s,api,k8s.apiserver,k8s.apiserver.admission_psa_enforce_mode
aws.eks.cluster.admission_psa_enforce_mode,eks,cluster,k8s.apiserver,k8s.apiserver.admission_psa_enforce_mode
aws.k8s.api.tls_min_version_1_2,k8s,api,k8s.apiserver,k8s.apiserver.tls_min_version_1_2
aws.eks.cluster.tls_min_version_1_2,eks,cluster,k8s.apiserver,k8s.apiserver.tls_min_version_1_2
aws.k8s.api.audit_logging_enabled,k8s,api,k8s.apiserver,k8s.apiserver.audit_logging_enabled
aws.k8s.api.anonymous_auth_disabled,k8s,api,k8s.apiserver,k8s.apiserver.anonymous_auth_disabled
aws.eks.cluster.anonymous_auth_disabled,eks,cluster,k8s.apiserver,k8s.apiserver.anonymous_auth_disabled
