id,title,assessment,audit,eligibility
5.5.1,Manage Kubernetes RBAC users with AWS IAM Authenticator for Kubernetes or Upgrade to AWS CLI v1.16.156 or greater,Manual,"To Audit access to the namespace $NAMESPACE, assume the IAM role yourIAMRoleName for a user that you created, and then run the following command: $ kubectl get role -n $NAMESPACE The response lists the RBAC role that has access to this Namespace.",•  Level 1
5.4.5,Encrypt traffic to HTTPS load balancers with TLS certificates,Manual,Your load balancer vendor can provide details on auditing the certificates and policies required to utilize TLS.,•  Level 1
5.4.4,Ensure Network Policy is Enabled and set as appropriate,Automated,"Check for the following is not null and set with appropriate group id: export CLUSTER_NAME=<your cluster name> aws eks describe-cluster --name ${CLUSTER_NAME} --query ""cluster.resourcesVpcConfig.clusterSecurityGroupId"" Check for the following is True: export CLUSTER_NAME=<your cluster name> aws eks describe-addon --cluster-name ${CLUSTER_NAME} --addon-name vpc-cni -- query addon.configurationValues",•  Level 1
5.4.3,Ensure clusters are created with Private Nodes,Automated,"Check for the following to be 'enabled: true' export CLUSTER_NAME=<your cluster name> aws eks describe-cluster --name ${CLUSTER_NAME} --query ""cluster.resourcesVpcConfig.endpointPrivateAccess"" Check for the following is not null: export CLUSTER_NAME=<your cluster name> aws eks describe-cluster --name ${CLUSTER_NAME} --query ""cluster.resourcesVpcConfig.publicAccessCidrs"" Note: In addition include the check if the nodes are deployed in private subnets and no public IP is assigned. The private subnets should not be associated with a route table that has a route to an Internet Gateway (IGW).",•  Level 1
5.4.2,Ensure clusters are created with Private Endpoint Enabled and Public Access Disabled,Automated,"Check for private endpoint access to the Kubernetes API server Check for the following to be 'enabled: false' export CLUSTER_NAME=<your cluster name> aws eks describe-cluster --name ${CLUSTER_NAME} --query ""cluster.resourcesVpcConfig.endpointPublicAccess"" Check for the following to be 'enabled: true' export CLUSTER_NAME=<your cluster name> aws eks describe-cluster --name ${CLUSTER_NAME} --query ""cluster.resourcesVpcConfig.endpointPrivateAccess""",•  Level 1
5.4.1,Restrict Access to the Control Plane Endpoint,Automated,"Check for the following to be 'enabled: true' export CLUSTER_NAME=<your cluster name> aws eks describe-cluster --name ${CLUSTER_NAME} --query ""cluster.resourcesVpcConfig.endpointPublicAccess"" aws eks describe-cluster --name ${CLUSTER_NAME} --query ""cluster.resourcesVpcConfig.endpointPrivateAccess"" Check for the following is not null: export CLUSTER_NAME=<your cluster name> aws eks describe-cluster --name ${CLUSTER_NAME} --query ""cluster.resourcesVpcConfig.publicAccessCidrs""",•  Level 1
5.3.1,Ensure Kubernetes Secrets are encrypted using Customer Master Keys (CMKs) managed in AWS KMS,Manual,"For Amazon EKS clusters with Secrets Encryption enabled, run the AWS CLI command: aws eks describe-cluster --name=<cluster-name> From the output of the command, search if the following configuration exist with valid AWS keyArn : ""encryptionConfig"": [ { ""provider"": { ""keyArn"": ""string"" }, ""resources"": [ ""string"" ] } ],",•  Level 1
5.2.1,Prefer using dedicated EKS Service Accounts,Automated,"For each namespace in the cluster, review the rights assigned to the default service account and ensure that it has no roles or cluster roles bound to it apart from the defaults. Additionally ensure that the automountServiceAccountToken: false setting is in place for each default service account.",•  Level 1
5.1.4,Minimize Container Registries to only those approved,Manual,,•  Level 1
5.1.3,Minimize cluster access to read-only for Amazon ECR,Manual,Review AWS ECS worker node IAM role (NodeInstanceRole) IAM Policy Permissions to verify that they are set and the minimum required level. If utilizing a 3rd party tool to scan images utilize the minimum required permission level required to interact with the cluster - generally this should be read-only.,•  Level 1
5.1.2,Minimize user access to Amazon ECR,Manual,,•  Level 1
5.1.1,Ensure Image Vulnerability Scanning using Amazon ECR image scanning or a third party provider,Automated,Please follow AWS ECS or your 3rd party image scanning provider's guidelines for enabling Image Scanning. aws ecr describe-repositories --repository-names $REPO_NAME --region $REGION_CODE,•  Level 1
4.5.2,The default namespace should not be used,Automated,"Run this command to list objects in default namespace kubectl get $(kubectl api-resources --verbs=list --namespaced=true -o name | paste -sd, -) --ignore-not-found -n default The only entries there should be system managed resources such as the kubernetes service OR kubectl get pods -n default Returning No resources found in default namespace.",•  Level 1
4.5.1,Create administrative boundaries between resources using namespaces,Manual,Run the below command and review the namespaces created in the cluster. kubectl get namespaces Ensure that these namespaces are the ones you need and are adequately administered as per your requirements.,•  Level 1
4.4.2,Consider external secret storage,Manual,Review your secrets management implementation.,•  Level 1
4.4.1,Prefer using secrets as files over secrets as environment variables,Automated,"Run the following command to find references to objects which use environment variables defined from secrets. kubectl get all -o jsonpath='{range .items[?(@..secretKeyRef)]} {.kind} {.metadata.name} {""\n""}{end}' -A",•  Level 1
4.3.2,Ensure that all Namespaces have Network Policies defined,Automated,Run the below command and review the NetworkPolicy objects created in the cluster. kubectl get networkpolicy --all-namespaces Ensure that each namespace defined in the cluster has at least one Network Policy.,•  Level 1
4.3.1,Ensure CNI plugin supports network policies.,Manual,"Review the documentation of CNI plugin in use by the cluster, and confirm that it supports network policies.",•  Level 1
4.2.5,Minimize the admission of containers with allowPrivilegeEscalation,Automated,"List the policies in use for each namespace in the cluster, ensure that each policy disallows the admission of containers which allow privilege escalation. This command gets all pods across all namespaces, outputs their details in JSON format, and uses jq to parse and filter the output for containers with allowPrivilegeEscalation set to true. kubectl get pods --all-namespaces -o json | jq -r '.items[] | select(any(.spec.containers[]; .securityContext.allowPrivilegeEscalation == true)) | ""\(.metadata.namespace)/\(.metadata.name)""' OR kubectl get pods --all-namespaces -o json | jq '.items[] | select(.metadata.namespace != ""kube-system"" and .spec.containers[]; .securityContext.allowPrivilegeEscalation == true) | {pod: .metadata.name, namespace: .metadata.namespace, container: .spec.containers[].name}' When creating a Pod Security Policy, [""kube-system""] namespaces are excluded by default. This command uses jq, a command-line JSON processor, to parse the JSON output from kubectl get pods and filter out pods where any container has the securityContext.privileged flag set to true. Please note that you might need to adjust the command depending on your specific requirements and the structure of your pod specifications.",•  Level 1
4.2.4,Minimize the admission of containers wishing to share the host network namespace,Automated,"List the policies in use for each namespace in the cluster, ensure that each policy disallows the admission of hostNetwork containers Given that manually checking each pod can be time-consuming, especially in large environments, you can use a more automated approach to filter out pods where hostNetwork is set to true. Here’s a command using kubectl and jq: kubectl get pods --all-namespaces -o json | jq -r '.items[] | select(.spec.hostNetwork == true) | ""\(.metadata.namespace)/\(.metadata.name)""' OR kubectl get pods --all-namespaces -o json | jq '.items[] | select(.metadata.namespace != ""kube-system"" and .spec.hostNetwork == true) | {pod: .metadata.name, namespace: .metadata.namespace, container: .spec.containers[].name}' When creating a Pod Security Policy, [""kube-system""] namespaces are excluded by default. This command retrieves all pods across all namespaces in JSON format, then uses jq to filter out those with the hostNetwork flag set to true, and finally formats the output to show the namespace and name of each matching pod.",•  Level 1
4.2.3,Minimize the admission of containers wishing to share the host IPC namespace,Automated,"List the policies in use for each namespace in the cluster, ensure that each policy disallows the admission of hostIPC containers Search for the hostIPC Flag: In the YAML output, look for the hostIPC setting under the spec section to check if it is set to true. kubectl get pods --all-namespaces -o json | jq -r '.items[] | select(.spec.hostIPC == true) | ""\(.metadata.namespace)/\(.metadata.name)""' OR kubectl get pods --all-namespaces -o json | jq '.items[] | select(.metadata.namespace != ""kube-system"" and .spec.hostIPC == true) | {pod: .metadata.name, namespace: .metadata.namespace, container: .spec.containers[].name}' When creating a Pod Security Policy, [""kube-system""] namespaces are excluded by default. This command retrieves all pods across all namespaces in JSON format, then uses jq to filter out those with the hostIPC flag set to true, and finally formats the output to show the namespace and name of each matching pod.",•  Level 1
4.2.2,Minimize the admission of containers wishing to share the host process ID namespace,Automated,"List the policies in use for each namespace in the cluster, ensure that each policy disallows the admission of hostPID containers Search for the hostPID Flag: In the YAML output, look for the hostPID setting under the spec section to check if it is set to true. kubectl get pods --all-namespaces -o json | jq -r '.items[] | select(.spec.hostPID == true) | ""\(.metadata.namespace)/\(.metadata.name)""' OR kubectl get pods --all-namespaces -o json | jq '.items[] | select(.metadata.namespace != ""kube-system"" and .spec.hostPID == true) | {pod: .metadata.name, namespace: .metadata.namespace, container: .spec.containers[].name}' When creating a Pod Security Policy, [""kube-system""] namespaces are excluded by default. This command retrieves all pods across all namespaces in JSON format, then uses jq to filter out those with the hostPID flag set to true, and finally formats the output to show the namespace and name of each matching pod.",•  Level 1
4.2.1,Minimize the admission of privileged containers,Automated,"List the policies in use for each namespace in the cluster, ensure that each policy disallows the admission of privileged containers. Since manually searching through each pod's configuration might be tedious, especially in environments with many pods, you can use a more automated approach with grep or other command-line tools. Here's an example of how you might approach this with a combination of kubectl, grep, and shell scripting for a more automated solution: kubectl get pods --all-namespaces -o json | jq -r '.items[] | select(.spec.containers[].securityContext.privileged == true) | .metadata.name' OR kubectl get pods --all-namespaces -o json | jq '.items[] | select(.metadata.namespace != ""kube-system"" and .spec.containers[]?.securityContext?.privileged == true) | {pod: .metadata.name, namespace: .metadata.namespace, container: .spec.containers[].name}' When creating a Pod Security Policy, [""kube-system""] namespaces are excluded by default. This command uses jq, a command-line JSON processor, to parse the JSON output from kubectl get pods and filter out pods where any container has the securityContext.privileged flag set to true. Please note that you might need to adjust the command depending on your specific requirements and the structure of your pod specifications.",•  Level 1
4.1.8,"Limit use of the Bind, Impersonate and Escalate permissions in the Kubernetes cluster",Manual,"Review the users who have access to cluster roles or roles which provide the impersonate, bind or escalate privileges.",•  Level 1
4.1.7,Cluster Access Manager API to streamline and enhance the management of access controls within EKS clusters,Automated,"To check if the Cluster Access Manager API is active on your Amazon EKS cluster, you can use the following AWS CLI command: aws eks describe-cluster --name $CLUSTER_NAME --query ""cluster.accessConfig"" --output json Replace $CLUSTER_NAME with the name of your EKS cluster. The command queries the cluster.accessConfig property, which indicates the authentication mode of the cluster. Possible Outputs: If the output shows ""authenticationmode"": ""API"" or ""authenticationmode"": ""API_AND_CONFIG_MAP"", it means the Cluster Access Manager API is enabled. If it only shows ""authenticationmode"": ""CONFIG_MAP"", then the cluster is still using the traditional aws-auth ConfigMap approach.",•  Level 1
4.1.6,Ensure that Service Account Tokens are only mounted where necessary,Automated,"Review pod and service account objects in the cluster and ensure that the option below is set, unless the resource explicitly requires this access. automountServiceAccountToken: false",•  Level 1
4.1.5,Ensure that default service accounts are not actively used.,Automated,"For each namespace in the cluster, review the rights assigned to the default service account and ensure that it has no roles or cluster roles bound to it apart from the defaults. Additionally ensure that the automountServiceAccountToken: false setting is in place for each default service account.",•  Level 1
4.1.4,Minimize access to create pods,Automated,Review the users who have create access to pod objects in the Kubernetes API.,•  Level 1
4.1.3,Minimize wildcard use in Roles and ClusterRoles,Automated,Retrieve the roles defined across each namespaces in the cluster and review for wildcards kubectl get roles --all-namespaces -o yaml Retrieve the cluster roles defined in the cluster and review for wildcards kubectl get clusterroles -o yaml,•  Level 1
4.1.2,Minimize access to secrets,Automated,"Review the users who have get, list or watch access to secrets objects in the Kubernetes API.",•  Level 1
4.1.1,Ensure that the cluster-admin role is only used where required,Automated,"Obtain a list of the principals who have access to the cluster-admin role by reviewing the clusterrolebinding output for each role binding that has access to the cluster- admin role. kubectl get clusterrolebindings -o=custom- columns=NAME:.metadata.name,ROLE:.roleRef.name,SUBJECT:.subjects[*].name Review each principal listed and ensure that cluster-admin privilege is required for it.",•  Level 1
