yaml_rule_id,yaml_service,yaml_resource_kind,scope,domain,severity,pool_size,best_jaccard_v2,best_match_key,best_match_orig_rid,best_match_has_compliance_ids,best_match_compliance_ids,best_match_compliance_fns,ai_match_rule_id,ai_confidence,ai_reasoning,old_verdict,final_verdict,final_verdict_note,top5_candidates
aws.apigatewayv2.stage.api_burst_limit_configured,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,77,1.0,aws.api_gatewayv2.stage.api_stage_burst_limit_configured,aws.api_gatewayv2.stage.api_stage_burst_limit_configured,no,,,aws.api_gatewayv2.stage.api_stage_burst_limit_configured,high,"Both rules check for burst limit configuration on API Gateway v2 stages, with identical service and resource focus.",ACCEPT,ACCEPT,near-identical match (j=1.0),aws.api_gatewayv2.stage.api_stage_burst_limit_configured(1.00); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.80); aws.api_gateway.usage_plan.api_stage_burst_limit_configured(0.67); aws.api_gatewayv2.stage.api_stage_rate_limit_configured(0.60); aws.api_gatewayv2.stage.api_quota_limit_configured(0.60)
aws.apigatewayv2.stage.api_execution_logging_level_minimum_error_configured,apigatewayv2,stage,apigatewayv2.stage.logging,logging_monitoring_and_alerting,medium,77,1.0,aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error,aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error,no,,,aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error,high,Candidate rule_id matches the same control for API Gateway v2 stage execution logging level with identical intent and resource.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error(1.00); aws.api_gateway.stage.api_execution_logging_level_minimum_error(1.00); aws.api_gatewayv2.stage.api_logs_retention_days_minimum(0.44); aws.api_gateway.stage.api_logs_retention_days_minimum(0.44); aws.api_gatewayv2.stage.api_access_logging_enabled(0.33)
aws.apigatewayv2.stage.api_logs_retention_days_minimum,apigatewayv2,stage,apigatewayv2.stage.logging,logging_monitoring_and_alerting,medium,77,1.0,aws.api_gatewayv2.stage.api_logs_retention_days_minimum,aws.api_gatewayv2.stage.api_logs_retention_days_minimum,no,,,aws.api_gatewayv2.stage.api_logs_retention_days_minimum,high,Exact match on resource (apigatewayv2 stage) and control (minimum log retention days).,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.api_gatewayv2.stage.api_logs_retention_days_minimum(1.00); aws.api_gateway.stage.api_logs_retention_days_minimum(1.00); aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error(0.44); aws.api_gateway.stage.api_execution_logging_level_minimum_error(0.44); aws.api_gatewayv2.stage.api_access_logging_enabled(0.38)
aws.apigatewayv2.stage.api_quota_limit_configured,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,77,1.0,aws.api_gatewayv2.stage.api_quota_limit_configured,aws.api_gatewayv2.stage.api_quota_limit_configured,no,,,aws.api_gatewayv2.stage.api_quota_limit_configured,high,"Candidate rule_id is identical in intent and resource, covering API quota limits for API Gateway v2 stages.",ACCEPT,ACCEPT,near-identical match (j=1.0),aws.api_gatewayv2.stage.api_quota_limit_configured(1.00); aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.60); aws.api_gatewayv2.stage.api_stage_rate_limit_configured(0.60); aws.api_gateway.throttle.api_quota_limit_configured(0.60); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.50)
aws.apigatewayv2.stage.api_rate_limit_configured,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,77,1.0,aws.api_gatewayv2.stage.api_stage_rate_limit_configured,aws.api_gatewayv2.stage.api_stage_rate_limit_configured,no,,,aws.api_gatewayv2.stage.api_stage_rate_limit_configured,high,Both rules check for rate limit configuration on API Gateway v2 stages with identical intent and resource scope.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.api_gatewayv2.stage.api_stage_rate_limit_configured(1.00); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.80); aws.api_gateway.usage_plan.api_stage_rate_limit_configured(0.67); aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.60); aws.api_gatewayv2.stage.api_quota_limit_configured(0.60)
aws.apigatewayv2.stage.api_usage_plan_required_for_api_keys,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,77,1.0,aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys,aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys,no,,,aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys,high,Exact match on resource (apigatewayv2 stage) and control (requiring usage plan for API keys).,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys(1.00); aws.api_gateway.stage.require_usage_plan_for_api_keys(1.00); aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys(0.86); aws.api_gateway.throttle.api_usage_plan_required_for_api_keys(0.75); aws.api_gateway.usage_plan.api_stage_burst_limit_configured(0.44)
aws.docdb.cluster.audit_logging_enabled,docdb,cluster,docdb.cluster.logging,logging_monitoring_and_alerting,medium,32,1.0,aws.documentdb.cluster.audit_logging_enabled,aws.documentdb.cluster.audit_logging_enabled,no,,,aws.documentdb.cluster.audit_logging_enabled,high,Exact semantic match for DocumentDB cluster audit logging control with identical rule intent.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.cluster.audit_logging_enabled(1.00); aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled(0.67); aws.documentdb.cluster.cloudwatch_log_export:aws.documentdb.cluster.audit_logging_enabled(0.57); aws.documentdb.cluster.storage_encrypted:aws.documentdb.cluster.audit_logging_enabled(0.57); aws.documentdb.cluster.multi_az_enabled:aws.documentdb.cluster.audit_logging_enabled(0.50)
aws.docdb.cluster.audit_logging_to_cloudwatch_enabled,docdb,cluster,docdb.cluster.logging,logging_monitoring_and_alerting,medium,32,1.0,aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled,aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled:aws.documentdb.cluster.audit_logging_enabled,yes,cis_aws_aws_7.6_0093,aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled,aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled:aws.documentdb.cluster.audit_logging_enabled,high,Both rules target audit logging to CloudWatch for DocumentDB clusters with identical intent.,ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled(1.00); aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled:aws.documentdb.cluster.audit_logging_enabled(0.75); aws.documentdb.cluster.audit_logging_enabled(0.67); aws.documentdb.cluster.cloudwatch_log_export:aws.documentdb.cluster.audit_logging_enabled(0.62); aws.documentdb.cluster.storage_encrypted:aws.documentdb.cluster.audit_logging_enabled(0.44)
aws.docdb.cluster.deletion_protection_enabled,docdb,cluster,docdb.cluster.configuration,configuration_and_change_management,medium,32,1.0,aws.documentdb.cluster.deletion_protection_enabled,aws.documentdb.cluster.deletion_protection_enabled,no,,,aws.documentdb.cluster.deletion_protection_enabled,high,"Both rules check for deletion protection on DocumentDB clusters, with identical intent and resource scope.",ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.cluster.deletion_protection_enabled(1.00); aws.documentdb.instance.deletion_protection_enabled(0.60); aws.docdb.cluster.iam_authentication_enabled(0.33); aws.documentdb.cluster.audit_logging_enabled(0.33); aws.documentdb.cluster.multi_az_enabled(0.33)
aws.docdb.cluster.encryption_at_rest_cmek_configured,docdb,cluster,docdb.cluster.encryption,data_protection_and_privacy,high,32,1.0,aws.documentdb.cluster.encryption_at_rest_cmek,aws.documentdb.cluster.encryption_at_rest_cmek,no,,,aws.documentdb.cluster.encryption_at_rest_cmek,high,"Both rules check for encryption at rest with customer-managed keys (CMEK) on DocumentDB clusters, with identical intent and resource.",ACCEPT,ACCEPT,near-identical match (j=1.0),aws.documentdb.cluster.encryption_at_rest_cmek(1.00); aws.documentdb.cluster.encryption_at_rest_enabled(0.67); aws.documentdb.cluster.encryption_at_rest_enabled(0.67); aws.documentdb.cluster.encryption_at_rest_enabled:aws.documentdb.cluster.encryption_at_rest_enabled(0.50); aws.documentdb.instance.encryption_at_rest_enabled(0.43)
