yaml_rule_id,scope,domain,best_catalog_match,best_jaccard,verdict,pool_size_same_svc
aws.acm-pca.certificateauthority.revocation_configured,acm-pca.certificateauthority.revocation,secrets_and_key_management,aws.acm.certificate.tls_min_1_2_enforced,0.0,real-gap,17
aws.acm-pca.certificateauthority.enabled_and_active,acm-pca.certificateauthority.status,secrets_and_key_management,"acm.certificates.expiration.check,.s3.bucket.enforces.ssl,.elbv2.ssl.listeners,.opensearch.service.domains.node.to.node.encryption.enabled,.elb.ssl.listeners,.opensearch.service.domains.https.communications.enforced,.cloudfront.distributions.using.deprecated.ssl.protocols,.cloudfront.distributions.origin.traffic.encrypted,.vpc.flow.logs.enabled",0.028,real-gap,17
aws.acm-pca.certificateauthority.cloudwatch_audit_logging,acm-pca.certificateauthority.logging,secrets_and_key_management,"acm.certificates.expiration.check,.s3.bucket.enforces.ssl,.elbv2.ssl.listeners,.opensearch.service.domains.node.to.node.encryption.enabled,.elb.ssl.listeners,.opensearch.service.domains.https.communications.enforced,.cloudfront.distributions.using.deprecated.ssl.protocols,.cloudfront.distributions.origin.traffic.encrypted,.vpc.flow.logs.enabled",0.028,real-gap,17
aws.apigateway.resource.api_resource_attached_enabled,apigateway.resource.configuration,configuration_and_change_management,aws.api_gateway.rest_api.waf_attached,0.4,borderline-look,66
aws.apigatewayv2.stage.api_access_log_fields_identity_configured,apigatewayv2.stage.logging,logging_monitoring_and_alerting,aws.api_gatewayv2.stage.api_access_log_fields_identity_present,0.857,ai-likely-missed,53
aws.apigatewayv2.stage.api_burst_limit_configured,apigatewayv2.stage.configuration,configuration_and_change_management,aws.api_gatewayv2.stage.api_stage_burst_limit_configured,1.0,ai-likely-missed,53
aws.apigatewayv2.stage.api_execution_logging_level_minimum_error_configured,apigatewayv2.stage.logging,logging_monitoring_and_alerting,aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error,1.0,ai-likely-missed,53
aws.apigatewayv2.stage.api_logs_retention_days_minimum,apigatewayv2.stage.logging,logging_monitoring_and_alerting,aws.api_gatewayv2.stage.api_logs_retention_days_minimum,1.0,ai-likely-missed,53
aws.apigatewayv2.stage.api_quota_limit_configured,apigatewayv2.stage.configuration,configuration_and_change_management,aws.api_gatewayv2.stage.api_quota_limit_configured,1.0,ai-likely-missed,53
aws.apigatewayv2.stage.api_usage_plan_required_for_api_keys,apigatewayv2.stage.configuration,configuration_and_change_management,aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys,1.0,ai-likely-missed,53
aws.apigatewayv2.stage.api_throttle_overrides_bounded,apigatewayv2.stage.configuration,configuration_and_change_management,aws.api_gatewayv2.stage.api_stage_throttle_overrides_not_unbounded,0.571,ai-likely-missed,53
aws.apigatewayv2.stage.api_rate_limit_configured,apigatewayv2.stage.configuration,configuration_and_change_management,aws.api_gatewayv2.stage.api_stage_rate_limit_configured,1.0,ai-likely-missed,53
aws.cloudtrail.config_changes_monitoring.config_changes_monitoring_configured,cloudtrail.config_changes_monitoring.logging,logging_monitoring_and_alerting,aws.cloudtrail.config_changes_monitoring:aws.cloudtrail.trail.alert_destinations_configured,0.25,weak-shared-theme,42
aws.cloudtrail.console_auth_failures_monitoring.console_auth_failures_monitoring_configured,cloudtrail.console_auth_failures_monitoring.logging,logging_monitoring_and_alerting,aws.cloudtrail.console_auth_failures_monitoring:aws.cloudtrail.trail.alert_destinations_configured,0.333,borderline-look,42
aws.cloudtrail.nacl_event_selectors_monitoring.nacl_event_selectors_monitoring_configured,cloudtrail.nacl_event_selectors_monitoring.logging,logging_monitoring_and_alerting,aws.cloudtrail.nacl_event_selectors_monitoring:aws.cloudtrail.trail.alert_destinations_configured,0.333,borderline-look,42
aws.cloudtrail.route_table_changes_metric_filter_alarm_monitoring.route_table_changes_monitored,cloudtrail.route_table_changes_metric_filter_alarm_monitoring.logging,logging_monitoring_and_alerting,aws.cloudtrail.route_table_changes_metric_filter_alarm_monitoring:aws.cloudtrail.trail.alert_destinations_configured,0.462,borderline-look,42
aws.cloudwatch.alarm_cpu_utilization_configured.alarm_cloudwatch_alarm_cpu_utilization_configured,cloudwatch.alarm_cpu_utilization_configured.configuration,configuration_and_change_management,aws.cloudwatch.alarm_cpu_utilization_configured:aws.cloudwatch.alarm.alerts_for_rpo_rto_breach_configured,0.4,borderline-look,88
aws.cloudwatch.alarm_memory_utilization_configured.alarm_cloudwatch_alarm_memory_utilization_configured,cloudwatch.alarm_memory_utilization_configured.configuration,configuration_and_change_management,aws.cloudwatch.alarm_memory_utilization_configured:aws.cloudwatch.alarm.alerts_for_rpo_rto_breach_configured,0.4,borderline-look,88
aws.directconnect.connection_redundancy.directconnect_connection_redundancy_configured,directconnect.connection_redundancy.configuration,configuration_and_change_management,aws.directconnect.connection_redundancy:aws.directconnect.connection.ike_phase_encryption_strong,0.25,weak-shared-theme,5
aws.directconnect.virtual_interface_redundancy.directconnect_virtual_interface_redundancy_configured,directconnect.virtual_interface_redundancy.configuration,configuration_and_change_management,aws.directconnect.virtual_interface_redundancy:aws.directconnect.connection.ike_phase_encryption_strong,0.3,borderline-look,5
aws.docdb.cluster.audit_logging_enabled,docdb.cluster.logging,logging_monitoring_and_alerting,aws.documentdb.cluster.audit_logging_enabled,1.0,ai-likely-missed,26
aws.docdb.cluster.deletion_protection_enabled,docdb.cluster.configuration,configuration_and_change_management,aws.documentdb.cluster.deletion_protection_enabled,1.0,ai-likely-missed,26
aws.docdb.cluster.docdb_multi_az_enabled,docdb.cluster.configuration,configuration_and_change_management,aws.documentdb.cluster.multi_az_enabled:aws.documentdb.cluster.audit_logging_enabled,0.444,borderline-look,26
