rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,python_client,check_client,implementable
aws.accessanalyzer.resource.access_analyzer_enabled,accessanalyzer,resource,configuration_and_change_management,medium,accessanalyzer.resource.configuration,security.configuration.accessanalyzer_resource_status_equals,boto3.accessanalyzer,boto3.accessanalyzer,SCAN_ABLE
aws.account.resource.security_contact_complete,account,resource,configuration_and_change_management,medium,account.resource.configuration,security.configuration.account_resource_security_contact_complete,boto3.account,boto3.account,SCAN_ABLE
aws.acm.certificate.valid,acm,certificate,configuration_and_change_management,medium,acm.certificate.configuration,security.configuration.acm_certificate_valid,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.privateca.ca_certificate_valid,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_valid,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm-pca.certificateauthority.cloudwatch_audit_logging,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.logging,key_management.acm_pca_certificateauthority_cloudwatch_audit_logging,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE
aws.acm-pca.certificateauthority.enabled_and_active,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.status,key_management.acm_pca_certificateauthority_enabled_and_active,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE
aws.acm-pca.certificateauthority.revocation_configured,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.revocation,key_management.acm_pca_certificateauthority_revocation_configured,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE
aws.apigateway.apikey.key_expiration_required,apigateway,apikey,configuration_and_change_management,medium,apigateway.apikey.configuration,security.configuration.apigateway_apikey_key_expiration_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.authorizer.api_token_audience_restricted,apigateway,authorizer,configuration_and_change_management,medium,apigateway.authorizer.configuration,security.configuration.apigateway_authorizer_api_token_audience_restricted,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.authorizer.cache_ttl_configured,apigateway,authorizer,configuration_and_change_management,medium,apigateway.authorizer.configuration,security.configuration.apigateway_authorizer_cache_ttl_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.authorizer.tls_min_1_2_enforced,apigateway,authorizer,data_protection_and_privacy,high,apigateway.authorizer.encryption,data_protection.encryption_transit.apigateway_authorizer_tls_min_1_2_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE
aws.apigateway.requestvalidator.api_parameters_validation_enabled,apigateway,requestvalidator,configuration_and_change_management,medium,apigateway.requestvalidator.configuration,security.configuration.apigateway_requestvalidator_api_parameters_validation_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE
