catalog_rule_id,service,category,provider_service,catalog_compliance_ids,has_compliance_ids,ciem_rule_id,confidence,reasoning,ciem_title,ciem_threat_category,ciem_service,ciem_compliance_ids,candidate_count,error
"s3.bucket.cross.region.replication,.ec2.ebs.public.snapshot,.rds.instance.no.public.access,.eks.endpoints.not.publicly.accessible,.vpc.endpoint.for.ec2.enabled,.s3.account.level.public.access.blocks,.awslambda.function.not.publicly.accessible,.emr.cluster.master.nodes.no.public.ip,.ec2.instance.public.ip,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured,.ssm.managed.compliant.patching,.rds.cluster.default.admin,.rds.instance.default.admin",bucket,security,"boto3.client(""bucket"")",pci_dss_v4_multi_cloud_2.2.1_0020;pci_dss_v4_multi_cloud_2.2.3_0022;pci_dss_v4_multi_cloud_2.2.6_0025;pci_dss_v4_multi_cloud_2.2.7_0026,yes,aws.datasec.correlation.cloudtrail.public_access_block_removed,high,"This CIEM rule detects when S3 public access blocks are disabled or removed, which directly addresses the catalog requirement for S3 account-level public access blocks.",Data Security: Public Access Block Removed,data_exfiltration,datasec,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_270,20,
"s3.bucket.lifecycle.enabled,.ec2.ebs.volume.protected.by.backup.plan,.rds.instance.backup.enabled,.rds.instance.protected.by.backup.plan,.dynamodb.table.protected.by.backup.plan,.redshift.cluster.automated.snapshot,.elasticache.redis.cluster.backup.enabled,.dynamodb.tables.pitr.enabled,.s3.bucket.object.versioning,.s3.bucket.cross.region.replication",bucket,security,"boto3.client(""bucket"")",pci_dss_v4_multi_cloud_3.1.1_0032;pci_dss_v4_multi_cloud_3.1.2_0033,yes,aws.storage.cloudtrail.s3_put_bucket_versioning_suspend,high,"This CIEM rule detects when S3 bucket versioning is suspended, which directly addresses the catalog requirement for S3 bucket object versioning to be enabled.",Storage: S3 Put Bucket Versioning Suspend,data_destruction,storage,cis_aws_v3_2.1;cis_aws_v3_2.6;cis_aws_v3_3.1;cis_azure_v2_3.1;cis_azure_v2_7.5;nist_800_53_r5_CP-9;nist_800_53_r5_CP-10;nist_800_53_r5_SI-12;pci_dss_v4_3.2;pci_dss_v4_3.3;pci_dss_v4_12.3;iso_27001_202,20,
s3.bucket.server.access.logging.enabled,bucket,security,"boto3.client(""bucket"")",hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164_308_a_3_ii_a_0005;hipaa_multi_cloud_164_308_a_6_ii_0016;hipaa_multi_cloud_164_312_b_0026;hipaa_multi_cloud_164_312_e_2_i_0031,yes,aws.threat.correlation.cloudtrail.disable_s3_logging,high,"This CIEM rule directly detects the disabling of S3 server access logging, which is the exact violation of the catalog requirement that S3 bucket server access logging must be enabled.",Threat: Disable S3 Logging,defense_evasion,threat,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_,20,
redshift.cluster.public.access,cluster,security,"boto3.client(""cluster"")",hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004;hipaa_multi_cloud_164_312_a_1_0022,yes,aws.storage.cloudtrail.redshift_modify_cluster_public,high,"This CIEM rule specifically detects Redshift cluster public access modification events, which directly addresses the same security control as the catalog rule requiring Redshift clusters not to have public access.",Storage: Redshift Modify Cluster Public,initial_access,storage,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,20,
kms.cmk.rotation.enabled,cmk,security,"boto3.client(""cmk"")",gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_312_a_2_iv_0025,yes,aws.secsvc.cloudtrail.kms_disable_key_rotation,high,"This CIEM rule directly detects the event when KMS key rotation is disabled, which corresponds to the catalog requirement for CMK rotation to be enabled.",Security Services: KMS Disable Key Rotation,defense_evasion,secsvc,cis_aws_v3_3.1;cis_aws_v3_3.2;cis_aws_v3_3.3;cis_aws_v3_3.4;cis_azure_v2_5.1;cis_azure_v2_5.2;cis_azure_v2_5.3;nist_800_53_r5_AU-2;nist_800_53_r5_AU-6;nist_800_53_r5_AU-12;nist_800_53_r5_SI-4;pci_dss_,20,
aws.control_tower.enrollment.block_leave_org_by_policy,control_tower,governance,"boto3.client(""control_tower"")",,no,aws.iam.cloudtrail.org_leave_organization,high,"This CIEM rule directly detects the event of leaving an AWS organization, which is the exact action the catalog rule aims to block via policy.",IAM: Org Leave Organization,initial_access,iam,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,6,
aws.control_tower.landing_zone.block_leave_org_by_policy,control_tower,governance,"boto3.client(""control_tower"")",,no,aws.iam.cloudtrail.org_leave_organization,high,"This CIEM rule directly detects the event of leaving an AWS organization, which is the exact action the catalog rule aims to prevent through policy enforcement.",IAM: Org Leave Organization,initial_access,iam,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,6,
aws.cost_explorer.cost_category.billing_admins_mfa_required,cost_explorer,cost,"boto3.client(""cost_explorer"")",,no,aws.threat.correlation.cloudtrail.console_login_no_mfa,high,"This CIEM rule detects console logins without MFA, which directly addresses the requirement for billing admins to use MFA by identifying when they violate it.",Threat: Console Login No MFA,initial_access,threat,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,20,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.awslambda.function.not.publicly.accessible,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.3.1_0009,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects when EBS snapshot attributes are modified to make them publicly accessible, directly addressing the catalog requirement for EBS snapshots not to have public access.",Storage: EBS Modify Snapshot Attribute Public,data_exfiltration,storage,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_270,5,
"ec2.ebs.public.snapshot,.rds.instance.no.public.access,.ec2.securitygroup.default.restrict.traffic,.ec2.securitygroup.allow.ingress.from.internet.to.all.ports,.ec2.networkacl.allow.ingress.tcp.port.22,.awslambda.function.not.publicly.accessible,.rds.snapshots.public.access,.opensearch.service.domains.not.publicly.accessible,.redshift.cluster.public.access,.s3.bucket.policy.public.write.access,.awslambda.function.inside.vpc,.ec2.securitygroup.allow.ingress.from.internet.to.tcp.port.22,.s3.bucket.public.write.acl,.dms.instance.no.public.access,.sagemaker.notebook.instance.without.direct.internet.access.configured,.ec2.networkacl.allow.ingress.tcp.port.3389",ebs,security,"boto3.client(""ebs"")",pci_dss_v4_multi_cloud_1.2.1_0003;pci_dss_v4_multi_cloud_1.2.5_0005;pci_dss_v4_multi_cloud_1.2.6_0006;pci_dss_v4_multi_cloud_1.2.7_0007;pci_dss_v4_multi_cloud_1.2.8_0008,yes,aws.storage.cloudtrail.ebs_modify_snapshot_attribute_public,high,"This CIEM rule detects when EBS snapshot attributes are modified to make snapshots public, directly covering the catalog requirement for EBS public snapshots.",Storage: EBS Modify Snapshot Attribute Public,data_exfiltration,storage,cis_aws_v3_2.7;cis_aws_v3_3.7;cis_azure_v2_3.1;cis_azure_v2_5.2;nist_800_53_r5_SC-7;nist_800_53_r5_SC-28;nist_800_53_r5_AC-4;pci_dss_v4_3.2;pci_dss_v4_4.1;pci_dss_v4_10.2;iso_27001_2022_A.8.12;iso_270,5,
