yaml_rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,candidate_rank,similarity,candidate_strength,csv_rule_id,csv_uniform_rule_format,csv_service,csv_category,csv_provider_service,aws_mapped_compliance_functions,aws_mapped_compliance_ids,review_decision
aws.accessanalyzer.resource.access_analyzer_enabled_without_findings,accessanalyzer,resource,configuration_and_change_management,medium,accessanalyzer.resource.configuration,security.configuration.accessanalyzer_resource_access_analyzer_enabled_without_findings,1,0.6,weak,aws.accessanalyzer.enabled_without_findings,aws.accessanalyzer.enabled_without_findings,accessanalyzer,,"boto3.client(""accessanalyzer"")",aws.accessanalyzer.enabled_without_findings,iso27001_2022_multi_cloud_A.8.3_0085,
aws.account.contact.current_details_configured,account,contact,configuration_and_change_management,medium,account.contact.configuration,security.configuration.account_contact_current_details_configured,1,0.75,weak,aws.account.maintain_current_contact_details,aws.account.maintain_current_contact_details,account,,"boto3.client(""account"")",aws.account.maintain_current_contact_details,iso27001_2022_multi_cloud_A.5.5_0037,
aws.account.contact.details_separate_security_billing_operations_configured,account,contact,configuration_and_change_management,medium,account.contact.configuration,security.configuration.account_contact_details_separate_security_billing_operations_configured,1,0.5,weak,aws.account.maintain_different_contact_details_to_security_billing_and_operations,aws.account.maintain_different_contact_details_to_security_billing_and_operations,account,,"boto3.client(""account"")",aws.account.maintain_different_contact_details_to_security_billing_and_operations,iso27001_2022_multi_cloud_A.5.6_0038,
aws.account.resource.security_contact_configured,account,resource,configuration_and_change_management,medium,account.resource.configuration,security.configuration.account_resource_security_contact_configured,1,0.5,weak,aws.account.security_contact_info_check,aws.account.security_contact_info_check,account,,"boto3.client(""account"")",aws.account.security_contact_info_check,cis_aws_aws_2.2_0002,
aws.account.security.contact_information_configured,account,security,configuration_and_change_management,medium,account.security.configuration,security.configuration.account_security_contact_information_configured,1,0.6,weak,aws.account.security_contact_information_is_registered,aws.account.security_contact_information_is_registered,account,,"boto3.client(""account"")",aws.account.security_contact_information_is_registered,iso27001_2022_multi_cloud_A.5.5_0037,
aws.acm.certificate.expiration_monitored,acm,certificate,logging_monitoring_and_alerting,medium,acm.certificate.logging,logging_monitoring.monitoring.acm_certificate_expiration_monitored,1,0.5,weak,aws.acm.certificates.expiration.check,aws.acm.certificates.expiration.check,acm,security,"boto3.client(""acm"")",aws.acm.certificates.expiration.check,nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005;nist_800_171_r2_multi_cloud_3_13_2_3.13.2_Employ_architectural_designs_softw_0008;nist_800_171_r2_multi_cloud_3_13_8_3.13.8_Implement_cryptographic_mechanisms_0013,
aws.acm.certificate.expiration_monitored,acm,certificate,logging_monitoring_and_alerting,medium,acm.certificate.logging,logging_monitoring.monitoring.acm_certificate_expiration_monitored,2,0.5,weak,acm.certificates.expiration.check,acm.certificates.expiration.check,certificates,security,"boto3.client(""certificates"")",acm.certificates.expiration.check,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_e_1_0030;pci_dss_v4_multi_cloud_3.6.1.1_0045,
aws.acm.certificate.mtls_required_for_internal_services_if_supported,acm,certificate,data_protection_and_privacy,high,acm.certificate.encryption,data_protection.encryption_transit.acm_certificate_mtls_required_for_internal_services_if_supported,1,0.778,weak,aws.acm.certificate.mtls_required_for_internal_services_where_supported,aws.acm.certificate.mtls_required_for_internal_services_where_supported,acm,network,"boto3.client(""acm"")",,,
aws.acm.certificate.trusted_issuer_verified,acm,certificate,configuration_and_change_management,medium,acm.certificate.configuration,security.configuration.acm_certificate_trusted_issuer_verified,1,0.75,weak,aws.acm.certificate.trusted_issuer,aws.acm.certificate.trusted_issuer,acm,secrets,"boto3.client(""acm"")",,,
aws.acm.certificates.certificate_expiration_monitored,acm,certificates,logging_monitoring_and_alerting,medium,acm.certificates.logging,logging_monitoring.monitoring.acm_certificates_certificate_expiration_monitored,1,0.5,weak,aws.acm.certificates.expiration.check,aws.acm.certificates.expiration.check,acm,security,"boto3.client(""acm"")",aws.acm.certificates.expiration.check,nist_800_171_r2_multi_cloud_3_13_1_3.13.1_Monitor_control_and_protect_commu_0004;nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005;nist_800_171_r2_multi_cloud_3_13_2_3.13.2_Employ_architectural_designs_softw_0008;nist_800_171_r2_multi_cloud_3_13_8_3.13.8_Implement_cryptographic_mechanisms_0013,
