rule_id,yaml_service,yaml_resource_kind,csv_service,csv_category,csv_provider_service,domain,severity,scope,assertion_id,python_client,check_client,implementable,mapping_tier,match_count,has_compliance_mapping,aws_mapped_compliance_id_count,aws_mapped_compliance_functions,aws_mapped_compliance_ids
aws.acm.certificate.key_length_minimum,acm,certificate,acm,secrets,"boto3.client(""acm"")",configuration_and_change_management,medium,acm.certificate.configuration,security.configuration.acm_certificate_key_length_minimum,boto3.acm,boto3.acm,SCAN_ABLE,exact,2,no,0,,
aws.acm.certificate.tls_min_1_2_enforced,acm,certificate,acm,network,"boto3.client(""acm"")",data_protection_and_privacy,high,acm.certificate.encryption,data_protection.encryption_transit.acm_certificate_tls_min_1_2_enforced,boto3.acm,boto3.acm,SCAN_ABLE,exact,2,no,0,,
aws.batch.compute_environment.instance_profile_least_privilege,batch,compute_environment,batch,compute,"boto3.client(""batch"")",identity_and_access_management,high,batch.compute_environment.access_control,identity_access.least_privilege.batch_compute_environment_instance_profile_least_privilege,boto3.batch,boto3.iam,MULTI_OP,exact,2,no,0,,
aws.batch.compute_environment.volumes_encrypted,batch,compute_environment,batch,compute,"boto3.client(""batch"")",data_protection_and_privacy,high,batch.compute_environment.encryption,data_protection.encryption_rest.batch_compute_environment_volumes_encrypted,boto3.batch,boto3.batch,SCAN_ABLE,exact,2,no,0,,
aws.bedrock.model.execution_role_least_privilege,bedrock,model,bedrock,ai_services,"boto3.client(""bedrock"")",identity_and_access_management,high,bedrock.model.access_control,identity_access.least_privilege.bedrock_model_execution_role_least_privilege,boto3.bedrock,boto3.iam,SCAN_ABLE,exact,2,no,0,,
aws.bedrock.model.kms_encryption_enabled,bedrock,model,bedrock,ai_services,"boto3.client(""bedrock"")",data_protection_and_privacy,high,bedrock.model.encryption,data_protection.encryption_rest.bedrock_model_kms_encryption_enabled,boto3.bedrock,boto3.bedrock,SCAN_ABLE,exact,2,no,0,,
aws.budgets.budget.alert_destinations_configured,budgets,budget,budgets,cost,"boto3.client(""budgets"")",configuration_and_change_management,medium,budgets.budget.configuration,security.configuration.budgets_budget_alert_destinations_configured,boto3.budgets,boto3.budgets,SCAN_ABLE,exact,2,no,0,,
aws.budgets.budget.alert_thresholds_configured,budgets,budget,budgets,cost,"boto3.client(""budgets"")",configuration_and_change_management,medium,budgets.budget.configuration,security.configuration.budgets_budget_alert_thresholds_configured,boto3.budgets,boto3.budgets,SCAN_ABLE,exact,2,no,0,,
aws.budgets.budget.modify_permissions_restricted,budgets,budget,budgets,cost,"boto3.client(""budgets"")",identity_and_access_management,high,budgets.budget.access_control,identity_access.least_privilege.budgets_budget_modify_permissions_restricted,boto3.budgets,boto3.budgets,SCAN_ABLE,exact,2,no,0,,
aws.cloudformation.stack.change_audit_logging_enabled,cloudformation,stack,cloudformation,resilience,"boto3.client(""cloudformation"")",resilience_and_disaster_recovery,low,cloudformation.stack.backup_recovery,resilience_recovery.disaster_recovery.rto_rpo_defined,boto3.cloudformation,boto3.cloudformation,SCAN_ABLE,exact,2,no,0,,
