catalog_rule_id,service,catalog_compliance_ids,best_yaml_jaccard,yaml_config_rules,yaml_top1,yaml_top1_catalog_map,yaml_top1_conf,ciem_rules,ciem_titles,verdict
organizations.account.part.of.organizations,account,pci_dss_v4_multi_cloud_7.2.5.1_0095,1.0,aws.organizations.account.organizations_part_of_organizations_configured,aws.organizations.account.organizations_part_of_organizations_configured,aws.organizations.account.part_of_organizations:aws.organizations.account.api_access_keys_root_or_owner_disallowed,high,,,mapped
s3.account.level.public.access.blocks,account,hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_3_i_0004,1.0,aws.s3.account.level_public_access_blocks_configured;aws.ec2.account.block_public_access_configured;aws.s3.bucket.block_public_access_configured;aws.emr.cluster.account_public_block_enabled;aws.glue.table.s3_block_public_access_configured,aws.s3.account.level_public_access_blocks_configured,aws.s3.account.level_public_access_blocks:aws.s3.bucket.block_public_access_enabled,high,,,mapped
apigatewayv2.api.access.logging.enabled,api,pci_dss_v4_multi_cloud_10.2.1.1_0144,1.0,aws.apigatewayv2.api.access_logging_enabled;aws.apigatewayv2.resource.api_access_logging_enabled;aws.apigateway.stage.api_access_logging_enabled;aws.apigatewayv2.stage.api_access_logging_enabled;aws.cloudwatch.metric.api_access_logging_enabled,aws.apigatewayv2.api.access_logging_enabled,aws.apigatewayv2.api_access_logging_enabled,high,aws.alb.alb_log.api_key_path_access;aws.s3.access_log.access_denied,ALB: API Key Path Access;S3: Access Denied,mapped
s3.bucket.secure.transport.policy,bucket,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_312_a_2_iv_0025;hipaa_multi_cloud_164_312_c_1_0027;hipaa_multi_cloud_164_312_c_2_0,1.0,aws.s3.bucket.secure_transport_policy_configured;aws.cloudwatch.bucket.policy_changes_configured;aws.s3.bucket.lifecycle_policy_configured,aws.s3.bucket.secure_transport_policy_configured,aws.s3.bucket.secure_transport_policy:aws.s3.bucket.access_logging_enabled,high,,,mapped
acm.certificates.expiration.check,certificates,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_312_e_1_0030;pci_dss_v4_multi_cloud_3.6.1.1_0045,0.5,aws.acm.certificate.expiration_monitored;aws.acm.certificates.certificate_expiration_monitored;aws.kms.key.certificate_expiration_configured;aws.glacier.vault.certificate_expiration_rules_configured;aws.iam.certificate.expiration_removal_monitored,aws.acm.certificate.expiration_monitored,aws.acm.certificate.expiration:aws.acm.certificate.key_length_minimum,high,,,mapped
cloudwatch.changes.to.vpcs.alarm.configured,changes,hipaa_multi_cloud_164_308_a_6_i_0015,1.0,aws.cloudwatch.changes.to_vpcs_alarm_configured;aws.cloudwatch.changes_to_vpcs_alarm_configured.changes_to_vpcs_alarm_configured_configured;aws.cloudwatch.changes.to_network_acls_alarm_configured;aws.cloudwatch.changes.to_network_gateways_alarm_configured;aws.cloudwatch.changes.to_network_route_tables_alarm_configured,aws.cloudwatch.changes.to_vpcs_alarm_configured,aws.cloudwatch.changes_to_vpcs_alarm_configured:aws.cloudwatch.metric.flow_logs_enabled,high,,,mapped
cloudtrail.cloudwatch.logging.enabled,cloudwatch,gdpr_multi_cloud_Article_25_Data_protection_by_design_and_by_defaul_0001;gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;hipaa_multi_cloud_164_308_a_1_ii_d_0003;hipaa_multi_cloud_164,1.0,aws.cloudtrail.cloudwatch.logging_enabled;aws.cloudtrail.resource.cloudwatch_logging_enabled;aws.cloudwatch.resource.log_cloudwatch_log_analysis_enabled;aws.elasticbeanstalk.resource.environment_cloudwatch_logging_enabled;aws.elb.resource.logging_enabled,aws.cloudtrail.cloudwatch.logging_enabled,aws.cloudtrail.cloudwatch_logging_enabled:aws.cloudtrail.trail.flow_logs_enabled,high,,,mapped
emr.cluster.master.nodes.no.public.ip,cluster,hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_312_a_1_0022,1.0,aws.emr.cluster.master_nodes_no_public_ip_configured;aws.eks.nodegroup.nodes_no_public_ip_configured;aws.ec2.instance.no_public_ip_configured,aws.emr.cluster.master_nodes_no_public_ip_configured,aws.emr.cluster.master_nodes_no_public_ip,high,,,mapped
redshift.cluster.audit.logging,cluster,gdpr_multi_cloud_Article_30_Records_of_processing_activities_0002;gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_1_ii_b_0002;hipaa_multi_cloud_164_308_a_1_ii_d_000,1.0,aws.redshift.cluster.audit_logging_configured;aws.docdb.cluster.audit_logging_enabled;aws.eks.cluster.audit_logging_enabled;aws.elasticache.cluster.audit_logging_enabled;aws.neptune.cluster.audit_logging_enabled,aws.redshift.cluster.audit_logging_configured,aws.redshift.cluster.audit_logging:aws.redshift.cluster.audit_logging_enabled,high,aws.eks.audit_log.audit.clusterrole_create;aws.eks.audit_log.audit.clusterrolebinding_create;aws.eks.audit_log.audit.configmap_modify;aws.eks.audit_log.audit.crd_create;aws.eks.audit_log.audit.daemonset_create,EKS: Clusterrole Create;EKS: Clusterrolebinding Create;EKS: Configmap Modify;EKS: Crd Create;EKS: Daemonset Create,mapped
redshift.cluster.automated.snapshot,cluster,gdpr_multi_cloud_Article_32_Security_of_processing_0003;hipaa_multi_cloud_164_308_a_4_ii_a_0009;hipaa_multi_cloud_164_308_a_7_i_0017;hipaa_multi_cloud_164_308_a_7_ii_a_0018;hipaa_multi_cloud_164_308_a,1.0,aws.redshift.cluster.automated_snapshot_configured;aws.neptune.cluster.snapshot_encrypted,aws.redshift.cluster.automated_snapshot_configured,aws.redshift.cluster.automated_snapshot:aws.redshift.cluster.deletion_protection_enabled,high,,,mapped
