cloud_provider,rule_id,uniform_rule_format,service,category,provider_service,aws_mapped_compliance_functions,aws_mapped_compliance_ids,__service_guess,__is_composite,__has_compliance_ids
aws,aws.api_gatewayv2.stage.api_access_logging_enabled,aws.api_gatewayv2.stage.api_access_logging_enabled,api_gatewayv2,api_security,"boto3.client(""api_gatewayv2"")",,,api_gatewayv2,no,no
aws,aws.api_gateway.stage.api_execution_logging_level_minimum_error,aws.api_gateway.stage.api_execution_logging_level_minimum_error,api_gateway,api_security,"boto3.client(""api_gateway"")",,,api_gateway,no,no
aws,aws.api_gateway.stage.api_logs_retention_days_minimum,aws.api_gateway.stage.api_logs_retention_days_minimum,api_gateway,api_security,"boto3.client(""api_gateway"")",,,api_gateway,no,no
aws,aws.api_gateway.request_validator.api_response_schema_validation_enabled,aws.api_gateway.request_validator.api_response_schema_validation_enabled,api_gateway,api_security,"boto3.client(""api_gateway"")",,,api_gateway,no,no
aws,aws.api_gateway.request_validator.api_content_type_whitelist_enforced,aws.api_gateway.request_validator.api_content_type_whitelist_enforced,api_gateway,api_security,"boto3.client(""api_gateway"")",,,api_gateway,no,no
aws,aws.api_gateway.request_validator.api_request_body_size_limit_configured,aws.api_gateway.request_validator.api_request_body_size_limit_configured,api_gateway,api_security,"boto3.client(""api_gateway"")",,,api_gateway,no,no
aws,aws.api_gateway.request_validator.api_required_security_headers_enforced,aws.api_gateway.request_validator.api_required_security_headers_enforced,api_gateway,api_security,"boto3.client(""api_gateway"")",,,api_gateway,no,no
aws,aws.systems_manager.baseline.conformance_pack_deployed,aws.systems_manager.baseline.conformance_pack_deployed,systems_manager,configuration_management,"boto3.client(""systems_manager"")",,,systems_manager,no,no
aws,aws.systems_manager.baseline.parameters_set,aws.systems_manager.baseline.parameters_set,systems_manager,configuration_management,"boto3.client(""systems_manager"")",,,systems_manager,no,no
aws,aws.k8s.api.pod_security_admission_restricted_default,aws.k8s.api.pod_security_admission_restricted_default,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.image_registry_allowlist_enforced,aws.k8s.api.image_registry_allowlist_enforced,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.image_signature_verification_enabled,aws.k8s.api.image_signature_verification_enabled,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.privilege_escalation_denied,aws.k8s.api.privilege_escalation_denied,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.host_namespace_usage_denied,aws.k8s.api.host_namespace_usage_denied,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.default_deny_ingress_per_namespace,aws.k8s.api.default_deny_ingress_per_namespace,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.default_deny_egress_per_namespace,aws.k8s.api.default_deny_egress_per_namespace,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.required_allowlist_for_namespace_services,aws.k8s.api.required_allowlist_for_namespace_services,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.eks.node_group.nodes_no_public_ip,aws.eks.node_group.nodes_no_public_ip,eks,containers_kubernetes,"boto3.client(""eks"")",,,eks,no,no
aws,aws.eks.node_group.disk_encryption_enabled,aws.eks.node_group.disk_encryption_enabled,eks,containers_kubernetes,"boto3.client(""eks"")",,,eks,no,no
aws,aws.eks.node_group.shielded_secure_boot_enabled,aws.eks.node_group.shielded_secure_boot_enabled,eks,containers_kubernetes,"boto3.client(""eks"")",,,eks,no,no
aws,aws.eks.node_group.workload_identity_enabled,aws.eks.node_group.workload_identity_enabled,eks,containers_kubernetes,"boto3.client(""eks"")",,,eks,no,no
aws,aws.k8s.api.default_service_account_automount_disabled,aws.k8s.api.default_service_account_automount_disabled,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.pod_security_level_restricted,aws.k8s.api.pod_security_level_restricted,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.network_policies_present,aws.k8s.api.network_policies_present,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.run_as_non_root,aws.k8s.api.run_as_non_root,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.read_only_root_filesystem,aws.k8s.api.read_only_root_filesystem,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.no_privileged_containers,aws.k8s.api.no_privileged_containers,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.drop_net_raw_and_reduce_caps,aws.k8s.api.drop_net_raw_and_reduce_caps,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.seccomp_profile_runtime_default,aws.k8s.api.seccomp_profile_runtime_default,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.no_hostpath_mounts,aws.k8s.api.no_hostpath_mounts,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.host_network_pid_ipc_disabled,aws.k8s.api.host_network_pid_ipc_disabled,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.image_tag_not_latest,aws.k8s.api.image_tag_not_latest,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.env_no_plaintext_secrets,aws.k8s.api.env_no_plaintext_secrets,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.type_loadbalancer_internal_only_where_required,aws.k8s.api.type_loadbalancer_internal_only_where_required,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.nodeport_usage_restricted,aws.k8s.api.nodeport_usage_restricted,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.external_ips_not_used,aws.k8s.api.external_ips_not_used,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.kube_system_services_not_public,aws.k8s.api.kube_system_services_not_public,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.k8s.api.dns_and_metrics_from_approved_sources,aws.k8s.api.dns_and_metrics_from_approved_sources,k8s,containers_kubernetes,"boto3.client(""k8s"")",,,k8s,no,no
aws,aws.cost_explorer.cost_category.billing_console_rbac_least_privilege,aws.cost_explorer.cost_category.billing_console_rbac_least_privilege,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.cost_category.billing_admins_mfa_required,aws.cost_explorer.cost_category.billing_admins_mfa_required,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.cost_category.cost_data_exports_private_and_encrypted,aws.cost_explorer.cost_category.cost_data_exports_private_and_encrypted,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.cost_category.cost_export_destinations_least_privilege,aws.cost_explorer.cost_category.cost_export_destinations_least_privilege,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.cost_allocation_tag.required_cost_tags_present,aws.cost_explorer.cost_allocation_tag.required_cost_tags_present,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.cost_allocation_tag.cost_tag_policy_enforced,aws.cost_explorer.cost_allocation_tag.cost_tag_policy_enforced,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.cost_allocation_tag.untagged_resource_alerts_enabled,aws.cost_explorer.cost_allocation_tag.untagged_resource_alerts_enabled,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.anomaly_detector.detectors_enabled,aws.cost_explorer.anomaly_detector.detectors_enabled,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.anomaly_detector.severity_thresholds_configured,aws.cost_explorer.anomaly_detector.severity_thresholds_configured,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.cost_explorer.anomaly_detector.alert_destinations_configured,aws.cost_explorer.anomaly_detector.alert_destinations_configured,cost_explorer,cost,"boto3.client(""cost_explorer"")",,,cost_explorer,no,no
aws,aws.savings_plans.savings_plan.purchase_permissions_restricted,aws.savings_plans.savings_plan.purchase_permissions_restricted,savings_plans,cost,"boto3.client(""savings_plans"")",,,savings_plans,no,no
aws,aws.savings_plans.savings_plan.approval_workflow_required,aws.savings_plans.savings_plan.approval_workflow_required,savings_plans,cost,"boto3.client(""savings_plans"")",,,savings_plans,no,no
aws,aws.savings_plans.savings_plan.billing_admins_mfa_required,aws.savings_plans.savings_plan.billing_admins_mfa_required,savings_plans,cost,"boto3.client(""savings_plans"")",,,savings_plans,no,no
aws,aws.glue.dev_endpoint.encrypted,aws.glue.dev_endpoint.encrypted,glue,data_catalog,"boto3.client(""glue"")",,,glue,no,no
aws,aws.lake_formation.data_lake_settings.rbac_least_privilege,aws.lake_formation.data_lake_settings.rbac_least_privilege,lake_formation,data_governance,"boto3.client(""lake_formation"")",,,lake_formation,no,no
aws,aws.lake_formation.data_lake_settings.mfa_required,aws.lake_formation.data_lake_settings.mfa_required,lake_formation,data_governance,"boto3.client(""lake_formation"")",,,lake_formation,no,no
aws,aws.lake_formation.data_lake_settings.change_audit_logging_enabled,aws.lake_formation.data_lake_settings.change_audit_logging_enabled,lake_formation,data_governance,"boto3.client(""lake_formation"")",,,lake_formation,no,no
aws,aws.sagemaker.model_package.encrypted,aws.sagemaker.model_package.encrypted,sagemaker,data_governance_ai,"boto3.client(""sagemaker"")",,,sagemaker,no,no
aws,aws.sagemaker.notebook_instance.encrypted,aws.sagemaker.notebook_instance.encrypted,sagemaker,data_governance_ai,"boto3.client(""sagemaker"")",,,sagemaker,no,no
aws,aws.stepfunctions.state_machine.network_private_only,aws.stepfunctions.state_machine.network_private_only,stepfunctions,data_pipeline,"boto3.client(""stepfunctions"")",,,stepfunctions,no,no
aws,aws.stepfunctions.state_machine.logging_enabled,aws.stepfunctions.state_machine.logging_enabled,stepfunctions,data_pipeline,"boto3.client(""stepfunctions"")",,,stepfunctions,no,no
aws,aws.efs.file_system.encryption_at_rest_enabled,aws.efs.file_system.encryption_at_rest_enabled,efs,data_protection_storage,"boto3.client(""efs"")",aws.efs.encryption.at.rest.enabled,nist_800_171_r2_multi_cloud_3_13_11_3.13.11_Employ_FIPS-validated_cryptograph_0005;nist_800_171_r2_multi_cloud_3_13_16_3.13.16_Protect_the_confidentiality_of_CU_0007,efs,no,yes
aws,aws.glue.data_quality_ruleset.access_rbac_least_privilege,aws.glue.data_quality_ruleset.access_rbac_least_privilege,glue,data_quality,"boto3.client(""glue"")",,,glue,no,no
aws,aws.redshift.snapshot.encrypted,aws.redshift.snapshot.encrypted,redshift,db,"boto3.client(""redshift"")",,,redshift,no,no
aws,aws.backup.backup_vault.encrypted_at_rest_cmek,aws.backup.backup_vault.encrypted_at_rest_cmek,backup,dr,"boto3.client(""backup"")",,,backup,no,no
aws,aws.s3.bucket.encrypted_at_rest_cmek,aws.s3.bucket.encrypted_at_rest_cmek,s3,dr,"boto3.client(""s3"")",,,s3,no,no
aws,aws.systems_manager.automation.execution_roles_least_privilege,aws.systems_manager.automation.execution_roles_least_privilege,systems_manager,dr,"boto3.client(""systems_manager"")",,,systems_manager,no,no
aws,aws.systems_manager.automation.artifacts_encrypted_and_private,aws.systems_manager.automation.artifacts_encrypted_and_private,systems_manager,dr,"boto3.client(""systems_manager"")",,,systems_manager,no,no
aws,aws.systems_manager.automation.change_audit_logging_enabled,aws.systems_manager.automation.change_audit_logging_enabled,systems_manager,dr,"boto3.client(""systems_manager"")",,,systems_manager,no,no
aws,aws.systems_manager.document.storage_encrypted_and_private,aws.systems_manager.document.storage_encrypted_and_private,systems_manager,dr,"boto3.client(""systems_manager"")",,,systems_manager,no,no
aws,aws.systems_manager.document.change_audit_logging_enabled,aws.systems_manager.document.change_audit_logging_enabled,systems_manager,dr,"boto3.client(""systems_manager"")",,,systems_manager,no,no
aws,aws.systems_manager.document.access_rbac_least_privilege,aws.systems_manager.document.access_rbac_least_privilege,systems_manager,dr,"boto3.client(""systems_manager"")",,,systems_manager,no,no
aws,aws.control_tower.enrollment.scps_enabled,aws.control_tower.enrollment.scps_enabled,control_tower,governance,"boto3.client(""control_tower"")",,,control_tower,no,no
aws,aws.control_tower.landing_zone.scps_enabled,aws.control_tower.landing_zone.scps_enabled,control_tower,governance,"boto3.client(""control_tower"")",,,control_tower,no,no
aws,aws.control_tower.enrollment.all_accounts_enrolled_in_org,aws.control_tower.enrollment.all_accounts_enrolled_in_org,control_tower,governance,"boto3.client(""control_tower"")",,,control_tower,no,no
aws,aws.control_tower.landing_zone.all_accounts_enrolled_in_org,aws.control_tower.landing_zone.all_accounts_enrolled_in_org,control_tower,governance,"boto3.client(""control_tower"")",,,control_tower,no,no
aws,aws.control_tower.enrollment.block_leave_org_by_policy,aws.control_tower.enrollment.block_leave_org_by_policy,control_tower,governance,"boto3.client(""control_tower"")",,,control_tower,no,no
aws,aws.control_tower.landing_zone.block_leave_org_by_policy,aws.control_tower.landing_zone.block_leave_org_by_policy,control_tower,governance,"boto3.client(""control_tower"")",,,control_tower,no,no
aws,aws.control_tower.enrollment.restrict_region_usage_by_policy_where_required,aws.control_tower.enrollment.restrict_region_usage_by_policy_where_required,control_tower,governance,"boto3.client(""control_tower"")",,,control_tower,no,no
aws,aws.control_tower.landing_zone.restrict_region_usage_by_policy_where_required,aws.control_tower.landing_zone.restrict_region_usage_by_policy_where_required,control_tower,governance,"boto3.client(""control_tower"")",,,control_tower,no,no
aws,aws.identity_center.user.mfa_required,aws.identity_center.user.mfa_required,identity_center,identity_access,"boto3.client(""identity_center"")",,,identity_center,no,no
aws,aws.identity_center.user.console_password_present_only_if_required,aws.identity_center.user.console_password_present_only_if_required,identity_center,identity_access,"boto3.client(""identity_center"")",,,identity_center,no,no
aws,aws.identity_center.user.access_keys_rotated_90_days_or_less_when_present,aws.identity_center.user.access_keys_rotated_90_days_or_less_when_present,identity_center,identity_access,"boto3.client(""identity_center"")",,,identity_center,no,no
aws,aws.iam.user.no_inline_policies_attached,aws.iam.user.no_inline_policies_attached,iam,identity_access,"boto3.client(""iam"")",,,iam,no,no
