rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,python_client,check_client,implementable
aws.accessanalyzer.resource.access_analyzer_enabled,accessanalyzer,resource,configuration_and_change_management,medium,accessanalyzer.resource.configuration,security.configuration.accessanalyzer_resource_status_equals,boto3.accessanalyzer,boto3.accessanalyzer,SCAN_ABLE
aws.accessanalyzer.resource.access_analyzer_enabled_without_findings,accessanalyzer,resource,configuration_and_change_management,medium,accessanalyzer.resource.configuration,security.configuration.accessanalyzer_resource_access_analyzer_enabled_without_findings,boto3.accessanalyzer,boto3.accessanalyzer,SCAN_ABLE
aws.account.contact.current_details_configured,account,contact,configuration_and_change_management,medium,account.contact.configuration,security.configuration.account_contact_current_details_configured,boto3.account,boto3.account,SCAN_ABLE
aws.account.contact.details_separate_security_billing_operations_configured,account,contact,configuration_and_change_management,medium,account.contact.configuration,security.configuration.account_contact_details_separate_security_billing_operations_configured,boto3.account,boto3.account,SCAN_ABLE
aws.account.resource.security_contact_complete,account,resource,configuration_and_change_management,medium,account.resource.configuration,security.configuration.account_resource_security_contact_complete,boto3.account,boto3.account,SCAN_ABLE
aws.account.resource.security_contact_configured,account,resource,configuration_and_change_management,medium,account.resource.configuration,security.configuration.account_resource_security_contact_configured,boto3.account,boto3.account,SCAN_ABLE
aws.account.security.contact_information_configured,account,security,configuration_and_change_management,medium,account.security.configuration,security.configuration.account_security_contact_information_configured,boto3.account,boto3.account,SCAN_ABLE
aws.acm.certificate.expiration_monitored,acm,certificate,logging_monitoring_and_alerting,medium,acm.certificate.logging,logging_monitoring.monitoring.acm_certificate_expiration_monitored,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.certificate.mtls_required_for_internal_services_if_supported,acm,certificate,data_protection_and_privacy,high,acm.certificate.encryption,data_protection.encryption_transit.acm_certificate_mtls_required_for_internal_services_if_supported,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.certificate.trusted_issuer_verified,acm,certificate,configuration_and_change_management,medium,acm.certificate.configuration,security.configuration.acm_certificate_trusted_issuer_verified,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.certificate.valid,acm,certificate,configuration_and_change_management,medium,acm.certificate.configuration,security.configuration.acm_certificate_valid,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.certificates.certificate_expiration_monitored,acm,certificates,logging_monitoring_and_alerting,medium,acm.certificates.logging,logging_monitoring.monitoring.acm_certificates_certificate_expiration_monitored,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.privateca.ca_access_rbac_least_privilege,acm,privateca,identity_and_access_management,high,acm.privateca.access_control,identity_access.least_privilege.acm_privateca_ca_access_rbac_least_privilege,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.privateca.ca_certificate_crl_or_ocsp_configured,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_crl_or_ocsp_configured,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.privateca.ca_certificate_path_length_constraints_configured,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_path_length_constraints_configured,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.privateca.ca_certificate_trusted_issuer_verified,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_trusted_issuer_verified,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.privateca.ca_certificate_valid,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_valid,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.privateca.ca_key_in_hsm_enabled_if_supported,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_key_in_hsm_enabled_if_supported,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm.privateca.key_length_minimum,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_key_length_minimum,boto3.acm,boto3.acm,SCAN_ABLE
aws.acm-pca.certificateauthority.cloudwatch_audit_logging,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.logging,key_management.acm_pca_certificateauthority_cloudwatch_audit_logging,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE
aws.acm-pca.certificateauthority.enabled_and_active,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.status,key_management.acm_pca_certificateauthority_enabled_and_active,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE
