yaml_rule_id,yaml_service,yaml_resource_kind,scope,domain,severity,assertion_id,verdict_bucket,best_jaccard,pool_size,prev_ai_match,prev_ai_confidence,prev_ai_reasoning,new_ai_match,new_ai_confidence,new_ai_reasoning,top5_candidates,manual_review_decision,manual_review_notes
aws.apigateway.usageplan.api_keys_required,apigateway,usageplan,apigateway.usageplan.configuration,configuration_and_change_management,medium,security.configuration.apigateway_usageplan_api_keys_required,ai-likely-missed,0.6,69,aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys,medium,"Both rules focus on requiring API keys in usage plans, though the candidate specifies 'required_for_api_keys' while the input asserts 'api_keys_required' with slightly different wording.",aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys,high,Both rules enforce API keys to be associated with a usage plan for API Gateway.,aws.api_gateway.api_key.expiration_required(0.60); aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys(0.43); aws.api_gateway.throttle.api_usage_plan_required_for_api_keys(0.38); aws.api_gateway.stage.require_usage_plan_for_api_keys(0.38); aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys(0.38),,
aws.apigatewayv2.stage.api_access_log_fields_identity_configured,apigatewayv2,stage,apigatewayv2.stage.logging,logging_monitoring_and_alerting,medium,logging_monitoring.logging.apigatewayv2_stage_api_access_log_fields_identity_configured,ai-likely-missed,0.857,69,,none,"The config rule checks for specific identity fields in API Gateway v2 access logs, while all candidates only check if access logging is enabled without verifying log content.",aws.api_gatewayv2.stage.api_access_log_fields_identity_present,high,"Both rules check for identity fields in API Gateway v2 stage access logs, with identical service and resource scope.",aws.api_gatewayv2.stage.api_access_log_fields_identity_present(0.86); aws.api_gateway.stage.api_access_log_fields_identity_present(0.86); aws.api_gatewayv2.stage.api_access_logging_enabled(0.57); aws.api_gatewayv2.stage.api_access_log_sink_configured(0.57); aws.api_gateway.stage.api_access_logging_enabled(0.57),,
aws.apigatewayv2.stage.api_burst_limit_configured,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,security.configuration.apigatewayv2_stage_api_burst_limit_configured,ai-likely-missed,1.0,69,,none,"The config rule checks for API Gateway V2 stage burst limit configuration, while all candidates are about access logging, which is unrelated to rate limiting or burst limits.",aws.api_gatewayv2.stage.api_stage_burst_limit_configured,high,"Both rules check for burst limit configuration on API Gateway v2 stages, with identical service and resource focus.",aws.api_gatewayv2.stage.api_stage_burst_limit_configured(1.00); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.80); aws.api_gateway.usage_plan.api_stage_burst_limit_configured(0.67); aws.api_gatewayv2.stage.api_stage_rate_limit_configured(0.60); aws.api_gatewayv2.stage.api_quota_limit_configured(0.60),,
aws.apigatewayv2.stage.api_execution_logging_level_minimum_error_configured,apigatewayv2,stage,apigatewayv2.stage.logging,logging_monitoring_and_alerting,medium,logging_monitoring.logging.apigatewayv2_stage_api_execution_logging_level_minimum_error_configured,ai-likely-missed,1.0,69,,none,"The config rule checks for minimum error logging level on API Gateway v2 stage execution logs, while all candidates only check for access logging being enabled, which are different logging types and controls.",aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error,high,Candidate rule_id matches the same control for API Gateway v2 stage execution logging level with identical intent and resource.,aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error(1.00); aws.api_gateway.stage.api_execution_logging_level_minimum_error(1.00); aws.api_gatewayv2.stage.api_logs_retention_days_minimum(0.44); aws.api_gateway.stage.api_logs_retention_days_minimum(0.44); aws.api_gatewayv2.stage.api_access_logging_enabled(0.33),,
aws.apigatewayv2.stage.api_logs_retention_days_minimum,apigatewayv2,stage,apigatewayv2.stage.logging,logging_monitoring_and_alerting,medium,logging_monitoring.logging.apigatewayv2_stage_api_logs_retention_days_minimum,ai-likely-missed,1.0,69,,none,"The config rule enforces a minimum retention period for API Gateway v2 stage logs, while all candidates only check if logging is enabled without addressing retention duration.",aws.api_gatewayv2.stage.api_logs_retention_days_minimum,high,Exact match on resource (apigatewayv2 stage) and control (minimum log retention days).,aws.api_gatewayv2.stage.api_logs_retention_days_minimum(1.00); aws.api_gateway.stage.api_logs_retention_days_minimum(1.00); aws.api_gatewayv2.stage.api_execution_logging_level_minimum_error(0.44); aws.api_gateway.stage.api_execution_logging_level_minimum_error(0.44); aws.api_gatewayv2.stage.api_access_logging_enabled(0.38),,
aws.apigatewayv2.stage.api_quota_limit_configured,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,security.configuration.apigatewayv2_stage_api_quota_limit_configured,ai-likely-missed,1.0,69,,none,"The config rule checks for API quota limits on API Gateway v2 stages, while all candidates only address access logging, which is unrelated to quota configuration.",aws.api_gatewayv2.stage.api_quota_limit_configured,high,"Candidate rule_id is identical in intent and resource, covering API quota limits for API Gateway v2 stages.",aws.api_gatewayv2.stage.api_quota_limit_configured(1.00); aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.60); aws.api_gatewayv2.stage.api_stage_rate_limit_configured(0.60); aws.api_gateway.throttle.api_quota_limit_configured(0.60); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.50),,
aws.apigatewayv2.stage.api_rate_limit_configured,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,security.configuration.apigatewayv2_stage_api_rate_limit_configured,ai-likely-missed,1.0,69,,none,"The config rule checks for API rate limit configuration on API Gateway v2 stages, while all candidates only address access logging, which is unrelated to rate limiting.",aws.api_gatewayv2.stage.api_stage_rate_limit_configured,high,Both rules check for rate limit configuration on API Gateway v2 stages with identical intent and resource scope.,aws.api_gatewayv2.stage.api_stage_rate_limit_configured(1.00); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.80); aws.api_gateway.usage_plan.api_stage_rate_limit_configured(0.67); aws.api_gatewayv2.stage.api_stage_burst_limit_configured(0.60); aws.api_gatewayv2.stage.api_quota_limit_configured(0.60),,
aws.apigatewayv2.stage.api_throttle_overrides_bounded,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,security.configuration.apigatewayv2_stage_api_throttle_overrides_bounded,ai-likely-missed,0.571,69,,none,"The config rule checks for bounded throttle overrides in API Gateway V2 stages, while all candidates only address access logging, which is unrelated to throttling controls.",aws.api_gatewayv2.stage.api_stage_throttle_overrides_not_unbounded,high,"Both rules check that API Gateway v2 stage throttle overrides are bounded, covering the same control on the same resource.",aws.api_gatewayv2.stage.api_stage_throttle_overrides_not_unbounded(0.57); aws.api_gateway.throttle.api_stage_throttle_overrides_not_unbounded(0.57); aws.api_gateway.usage_plan.api_stage_throttle_overrides_not_unbounded(0.44); aws.api_gateway.throttle.api_stage_burst_limit_configured(0.43); aws.api_gateway.throttle.api_stage_rate_limit_configured(0.43),,
aws.apigatewayv2.stage.api_usage_plan_required_for_api_keys,apigatewayv2,stage,apigatewayv2.stage.configuration,configuration_and_change_management,medium,security.configuration.apigatewayv2_stage_api_usage_plan_required_for_api_keys,ai-likely-missed,1.0,69,,none,"The config rule enforces usage plans for API keys on API Gateway v2 stages, while all candidates only check for access logging, which is unrelated to API key management.",aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys,high,Exact match on resource (apigatewayv2 stage) and control (requiring usage plan for API keys).,aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys(1.00); aws.api_gateway.stage.require_usage_plan_for_api_keys(1.00); aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys(0.86); aws.api_gateway.throttle.api_usage_plan_required_for_api_keys(0.75); aws.api_gateway.usage_plan.api_stage_burst_limit_configured(0.44),,
aws.docdb.cluster.audit_logging_enabled,docdb,cluster,docdb.cluster.logging,logging_monitoring_and_alerting,medium,logging_monitoring.logging.docdb_cluster_audit_logging_enabled,ai-likely-missed,1.0,26,,none,"None of the candidate rules address audit logging for DocumentDB clusters, which is the specific control in the YAML config rule.",aws.documentdb.cluster.audit_logging_enabled,high,Exact semantic match for DocumentDB cluster audit logging control with identical rule intent.,aws.documentdb.cluster.audit_logging_enabled(1.00); aws.documentdb.cluster.cloudwatch_log_export:aws.documentdb.cluster.audit_logging_enabled(0.57); aws.documentdb.cluster.storage_encrypted:aws.documentdb.cluster.audit_logging_enabled(0.57); aws.documentdb.cluster.multi_az_enabled:aws.documentdb.cluster.audit_logging_enabled(0.50); aws.documentdb.cluster.audit_logging_to_cloudwatch_enabled:aws.documentdb.cluster.audit_logging_enabled(0.50),,
