rule_id,source_category,service,severity,check_type,title,description,threat_category,aws_mapped_compliance_ids,compliance_frameworks_list,source_file
aws.alb.alb_log.admin_path_access,alb,alb,medium,log,ALB: Admin Path Access,Request to admin path detected via load balancer — reconnaissance of admin interfaces.,web_attack,,,alb/aws.alb.alb_log.admin_path_access.yaml
aws.alb.alb_log.api_key_path_access,alb,alb,medium,log,ALB: API Key Path Access,Request targeting API key path — may indicate credential harvesting attempt.,web_attack,,,alb/aws.alb.alb_log.api_key_path_access.yaml
aws.alb.alb_log.bad_gateway,alb,alb,low,log,ALB: Bad Gateway,HTTP 502 Bad Gateway from ALB — upstream server unavailable or misconfigured.,discovery,,,alb/aws.alb.alb_log.bad_gateway.yaml
aws.alb.alb_log.connection_timeout,alb,alb,low,log,ALB: Connection Timeout,Connection timeout at load balancer — service unavailability or DoS indicator.,discovery,,,alb/aws.alb.alb_log.connection_timeout.yaml
aws.alb.alb_log.dot_dot_path_traversal,alb,alb,high,log,ALB: Dot Dot Path Traversal,Path traversal attempt detected by WAF — directory traversal attack.,web_attack,,,alb/aws.alb.alb_log.dot_dot_path_traversal.yaml
aws.alb.alb_log.http_401_unauthorized,alb,alb,medium,log,ALB: HTTP 401 Unauthorized,HTTP 401 Unauthorized — authentication required; possible credential enumeration.,initial_access,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,alb/aws.alb.alb_log.http_401_unauthorized.yaml
aws.alb.alb_log.http_403_forbidden,alb,alb,low,log,ALB: HTTP 403 Forbidden,HTTP 403 Forbidden — authorization denied; possible path enumeration.,initial_access,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,alb/aws.alb.alb_log.http_403_forbidden.yaml
aws.alb.alb_log.http_404_not_found,alb,alb,low,log,ALB: HTTP 404 Not Found,HTTP 404 Not Found — resource not found; common during web enumeration.,discovery,,,alb/aws.alb.alb_log.http_404_not_found.yaml
aws.alb.alb_log.http_5xx_error,alb,alb,low,log,ALB: HTTP 5xx Error,HTTP 5xx server error — backend failure; may indicate exploitation causing crashes.,discovery,,,alb/aws.alb.alb_log.http_5xx_error.yaml
aws.alb.alb_log.http_delete_method,alb,alb,medium,log,ALB: HTTP Delete Method,HTTP DELETE method used via load balancer — destructive web request recorded.,web_attack,,,alb/aws.alb.alb_log.http_delete_method.yaml
aws.alb.alb_log.http_options_method,alb,alb,low,log,ALB: HTTP Options Method,HTTP OPTIONS method detected — CORS preflight or server capability enumeration.,discovery,,,alb/aws.alb.alb_log.http_options_method.yaml
aws.alb.alb_log.http_patch_method,alb,alb,low,log,ALB: HTTP Patch Method,HTTP PATCH method detected — partial resource modification request.,web_attack,,,alb/aws.alb.alb_log.http_patch_method.yaml
aws.alb.alb_log.repeated_server_errors,alb,alb,medium,log,ALB: Repeated Server Errors,Repeated server-side errors from same client — possible fuzzing or exploitation attempts.,discovery,,,alb/aws.alb.alb_log.repeated_server_errors.yaml
aws.alb.alb_log.websocket_connection,alb,alb,low,log,ALB: Websocket Connection,WebSocket connection initiated — persistent bidirectional channel established.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,alb/aws.alb.alb_log.websocket_connection.yaml
aws.ciem.correlation.cloudtrail.access_key_created,ciem,ciem,high,log,CIEM: Access Key Created,IAM access key created — programmatic credential established.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,ciem/aws.ciem.correlation.cloudtrail.access_key_created.yaml
aws.ciem.correlation.cloudtrail.cross_account_assume_role,ciem,ciem,high,log,CIEM: Cross Account Assume Role,Cross-account role assumption — application access token used for lateral movement between accounts.,lateral_movement,cis_aws_v3_5.1;cis_aws_v3_5.2;cis_aws_v3_5.3;cis_azure_v2_6.1;cis_azure_v2_6.2;nist_800_53_r5_SC-7;nist_800_53_r5_AC-4;nist_800_53_r5_SI-3;pci_dss_v4_1.2;pci_dss_v4_1.3;pci_dss_v4_7.2;iso_27001_2022_A.8.20;iso_27001_2022_A.8.22;iso_27001_2022_A.5.14,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,ciem/aws.ciem.correlation.cloudtrail.cross_account_assume_role.yaml
aws.ciem.correlation.cloudtrail.oidc_provider_created,ciem,ciem,high,log,CIEM: OIDC Provider Created,OIDC identity provider created — external hybrid identity federation enabled.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,ciem/aws.ciem.correlation.cloudtrail.oidc_provider_created.yaml
aws.ciem.correlation.cloudtrail.permission_boundary_removed,ciem,ciem,critical,log,CIEM: Permission Boundary Removed,IAM permission boundary removed — principal may now exceed original maximum permissions.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,ciem/aws.ciem.correlation.cloudtrail.permission_boundary_removed.yaml
aws.ciem.correlation.cloudtrail.policy_created,ciem,ciem,medium,log,CIEM: Policy Created,IAM policy created — new permission set defined.,privilege_escalation,cis_aws_v3_1.1;cis_aws_v3_1.16;cis_aws_v3_1.17;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_3.1;nist_800_53_r5_AC-2;nist_800_53_r5_AC-3;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;pci_dss_v4_7.1;pci_dss_v4_7.2;pci_dss_v4_8.2;iso_27001_2022_A.5.18;iso_27001_2022_A.8.2;iso_27001_2022_A.8.3,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,ciem/aws.ciem.correlation.cloudtrail.policy_created.yaml
aws.ciem.correlation.cloudtrail.saml_provider_created,ciem,ciem,high,log,CIEM: SAML Provider Created,SAML identity provider created — hybrid identity federated access enabled.,persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,ciem/aws.ciem.correlation.cloudtrail.saml_provider_created.yaml
aws.ciem.correlation.persistence,ciem,ciem,critical,log_correlation,Correlation: Persistence,"Persistence chain detected: new user or identity provider created, followed by access key.",persistence,cis_aws_v3_1.1;cis_aws_v3_1.4;cis_aws_v3_1.16;cis_azure_v2_1.1;cis_azure_v2_2.1;cis_azure_v2_2.9;nist_800_53_r5_AC-2;nist_800_53_r5_AC-6;nist_800_53_r5_IA-2;nist_800_53_r5_SC-7;pci_dss_v4_7.1;pci_dss_v4_8.2;pci_dss_v4_10.2;iso_27001_2022_A.8.2;iso_27001_2022_A.9.2;iso_27001_2022_A.5.18,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,ciem/aws.ciem.correlation.persistence.yaml
aws.cloudfront.access_log.cache_miss,cloudfront,cloudfront,low,log,CloudFront: Cache Miss,CloudFront cache miss — request passed to origin; baseline traffic indicator.,discovery,,,cloudfront/aws.cloudfront.access_log.cache_miss.yaml
aws.cloudfront.access_log.error_from_origin,cloudfront,cloudfront,low,log,CloudFront: Error From Origin,CloudFront received error from origin — origin server issue detected.,discovery,,,cloudfront/aws.cloudfront.access_log.error_from_origin.yaml
aws.cloudfront.access_log.http_403_forbidden,cloudfront,cloudfront,low,log,CloudFront: HTTP 403 Forbidden,HTTP 403 Forbidden — authorization denied; possible path enumeration.,initial_access,cis_aws_v3_1.14;cis_aws_v3_2.1;cis_azure_v2_1.2;cis_azure_v2_2.1;nist_800_53_r5_AC-17;nist_800_53_r5_IA-2;nist_800_53_r5_SI-3;pci_dss_v4_8.3;pci_dss_v4_11.5;iso_27001_2022_A.8.5;iso_27001_2022_A.9.4,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,cloudfront/aws.cloudfront.access_log.http_403_forbidden.yaml
aws.cloudfront.access_log.http_4xx_error,cloudfront,cloudfront,low,log,CloudFront: HTTP 4xx Error,HTTP 4xx error from CloudFront — client-side error; may indicate web enumeration.,discovery,,,cloudfront/aws.cloudfront.access_log.http_4xx_error.yaml
aws.cloudfront.access_log.http_5xx_error,cloudfront,cloudfront,low,log,CloudFront: HTTP 5xx Error,HTTP 5xx server error — backend failure; may indicate exploitation causing crashes.,discovery,,,cloudfront/aws.cloudfront.access_log.http_5xx_error.yaml
aws.cloudfront.access_log.http_delete_method,cloudfront,cloudfront,medium,log,CloudFront: HTTP Delete Method,HTTP DELETE method used via load balancer — destructive web request recorded.,web_attack,,,cloudfront/aws.cloudfront.access_log.http_delete_method.yaml
aws.cloudfront.access_log.http_options_method,cloudfront,cloudfront,low,log,CloudFront: HTTP Options Method,HTTP OPTIONS method detected — CORS preflight or server capability enumeration.,discovery,,,cloudfront/aws.cloudfront.access_log.http_options_method.yaml
aws.cloudfront.access_log.http_put_method,cloudfront,cloudfront,low,log,CloudFront: HTTP Put Method,HTTP PUT method via CloudFront — resource creation/replacement request.,web_attack,,,cloudfront/aws.cloudfront.access_log.http_put_method.yaml
aws.cloudfront.access_log.path_traversal,cloudfront,cloudfront,high,log,CloudFront: Path Traversal,Path traversal attempt detected by WAF — directory traversal attack.,web_attack,,,cloudfront/aws.cloudfront.access_log.path_traversal.yaml
aws.cloudfront.access_log.sensitive_path_access,cloudfront,cloudfront,medium,log,CloudFront: Sensitive Path Access,"Access to sensitive path via CloudFront — .env, config, or credential paths targeted.",web_attack,,,cloudfront/aws.cloudfront.access_log.sensitive_path_access.yaml
aws.compute.cloudtrail.batch_create_compute_environment,compute,compute,medium,log,Compute: Batch Create Compute Environment,Batch compute environment created — cloud execution infrastructure provisioned.,execution,cis_aws_v3_3.1;cis_aws_v3_5.1;cis_azure_v2_5.1;cis_azure_v2_6.1;nist_800_53_r5_CM-7;nist_800_53_r5_SI-3;nist_800_53_r5_AU-12;pci_dss_v4_6.3;pci_dss_v4_10.2;iso_27001_2022_A.8.19;iso_27001_2022_A.8.8,cis_aws_v3;cis_azure_v2;nist_800_53_r5;pci_dss_v4;iso_27001_2022,compute/aws.compute.cloudtrail.batch_create_compute_environment.yaml
