yaml_rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,ai_confidence,ai_reasoning,top_candidate_pool
aws.acm-pca.certificateauthority.cloudwatch_audit_logging,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.logging,key_management.acm_pca_certificateauthority_cloudwatch_audit_logging,none,"The config rule is for ACM PCA (AWS Certificate Manager Private Certificate Authority) CloudWatch audit logging, but all candidate rules are for different AWS services (e.g., CloudWatch, Redshift, DocumentDB, EKS, Glue, etc.) and do not cover ACM PCA.",cloudtrail.cloudwatch.logging.enabled(0.4); redshift.cluster.audit.logging(0.4); aws.documentdb.cluster.cloudwatch_log_export:aws.documentdb.cluster.audit_logging_enabled(0.375); aws.eks.cluster.audit_logging_enabled(0.333); aws.redshift.cluster.audit_logging_enabled(0.333)
aws.acm-pca.certificateauthority.enabled_and_active,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.status,key_management.acm_pca_certificateauthority_enabled_and_active,none,"The config rule checks ACM PCA certificate authority status (enabled/active), while all candidates focus on logging, metrics, versioning, or service enablement for different AWS services.",aws.glue.job.logs_and_metrics_enabled(0.286); aws.glue.job.logs_and_metrics_enabled(0.286); aws.glue.job.logs_and_metrics_enabled(0.286); aws.eventbridge.rule.logs_and_metrics_enabled(0.286); aws.glue.workflow.logs_and_metrics_enabled(0.286)
aws.acm-pca.certificateauthority.revocation_configured,acm-pca,certificateauthority,secrets_and_key_management,high,acm-pca.certificateauthority.revocation,key_management.acm_pca_certificateauthority_revocation_configured,none,"All candidate rules are for API Gateway, API Gateway v2, or CloudWatch logging controls, unrelated to ACM PCA certificate authority revocation configuration.",aws.api_gateway.stage.api_access_logging_enabled(0.0); aws.api_gatewayv2.stage.api_access_logging_enabled(0.0); aws.cloudwatch.metric.api_access_logging_enabled(0.0); aws.api_gateway.stage.api_access_log_sink_configured(0.0); aws.api_gatewayv2.stage.api_access_log_sink_configured(0.0)
aws.apigateway.resource.api_resource_attached_enabled,apigateway,resource,configuration_and_change_management,medium,apigateway.resource.configuration,security.configuration.apigateway_resource_api_resource_attached_enabled,none,"The config rule checks if API Gateway resources are properly attached to APIs, while all candidates focus on unrelated controls like WAF attachment, logging, validation, authorization, certificates, or throttling.",aws.api_gateway.rest_api.waf_attached(0.4); aws.api_gateway.v2_api.waf_attached(0.4); aws.apigatewayv2.api_access_logging_enabled(0.4); aws.api_gateway.stage.api_access_logging_enabled(0.333); aws.api_gatewayv2.stage.api_access_logging_enabled(0.333)
aws.apigatewayv2.stage.api_access_log_fields_identity_configured,apigatewayv2,stage,logging_monitoring_and_alerting,medium,apigatewayv2.stage.logging,logging_monitoring.logging.apigatewayv2_stage_api_access_log_fields_identity_configured,none,"The config rule checks for specific identity fields in API Gateway v2 access logs, while all candidates only check if access logging is enabled without verifying log content.",aws.apigatewayv2.api_access_logging_enabled(0.429); aws.apigatewayv2.api_access_logging_enabled:nan(0.429); apigatewayv2.api.access.logging.enabled(0.429)
aws.apigatewayv2.stage.api_burst_limit_configured,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_burst_limit_configured,none,"The config rule checks for API Gateway V2 stage burst limit configuration, while all candidates are about access logging, which is unrelated to rate limiting or burst limits.",aws.apigatewayv2.api_access_logging_enabled(0.143); aws.apigatewayv2.api_access_logging_enabled:nan(0.143); apigatewayv2.api.access.logging.enabled(0.143)
aws.apigatewayv2.stage.api_execution_logging_level_minimum_error_configured,apigatewayv2,stage,logging_monitoring_and_alerting,medium,apigatewayv2.stage.logging,logging_monitoring.logging.apigatewayv2_stage_api_execution_logging_level_minimum_error_configured,none,"The config rule checks for minimum error logging level on API Gateway v2 stage execution logs, while all candidates only check for access logging being enabled, which are different logging types and controls.",aws.apigatewayv2.api_access_logging_enabled(0.222); aws.apigatewayv2.api_access_logging_enabled:nan(0.222); apigatewayv2.api.access.logging.enabled(0.222)
aws.apigatewayv2.stage.api_logs_retention_days_minimum,apigatewayv2,stage,logging_monitoring_and_alerting,medium,apigatewayv2.stage.logging,logging_monitoring.logging.apigatewayv2_stage_api_logs_retention_days_minimum,none,"The config rule enforces a minimum retention period for API Gateway v2 stage logs, while all candidates only check if logging is enabled without addressing retention duration.",aws.apigatewayv2.api_access_logging_enabled(0.25); aws.apigatewayv2.api_access_logging_enabled:nan(0.25); apigatewayv2.api.access.logging.enabled(0.25)
aws.apigatewayv2.stage.api_quota_limit_configured,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_quota_limit_configured,none,"The config rule checks for API quota limits on API Gateway v2 stages, while all candidates only address access logging, which is unrelated to quota configuration.",aws.apigatewayv2.api_access_logging_enabled(0.143); aws.apigatewayv2.api_access_logging_enabled:nan(0.143); apigatewayv2.api.access.logging.enabled(0.143)
aws.apigatewayv2.stage.api_rate_limit_configured,apigatewayv2,stage,configuration_and_change_management,medium,apigatewayv2.stage.configuration,security.configuration.apigatewayv2_stage_api_rate_limit_configured,none,"The config rule checks for API rate limit configuration on API Gateway v2 stages, while all candidates only address access logging, which is unrelated to rate limiting.",aws.apigatewayv2.api_access_logging_enabled(0.143); aws.apigatewayv2.api_access_logging_enabled:nan(0.143); apigatewayv2.api.access.logging.enabled(0.143)
