Control_ID,Title,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
AC-1-a,"Policy And Procedures - Develop, document, and disseminate to...",manual,,,,,,,0
AC-1-b,Policy And Procedures - Designate an [ assignment: organization-defined...,manual,,,,,,,0
AC-1-c,Policy And Procedures - Review and update the current...,manual,,,,,,,0
AC-2(1),Account Management - Account management | automated system account management support the management,automated,iam_password_policy_minimum_length_14; iam_policy_attached_only_to_group_or_roles; iam_aws_attached_policy_no_administrative_privileges; iam_customer_attached_policy_no_administrative_privileges; iam_inline_policy_no_administrative_privileges; iam_root_hardware_mfa_enabled; iam_root_mfa_enabled; iam_no_root_access_key; iam_rotate_access_key_90_days; iam_user_mfa_enabled_console_access,azure_active_directory_password_policy_minimum_length_14; azure_active_directory_policy_attached_only_to_group_or_roles; azure_active_directory_aws_attached_policy_no_administrative_privileges; azure_active_directory_customer_attached_policy_no_administrative_privileges; azure_active_directory_inline_policy_no_administrative_privileges; azure_active_directory_root_hardware_mfa_enabled; azure_active_directory_root_mfa_enabled; azure_active_directory_no_root_access_key; azure_active_directory_rotate_access_key_90_days; azure_active_directory_user_mfa_enabled_console_access,gcp_iam_password_policy_minimum_length_14; gcp_iam_policy_attached_only_to_group_or_roles; gcp_iam_aws_attached_policy_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges; gcp_iam_root_hardware_mfa_enabled; gcp_iam_root_mfa_enabled; gcp_iam_no_root_access_key; gcp_iam_rotate_access_key_90_days; gcp_iam_user_mfa_enabled_console_access,oracle_identity_password_policy_minimum_length_14; oracle_identity_policy_attached_only_to_group_or_roles; oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_root_hardware_mfa_enabled; oracle_identity_root_mfa_enabled; oracle_identity_no_root_access_key; oracle_identity_rotate_access_key_90_days; oracle_identity_user_mfa_enabled_console_access,ibm_iam_password_policy_minimum_length_14; ibm_iam_policy_attached_only_to_group_or_roles; ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_root_hardware_mfa_enabled; ibm_iam_root_mfa_enabled; ibm_iam_no_root_access_key; ibm_iam_rotate_access_key_90_days; ibm_iam_user_mfa_enabled_console_access,alicloud_ram_password_policy_minimum_length_14; alicloud_ram_policy_attached_only_to_group_or_roles; alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_root_hardware_mfa_enabled; alicloud_ram_root_mfa_enabled; alicloud_ram_no_root_access_key; alicloud_ram_rotate_access_key_90_days; alicloud_ram_user_mfa_enabled_console_access,60
AC-2(10),Account Management - Account management | shared and group account credential change [withdrawn,manual,,,,,,,0
AC-2(11),Account Management - Account management | usage conditions enforce [ assignment,manual,,,,,,,0
AC-2(12),Account Management - Account management | account monitoring for atypical usage (a) monitor system ac,manual,,,,,,,0
AC-2(13),Account Management - Account management | disable accounts for high - risk individuals disable accoun,manual,,,,,,,0
AC-2(2),Account Management - Account management | automated temporary and emergency account management automa,manual,,,,,,,0
AC-2(3),Account Management - Account management | disable accounts disable accounts within [ assignment,automated,iam_password_policy_minimum_length_14; iam_user_accesskey_unused; iam_user_console_access_unused,azure_active_directory_password_policy_minimum_length_14; azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_password_policy_minimum_length_14; gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_password_policy_minimum_length_14; oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_password_policy_minimum_length_14; ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_password_policy_minimum_length_14; alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,18
AC-2(4),Account Management - Account management | automated audit actions automatically audit account creatio,automated,cloudtrail_multi_region_enabled; cloudtrail_s3_dataevents_read_enabled; cloudtrail_s3_dataevents_write_enabled; cloudtrail_cloudwatch_logging_enabled; rds_instance_integration_cloudwatch_logs; redshift_cluster_audit_logging; s3_bucket_server_access_logging_enabled,azure_monitor_multi_region_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_monitor_cloudwatch_logging_enabled; azure_sql_instance_integration_cloudwatch_logs; azure_synapse_cluster_audit_logging; azure_storage_bucket_server_access_logging_enabled,gcp_logging_multi_region_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_logging_cloudwatch_logging_enabled; gcp_sql_instance_integration_cloudwatch_logs; gcp_bigquery_cluster_audit_logging; gcp_storage_bucket_server_access_logging_enabled,oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_audit_cloudwatch_logging_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_autonomous_dw_cluster_audit_logging; oracle_object_storage_bucket_server_access_logging_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_activity_tracker_cloudwatch_logging_enabled; ibm_databases_instance_integration_cloudwatch_logs; ibm_db2_warehouse_cluster_audit_logging; ibm_cos_bucket_server_access_logging_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_actiontrail_cloudwatch_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_analyticdb_cluster_audit_logging; alicloud_oss_bucket_server_access_logging_enabled,42
AC-2(5),Account Management - Account management | inactivity logout require that users log out when [ assignm,manual,,,,,,,0
AC-2(6),Account Management - Account management | dynamic privilege management implement [ assignment,automated,ec2_ebs_public_snapshot; ec2_instance_public_ip; ec2_instance_imdsv2_enabled; emr_cluster_master_nodes_no_public_ip; iam_policy_attached_only_to_group_or_roles; iam_aws_attached_policy_no_administrative_privileges; iam_customer_attached_policy_no_administrative_privileges; iam_inline_policy_no_administrative_privileges; iam_no_root_access_key; iam_user_accesskey_unused,azure_compute_ebs_public_snapshot; azure_compute_instance_public_ip; azure_compute_instance_imdsv2_enabled; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_active_directory_policy_attached_only_to_group_or_roles; azure_active_directory_aws_attached_policy_no_administrative_privileges; azure_active_directory_customer_attached_policy_no_administrative_privileges; azure_active_directory_inline_policy_no_administrative_privileges; azure_active_directory_no_root_access_key; azure_active_directory_user_accesskey_unused,gcp_compute_ebs_public_snapshot; gcp_compute_instance_public_ip; gcp_compute_instance_imdsv2_enabled; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_iam_policy_attached_only_to_group_or_roles; gcp_iam_aws_attached_policy_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges; gcp_iam_no_root_access_key; gcp_iam_user_accesskey_unused,oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_compute_instance_imdsv2_enabled; oracle_big_data_cluster_master_nodes_no_public_ip; oracle_identity_policy_attached_only_to_group_or_roles; oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_identity_user_accesskey_unused,ibm_vpc_ebs_public_snapshot; ibm_vpc_instance_public_ip; ibm_vpc_instance_imdsv2_enabled; ibm_analytics_engine_cluster_master_nodes_no_public_ip; ibm_iam_policy_attached_only_to_group_or_roles; ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_iam_user_accesskey_unused,alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_ecs_instance_imdsv2_enabled; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_ram_policy_attached_only_to_group_or_roles; alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_ram_user_accesskey_unused,60
AC-2(7),Account Management - Account management | privileged user accounts (a) establish and administer privi,manual,,,,,,,0
AC-2(8),"Account Management - Account management | dynamic account management create, activate, manage, and de",manual,,,,,,,0
AC-2(9),Account Management - Account management | restrictions on use of shared and group accounts only permi,manual,,,,,,,0
AC-2-a,Account Management - Define and document the types...,manual,,,,,,,0
AC-2-b,Account Management - Assign account managers;,manual,,,,,,,0
AC-2-c,Account Management - Require [ assignment: organization-defined prerequisites...,manual,,,,,,,0
AC-2-d,Account Management - Specify: 1. authorized users of...,manual,,,,,,,0
AC-2-e,Account Management - Require approvals by [ assignment:...,manual,,,,,,,0
AC-2-f,"Account Management - Create, enable, modify, disable, and...",manual,,,,,,,0
AC-2-g,Account Management - Monitor the use of accounts;,automated,iam_user_accesskey_unused; iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2-h,Account Management - Notify account managers and [...,manual,,,,,,,0
AC-2-i,Account Management - Authorize access to the system...,manual,,,,,,,0
AC-2-j,Account Management - Review accounts for compliance with...,automated,iam_user_accesskey_unused; iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2-k,Account Management - Establish and implement a process...,manual,,,,,,,0
AC-2-l,Account Management - Align account management processes with...,manual,,,,,,,0
AC-3(1),Access Enforcement - Access enforcement | restricted access to privileged functions [withdrawn,automated,cloudtrail_multi_region_enabled; cloudtrail_cloudwatch_logging_enabled; cloudtrail_s3_dataevents_read_enabled; cloudtrail_s3_dataevents_write_enabled; rds_instance_integration_cloudwatch_logs; redshift_cluster_audit_logging; s3_bucket_server_access_logging_enabled,azure_monitor_multi_region_enabled; azure_monitor_cloudwatch_logging_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_sql_instance_integration_cloudwatch_logs; azure_synapse_cluster_audit_logging; azure_storage_bucket_server_access_logging_enabled,gcp_logging_multi_region_enabled; gcp_logging_cloudwatch_logging_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_sql_instance_integration_cloudwatch_logs; gcp_bigquery_cluster_audit_logging; gcp_storage_bucket_server_access_logging_enabled,oracle_audit_multi_region_enabled; oracle_audit_cloudwatch_logging_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_autonomous_dw_cluster_audit_logging; oracle_object_storage_bucket_server_access_logging_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_cloudwatch_logging_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_databases_instance_integration_cloudwatch_logs; ibm_db2_warehouse_cluster_audit_logging; ibm_cos_bucket_server_access_logging_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_cloudwatch_logging_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_analyticdb_cluster_audit_logging; alicloud_oss_bucket_server_access_logging_enabled,42
