rule_id,provider,service,category,severity,title,description,check_type,complexity,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,frameworks,compliance_ids,source_file
ibm.activity_log.audit.rule_deletion,ibm,activity_log,audit,MEDIUM,"Detect deletion of critical security rules (Security Groups, ACLs) in logs and chained events that disable monitoring services.","Detect deletion of critical security rules (Security Groups, ACLs) in logs and chained events that disable monitoring services.",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,PCI_DSS,PCI_DSS/10.7.1,ibm_rule_ciem/activity_log/ibm.activity_log.audit.rule_deletion.yaml
ibm.activity_tracker.audit.log_integrity_violation,ibm,activity_tracker,audit,MEDIUM,Monitor for log export deletions or timestamp alterations in Activity Tracker,Monitor for log export deletions or timestamp alterations in Activity Tracker,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CANADA_PBMM,CANADA_PBMM/AU-8(1),ibm_rule_ciem/activity_tracker/ibm.activity_tracker.audit.log_integrity_violation.yaml
ibm.activity_tracker.chain.replay_sequence,ibm,activity_tracker,chain,HIGH,Detect authentication replay events and suspicious sequences indicating potential replay attacks.,Detect authentication replay events and suspicious sequences indicating potential replay attacks.,log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.5.4,ibm_rule_ciem/activity_tracker/ibm.activity_tracker.chain.replay_sequence.yaml
ibm.activity_tracker.audit.config_change,ibm,activity_tracker,audit,MEDIUM,"Detect creation of ""false positive"" notes on IBM Security Advisor findings or configuration changes to IBM Activity Tracker that could suppress vulner","Detect creation of ""false positive"" notes on IBM Security Advisor findings or configuration changes to IBM Activity Tracker that could suppress vulner",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,modify,security_posture,PCI_DSS,PCI_DSS/6.3.1,ibm_rule_ciem/activity_tracker/ibm.activity_tracker.audit.config_change.yaml
ibm.activity_tracker.audit.log_export_delete,ibm,activity_tracker,audit,HIGH,"Detect export or deletion of Activity Tracker events, or chained actions to remove/encrypt log data in backing stores.","Detect export or deletion of Activity Tracker events, or chained actions to remove/encrypt log data in backing stores.",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CANADA_PBMM,CANADA_PBMM/AU-9(2),ibm_rule_ciem/activity_tracker/ibm.activity_tracker.audit.log_export_delete.yaml
ibm.activity_tracker.audit.retention_update,ibm,activity_tracker,audit,MEDIUM,Detect retention period reduction for Activity Tracker instances and multi-step log routing disruption.,Detect retention period reduction for Activity Tracker instances and multi-step log routing disruption.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,modify,security_posture,CIS_IBM,CIS_IBM/3.2,ibm_rule_ciem/activity_tracker/ibm.activity_tracker.audit.retention_update.yaml
ibm.activity_tracker.chain.log_export_delete,ibm,activity_tracker,chain,HIGH,Detect disabling of IBM Security Advisor malware detection alerts or deletion of Activity Tracker log exports containing anti-malware events.,Detect disabling of IBM Security Advisor malware detection alerts or deletion of Activity Tracker log exports containing anti-malware events.,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,PCI_DSS,PCI_DSS/5.3.4,ibm_rule_ciem/activity_tracker/ibm.activity_tracker.chain.log_export_delete.yaml
ibm.cloudant.audit.route_delete,ibm,cloudant,audit,HIGH,"Detect Activity Tracker instance deletion or route removal, and Cloudant database audit log configuration changes that halt log forwarding.","Detect Activity Tracker instance deletion or route removal, and Cloudant database audit log configuration changes that halt log forwarding.",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CIS,CIS/2.1.2,ibm_rule_ciem/cloudant/ibm.cloudant.audit.route_delete.yaml
ibm.cloudant.chain.log_removal,ibm,cloudant,chain,HIGH,"Detect export or deletion of Activity Tracker events, or chained actions to remove/encrypt log data in backing stores.","Detect export or deletion of Activity Tracker events, or chained actions to remove/encrypt log data in backing stores.",log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,security_posture,read,security_posture,CANADA_PBMM,CANADA_PBMM/AU-9(2),ibm_rule_ciem/cloudant/ibm.cloudant.chain.log_removal.yaml
ibm.codeengine.activity_log.privileged_job_run,ibm,codeengine,activity_log,MEDIUM,Detect privileged workload creation in IKS/OpenShift and Code Engine,Detect privileged workload creation in IKS/OpenShift and Code Engine,log,L6_CIEM_EVENT,privilege_escalation,privilege_escalation,T1078,55,security_posture,create,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,ibm_rule_ciem/codeengine/ibm.codeengine.activity_log.privileged_job_run.yaml
