rule_id,provider,service,category,severity,title,description,check_type,complexity,frameworks,compliance_ids,source_file
azure.aad.password_policy.hide_feedback_configured,azure,aad,password_policy,MEDIUM,Check Azure AD password policy obscures authentication feedback.,Check Azure AD password policy obscures authentication feedback.,config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.5.11,azure_rule_config/aad/azure.aad.password_policy.hide_feedback_configured.yaml
azure.aad.user.account_management_enabled,azure,aad,user,MEDIUM,Ensure account management controls are enabled for Azure AD users and service principals,Ensure account management controls are enabled for Azure AD users and service principals; (refined),config,L1_API_BOOLEAN,CANADA_PBMM,CANADA_PBMM/AC-2(1),azure_rule_config/aad/azure.aad.user.account_management_enabled.yaml
azure.aad.user.allow_guest_invites_restricted,azure,aad,user,MEDIUM,Check that guest user invitations are restricted for account management.,Check that guest user invitations are restricted for account management.,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/AC-2(9),azure_rule_config/aad/azure.aad.user.allow_guest_invites_restricted.yaml
azure.aad.user.password_policy_enforce_change_configured,azure,aad,user,MEDIUM,Check Azure AD password policy enforces change for shared accounts.,Check Azure AD password policy enforces change for shared accounts.,config,L2_API_CONFIG,PCI_DSS,PCI_DSS/8.2.2,azure_rule_config/aad/azure.aad.user.password_policy_enforce_change_configured.yaml
azure.aad.user.user_principal_name_configured,azure,aad,user,MEDIUM,(refined),(refined); Check that all Azure AD users are identified with a unique principal name.,config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.5.1,azure_rule_config/aad/azure.aad.user.user_principal_name_configured.yaml
azure.aks.cluster.rbac_enabled,azure,aks,cluster,MEDIUM,PARTIAL: azure.aks.cluster.rbac_enabled ||| verifies RBAC is enabled but not specific Entra ID group integration,PARTIAL: azure.aks.cluster.rbac_enabled ||| verifies RBAC is enabled but not specific Entra ID group integration,config,L1_API_BOOLEAN,CIS_AZURE,CIS_AZURE/5.5.1,azure_rule_config/aks/azure.aks.cluster.rbac_enabled.yaml
azure.apimanagement.api.authorization_enabled,azure,apimanagement,api,MEDIUM,API Security,API Security,config,L1_API_BOOLEAN,RBI_BANK;RBI_NBFC,rbi_bank_12.1;rbi_nbfc_2.10;rbi_nbfc_2.11,azure_rule_config/apimanagement/azure.apimanagement.api.authorization_enabled.yaml
azure.apimanagement.api.client_certificate_enabled,azure,apimanagement,api,MEDIUM,Access Control Decisions - Access control decisions | transmit access authorizat,Access Control Decisions - Access control decisions | transmit access authorizat,config,L1_API_BOOLEAN,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,canada_pbmm_moderate_CCCS_CA_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CA_9;fedramp_moderate_SC_13;nist_800_53_rev5_AC_17_2;...(+43 more),azure_rule_config/apimanagement/azure.apimanagement.api.client_certificate_enabled.yaml
azure.app.function.not_publicly_accessible_enforced,azure,app,function,HIGH,"CC6.1 The entity implements logical access security software, infrastructure, an","CC6.1 The entity implements logical access security software, infrastructure, an",config,L2_API_CONFIG,ISO27001_2022;SOC2,iso27001_2022_A.8.1;soc2_cc_6_1,azure_rule_config/app/azure.app.function.not_publicly_accessible_enforced.yaml
azure.authorization.role_assignment.condition_ip_configured,azure,authorization,role_assignment,MEDIUM,Check role assignment conditions for maintenance actions to ensure they require a source IP from an approved network.,Check role assignment conditions for maintenance actions to ensure they require a source IP from an approved network.; (refined),config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/MA-4(6),azure_rule_config/authorization/azure.authorization.role_assignment.condition_ip_configured.yaml
