rule_id,provider,service,category,severity,title,description,check_type,complexity,frameworks,compliance_ids,source_file
k8s.admission.control.windows_hostprocess_restriction_configured,k8s,admission,control,MEDIUM,Minimize the admission of Windows HostProcess Containers,Minimize the admission of Windows HostProcess Containers,config,L2_API_CONFIG,CIS_K8S,cis_k8s_5.2.11,k8s_rule_config/admission/k8s.admission.control.windows_hostprocess_restriction_configured.yaml
k8s.authentication.user.client_certificate_disabled,k8s,authentication,user,MEDIUM,Check that the cluster's authentication configuration does not allow or use static client certificate files for user authentication.,Check that the cluster's authentication configuration does not allow or use static client certificate files for user authentication.,config,L1_API_BOOLEAN,CIS_K8S,CIS_K8S/3.1.1,k8s_rule_config/authentication/k8s.authentication.user.client_certificate_disabled.yaml
k8s.cluster.api_server.allow_privileged_restricted,k8s,cluster,api_server,MEDIUM,Check that the Kubernetes API server's --allow-privileged argument is set to false.,Check that the Kubernetes API server's --allow-privileged argument is set to false.; (refined),config,L2_API_CONFIG,CIS;CIS_K8S,CIS/2.1.1;CIS_K8S/2.1.1,k8s_rule_config/cluster/k8s.cluster.api_server.allow_privileged_restricted.yaml
k8s.cluster.pod_security_policy_configured,k8s,cluster,pod_security_policy_configured,MEDIUM,PARTIAL: k8s.cluster.pod_security_policy ||| verifies PodSecurityPolicy/PSA configuration exists but not admission control enforcement,PARTIAL: k8s.cluster.pod_security_policy ||| verifies PodSecurityPolicy/PSA configuration exists but not admission control enforcement,config,L2_API_CONFIG,CIS,CIS/5.2.2,k8s_rule_config/cluster/k8s.cluster.pod_security_policy_configured.yaml
k8s.compute.node.rotate_kubelet_server_certificate_configured,k8s,compute,node,MEDIUM,Verify the kubelet server certificate rotation is enabled on Kubernetes nodes.,Verify the kubelet server certificate rotation is enabled on Kubernetes nodes.; (refined),config,L5_NEEDS_AGENT,CIS;CIS_K8S,CIS/4.2.12;CIS_K8S/4.2.12,k8s_rule_config/compute/k8s.compute.node.rotate_kubelet_server_certificate_configured.yaml
k8s.container.image.baseline_approved_enforced,k8s,container,image,MEDIUM,Check that container images are from an approved baseline.,Check that container images are from an approved baseline.; (refined),config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CM-2(7),k8s_rule_config/container/k8s.container.image.baseline_approved_enforced.yaml
k8s.container.node_auto_upgrade_enabled,k8s,container,node_auto_upgrade_enabled,MEDIUM,Check that Kubernetes node pools are configured for automatic security updates.,Check that Kubernetes node pools are configured for automatic security updates.; (refined),config,L1_API_BOOLEAN,CANADA_PBMM,CANADA_PBMM/SI-2(3),k8s_rule_config/container/k8s.container.node_auto_upgrade_enabled.yaml
k8s.control_plane.kube_apiserver.event_qps_configured,k8s,control_plane,kube_apiserver,MEDIUM,Ensure the kube-apiserver --event-qps argument is set to 0 to limit event creation.,Ensure the kube-apiserver --event-qps argument is set to 0 to limit event creation.; (refined),config,L2_API_CONFIG,CIS;CIS_K8S,CIS/2.1.11;CIS_K8S/2.1.11,k8s_rule_config/control_plane/k8s.control_plane.kube_apiserver.event_qps_configured.yaml
k8s.control_plane.scheduler.file_ownership_enforced,k8s,control_plane,scheduler,MEDIUM,Check that the kube-scheduler static pod manifest file is owned by root:root,Check that the kube-scheduler static pod manifest file is owned by root:root; (refined),config,L5_NEEDS_AGENT,CIS;CIS_K8S,CIS/1.4.6;CIS_K8S/1.4.6,k8s_rule_config/control_plane/k8s.control_plane.scheduler.file_ownership_enforced.yaml
k8s.core.namespace.backup_label_configured,k8s,core,namespace,MEDIUM,Check that Kubernetes namespaces or critical workloads are labeled for inclusion in a cluster backup/disaster recovery solution.,Check that Kubernetes namespaces or critical workloads are labeled for inclusion in a cluster backup/disaster recovery solution.,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CP-2(5),k8s_rule_config/core/k8s.core.namespace.backup_label_configured.yaml
