rule_id,provider,service,category,severity,title,description,check_type,complexity,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,frameworks,compliance_ids,source_file
gcp.cloudaudit.audit.authentication_anomaly,gcp,cloudaudit,audit,MEDIUM,Monitor for repeated failed authentication events in IAM and Admin Activity audit logs.,Monitor for repeated failed authentication events in IAM and Admin Activity audit logs.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.1.8,gcp_rule_ciem/cloudaudit/gcp.cloudaudit.audit.authentication_anomaly.yaml
gcp.compute.activity_log.auditd_alter,gcp,compute,activity_log,MEDIUM,Detect Compute Engine auditd service manipulation and OS Config patch deployments that modify or disable auditd,Detect Compute Engine auditd service manipulation and OS Config patch deployments that modify or disable auditd,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,modify,security_posture,CIS,CIS/5.7.2,gcp_rule_ciem/compute/gcp.compute.activity_log.auditd_alter.yaml
gcp.compute.activity_log.create_image,gcp,compute,activity_log,MEDIUM,Flag custom image creation from external sources and OS patch/package operations that could deploy untested diagnostic programs.,Flag custom image creation from external sources and OS patch/package operations that could deploy untested diagnostic programs.,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,security_posture,create,security_posture,NIST_800_171,NIST_800_171/3.4.7,gcp_rule_ciem/compute/gcp.compute.activity_log.create_image.yaml
gcp.compute.activity_log.delete_disk,gcp,compute,activity_log,HIGH,Detect persistent disk deletion and snapshot creation from deleted disks as possible unsanitized reuse or backup.,Detect persistent disk deletion and snapshot creation from deleted disks as possible unsanitized reuse or backup.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,security_posture,delete,security_posture,NIST_800_171,NIST_800_171/3.8.3,gcp_rule_ciem/compute/gcp.compute.activity_log.delete_disk.yaml
gcp.compute.activity_log.disable_osconfig_malware,gcp,compute,activity_log,HIGH,Detect disabling of OS Config malware scanning or IAM role modifications to bypass Cloud Security Scanner.,Detect disabling of OS Config malware scanning or IAM role modifications to bypass Cloud Security Scanner.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,security_posture,delete,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(7),gcp_rule_ciem/compute/gcp.compute.activity_log.disable_osconfig_malware.yaml
gcp.compute.activity_log.set_nested_virtualization,gcp,compute,activity_log,MEDIUM,Alert on API calls enabling nested virtualization on Compute Engine VMs or creating VMs with nested virtualization enabled.,Alert on API calls enabling nested virtualization on Compute Engine VMs or creating VMs with nested virtualization enabled.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,gcp_rule_ciem/compute/gcp.compute.activity_log.set_nested_virtualization.yaml
gcp.compute.audit.instance_creation_without_integrity,gcp,compute,audit,MEDIUM,Detect shielded VM policy modifications disabling vTPM/Integrity Monitoring or instance creations without integrity features.,Detect shielded VM policy modifications disabling vTPM/Integrity Monitoring or instance creations without integrity features.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CIS,CIS/5.1,gcp_rule_ciem/compute/gcp.compute.audit.instance_creation_without_integrity.yaml
gcp.compute.audit.patch_override,gcp,compute,audit,MEDIUM,Monitor for instance patch policy overrides or OS Config agent manipulations to evade patching.,Monitor for instance patch policy overrides or OS Config agent manipulations to evade patching.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CIS_GCP,CIS_GCP/4.12,gcp_rule_ciem/compute/gcp.compute.audit.patch_override.yaml
gcp.compute.audit.ssh_session_chain,gcp,compute,audit,MEDIUM,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.1.10,gcp_rule_ciem/compute/gcp.compute.audit.ssh_session_chain.yaml
gcp.contactcenterinsights.audit.create_analysis,gcp,contactcenterinsights,audit,MEDIUM,Detect firewall rule creation for VoIP traffic patterns and Contact Center AI analysis initiation,Detect firewall rule creation for VoIP traffic patterns and Contact Center AI analysis initiation,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,NIST_800_171,NIST_800_171/3.13.14,gcp_rule_ciem/contactcenterinsights/gcp.contactcenterinsights.audit.create_analysis.yaml
gcp.iam.activity_log.disable_2sv,gcp,iam,activity_log,HIGH,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,Detect two-step verification disablement and chained SSH sessions bypassing inactivity timeouts.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,identity_and_access_management,delete,security_posture,NIST_800_171,NIST_800_171/3.1.10,gcp_rule_ciem/iam/gcp.iam.activity_log.disable_2sv.yaml
gcp.iam.activity_log.replay_detection,gcp,iam,activity_log,MEDIUM,Detect replay attempts in IAM audit logs and behavioral chains indicating stolen credential reuse.,Detect replay attempts in IAM audit logs and behavioral chains indicating stolen credential reuse.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,NIST_800_171,NIST_800_171/3.5.4,gcp_rule_ciem/iam/gcp.iam.activity_log.replay_detection.yaml
gcp.iam.audit.dormant_user_console_access,gcp,iam,audit,MEDIUM,Detect use of dormant service account keys (>90d) or console login by long-inactive human user,Detect use of dormant service account keys (>90d) or console login by long-inactive human user,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,CIS,CIS/1.5,gcp_rule_ciem/iam/gcp.iam.audit.dormant_user_console_access.yaml
gcp.logging.activity_log.audit_frequency,gcp,logging,activity_log,MEDIUM,Monitor for deviations from defined log review schedules and detect privilege escalation chains in GCP audit logs.,Monitor for deviations from defined log review schedules and detect privilege escalation chains in GCP audit logs.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,PCI_DSS,PCI_DSS/10.4.2.1,gcp_rule_ciem/logging/gcp.logging.activity_log.audit_frequency.yaml
gcp.osconfig.audit.patch_execution,gcp,osconfig,audit,MEDIUM,Track Compute Engine instance creation and OS Config patch executions to enforce software allow/deny policies.,Track Compute Engine instance creation and OS Config patch executions to enforce software allow/deny policies.; Flag custom image creation from extern,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.4.8;NIST_800_171/3.7.4,gcp_rule_ciem/osconfig/gcp.osconfig.audit.patch_execution.yaml
gcp.osconfig.chain.auditd_evasion,gcp,osconfig,chain,HIGH,Detect Compute Engine auditd service manipulation and OS Config patch deployments that modify or disable auditd,Detect Compute Engine auditd service manipulation and OS Config patch deployments that modify or disable auditd,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CIS,CIS/5.7.2,gcp_rule_ciem/osconfig/gcp.osconfig.chain.auditd_evasion.yaml
gcp.iam.audit.require_mfa_for_cloud_console,gcp,iam,audit,MEDIUM,PARTIAL: gcp.iam.audit.require_mfa_for_cloud_console ||| verifies MFA policy exists for console but cannot verify session termination for external mai,PARTIAL: gcp.iam.audit.require_mfa_for_cloud_console ||| verifies MFA policy exists for console but cannot verify session termination for external mai,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,NIST_800_171,NIST_800_171/3.7.5,gcp_rule_ciem/iam/gcp.iam.audit.require_mfa_for_cloud_console.yaml
