rule_id,provider,service,category,severity,title,description,check_type,complexity,frameworks,compliance_ids,source_file
gcp.app.engine.managed_updates_enabled,gcp,app,engine,MEDIUM,Enable automatic updates and patch quickly,Enable automatic updates and patch quickly,config,L1_API_BOOLEAN,CISA_CE;RBI_BANK;RBI_NBFC,cisa_ce_v1_Booting_Up_3;rbi_bank_21.2;rbi_nbfc_2.6,gcp_rule_config/app/gcp.app.engine.managed_updates_enabled.yaml
gcp.artifactregistry.container.analysis_enabled,gcp,artifactregistry,container,MEDIUM,CC3.1 COSO Principle 6: The entity specifies objectives with sufficient clarity,CC3.1 COSO Principle 6: The entity specifies objectives with sufficient clarity,config,L1_API_BOOLEAN,SOC2,soc2_cc_3_1,gcp_rule_config/artifactregistry/gcp.artifactregistry.container.analysis_enabled.yaml
gcp.compute.instance.backup_policy_configured,gcp,compute,instance,MEDIUM,"A1.2 Backup and Disaster Recovery: The entity implements backup processes, data","A1.2 Backup and Disaster Recovery: The entity implements backup processes, data",config,L2_API_CONFIG,SOC2,soc2_a1_2,gcp_rule_config/compute/gcp.compute.instance.backup_policy_configured.yaml
gcp.dataproc.cluster.automatic_upgrades_enabled,gcp,dataproc,cluster,MEDIUM,Baseline Configuration,Baseline Configuration,config,L1_API_BOOLEAN,CANADA_PBMM;FedRAMP_Moderate;NIST_800_53,canada_pbmm_moderate_CCCS_CM_2;canada_pbmm_moderate_CCCS_CP_9;canada_pbmm_moderate_CCCS_SI_2;fedramp_moderate_CM_2;fedramp_moderate_CM_2_2;...(+21 more),gcp_rule_config/dataproc/gcp.dataproc.cluster.automatic_upgrades_enabled.yaml
gcp.dataproc.cluster.maintenance_window_configured,gcp,dataproc,cluster,MEDIUM,Enable automatic updates and patch quickly,Enable automatic updates and patch quickly,config,L2_API_CONFIG,CISA_CE;RBI_NBFC,cisa_ce_v1_Booting_Up_3;rbi_nbfc_2.6,gcp_rule_config/dataproc/gcp.dataproc.cluster.maintenance_window_configured.yaml
gcp.cloudfunctions.function.url_authentication_enabled,gcp,cloudfunctions,function,MEDIUM,Mobile Financial Services Security,Mobile Financial Services Security,config,L1_API_BOOLEAN,RBI_NBFC,rbi_nbfc_2.11,gcp_rule_config/cloudfunctions/gcp.cloudfunctions.function.url_authentication_enabled.yaml
gcp.cloud_security_scanner.scan_config.exists,gcp,cloud_security_scanner,scan_config,MEDIUM,(refined),(refined),config,L2_API_CONFIG,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,gcp_rule_config/cloud_security_scanner/gcp.cloud_security_scanner.scan_config.exists.yaml
gcp.sql.backup.retention_configured,gcp,sql,backup,MEDIUM,"A1.2 Backup and Disaster Recovery: The entity implements backup processes, data","A1.2 Backup and Disaster Recovery: The entity implements backup processes, data",config,L2_API_CONFIG,SOC2,soc2_a1_2,gcp_rule_config/sql/gcp.sql.backup.retention_configured.yaml
gcp.sql.instance.high_availability_enabled,gcp,sql,instance,MEDIUM,A1.1 Capacity Management: The entity conducts capacity planning to ensure adequa,A1.1 Capacity Management: The entity conducts capacity planning to ensure adequa,config,L1_API_BOOLEAN,SOC2,soc2_a1_1,gcp_rule_config/sql/gcp.sql.instance.high_availability_enabled.yaml
gcp.compute.alb.https_redirect_configured,gcp,compute,alb,HIGH,CCCS SC-8: Transmission Confidentiality and Integrity,CCCS SC-8: Transmission Confidentiality and Integrity,config,L2_API_CONFIG,CANADA_PBMM;FedRAMP_Moderate,canada_pbmm_moderate_CCCS_SC_8;fedramp_moderate_SC_8,gcp_rule_config/compute/gcp.compute.alb.https_redirect_configured.yaml
gcp.compute.autoscaler.configured,gcp,compute,autoscaler,MEDIUM,A1.1 Capacity Management: The entity conducts capacity planning to ensure adequa,A1.1 Capacity Management: The entity conducts capacity planning to ensure adequa,config,L2_API_CONFIG,SOC2,soc2_a1_1,gcp_rule_config/compute/gcp.compute.autoscaler.configured.yaml
gcp.compute.disk.delete_rule_configured,gcp,compute,disk,MEDIUM,Check that persistent disks are configured to be deleted on instance deletion.,Check that persistent disks are configured to be deleted on instance deletion.; (refined),config,L2_API_CONFIG,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,gcp_rule_config/compute/gcp.compute.disk.delete_rule_configured.yaml
gcp.compute.firewall.deny_all_ingress_restricted,gcp,compute,firewall,MEDIUM,Check that the default VPC firewall rule denies all inbound traffic.,Check that the default VPC firewall rule denies all inbound traffic.; Check that a VPC firewall rule with priority 65535 denies all ingress.,config,L3_API_LIST_CROSS,CANADA_PBMM,CANADA_PBMM/SC-7(4);CANADA_PBMM/SC-7(5),gcp_rule_config/compute/gcp.compute.firewall.deny_all_ingress_restricted.yaml
gcp.compute.firewall.ingress_restricted,gcp,compute,firewall,MEDIUM,Check that VPC firewall rules restrict ingress traffic to authorized sources.,Check that VPC firewall rules restrict ingress traffic to authorized sources.; Check that VPC firewall rules restrict inbound traffic to authorized so,config,L3_API_LIST_CROSS,CANADA_PBMM,CANADA_PBMM/SC-7(12);CANADA_PBMM/SC-7(13);CANADA_PBMM/SC-7(18);CANADA_PBMM/SC-7(7);CANADA_PBMM/SC-7(8),gcp_rule_config/compute/gcp.compute.firewall.ingress_restricted.yaml
gcp.compute.firewall.rule_direction_configured,gcp,compute,firewall,MEDIUM,"Check that VPC Firewall rules enforce allowed traffic flows (deny by default, explicit allow rules).","Check that VPC Firewall rules enforce allowed traffic flows (deny by default, explicit allow rules).",config,L3_API_LIST_CROSS,CANADA_PBMM,CANADA_PBMM/AC-4(21),gcp_rule_config/compute/gcp.compute.firewall.rule_direction_configured.yaml
