rule_id,provider,service,category,severity,title,description,check_type,complexity,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,frameworks,compliance_ids,source_file
azure.aad.activity_log.replay_token,azure,aad,activity_log,MEDIUM,Detect replay of authentication tokens and anomalous sequences of authentication actions from unusual locations/times.,Detect replay of authentication tokens and anomalous sequences of authentication actions from unusual locations/times.,log,L6_CIEM_EVENT,credential_access,credential_access,T1552,55,security_posture,read,security_posture,NIST_800_171,NIST_800_171/3.5.4,azure_rule_ciem/aad/azure.aad.activity_log.replay_token.yaml
azure.aad.activity_log.signin_after_inactivity,azure,aad,activity_log,MEDIUM,"Alert on sign-in for accounts inactive >90 days, and chain where inactive account is re-enabled then quickly disabled","Alert on sign-in for accounts inactive >90 days, and chain where inactive account is re-enabled then quickly disabled",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,azure_rule_ciem/aad/azure.aad.activity_log.signin_after_inactivity.yaml
azure.aad.activity_log.signin_failure_series,azure,aad,activity_log,MEDIUM,"Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.","Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,NIST_800_171,NIST_800_171/3.1.8,azure_rule_ciem/aad/azure.aad.activity_log.signin_failure_series.yaml
azure.communication.audit.create_voip_resource,azure,communication,audit,MEDIUM,Monitor creation of Azure Communication Services VoIP resources and NSG changes affecting VoIP ports,Monitor creation of Azure Communication Services VoIP resources and NSG changes affecting VoIP ports,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,NIST_800_171,NIST_800_171/3.13.14,azure_rule_ciem/communication/azure.communication.audit.create_voip_resource.yaml
azure.compute.audit.rdp_session_anomaly,azure,compute,audit,MEDIUM,Detect MFA policy disablement and anomalous RDP session patterns indicating lack of session lock.,Detect MFA policy disablement and anomalous RDP session patterns indicating lack of session lock.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.1.10,azure_rule_ciem/compute/azure.compute.audit.rdp_session_anomaly.yaml
azure.compute.chain.nested_hypervisor_enable,azure,compute,chain,HIGH,Monitor VM updates for enabling nested virtualization and detect chained actions that bypass default hypervisor restrictions.,Monitor VM updates for enabling nested virtualization and detect chained actions that bypass default hypervisor restrictions.,log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,security_posture,read,security_posture,CIS,CIS/6.1,azure_rule_ciem/compute/azure.compute.chain.nested_hypervisor_enable.yaml
azure.monitor.activity_log.timestamp_anomaly,azure,monitor,activity_log,MEDIUM,Identify log timestamp discrepancies or unauthorized log workspace deletions,Identify log timestamp discrepancies or unauthorized log workspace deletions,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,CANADA_PBMM,CANADA_PBMM/AU-8(1),azure_rule_ciem/monitor/azure.monitor.activity_log.timestamp_anomaly.yaml
azure.monitor.audit.brute_force_pattern,azure,monitor,audit,MEDIUM,"Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.","Identify rapid sequences of failed sign-ins from same principal or IP, indicating credential brute force.",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.1.8,azure_rule_ciem/monitor/azure.monitor.audit.brute_force_pattern.yaml
azure.vm.activity_log.auditd_modify,azure,vm,activity_log,MEDIUM,Detect VM auditd configuration changes and Automation runbooks that disable or circumvent Linux audit logging,Detect VM auditd configuration changes and Automation runbooks that disable or circumvent Linux audit logging,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,modify,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,azure_rule_ciem/vm/azure.vm.activity_log.auditd_modify.yaml
azure.vm.activity_log.modify_time_config,azure,vm,activity_log,MEDIUM,Detect modifications to VM time synchronization settings or disabling of log profiles that could disrupt time-correlated security monitoring.,Detect modifications to VM time synchronization settings or disabling of log profiles that could disrupt time-correlated security monitoring.; Detect,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,security_posture,modify,security_posture,NIST_800_171;PCI_DSS,NIST_800_171/3.3.7;PCI_DSS/10.6.1,azure_rule_ciem/vm/azure.vm.activity_log.modify_time_config.yaml
azure.vm.audit.patch_override,azure,vm,audit,MEDIUM,Identify VM patch state tampering or automated runbook sequences designed to bypass update compliance.,Identify VM patch state tampering or automated runbook sequences designed to bypass update compliance.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CIS,CIS/10.7,azure_rule_ciem/vm/azure.vm.audit.patch_override.yaml
