rule_id,provider,service,category,severity,title,description,check_type,complexity,frameworks,compliance_ids,source_file
ibm.activity_tracker.alert_configuration_verification_enabled,ibm,activity_tracker,alert_configuration_verification_enabled,MEDIUM,"Ensure alerts are defined on custom views to notify of  unauthorized requests, c","Ensure alerts are defined on custom views to notify of  unauthorized requests, c",config,L1_API_BOOLEAN,CIS_IBM,cis_ibm_3.4,ibm_rule_config/activity_tracker/ibm.activity_tracker.alert_configuration_verification_enabled.yaml
ibm.activity_tracker.monitoring_api_log_enabled,ibm,activity_tracker,monitoring_api_log_enabled,MEDIUM,Learn what is happening on your network,Learn what is happening on your network,config,L1_API_BOOLEAN,CISA_CE;RBI_NBFC,cisa_ce_v1_Your_Data_1;rbi_nbfc_3.5,ibm_rule_config/activity_tracker/ibm.activity_tracker.monitoring_api_log_enabled.yaml
ibm.activity_tracker.cos_dataevents_read_enabled,ibm,activity_tracker,cos_dataevents_read_enabled,MEDIUM,"CC2.1 COSO Principle 13: The entity obtains or generates and uses relevant, qual","CC2.1 COSO Principle 13: The entity obtains or generates and uses relevant, qual",config,L1_API_BOOLEAN,SOC2,soc2_cc_2_1;soc2_cc_7_2,ibm_rule_config/activity_tracker/ibm.activity_tracker.cos_dataevents_read_enabled.yaml
ibm.activity_tracker.data_encryption_at_rest_configured,ibm,activity_tracker,data_encryption_at_rest_configured,HIGH,Ensure Activity Tracker data is encrypted at rest,Ensure Activity Tracker data is encrypted at rest,config,L2_API_CONFIG,CIS_IBM,cis_ibm_3.6,ibm_rule_config/activity_tracker/ibm.activity_tracker.data_encryption_at_rest_configured.yaml
ibm.activity_tracker.kms_encryption_enabled,ibm,activity_tracker,kms_encryption_enabled,HIGH,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,config,L1_API_BOOLEAN,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_CM_6;canada_pbmm_moderate_CCCS_CM_9;canada_pbmm_moderate_CCCS_CP_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CM_6;...(+38 more),ibm_rule_config/activity_tracker/ibm.activity_tracker.kms_encryption_enabled.yaml
ibm.activity_tracker.log_file_validation_enabled,ibm,activity_tracker,log_file_validation_enabled,MEDIUM,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,config,L1_API_BOOLEAN,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;PCI_DSS;RBI_BANK;RBI_NBFC;SOC2,canada_pbmm_moderate_CCCS_AU_9;canada_pbmm_moderate_CCCS_CM_6;canada_pbmm_moderate_CCCS_CM_9;canada_pbmm_moderate_CCCS_SI_4;fedramp_moderate_AU_9;...(+46 more),ibm_rule_config/activity_tracker/ibm.activity_tracker.log_file_validation_enabled.yaml
ibm.activity_tracker.logdna_archiving_enabled,ibm,activity_tracker,logdna_archiving_enabled,MEDIUM,Ensure Activity Tracker trails are integrated with LogDNA  Logs,Ensure Activity Tracker trails are integrated with LogDNA  Logs,config,L1_API_BOOLEAN,CIS_IBM,cis_ibm_3.7,ibm_rule_config/activity_tracker/ibm.activity_tracker.logdna_archiving_enabled.yaml
ibm.activity_tracker.login_ip_restriction_check,ibm,activity_tracker,login_ip_restriction_check,MEDIUM,Ensure the account owner can login only from a list of  authorized countries/IP,Ensure the account owner can login only from a list of  authorized countries/IP,config,L2_API_CONFIG,CIS_IBM,cis_ibm_3.5,ibm_rule_config/activity_tracker/ibm.activity_tracker.login_ip_restriction_check.yaml
ibm.activity_tracker.multi_region_enabled,ibm,activity_tracker,multi_region_enabled,MEDIUM,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,config,L1_API_BOOLEAN,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;PCI_DSS;RBI_BANK;RBI_NBFC;SOC2,canada_pbmm_moderate_CCCS_AU_12;canada_pbmm_moderate_CCCS_AU_2;canada_pbmm_moderate_CCCS_AU_3;canada_pbmm_moderate_CCCS_AU_8;canada_pbmm_moderate_CCCS_CA_7;...(+89 more),ibm_rule_config/activity_tracker/ibm.activity_tracker.multi_region_enabled.yaml
ibm.activity_tracker.cos_dataevents_write_enabled,ibm,activity_tracker,cos_dataevents_write_enabled,MEDIUM,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,config,L1_API_BOOLEAN,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_AU_12;canada_pbmm_moderate_CCCS_AU_2;canada_pbmm_moderate_CCCS_AU_3;canada_pbmm_moderate_CCCS_AU_8;canada_pbmm_moderate_CCCS_CA_7;...(+70 more),ibm_rule_config/activity_tracker/ibm.activity_tracker.cos_dataevents_write_enabled.yaml
