rule_id,provider,service,category,severity,title,description,rule_type,check_type,complexity,frameworks,compliance_ids,threat_category,action_category,mitre_tactics,mitre_techniques,risk_score,domain,posture_category,source_file
alicloud.actiontrail.activity_log.critical_gap,alicloud,actiontrail,activity_log,MEDIUM,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,ciem,log,L6_CIEM_EVENT,PCI_DSS,PCI_DSS/10.2.2,reconnaissance,read,discovery,T1580,55,security_posture,security_posture,alicloud_rule_ciem/actiontrail/alicloud.actiontrail.activity_log.critical_gap.yaml
alicloud.actiontrail.activity_log.review_anomaly,alicloud,actiontrail,activity_log,MEDIUM,Identify anomalies in log review activity and detect unauthorized role assumption chains in ActionTrail and RAM logs.,Identify anomalies in log review activity and detect unauthorized role assumption chains in ActionTrail and RAM logs.,ciem,log,L6_CIEM_EVENT,PCI_DSS,PCI_DSS/10.4.2.1,reconnaissance,read,discovery,T1580,55,security_posture,security_posture,alicloud_rule_ciem/actiontrail/alicloud.actiontrail.activity_log.review_anomaly.yaml
alicloud.ecs.activity_log.auditd_kill,alicloud,ecs,activity_log,MEDIUM,Detect ECS instance auditd process kill events and OOS executions that modify or stop auditd service,Detect ECS instance auditd process kill events and OOS executions that modify or stop auditd service,ciem,log,L6_CIEM_EVENT,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/ecs/alicloud.ecs.activity_log.auditd_kill.yaml
alicloud.ecs.activity_log.modify_time_service,alicloud,ecs,activity_log,MEDIUM,Detect actions that disable or modify time services on ECS instances and disabling or pausing ActionTrail trails that could affect audit timestamp gen,Detect actions that disable or modify time services on ECS instances and disabling or pausing ActionTrail trails that could affect audit timestamp gen,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.3.7,defense_evasion,modify,defense_evasion,T1562,55,security_posture,security_posture,alicloud_rule_ciem/ecs/alicloud.ecs.activity_log.modify_time_service.yaml
alicloud.ecs.audit.create_image,alicloud,ecs,audit,MEDIUM,Monitor ECS custom image creation and OOS template executions that could introduce untested diagnostic programs.,Monitor ECS custom image creation and OOS template executions that could introduce untested diagnostic programs.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.7.4,persistence,create,persistence,T1098,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/ecs/alicloud.ecs.audit.create_image.yaml
alicloud.ecs.audit.enable_nested_virtualization,alicloud,ecs,audit,MEDIUM,Track ECS instance type modifications or explicit actions enabling nested virtualization.,Track ECS instance type modifications or explicit actions enabling nested virtualization.,ciem,log,L6_CIEM_EVENT,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/ecs/alicloud.ecs.audit.enable_nested_virtualization.yaml
alicloud.ecs.audit.patch_override,alicloud,ecs,audit,MEDIUM,Detect ECS instance patch state tampering or OOS template executions designed to circumvent patching.,Detect ECS instance patch state tampering or OOS template executions designed to circumvent patching.,ciem,log,L6_CIEM_EVENT,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/ecs/alicloud.ecs.audit.patch_override.yaml
alicloud.ecs.audit.stop_security_agent,alicloud,ecs,audit,MEDIUM,Detect stopping of Security Center agents and chained deletion of ActionTrail logs related to malware alerts.,Detect stopping of Security Center agents and chained deletion of ActionTrail logs related to malware alerts.,ciem,log,L6_CIEM_EVENT,CIS_ALICLOUD,CIS_ALICLOUD/6.6.2,defense_evasion,delete,defense_evasion,T1562,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/ecs/alicloud.ecs.audit.stop_security_agent.yaml
alicloud.ecs.audit.uninstall_cloudmonitor,alicloud,ecs,audit,MEDIUM,Detect uninstalling CloudMonitor agent or chaining uninstall with instance stop to evade monitoring,Detect uninstalling CloudMonitor agent or chaining uninstall with instance stop to evade monitoring,ciem,log,L6_CIEM_EVENT,CANADA_PBMM,CANADA_PBMM/SI-3(2),reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/ecs/alicloud.ecs.audit.uninstall_cloudmonitor.yaml
alicloud.oos.audit.execute_template,alicloud,oos,audit,MEDIUM,Detect ECS instance launches and OOS template executions to enforce software whitelisting/blacklisting policies.,Detect ECS instance launches and OOS template executions to enforce software whitelisting/blacklisting policies.,ciem,log,L6_CIEM_EVENT,NIST_800_171,NIST_800_171/3.4.8,reconnaissance,read,discovery,T1580,55,logging_monitoring_and_alerting,security_posture,alicloud_rule_ciem/oos/alicloud.oos.audit.execute_template.yaml
