rule_id,provider,service,category,severity,title,description,check_type,complexity,frameworks,compliance_ids,source_file
oci.artifacts.container.image_scan_on_push_configured,oracle,artifacts,container,MEDIUM,PARTIAL: oci.artifacts.container.image.scan_on_push ||| verifies OCIR scan on push is enabled but does not confirm execution after significant changes,PARTIAL: oci.artifacts.container.image.scan_on_push ||| verifies OCIR scan on push is enabled but does not confirm execution after significant changes,config,L2_API_CONFIG,PCI_DSS,PCI_DSS/11.3.1.3,oracle_rule_config/artifacts/oci.artifacts.container.image_scan_on_push_configured.yaml
oci.blockstorage.volume.backup_policy_configured,oracle,blockstorage,volume,MEDIUM,Check OCI Block Volume has a backup policy assigned.,Check OCI Block Volume has a backup policy assigned.; (refined),config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CP-9(1),oracle_rule_config/blockstorage/oci.blockstorage.volume.backup_policy_configured.yaml
oci.blockstorage.volume.encryption_at_rest_configured,oracle,blockstorage,volume,HIGH,Check that block volumes storing CUI are encrypted at rest.,Check that block volumes storing CUI are encrypted at rest.; (refined),config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.8.1,oracle_rule_config/blockstorage/oci.blockstorage.volume.encryption_at_rest_configured.yaml
oci.cloudguard.detector_recipe.enabled,oracle,cloudguard,detector_recipe,MEDIUM,(refined),(refined),config,L2_API_CONFIG,CIS,CIS/8.1.16,oracle_rule_config/cloudguard/oci.cloudguard.detector_recipe.enabled.yaml
oci.cloudguard.target.enabled,oracle,cloudguard,target,MEDIUM,(refined),(refined),config,L2_API_CONFIG,CIS,CIS/8.1.16,oracle_rule_config/cloudguard/oci.cloudguard.target.enabled.yaml
oci.compute.config_file.permissions_configured,oracle,compute,config_file,MEDIUM,(refined),(refined),config,L5_NEEDS_AGENT,CIS_OCI,CIS_OCI/3.1.1,oracle_rule_config/compute/oci.compute.config_file.permissions_configured.yaml
oci.compute.image.signature_validation_enabled,oracle,compute,image,MEDIUM,PARTIAL: oci.compute.image.signature_validation_enabled ||| verifies image signature but not full developer CM process,PARTIAL: oci.compute.image.signature_validation_enabled ||| verifies image signature but not full developer CM process,config,L1_API_BOOLEAN,CANADA_PBMM,CANADA_PBMM/SA-10(1),oracle_rule_config/compute/oci.compute.image.signature_validation_enabled.yaml
oci.compute.instance.agent_installed_configured,oracle,compute,instance,MEDIUM,PARTIAL: oci.compute.instance.agent_installed ||| verifies management agent is present but not specific antimalware execution,PARTIAL: oci.compute.instance.agent_installed ||| verifies management agent is present but not specific antimalware execution; PARTIAL: oci.compute.in,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/SI-3(1);CANADA_PBMM/SI-3(2),oracle_rule_config/compute/oci.compute.instance.agent_installed_configured.yaml
oci.compute.instance.backup_policy_configured,oracle,compute,instance,MEDIUM,PARTIAL: oci.compute.instance.backup_policy ||| verifies backup/recovery configuration exists but not full contingency plan orchestration,PARTIAL: oci.compute.instance.backup_policy ||| verifies backup/recovery configuration exists but not full contingency plan orchestration,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CP-2(2),oracle_rule_config/compute/oci.compute.instance.backup_policy_configured.yaml
oci.compute.instance.baseline_image_configured,oracle,compute,instance,MEDIUM,Check that Compute instances are launched from an approved baseline image.,Check that Compute instances are launched from an approved baseline image.; (refined),config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CM-2(1),oracle_rule_config/compute/oci.compute.instance.baseline_image_configured.yaml
