id,unique_id,source,title,description,rationale,audit,remediation,profile_applicability,impact,references
1.1.2,alicloud_1_1_1_2,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the API server pod specification file ownership is set to root:root,Ensure	that	the	API	server	pod	specification	file	ownership	is	set	to	root:root.,The	API	server	pod	specification	file	controls	various	parameters	that	set	the	behavior	of the	API	server.	You	should	set	its	file	ownership	to	maintain	the	integrity	of	the	file.	The	file should	be	owned	by	root:root. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml Verify	that	the	ownership	is	set	to	root:root.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml Default	Value: By	default,	the	kube-apiserver.yaml	file	ownership	is	set	to	root:root. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/ 18	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 19	|	P a g e",,None,"1. https://kubernetes.io/docs/admin/kube-apiserver/ 18	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 19	|	P a g e"
1.1.3,alicloud_1_1_1_3,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the controller manager pod specification file permissions are set to 644 or more restrictive,Ensure	that	the	controller	manager	pod	specification	file	has	permissions	of	644	or	more restrictive.,The	controller	manager	pod	specification	file	controls	various	parameters	that	set	the behavior	of	the	Controller	Manager	on	the	master	node.	You	should	restrict	its	file permissions	to	maintain	the	integrity	of	the	file.	The	file	should	be	writable	by	only	the administrators	on	the	system. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml Verify	that	the	permissions	are	644	or	more	restrictive.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chmod 644 /etc/kubernetes/manifests/kube-controller-manager.yaml Default	Value: By	default,	the	kube-controller-manager.yaml	file	has	permissions	of	640. References: 20	|	P a g e 1. https://kubernetes.io/docs/admin/kube-apiserver/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 21	|	P a g e",,None,"20	|	P a g e 1. https://kubernetes.io/docs/admin/kube-apiserver/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 21	|	P a g e"
1.1.4,alicloud_1_1_1_4,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the controller manager pod specification file ownership is set to root:root,Ensure	that	the	controller	manager	pod	specification	file	ownership	is	set	to	root:root.,The	controller	manager	pod	specification	file	controls	various	parameters	that	set	the behavior	of	various	components	of	the	master	node.	You	should	set	its	file	ownership	to maintain	the	integrity	of	the	file.	The	file	should	be	owned	by	root:root. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml Verify	that	the	ownership	is	set	to	root:root.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml Default	Value: By	default,	kube-controller-manager.yaml	file	ownership	is	set	to	root:root. References: 1. https://kubernetes.io/docs/admin/kube-controller-manager 22	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 23	|	P a g e",,None,"1. https://kubernetes.io/docs/admin/kube-controller-manager 22	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 23	|	P a g e"
1.1.5,alicloud_1_1_1_5,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the scheduler pod specification file permissions are set to 644 or more restrictive,Ensure	that	the	scheduler	pod	specification	file	has	permissions	of	644	or	more	restrictive.,The	scheduler	pod	specification	file	controls	various	parameters	that	set	the	behavior	of the	Scheduler	service	in	the	master	node.	You	should	restrict	its	file	permissions	to maintain	the	integrity	of	the	file.	The	file	should	be	writable	by	only	the	administrators	on the	system. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml Verify	that	the	permissions	are	644	or	more	restrictive.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chmod 644 /etc/kubernetes/manifests/kube-scheduler.yaml Default	Value: By	default,	kube-scheduler.yaml	file	has	permissions	of	640. References: 1. https://kubernetes.io/docs/admin/kube-scheduler/ 24	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 25	|	P a g e",,None,"1. https://kubernetes.io/docs/admin/kube-scheduler/ 24	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 25	|	P a g e"
1.1.6,alicloud_1_1_1_6,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the scheduler pod specification file ownership is set to root:root,Ensure	that	the	scheduler	pod	specification	file	ownership	is	set	to	root:root.,The	scheduler	pod	specification	file	controls	various	parameters	that	set	the	behavior	of the	kube-scheduler	service	in	the	master	node.	You	should	set	its	file	ownership	to maintain	the	integrity	of	the	file.	The	file	should	be	owned	by	root:root. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml Verify	that	the	ownership	is	set	to	root:root.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml Default	Value: By	default,	kube-scheduler.yaml	file	ownership	is	set	to	root:root. References: 1. https://kubernetes.io/docs/admin/kube-scheduler/ 26	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 27	|	P a g e",,None,"1. https://kubernetes.io/docs/admin/kube-scheduler/ 26	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 27	|	P a g e"
1.1.7,alicloud_1_1_1_7,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the etcd service file permissions are set to 644 or more restrictive,Ensure	that	the	/usr/lib/systemd/system/etcd.service	file	has	permissions	of	644	or more	restrictive.,The	etcd	service	file	/usr/lib/systemd/system/etcd.service	controls	various parameters	that	set	the	behavior	of	the	etcd	service	in	the	master	node.	etcd	is	a	highly- available	key-value	store	which	Kubernetes	uses	for	persistent	storage	of	all	of	its	REST	API object.	You	should	restrict	its	file	permissions	to	maintain	the	integrity	of	the	file.	The	file should	be	writable	by	only	the	administrators	on	the	system. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %a /usr/lib/systemd/system/etcd.service Verify	that	the	permissions	are	644	or	more	restrictive.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chmod 644 /usr/lib/systemd/system/etcd.service Default	Value: By	default,	/usr/lib/systemd/system/etcd.service	file	has	permissions	of	644. References: 28	|	P a g e 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 29	|	P a g e",,None,"28	|	P a g e 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 29	|	P a g e"
1.1.8,alicloud_1_1_1_8,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the etcd service file ownership is set to root:root,Ensure	that	the	/usr/lib/systemd/system/etcd.service	file	ownership	is	set	to root:root.,The	etcd	service	file	/usr/lib/systemd/system/etcd.service	controls	various parameters	that	set	the	behavior	of	the	etcd	service	in	the	master	node.	etcd	is	a	highly- available	key-value	store	which	Kubernetes	uses	for	persistent	storage	of	all	of	its	REST	API object.	You	should	set	its	file	ownership	to	maintain	the	integrity	of	the	file.	The	file	should be	owned	by	root:root. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %U:%G /usr/lib/systemd/system/etcd.service Verify	that	the	ownership	is	set	to	root:root.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chown root:root /usr/lib/systemd/system/etcd.service Default	Value: By	default,	/usr/lib/systemd/system/etcd.service	file	ownership	is	set	to	root:root. References: 30	|	P a g e 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 31	|	P a g e",,None,"30	|	P a g e 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 31	|	P a g e"
1.1.9,alicloud_1_1_1_9,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive,Ensure	that	the	Container	Network	Interface	files	have	permissions	of	644	or	more restrictive.,Container	Network	Interface	provides	various	networking	options	for	overlay	networking. You	should	consult	their	documentation	and	restrict	their	respective	file	permissions	to maintain	the	integrity	of	those	files.	Those	files	should	be	writable	by	only	the administrators	on	the	system. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %a <path/to/cni/files> Verify	that	the	permissions	are	644	or	more	restrictive.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chmod 644 <path/to/cni/files> Default	Value: NA References: 32	|	P a g e 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 33	|	P a g e",,None,"32	|	P a g e 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 33	|	P a g e"
1.1.10,alicloud_1_1_1_10,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the Container Network Interface file ownership is set to root:root,Ensure	that	the	Container	Network	Interface	files	have	ownership	set	to	root:root.,Container	Network	Interface	provides	various	networking	options	for	overlay	networking. You	should	consult	their	documentation	and	restrict	their	respective	file	permissions	to maintain	the	integrity	of	those	files.	Those	files	should	be	owned	by	root:root. Impact: None,"Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, stat -c %U:%G <path/to/cni/files> Verify	that	the	ownership	is	set	to	root:root.","Run	the	below	command	(based	on	the	file	location	on	your	system)	on	the	master	node. For	example, chown root:root <path/to/cni/files> Default	Value: NA References: 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/ 34	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 35	|	P a g e",,None,"1. https://kubernetes.io/docs/concepts/cluster-administration/networking/ 34	|	P a g e Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 5.1	Minimize	And	Sparingly	Use	Administrative	Privileges Minimize	administrative	privileges	and	only	use	administrative	accounts	when	they	are required.	Implement	focused	auditing	on	the	use	of	administrative	privileged	functions	and monitor	for	anomalous	behavior. Version	7 5.1	Establish	Secure	Configurations Maintain	documented,	standard	security	configuration	standards	for	all	authorized operating	systems	and	software. 35	|	P a g e"
1.1.11,alicloud_1_1_1_11,CIS ALIBABA CLOUD CONTAINER SERVICE FOR KUBERNETES (ACK) BENCHMARK V1.0.0,Ensure that the etcd data directory permissions are set to 700 or more restrictive,Ensure	that	the	etcd	data	directory	has	permissions	of	700	or	more	restrictive.,etcd	is	a	highly-available	key-value	store	used	by	Kubernetes	deployments	for	persistent storage	of	all	of	its	REST	API	objects.	This	data	directory	should	be	protected	from	any unauthorized	reads	or	writes.	It	should	not	be	readable	or	writable	by	any	group	members or	the	world. Impact: None,"On	the	etcd	server	node,	get	the	etcd	data	directory,	passed	as	an	argument	--data-dir, from	the	below	command: ps -ef | grep etcd Run	the	below	command	(based	on	the	etcd	data	directory	found	above).	For	example, stat -c %a /var/lib/etcd/data.etcd Verify	that	the	permissions	are	700	or	more	restrictive.","On	the	etcd	server	node,	get	the	etcd	data	directory,	passed	as	an	argument	--data-dir, from	the	below	command: ps -ef | grep etcd Run	the	below	command	(based	on	the	etcd	data	directory	found	above).	For	example, chmod 700 /var/lib/etcd/data.etcd 36	|	P a g e Default	Value: By	default,	etcd	data	directory	has	permissions	of	755. References: 1. https://coreos.com/etcd/docs/latest/op-guide/configuration.html#data-dir 2. https://kubernetes.io/docs/admin/etcd/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 14	Controlled	Access	Based	on	the	Need	to	Know Controlled	Access	Based	on	the	Need	to	Know Version	7 14	Controlled	Access	Based	on	the	Need	to	Know Controlled	Access	Based	on	the	Need	to	Know 37	|	P a g e",,None,1. https://coreos.com/etcd/docs/latest/op-guide/configuration.html#data-dir 2. https://kubernetes.io/docs/admin/etcd/ Additional	Information: This	control	cannot	be	audited	and	modified	in	ACK	managed	clusters. CIS	Controls: Version	6 14	Controlled	Access	Based	on	the	Need	to	Know Controlled	Access	Based	on	the	Need	to	Know Version	7 14	Controlled	Access	Based	on	the	Need	to	Know Controlled	Access	Based	on	the	Need	to	Know 37	|	P a g e
