id,unique_id,source,title,description,rationale,audit,remediation,profile_applicability,impact,references
1.1.1.1,gcp_1_1_1_1_1,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure mounting of udf filesystems is disabled,The udf filesystem type is the universal disk format used to implement ISO/IEC 13346 and ECMA-167 specifications. This is an open vendor filesystem type for data storage on a broad range of media. This filesystem type is necessary to support writing DVDs and newer optical disc formats.,"Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.",Run the following commands and verify the output is as indicated: # modprobe -n -v udf install /bin/true # lsmod | grep udf <No output>,Edit or create a file in the /etc/modprobe.d/ directory ending in .conf Example: vim /etc/modprobe.d/udf.conf and add the following line: install udf /bin/true Run the following command to unload the udf module: # rmmod udf,,,
1.1.2,gcp_1_1_1_2,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure /tmp is configured,The /tmp directory is a world-writable directory used for temporary storage by all users and some applications.,"Making /tmp its own file system allows an administrator to set the noexec option on the mount, making /tmp useless for an attacker to install executable code. It would also prevent an attacker from establishing a hardlink to a system setuid program and wait for it to be updated. Once the program was updated, the hardlink would be broken and the attacker would have his own copy of the program. If the program happened to have a security vulnerability, the attacker could continue to exploit the known flaw. This can be accomplished by either mounting tmpfs to /tmp, or creating a separate partition for /tmp. Impact: Since the /tmp directory is intended to be world-writable, there is a risk of resource exhaustion if it is not bound to a separate partition. Running out of /tmp space is a problem regardless of what kind of filesystem lies under it, but in a default installation a disk-based /tmp will essentially have the whole disk available, as it only creates a single / partition. On the other hand, a RAM-based /tmp as with tmpfs will almost certainly be much smaller, which can lead to applications filling up the filesystem much more easily. /tmp utilizing tmpfs can be resized using the size={size} parameter on the Options line on the tmp.mount file","Run the following command and verify output shows /tmp is mounted: # mount | grep -E '\s/tmp\s' tmpfs on /tmp type tmpfs (rw,nosuid,nodev,noexec,relatime) Run the following command and verify that output shows static # systemctl is-enabled tmp.mount static","Run the following commands to configure mount options systemctl edit tmp.mount Edit the file to define the options that needs to be set. For example: [Mount] Options= Options=mode=1777,strictatime,noexec,nodev,nosuid Restart the tmp.mount systemctl daemon-reload # might be optional systemctl restart tmp.mount /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot. References: 1. AJ Lewis, ""LVM HOWTO"", http://tldp.org/HOWTO/LVM-HOWTO/ 2. https://www.freedesktop.org/wiki/Software/systemd/APIFileSystems/",,,
1.1.3,gcp_1_1_1_3,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure nodev option set on /tmp partition,The nodev mount option specifies that the filesystem cannot contain special devices.,"Since the /tmp filesystem is not intended to support devices, set this option to ensure that users cannot attempt to create block or character special devices in /tmp .",Verify that the nodev option is set if a /tmp partition exists Run the following command and verify that nothing is returned: # mount | grep -E '\s/tmp\s' | grep -v nodev,"Run the following command to remount /tmp : # mount -o remount,nodev /tmp /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot.",,,
1.1.4,gcp_1_1_1_4,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure nosuid option set on /tmp partition,The nosuid mount option specifies that the filesystem cannot contain setuid files.,"Since the /tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot create setuid files in /tmp .",Verify that the nosuid option is set if a /tmp partition exists Run the following command and verify that nothing is returned: # mount | grep -E '\s/tmp\s' | grep -v nosuid,"Run the following command to remount /tmp : # mount -o remount,nosuid /tmp /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot.",,,
1.1.5,gcp_1_1_1_5,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure noexec option set on /tmp partition,The noexec mount option specifies that the filesystem cannot contain executable binaries.,"Since the /tmp filesystem is only intended for temporary file storage, set this option to ensure that users cannot run executable binaries from /tmp .",Verify that the noexec option is set if a /tmp partition exists Run the following command and verify that nothing is returned: # mount | grep -E '\s/tmp\s' | grep -v noexec,"Run the following command to remount /tmp : # mount -o remount,noexec /tmp /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot.",,,
1.1.6,gcp_1_1_1_6,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure nosuid option set on /var partition,The nosuid mount option specifies that the filesystem cannot contain setuid files.,"Since the /var filesystem is only intended for temporary dynamic data, set this option to ensure that users cannot create setuid files in /var.",Verify that the nosuid option is set if a /var partition exists. Run the following command and verify that nothing is returned: # mount | grep -E '\s/var\s' | grep -v nosuid,"Run the following command to remount /var : # mount -o remount,nosuid /var /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot.",,,
1.1.7,gcp_1_1_1_7,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure noexec option set on /var partition,The noexec mount option specifies that the filesystem cannot contain executable binaries.,"Since the /var filesystem is only intended for services to write data and not execute, set this option to ensure that users cannot run executable binaries from /var.",Verify that the noexec option is set if a /var partition exists. Run the following command and verify that nothing is returned: # mount | grep -E '\s/var\s' | grep -v noexec,"Run the following command to remount /var : # mount -o remount,noexec /var /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot.",,,
1.1.8,gcp_1_1_1_8,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure nodev option set on /var partition,The nodev mount option specifies that the filesystem cannot contain special devices.,"Since the /var filesystem is not intended to support devices, set this option to ensure that users cannot attempt to create block or character special devices in /var .",Verify that the nodev option is set if a /var partition exists. Run the following command and verify that nothing is returned: # mount | grep -E '\s/var\s' | grep -v nodev,"Run the following command to remount /var : # mount -o remount,nodev /var /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot.",,,
1.1.9,gcp_1_1_1_9,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure nodev option set on /home partition,The nodev mount option specifies that the filesystem cannot contain special devices.,"Since the user partitions are not intended to support devices, set this option to ensure that users cannot attempt to create block or character special devices.",Verify that the nodev option is set if a /home partition exists. Run the following command and verify that nothing is returned: # mount | grep -E '\s/home\s' | grep -v nodev,"Run the following command to remount /var : # mount -o remount,nodev /home /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot. Additional Information: The actions in this recommendation refer to the /home partition, which is the default user partition that is defined in many distributions. If you have created other user partitions, it is recommended that the Remediation and Audit steps be applied to these partitions as well.",,,
1.1.10,gcp_1_1_1_10,CIS GOOGLE CONTAINER OPTIMIZED OS BENCHMARK V1.2.0,Ensure nodev option set on /dev/shm partition,The nodev mount option specifies that the filesystem cannot contain special devices.,"Since the /dev/shm filesystem is not intended to support devices, set this option to ensure that users cannot attempt to create special devices in /dev/shm partitions.",Verify that the nodev option is set if a /dev/shm partition exists. Run the following command and verify that nothing is returned: # mount | grep -E '\s/dev/shm\s' | grep -v nodev,"Run the following command to remount /dev/shm : # mount -o remount,nodev /dev/shm /etc is stateless on Container-Optimized OS. Therefore, /etc cannot be used to make these changes persistent across reboots. The steps mentioned above needs to be performed after every boot.",,,
