check_name,matched_rule_ids,method,confidence,reasoning
aws_cloudtrail_network_gateway_event_notifications_configured,,weak_match,0.18,weak token overlap — likely no matching rule
aws_cloudtrail_security_group_change_notification,oci.events.rule.security_list_change_notification_configured,ai_verified,medium,"Both checks monitor security group/security list configuration changes and trigger notifications, though they are for different cloud providers (AWS vs OCI)."
aws_ebs_volume_customer_managed_key_encryption_enabled,,ai_rejected,none,"The AWS check is for EBS volume encryption using customer-managed keys, but all candidate rules are for Oracle Cloud Infrastructure (OCI) services, not AWS."
aws_ec2_ebs_encryption_enabled,,ai_rejected,none,"The check name targets AWS EC2 EBS encryption, while all candidate rules are for Oracle Cloud Infrastructure (OCI) services, so there is no direct match in service, action, or target resource."
aws_ec2_ebs_volume_encryption_cmk_enabled,oci.block_storage.volume.volume_encryption_cmk_enabled,ai_verified,medium,"Both checks enforce encryption using a customer-managed key for block storage volumes, though they target different cloud providers (AWS vs OCI)."
aws_ec2_instance_metadata_service_imds_v2_enabled,oci.compute.instance.instance_metadata_service_imdsv2_enabled,ai_verified,high,"Both checks enforce IMDSv2 for instance metadata service on compute instances, targeting the same security violation."
aws_ec2_security_group_ingress_port_3389_access_restricted,oci.virtual_network.vcn.security_list_rdp_port_3389_ingress_restricted,ai_verified,high,Both checks specifically target restricting inbound RDP access on port 3389 to security groups/security lists.
aws_ec2_security_group_ingress_port_3389_restricted,oci.virtual_network.vcn.security_list_rdp_port_3389_ingress_restricted,ai_verified,high,Both rules specifically restrict inbound RDP traffic on port 3389 at the network security layer across AWS and OCI services.
aws_ec2_security_group_ingress_ssh_access_restricted,oci.compute.instance.security_list_ingress_ssh_access_restricted,ai_verified,medium,"Both rules check for restricted SSH ingress access to compute instances, though they target different cloud providers (AWS vs OCI)."
aws_eks_audit_policy_compliance_check,,ai_rejected,none,"The AWS EKS audit policy compliance check is specific to Amazon EKS cluster audit logging, which has no direct equivalent in the OCI catalog rules provided, as they focus on IAM policies, password pol"
aws_eks_cluster_endpoint_access,oci.container_engine.cluster.private_endpoint_enabled_public_access_disabled;oci.container_engine.cluster.cluster_public_access_blocked,ai_verified,medium,"Both rules target container engine clusters and restrict public endpoint access, aligning with the AWS EKS cluster endpoint access control check."
aws_eks_cluster_network_policy_enabled,oci.container_engine.cluster.network_policy_enabled,ai_verified,high,Both checks target network policy enforcement for container clusters with matching service (container engine) and resource (cluster) components.
aws_eks_kubelet_authorization_mode_check,,weak_match,0.20,weak token overlap — likely no matching rule
aws_eks_kubelet_rotate_server_certificates_check,oci.container_engine.cluster.engine_kubernetes_rotate_server_certificates,ai_verified,medium,"This rule matches the service (container engine/kubernetes) and the specific security action (rotate server certificates) for the kubelet, aligning closely with the AWS check's intent."
aws_eks_network_policies_defined,oci.container_engine.cluster.namespace_network_policies_present,ai_verified,medium,"Both checks focus on network policies in container orchestration services (AWS EKS vs OCI Container Engine), though they target different cloud providers."
aws_eks_nodegroup_private_access_enabled,,weak_match,0.20,weak token overlap — likely no matching rule
aws_eks_pod_service_account_token_mount_disabled,oci.container_engine.cluster.pod_service_account_token_mount_disabled,ai_verified,high,This rule directly matches the AWS check by targeting the same security control of disabling service account token mounting at the pod level in container orchestration services.
aws_eventbridge_route_table_change_notifications_enabled,oci.events.rule.route_table_change_notification_configured,ai_verified,high,"Both checks focus on configuring event notifications for route table changes, with matching service (events/EventBridge) and target resource (route table)."
aws_eventbridge_security_group_changes_notification_configured,,ai_rejected,none,"The check name is for AWS EventBridge monitoring security group changes, while all candidate rules are for OCI (Oracle Cloud Infrastructure) services, so there is no service or resource match."
aws_eventbridge_vpc_change_notification,,weak_match,0.22,weak token overlap — likely no matching rule
aws_iam_access_key_rotation_check,,ai_rejected,none,"The AWS IAM access key rotation check is specific to IAM user credentials, while all candidate rules are for OCI key management or database encryption keys, which are unrelated services and resources."
