check_name,matched_rule_ids,method,confidence,reasoning
gcp_access_approval_enrollment_check,gcp.accessapproval.approval_request.enrollment_approval_configured,ai_verified,high,The check name directly matches the service (Access Approval) and the specific security control for enrollment configuration.
gcp_api_gateway_api_gateway_https_required,,ai_rejected,none,"No rule matches the specific requirement for enforcing HTTPS on API Gateway endpoints, as the top candidates focus on authentication, API keys, security headers, or unrelated services."
gcp_api_gateway_authorization_enabled,gcp.apigateway.api.api_endpoint_authn_required,ai_verified,high,Both checks focus on API Gateway authorization/authentication requirements for API endpoints.
gcp_api_gateway_client_certificate_enabled,gcp.apigateway.api.api_endpoint_authn_required,deep_review_medium,medium,"The check name refers to client certificate authentication for API Gateway, which conceptually matches API endpoint authentication requirements in the catalog, though the wording differs."
gcp_api_gateway_restapi_client_certificate_enabled,gcp.apigateway.api.api_endpoint_authn_required,deep_review_medium,medium,"Both the check name and the rule focus on API Gateway security, with the check requiring client certificates and the rule requiring endpoint authentication, which are conceptually aligned for securing API access."
gcp_api_gateway_restapi_logging_enabled,gcp.apigateway.api_config.stage_logging_enabled,ai_verified,high,"Both the check name and the rule focus on enabling logging for API Gateway REST APIs in GCP, targeting the same service and security requirement."
gcp_api_gateway_restapi_tracing_enabled,gcp.cloudfunctions.function.function_logging_and_tracing_enabled,deep_review_medium,medium,"Both controls focus on enabling tracing capabilities in GCP services, though one targets API Gateway REST APIs specifically while the other targets Cloud Functions."
gcp_api_gateway_restapi_waf_acl_attached,gcp.apigateway.api.api_endpoint_waf_attached,ai_verified,high,"Both the check name and the top candidate rule specifically target WAF attachment to API Gateway REST APIs in GCP, ensuring the same service and security control."
gcp_api_service_api_key_restrictions_verified,gcp.services.service.keys_restrictions_enforced,ai_verified,medium,"The check name focuses on API key restrictions for GCP API services, which aligns with the candidate rule that enforces key restrictions, though the match is not exact in scope."
gcp_apigatewayv2_api_access_logging_enabled,gcp.apigateway.api_config.stage_logging_enabled,ai_verified,medium,"Both checks focus on enabling logging for API Gateway stages, though the service naming differs slightly (apigatewayv2 vs apigateway)."
gcp_apikeys_api_restrictions_configured,gcp.apikeys.key.api_key_scopes_least_privilege,ai_verified,medium,"Both checks focus on API key restrictions, with the given check likely enforcing API restrictions and the candidate enforcing least-privilege scopes, which are conceptually related but not identical."
gcp_apikeys_key_rotated_in_90_days,gcp.apikeys.key.api_key_rotation_policy_defined,ai_verified,medium,"This rule directly addresses API key rotation policy, which aligns with the check's focus on ensuring keys are rotated within 90 days, though it may not explicitly enforce the exact 90-day timeframe."
gcp_app_engine_enforce_https_in_transit,gcp.appengine.application.app_tls_min_1_2_enforced,deep_review_medium,medium,"Both controls focus on enforcing secure TLS/HTTPS connections for App Engine applications, though the check name emphasizes HTTPS enforcement while the rule specifies TLS 1.2 minimum version."
gcp_app_engine_managed_updates_enabled,,ai_rejected,none,"No catalog rule matches the service (App Engine), action (ensuring managed updates are enabled), and target resource (application-level update policy) of the given check."
gcp_appsync_field_level_logging_enabled,,ai_rejected,none,"The check name refers to AppSync (AWS) field-level logging, but all candidate rules are for GCP services and none target GraphQL API logging."
gcp_artifact_registry_image_scan_on_push_enabled,gcp.artifactregistry.repo.registry_image_scanning_enabled,ai_verified,high,"This rule directly matches the service (Artifact Registry), action (image scanning), and target resource (registry images) for enabling scan-on-push functionality."
gcp_artifact_registry_repository_encryption_enabled,gcp.aiplatform.model.model_registry_artifact_encryption_enabled,deep_review_medium,medium,"Both controls enforce encryption for registry artifacts, though one is for Artifact Registry repositories and the other for AI Platform model registry artifacts."
gcp_artifact_registry_repository_minimum_user_access,gcp.artifactregistry.repo.registry_repo_private_or_access_restricted,ai_verified,medium,"Both checks target Artifact Registry repositories and focus on restricting access, though the specific condition (minimum user access vs. private/restricted) is not an exact match."
gcp_artifact_registry_vulnerability_scanning_enabled,gcp.artifactregistry.audit.vulnerability_scanning_disabled,ai_verified,high,The check name directly matches the rule's title and targets vulnerability scanning in Artifact Registry.
gcp_artifacts_container_analysis_enabled,,ai_rejected,none,"The check name refers to enabling Container Analysis in Artifact Registry, which is unrelated to GKE cluster events or Kubernetes pod/secret activities listed in the candidates."
gcp_awslambda_function_inside_vpc,gcp.cloudfunctions.function.function_vpc_private_networking_enabled,ai_verified,high,Both the check name and the rule target ensuring Google Cloud Functions are configured to use VPC private networking for secure access.
gcp_awslambda_function_not_publicly_accessible,,ai_rejected,none,"No rule matches because the check name refers to AWS Lambda (awslambda) but the candidate rules are for GCP services, indicating a service mismatch."
gcp_backup_backup_encryption_enabled,gcp.backupdr.backup_vault.encryption_encryption_at_rest_enabled,deep_review_high,high,Both the compliance check and the catalog rule specifically address enabling encryption for backup data at rest in GCP Backup services.
gcp_backup_dr_configured,gcp.sql.audit.backup_disabled,deep_review_medium,medium,"Both address backup configuration for GCP resources, though the check name is generic while the rule specifically targets Cloud SQL automated backups."
gcp_backup_enabled_for_vms,,ai_rejected,none,"The check name targets backup for VMs, but all candidate rules are for managed services (Filestore, Spanner, SQL), not Compute Engine VMs."
gcp_backup_plan_min_retention,gcp.compute.snapshot.backup_schedule_defined_min_frequency,deep_review_medium,medium,"Both controls focus on ensuring minimum backup retention requirements, though one specifies retention duration while the other specifies frequency."
gcp_backup_recovery_point_encrypted,gcp.sql.backup.snapshot_encrypted;gcp.sql.backup.cluster_snapshot_encrypted,ai_verified,medium,"Both rules check encryption for SQL backup snapshots, which aligns with the general backup recovery point encryption focus, though the check name is broader."
gcp_backup_recovery_point_retention,gcp.storage.retention.retention_policies_defined,deep_review_medium,medium,"The check name focuses on backup recovery point retention, which conceptually aligns with retention policies for backups or snapshots, and the candidate rule about retention policies defined is the closest match in the catalog."
gcp_bigquery_capacity_monitoring,gcp.compute.monitoring.monitoring_alerts_for_anomalies_configured,deep_review_medium,medium,"The check name 'gcp_bigquery_capacity_monitoring' suggests monitoring resource usage/performance, which conceptually aligns with monitoring alerts for anomalies in compute resources, even though the specific service differs."
gcp_bigquery_cluster_audit_logging,gcp.bigquery.dataset.cluster_audit_logging_enabled,token_match_high,0.83,Jaccard=0.83
gcp_bigquery_cluster_automated_snapshot,gcp.bigquery.snapshot.analytics_snapshot_not_publicly_shared;gcp.bigquery.snapshot.warehouse_snapshot_not_publicly_shared,deep_review_medium,medium,"The check name mentions 'bigquery_cluster_automated_snapshot' which aligns with BigQuery snapshot controls, and while the wording differs, these candidates address snapshot security for BigQuery analytics/warehouse snapshots."
gcp_bigquery_cluster_automatic_upgrades,,ai_rejected,none,"The check name refers to automatic upgrades for BigQuery clusters, but none of the candidate rules address cluster upgrade settings, focusing instead on logging, networking, TLS, access, or encryption"
gcp_bigquery_cluster_encrypted,gcp.bigquery.schema.schema_encrypted,token_match_high,0.60,Jaccard=0.60
gcp_bigquery_cluster_maintenance_settings,,ai_rejected,none,"The check name refers to cluster maintenance settings, but none of the candidate rules address maintenance, focusing instead on logging, networking, TLS, access, or encryption."
