check_name,category,matched_rule_ids,confidence,reasoning
gcp_awslambda_function_not_publicly_accessible,wrong_csp[awslambda],,,check name contains non-GCP service markers
gcp_compute_alb_https_redirect,wrong_csp[alb],,,check name contains non-GCP service markers
gcp_compute_ebs_volume_protected_by_backup_plan,wrong_csp[ebs],,,check name contains non-GCP service markers
gcp_dynamodb_backup_enabled,wrong_csp[dynamodb],,,check name contains non-GCP service markers
gcp_elasticsearch_service_domains_cloudwatch_logging_enabled,wrong_csp[cloudwatch],,,check name contains non-GCP service markers
gcp_logging_cloudwatch_logging_enabled,wrong_csp[cloudwatch],,,check name contains non-GCP service markers
gcp_logging_cloudwatch_logs_enabled,wrong_csp[cloudwatch],,,check name contains non-GCP service markers
gcp_logging_s3_dataevents_read_enabled,wrong_csp[s3_],,,check name contains non-GCP service markers
gcp_logging_s3_dataevents_write_enabled,wrong_csp[s3_],,,check name contains non-GCP service markers
gcp_redshift_backup_enabled,wrong_csp[redshift],,,check name contains non-GCP service markers
gcp_sql_dynamodb_table_encryption_enabled,wrong_csp[dynamodb],,,check name contains non-GCP service markers
gcp_sql_instance_integration_cloudwatch_logs,wrong_csp[cloudwatch],,,check name contains non-GCP service markers
gcp_storage_website_https_only,wrong_csp[ebs],,,check name contains non-GCP service markers
gcp_vpc_endpoint_for_ec2_enabled,wrong_csp[ec2_],,,check name contains non-GCP service markers
gcp_api_gateway_api_gateway_https_required,deep_review,,none,"The check name requires HTTPS for API Gateway, but none of the candidates address HTTPS/TLS enforcement for API Gateway endpoints."
gcp_api_gateway_client_certificate_enabled,deep_review,gcp.apigateway.api.api_endpoint_authn_required,medium,"The check name refers to client certificate authentication for API Gateway, which conceptually matches API endpoint authentication requirements in the catalog, though the wording differs."
gcp_api_gateway_restapi_client_certificate_enabled,deep_review,gcp.apigateway.api.api_endpoint_authn_required,medium,"Both the check name and the rule focus on API Gateway security, with the check requiring client certificates and the rule requiring endpoint authentication, which are conceptually aligned for securing API access."
gcp_api_gateway_restapi_tracing_enabled,deep_review,gcp.cloudfunctions.function.function_logging_and_tracing_enabled,medium,"Both controls focus on enabling tracing capabilities in GCP services, though one targets API Gateway REST APIs specifically while the other targets Cloud Functions."
gcp_app_engine_enforce_https_in_transit,deep_review,gcp.appengine.application.app_tls_min_1_2_enforced,medium,"Both controls focus on enforcing secure TLS/HTTPS connections for App Engine applications, though the check name emphasizes HTTPS enforcement while the rule specifies TLS 1.2 minimum version."
gcp_app_engine_managed_updates_enabled,deep_review,,none,"None of the candidates address App Engine managed updates or automatic version updates, which is the core concept of the compliance check."
gcp_appsync_field_level_logging_enabled,deep_review,,none,"The check name refers to AppSync field-level logging (an AWS service), but all GCP catalog candidates are for different GCP-specific services and logging types with no equivalent field-level logging control."
gcp_artifact_registry_repository_encryption_enabled,deep_review,gcp.aiplatform.model.model_registry_artifact_encryption_enabled,medium,"Both controls enforce encryption for registry artifacts, though one is for Artifact Registry repositories and the other for AI Platform model registry artifacts."
gcp_artifacts_container_analysis_enabled,deep_review,,none,"The compliance check is about enabling Container Analysis (Artifact Registry vulnerability scanning), while all candidates are about GKE cluster configuration, audit logging, and authentication controls."
gcp_backup_backup_encryption_enabled,deep_review,gcp.backupdr.backup_vault.encryption_encryption_at_rest_enabled,high,Both the compliance check and the catalog rule specifically address enabling encryption for backup data at rest in GCP Backup services.
gcp_backup_dr_configured,deep_review,gcp.sql.audit.backup_disabled,medium,"Both address backup configuration for GCP resources, though the check name is generic while the rule specifically targets Cloud SQL automated backups."
gcp_backup_enabled_for_vms,deep_review,,none,"The check name is about backup for VMs (Compute Engine instances), but all candidates are for Filestore, Spanner, SQL, snapshots, or BackupDR, not general VM backup."
gcp_backup_plan_min_retention,deep_review,gcp.compute.snapshot.backup_schedule_defined_min_frequency,medium,"Both controls focus on ensuring minimum backup retention requirements, though one specifies retention duration while the other specifies frequency."
gcp_backup_recovery_point_retention,deep_review,gcp.storage.retention.retention_policies_defined,medium,"The check name focuses on backup recovery point retention, which conceptually aligns with retention policies for backups or snapshots, and the candidate rule about retention policies defined is the closest match in the catalog."
gcp_bigquery_capacity_monitoring,deep_review,gcp.compute.monitoring.monitoring_alerts_for_anomalies_configured,medium,"The check name 'gcp_bigquery_capacity_monitoring' suggests monitoring resource usage/performance, which conceptually aligns with monitoring alerts for anomalies in compute resources, even though the specific service differs."
gcp_bigquery_cluster_automated_snapshot,deep_review,gcp.bigquery.snapshot.analytics_snapshot_not_publicly_shared;gcp.bigquery.snapshot.warehouse_snapshot_not_publicly_shared,medium,"The check name mentions 'bigquery_cluster_automated_snapshot' which aligns with BigQuery snapshot controls, and while the wording differs, these candidates address snapshot security for BigQuery analytics/warehouse snapshots."
gcp_bigquery_cluster_automatic_upgrades,deep_review,,none,"None of the candidates address BigQuery cluster automatic upgrades, which is a maintenance/update management control, while all listed rules focus on security aspects like encryption, networking, access control, or audit logging."
gcp_bigquery_cluster_maintenance_settings,deep_review,,none,"The check name refers to BigQuery cluster maintenance settings, but none of the candidates address maintenance or operational management aspects of BigQuery clusters."
gcp_bigtable_backup_enabled,deep_review,gcp.spanner.instance.backup_enabled,medium,"The check name is about Bigtable backup enablement, and while no exact Bigtable rule exists, the Spanner backup rule enforces the same conceptual control of enabling backups for a database service, just for a different GCP database product."
gcp_cdn_distributions_origin_traffic_encrypted,deep_review,gcp.compute.backend_service.cdn_origin_access_restricted,medium,"Both address securing CDN origins, though the check name focuses on traffic encryption while the rule emphasizes access restriction, which are related security concepts for origin protection."
gcp_cdn_distributions_using_deprecated_ssl_protocols,deep_review,gcp.compute.backend_service.cdn_tls_min_1_2_enforced,medium,"Both address secure transport protocols for CDN distributions, with the check focusing on deprecated SSL protocols and the rule enforcing minimum TLS 1.2, which covers the same security concept of preventing weak/outdated cryptographic protocols."
gcp_cloud_build_project_no_secrets_in_variables,deep_review,gcp.cloudfunctions.function.function_env_no_plaintext_secrets;gcp.dataflow.parameter.parameter_attributes_no_plaintext_secrets;gcp.gke.workload.workload_env_no_plaintext_secrets,medium,"These rules all enforce the same core concept of preventing plaintext secrets in configuration variables across different GCP services, matching the check's focus on Cloud Build variables."
gcp_cloud_build_project_source_repo_url_no_sensitive_credentials,deep_review,gcp.cloudbuild.audit.build_triggered_from_external_source,medium,"Both address Cloud Build source repository security concerns, though the check name focuses on credential exposure in URLs while the catalog rule focuses on external/unverified source verification."
gcp_cloud_functions_env_vars_secret_check,deep_review,gcp.cloudfunctions.function.function_env_no_plaintext_secrets,high,The check name 'gcp_cloud_functions_env_vars_secret_check' directly matches candidate #10 'gcp.cloudfunctions.function.function_env_no_plaintext_secrets' as both address Cloud Functions environment variables containing secrets.
gcp_cloud_functions_function_restrict_public_access,deep_review,gcp.data_access.public_object_access,medium,"The check name is about restricting public access to Cloud Functions, which aligns with the broader concept of preventing public object access in GCP data access controls, though not function-specific."
gcp_cloud_functions_function_url_authentication,deep_review,,none,"The compliance check is about Cloud Functions URL authentication, but none of the candidates address authentication or access control for function URLs."
gcp_cloud_run_task_definition_logging_enabled,deep_review,gcp.cloudfunctions.function.function_logging_and_tracing_enabled,medium,"Both controls enforce logging for serverless compute services, with Cloud Run and Cloud Functions being conceptually similar managed platforms where enabling logging is a security best practice."
gcp_cloudfunctions_concurrency_limit,deep_review,gcp.cloudfunctions.provisioned_concurrency.prov_conc_execution_role_least_privilege,medium,"The check name 'gcp_cloudfunctions_concurrency_limit' focuses on concurrency configuration, and the candidate rule is the only one directly addressing concurrency (provisioned concurrency) in the list, though it emphasizes least privilege rather than"
gcp_cloudsql_backup_enabled,deep_review,gcp.filestore.instance.backup_enabled,medium,"The candidate rule specifically checks for backup enablement, which matches the core concept of ensuring backups are enabled, though it targets Filestore rather than Cloud SQL."
gcp_cloudsql_backup_retention,deep_review,gcp.filestore.instance.backup_enabled,low,"Only candidate 10 mentions backup, but it's for Filestore not Cloud SQL, making it related but not the same control."
gcp_cloudsql_instance_automated_backups,deep_review,,none,"None of the candidates address automated backups for Cloud SQL instances, which is a specific backup configuration control, while all listed rules focus on instance changes, SQL operations, or user management."
gcp_cloudsql_instance_high_availability,deep_review,,none,"None of the candidate rules address Cloud SQL high availability, as they are all about audit logging, SQL operations, or user management rather than instance replication or failover configuration."
gcp_cloudsql_instance_postgres_log_connections_flag,deep_review,,none,"None of the candidates address PostgreSQL log_connections flag configuration for Cloud SQL instances, which is a specific logging control rather than general SQL operations or audit events."
gcp_cloudsql_instance_postgres_log_disconnections_flag,deep_review,gcp.audit.cloudsql_instance_change,medium,"The check name focuses on PostgreSQL log_disconnections flag configuration, which would be part of Cloud SQL instance configuration changes monitored by the general audit rule."
gcp_cloudsql_instance_postgres_log_error_verbosity_flag,deep_review,gcp.audit.cloudsql_instance_change,medium,"The check name focuses on PostgreSQL log error verbosity flag configuration for Cloud SQL instances, which is a specific instance configuration change that would be captured by the broader Cloud SQL instance change audit rule."
gcp_cloudsql_instance_postgres_log_min_duration_statement_flag,deep_review,gcp.audit.cloudsql_instance_change,medium,"The check name focuses on PostgreSQL log_min_duration_statement flag configuration for Cloud SQL instances, which is a specific database flag setting that would be enforced through Cloud SQL instance configuration changes, making the general instance"
gcp_cloudsql_instance_postgres_log_min_error_statement_flag,deep_review,gcp.cloudsql.alter_table;gcp.cloudsql.bulk_export;gcp.cloudsql.create_table;gcp.cloudsql.drop_table;gcp.cloudsql.grant_privileges;gcp.cloudsql.revoke_privileges;gcp.cloudsql.root_login,low,"The check name is about PostgreSQL logging configuration, while the catalog rules are about SQL operations and access controls, which are related to database activity monitoring but not the same specific logging control."
gcp_cloudsql_instance_postgres_log_min_messages_flag,deep_review,,none,"None of the candidates address PostgreSQL log_min_messages flag configuration for Cloud SQL instances, which is a specific logging control for PostgreSQL database settings."
gcp_cloudsql_instance_postgres_log_statement_flag,deep_review,gcp.audit.cloudsql_instance_change,medium,"The check name focuses on PostgreSQL log_statement flag configuration, which is a specific Cloud SQL instance setting, and the candidate rule covers Cloud SQL instance changes, likely including such configuration audits."
gcp_cloudsql_instance_ssl_connections,deep_review,,none,"None of the candidates address SSL/TLS connection requirements for Cloud SQL instances, which is the specific security control described in the compliance check."
gcp_compute_autoscaler_configured,deep_review,,none,"None of the provided candidates relate to autoscaler configuration, which is about scaling compute instances, while all listed rules cover unrelated areas like firewalls, disks, health checks, or anomaly detection."
gcp_compute_backup_enabled,deep_review,gcp.compute.snapshot.backup_destination_private_only;gcp.compute.snapshot.backup_encrypted_at_rest_cmek;gcp.compute.snapshot.backup_immutable_or_worm_enabled_where_supported;gcp.compute.snapshot.backup_schedule_defined_min_frequency,medium,"The check name 'gcp_compute_backup_enabled' is a general backup requirement for compute resources, while the selected catalog rules are specific backup controls for compute snapshots covering different aspects like encryption, immutability, and sched"
gcp_compute_firewall_rule_no_rdp_internet_access,deep_review,gcp.compute.firewall.firewall_no_permit_any_any;gcp.compute.firewall.sg_ingress_no_0_0_0_0,medium,"Both rules address the same core concept of preventing overly permissive firewall rules that allow RDP from the internet (0.0.0.0/0), though with slightly different wording."
gcp_compute_instance_default_service_account_in_use_with_full_api_access,deep_review,gcp.gke.cluster.cluster_default_service_account_automount_disabled,medium,"Both controls address restricting default service account usage with broad permissions, though one targets Compute Engine VMs and the other targets GKE clusters."
gcp_compute_instance_detailed_monitoring_enabled,deep_review,gcp.compute.monitoring.monitoring_alerts_for_anomalies_configured,medium,"Both focus on monitoring aspects of compute instances, though the check name specifies 'detailed monitoring' while the rule mentions 'monitoring alerts for anomalies' which are conceptually related monitoring controls."
gcp_compute_instance_gke_worker_nodes_firewall_restriction,deep_review,gcp.compute.firewall.firewall_no_permit_any_any;gcp.compute.firewall.sg_ingress_no_0_0_0_0,medium,"The check name focuses on firewall restrictions for GKE worker nodes, which aligns with the concept of preventing overly permissive firewall rules (like 'any-any' or '0.0.0.0' ingress) even though the wording differs."
gcp_compute_instance_group_autoscaling,deep_review,,none,"The compliance check is about instance group autoscaling, but none of the candidates address autoscaling configuration, policies, or metrics."
gcp_compute_instance_imdsv2_enabled,deep_review,gcp.compute.instance.vm_imds_hardened,high,"Both the compliance check and catalog rule specifically address hardening of the Instance Metadata Service (IMDS), with the check name referencing IMDSv2 and the rule ID directly indicating IMDS hardening."
gcp_compute_instance_ip_forwarding_check,deep_review,,none,"The compliance check is about IP forwarding on compute instances, but all candidates are about public IP assignment, disk encryption, logging, or instance lifecycle events, which are unrelated concepts."
gcp_compute_instance_ip_forwarding_is_enabled,deep_review,,none,"The check name is about IP forwarding being enabled, but all candidates are about public IP assignment, encryption, logging, or instance lifecycle events, which are unrelated concepts."
gcp_compute_instance_managed_by_ssm,deep_review,,none,"The check name refers to VM management via SSM (Systems Manager), but none of the candidates address configuration management, agent installation, or centralized administrative control."
gcp_compute_instance_older_than_specific_days,deep_review,,none,"The check name refers to detecting compute instances older than a specific age, but none of the candidates address instance age or lifecycle duration."
gcp_compute_instance_service_account_non_default_check,deep_review,gcp.gke.cluster.cluster_default_service_account_automount_disabled;gcp.gke.namespace.namespace_default_service_account_automount_disabled,medium,"Both the compliance check and the selected catalog rules address restricting the use of default service accounts, though they apply to different GCP resources (Compute Engine VMs vs GKE clusters/namespaces)."
gcp_compute_network_check_default_absence,deep_review,gcp.compute.network.vpc_dns_hostnames_and_support_configured,medium,"Both address the configuration of default network settings in GCP VPCs, though the catalog rule focuses on DNS configuration while the check name suggests verifying absence of default networks."
