check_name,matched_rule_ids,method,confidence,reasoning
ibm_No checks defined,,weak_match,0.22,weak token overlap — likely no matching rule
ibm_accessanalyzer_enabled,,weak_match,0.20,weak token overlap — likely no matching rule
ibm_accessanalyzer_enabled_without_findings,,weak_match,0.14,weak token overlap — likely no matching rule
ibm_account_maintain_current_contact_details,ibm.iam.activity.account_settings_change,deep_review_medium,medium,"The check name is about maintaining current contact details, which is a type of account setting change, aligning with the candidate's focus on account security settings changes."
ibm_account_maintain_different_contact_details_to_security_billing_and_operations,ibm.iam.activity.account_settings_change,deep_review_medium,medium,"The check name is about maintaining distinct contact details for security, billing, and operations, which is a specific account setting change, aligning with the candidate rule's focus on account security settings changes."
ibm_account_security_contact_information_is_registered,ibm.iam.activity.account_settings_change,deep_review_medium,medium,"The check name is about registering security contact information, which is a type of account security setting change, aligning with the candidate's focus on global account security settings modifications."
ibm_acm_certificates_expiration_check,ibm.certificate_manager.certificate.not_expired,ai_verified,high,"The check name directly references ACM certificates expiration, which matches the service (certificate_manager), resource (certificate), and security action (not_expired) of the candidate rule."
ibm_activity_tracker_alert_configuration_verification,,ai_rejected,none,"The check name refers to alert configuration verification for Activity Tracker, but all candidate rules monitor deletion or activity events, not the configuration or verification of alerts."
ibm_activity_tracker_cloudwatch_logging_enabled,ibm.logging.activity.activity_tracker_delete,token_match_high,0.67,Jaccard=0.67
ibm_activity_tracker_cloudwatch_logs_enabled,,ai_rejected,none,"The check name refers to enabling CloudWatch logs for Activity Tracker, while all candidate rules monitor specific activity events or deletions, not the configuration of log forwarding to CloudWatch."
ibm_activity_tracker_cos_dataevents_read_enabled,,ai_rejected,none,"The check name refers to enabling read data events for Activity Tracker with COS, while all candidate rules monitor bucket configuration changes or deletions, not the specific read event logging setti"
ibm_activity_tracker_cos_dataevents_write_enabled,ibm.cos.activity.bucket_change,deep_review_medium,medium,"The check name focuses on COS data events write logging, which aligns with bucket configuration changes tracked by the candidate rule, though the candidate emphasizes configuration monitoring rather than specifically the logging enablement."
ibm_activity_tracker_data_encryption_at_rest,,ai_rejected,none,"No rule matches because the check name specifies 'activity_tracker' (a logging service), while all top candidates target different services like databases, block storage, event streams, or object stor"
ibm_activity_tracker_enabled,ibm.logging.activity.activity_tracker_delete,token_match_high,0.60,Jaccard=0.60
ibm_activity_tracker_kms_encryption_enabled,,ai_rejected,none,"The check name refers to encryption being enabled for Activity Tracker using KMS, while all candidate rules monitor deletion, access, or disablement events, not the configuration state."
ibm_activity_tracker_log_file_validation_enabled,,ai_rejected,none,"The check name refers to enabling log file validation for Activity Tracker, but all candidate rules monitor deletion, routing changes, or unrelated services, not the validation setting itself."
ibm_activity_tracker_logdna_archiving_enabled,,ai_rejected,none,"The check name focuses on archiving being enabled for Activity Tracker with LogDNA, while all candidate rules monitor deletion or activity events, not configuration compliance."
ibm_activity_tracker_login_ip_restriction_check,,ai_rejected,none,"No candidate rule matches the service (Activity Tracker), action (login IP restriction monitoring), or target resource (login events with IP restrictions) of the given check."
