check_name,category,matched_rule_ids,confidence,reasoning
aws_No checks defined,deep_review,,none,"The compliance check name 'aws_No checks defined' indicates no specific security control is being enforced, so none of the candidate rules, which all define specific checks, match."
aws_backup_reportplans_exist,deep_review,,none,"The check name is about AWS Backup report plans, but all candidates are about backup vaults or resource-level backups, not report plans."
aws_cloudtrail_enabled,deep_review,aws.cloudtrail.multi.trail_cloudtrail_region_enabled,high,"Both the check name and the rule focus on ensuring CloudTrail is enabled, with the rule specifically verifying multi-region or regional trail activation."
aws_cloudtrail_s3_data_events_logging_enabled,deep_review,aws.cloudtrail.resource.trail_cloudtrail_s3_dataevents_read_enabled,high,"The check name specifically targets S3 data events logging in CloudTrail, which is directly matched by the candidate rule focusing on enabling S3 data events read logging."
aws_ec2_elastic_ip_unassigned,deep_review,aws.ec2.eip.not_in_use,high,Both the compliance check 'aws_ec2_elastic_ip_unassigned' and the candidate rule 'aws.ec2.eip.not_in_use' directly address the same control of identifying unassigned Elastic IPs.
aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_3389,deep_review,aws.ec2.security_group.allow_ingress_from_internet_to_tcp_port_22_configured,medium,"Both checks target the same concept of blocking internet ingress to a specific high-risk TCP port (3389 vs 22), differing only in the port number."
aws_ec2_securitygroup_allow_wide_open_public_ipv4,deep_review,,none,"The check name is about security groups allowing wide-open public IPv4 access, but all candidates are about public AMIs, snapshots, or instance IPs, which are unrelated controls."
aws_ec2_securitygroup_default_restricted,deep_review,aws.ec2.instance.security_group_inbound_restricted,medium,"Both controls focus on restricting security group access, though the check name targets the default security group while the candidate is a broader inbound restriction rule."
aws_ec2_securitygroup_not_used,deep_review,,none,"The check name 'aws_ec2_securitygroup_not_used' refers to identifying unused EC2 security groups, but none of the candidates address security group usage or lifecycle management."
aws_eks_cluster_not_publicly_accessible,deep_review,aws.eks.cluster.endpoint_access_configured,high,Both the compliance check and the catalog rule directly address controlling public accessibility of an EKS cluster endpoint.
aws_eks_kubelet_rotate_certificate_check,deep_review,aws.eks.certificate.monitored,medium,"Both controls focus on certificate management for EKS, though the check name specifies kubelet certificate rotation while the candidate is about general certificate monitoring."
aws_eks_kubelet_rotate_certificates_check,deep_review,,none,"None of the candidates address kubelet certificate rotation, which is a specific security control for managing TLS certificate expiration in EKS nodes."
aws_kms_cmk_not_deleted_unintentionally,deep_review,aws.cloudwatch.log.metric_alarm_kms_cmk_deletion_configured,medium,"Both the check name and the candidate focus on preventing unintentional KMS CMK deletion, though the candidate is specific to CloudWatch alarms while the check is general."
aws_qldb_ledger_encryption_at_rest_enabled,deep_review,,none,"The check name is specific to QLDB ledger encryption at rest, but none of the candidates refer to QLDB, so there is no match for the same control."
aws_qldb_ledger_iam_access_control_enforced,deep_review,aws.opensearch.service.domains_access_control_enabled,medium,"Both controls enforce IAM-based access control for specific AWS services (QLDB and OpenSearch), though the services differ."
aws_qldb_ledger_journal_export_configured,deep_review,,none,"The check name is about QLDB journal export configuration, but all candidates refer to export controls for different AWS services (Backup, CodeBuild, QuickSight, etc.) with no match for QLDB."
aws_qldb_logging_and_monitoring_compliance_check,deep_review,,none,"The compliance check is specifically for QLDB logging and monitoring, but none of the candidates relate to QLDB; they cover other AWS services like ELB, API Gateway, and CloudFront."
aws_qldb_vpc_network_access_secure_configuration_check,deep_review,,none,"The check name is about QLDB VPC network access security, but none of the candidates specifically address QLDB or a similar ledger database service's VPC configuration."
aws_s3_bucket_policy_in_transit_http_access_denied,deep_review,aws.s3.bucket.require_tls_in_transit_configured;aws.s3.bucket.secure_transport_policy_configured,high,"Both candidate rules enforce secure transport (TLS/HTTPS) for S3 buckets, which directly aligns with denying HTTP access in transit as specified in the compliance check."
aws_workspaces_vpc_2private_1public_subnets_nat,deep_review,aws.vpc.cloudtrail.nat_gateway_created,medium,"Both focus on NAT gateway usage for private subnet internet access, but the check name specifies a Workspaces VPC with specific subnet counts while the rule is a general NAT gateway creation event."
codebuild_project_no_secrets_in_variables,deep_review,aws.codebuild.resource.codebuild_project_envvar_awscred_configured,medium,"Both address secrets in CodeBuild environment variables, though the candidate focuses on AWS credentials specifically while the check is broader for any secrets."
eks_cluster_uses_a_supported_version,deep_review,aws.eks.addon.version_pinned_and_supported_configured,medium,"Both controls focus on ensuring EKS components use supported versions, though the check name targets cluster version while the rule targets addon versions."
eks_endpoints_not_publicly_accessible,deep_review,,none,"None of the candidates address EKS endpoint public accessibility, as they all refer to different AWS services like EFS, CloudTrail, CloudWatch, etc."
rds_cluster_default_admin,deep_review,,none,"The check name 'rds_cluster_default_admin' suggests a control about default administrative accounts in RDS clusters, but none of the candidates address default admin users or authentication settings for RDS."
rds_instance_default_admin,deep_review,,none,"The check name 'rds_instance_default_admin' suggests a control about preventing default admin accounts, but none of the candidates address database authentication or default user management."
s3_bucket_enforces_ssl,deep_review,,none,"The check name 's3_bucket_enforces_ssl' refers to enforcing SSL/TLS for data in transit, but none of the candidates address SSL/TLS or secure transport policies."
