check_name,matched_rule_ids,method,confidence,reasoning
acm_certificates_expiration_check,aws.acm.certificates.certificate_expiration_monitored;aws.acm.certificate.expiration_monitored,ai_verified,high,"Both rules specifically monitor ACM certificate expiration, which matches the security check for certificate expiration monitoring."
apigateway_restapi_client_certificate_enabled,aws.apigateway.certificate.certificate_enabled,ai_verified,high,"The check name directly matches the rule's service (apigateway), action (certificate enabled), and target resource (client certificate for REST API)."
apigateway_restapi_logging_enabled,aws.apigateway.resource.restapi_logging_enabled,token_match_high,0.75,Jaccard=0.75
apigateway_restapi_tracing_enabled,aws.apigateway.restapi.tracing_enabled,token_match_high,0.75,Jaccard=0.75
apigateway_restapi_waf_acl_attached,aws.apigateway.restapi.waf_enabled,ai_verified,high,Both the check name and rule focus on ensuring AWS API Gateway REST APIs have WAF ACL protection attached.
apigatewayv2_api_access_logging_enabled,aws.apigatewayv2.api.access_logging_enabled,token_match_high,0.80,Jaccard=0.80
appsync_field_level_logging_enabled,aws.appsync.field.level_logging_enabled,token_match_high,0.80,Jaccard=0.80
athena_workgroup_encryption,aws.athena.workgroup.encryption_at_rest_enabled;aws.athena.workgroup_encryption.at_rest_enabled,ai_verified,high,"Both rules specifically check for encryption at rest on Athena workgroups, which matches the security intent of the given check name."
aws_No checks defined,,ai_rejected,none,"The check name 'aws_No checks defined' indicates no specific security check is provided, so no rule can be matched."
aws_accessanalyzer_enabled,aws.accessanalyzer.resource.access_analyzer_enabled,ai_verified,high,Both the check name and rule ID specifically target enabling AWS Access Analyzer service with identical service and action matching.
aws_accessanalyzer_enabled_without_findings,aws.accessanalyzer.resource.access_analyzer_enabled_without_findings,token_match_high,0.67,Jaccard=0.67
aws_account_maintain_current_contact_details,aws.account.contact.current_details_configured,token_match_high,0.83,Jaccard=0.83
aws_account_maintain_different_contact_details_to_security_billing_and_operations,aws.account.contact.details_separate_security_billing_operations_configured,token_match_high,0.70,Jaccard=0.70
aws_account_security_contact_info_check,aws.account.resource.security_contact_configured,token_match_high,0.80,Jaccard=0.80
aws_account_security_contact_info_completeness_check,aws.account.resource.security_contact_configured,token_match_high,0.67,Jaccard=0.67
