check_name,category,matched_rule_ids,confidence,reasoning
aws_cloudtrail_network_gateway_event_notifications_configured,"wrong_csp[aws_,cloudtrail]",,,check contains non-oracle service markers
aws_ebs_volume_customer_managed_key_encryption_enabled,"wrong_csp[aws_,ebs]",,,check contains non-oracle service markers
aws_ec2_ebs_encryption_enabled,"wrong_csp[aws_,ebs,ec2_]",,,check contains non-oracle service markers
aws_eks_audit_policy_compliance_check,wrong_csp[aws_],,,check contains non-oracle service markers
aws_eks_kubelet_authorization_mode_check,wrong_csp[aws_],,,check contains non-oracle service markers
aws_eks_nodegroup_private_access_enabled,wrong_csp[aws_],,,check contains non-oracle service markers
aws_eventbridge_security_group_changes_notification_configured,wrong_csp[aws_],,,check contains non-oracle service markers
aws_eventbridge_vpc_change_notification,wrong_csp[aws_],,,check contains non-oracle service markers
aws_iam_access_key_rotation_check,wrong_csp[aws_],,,check contains non-oracle service markers
aws_iam_group_policy_access_control,wrong_csp[aws_],,,check contains non-oracle service markers
aws_iam_password_policy_minimum_length_enforced,wrong_csp[aws_],,,check contains non-oracle service markers
aws_iam_policy_admin_group_only,wrong_csp[aws_],,,check contains non-oracle service markers
aws_iam_service_admins_access_control_check,wrong_csp[aws_],,,check contains non-oracle service markers
aws_iam_users_mfa_enabled,wrong_csp[aws_],,,check contains non-oracle service markers
aws_s3_bucket_encryption_cmk_enabled,"wrong_csp[aws_,s3_bucket]",,,check contains non-oracle service markers
aws_ssm_ec2_oke_kubelet_conf_permissions_check,"wrong_csp[aws_,ec2_]",,,check contains non-oracle service markers
aws_ssm_kubelet_rotate_certificates_check,wrong_csp[aws_],,,check contains non-oracle service markers
aws_vpc_flow_logging_enabled_for_all_subnets,wrong_csp[aws_],,,check contains non-oracle service markers
oracle_awslambda_function_inside_vpc,"wrong_csp[awslambda,lambda]",,,check contains non-oracle service markers
oracle_awslambda_function_not_publicly_accessible,"wrong_csp[awslambda,lambda]",,,check contains non-oracle service markers
oracle_database_rds_instance_encryption_enabled,wrong_csp[rds],,,check contains non-oracle service markers
oracle_dynamodb_autoscaling_enabled,wrong_csp[dynamodb],,,check contains non-oracle service markers
oracle_dynamodb_backup_enabled,wrong_csp[dynamodb],,,check contains non-oracle service markers
oracle_dynamodb_pitr_enabled,wrong_csp[dynamodb],,,check contains non-oracle service markers
oracle_elb_is_in_multiple_az,wrong_csp[elb],,,check contains non-oracle service markers
oracle_elb_logging_enabled,wrong_csp[elb],,,check contains non-oracle service markers
oracle_elbv2_is_in_multiple_az,wrong_csp[elb],,,check contains non-oracle service markers
oracle_elbv2_logging_enabled,wrong_csp[elb],,,check contains non-oracle service markers
oracle_elbv2_target_group_health_check_enabled,wrong_csp[elb],,,check contains non-oracle service markers
oracle_glue_data_catalogs_not_publicly_accessible,wrong_csp[glue_],,,check contains non-oracle service markers
oracle_guardduty_is_enabled,wrong_csp[guardduty],,,check contains non-oracle service markers
oracle_opensearch_service_domains_cloudwatch_logging_enabled,wrong_csp[cloudwatch],,,check contains non-oracle service markers
oracle_rds_backup_enabled,wrong_csp[rds],,,check contains non-oracle service markers
oracle_rds_backup_retention_period,wrong_csp[rds],,,check contains non-oracle service markers
oracle_rds_multi_az_enabled,wrong_csp[rds],,,check contains non-oracle service markers
oracle_redshift_backup_enabled,wrong_csp[redshift],,,check contains non-oracle service markers
oracle_redshift_cluster_audit_logging,wrong_csp[redshift],,,check contains non-oracle service markers
oracle_redshift_cluster_in_transit_encryption_enabled,wrong_csp[redshift],,,check contains non-oracle service markers
oracle_redshift_cluster_multi_az_enabled,wrong_csp[redshift],,,check contains non-oracle service markers
oracle_No checks defined,deep_review,oci.identity.user.checks_configured,high,"The compliance check name 'oracle_No checks defined' directly corresponds to a rule that verifies whether checks are configured, which is exactly what 'oci.identity.user.checks_configured' does."
oracle_accessanalyzer_enabled,deep_review,,none,"The compliance check 'oracle_accessanalyzer_enabled' is about enabling Access Analyzer for resource analysis, but none of the provided candidates relate to Access Analyzer or similar resource configuration analysis services."
oracle_aisearch_service_not_publicly_accessible,deep_review,,none,"No candidate directly addresses public accessibility for Oracle AI Search service, with all options focusing on unrelated services like KMS, analytics, compute, or object storage."
oracle_aks_clusters_created_with_private_nodes,deep_review,oci.bds.bds_instance.cluster_private_networking_enforced,medium,"Both controls enforce private networking for clusters, though the check name specifies AKS (Kubernetes) while the candidate is for BDS (Big Data Service)."
oracle_app_function_not_publicly_accessible,deep_review,,none,"The check name is about Oracle Functions applications not being publicly accessible, but none of the candidates directly address public accessibility for applications or functions."
oracle_athena_workgroup_encryption,deep_review,oci.analytics.analytics_instance.workgroup_encryption,high,"Both the compliance check and the catalog rule specifically target encryption for a workgroup in an analytics service, indicating the same control."
oracle_athena_workgroup_logging_enabled,deep_review,oci.analytics.analytics_instance.workgroup_logging_enabled,high,"Both the compliance check and the catalog rule specifically target logging enablement for a workgroup in Oracle's analytics services, indicating the same control."
oracle_autoscaling_group_configured,deep_review,oci.compute.instance_pool.group_configured,medium,"The check name refers to autoscaling group configuration, and the candidate 'oci.compute.instance_pool.group_configured' is the closest match as it involves configuring compute instance groups, which are often used for autoscaling in Oracle Cloud."
oracle_backup_enabled_for_ec2,deep_review,oci.compute.instance.backup_enabled,high,"The check name 'oracle_backup_enabled_for_ec2' directly corresponds to enabling backups for compute instances (EC2 equivalent), which matches the candidate rule for compute instance backup."
oracle_backup_vaults_encrypted,deep_review,oci.database.autonomous_database.vaults_encrypted,high,"Both the compliance check and the rule directly address encryption for Oracle Backup Vaults, indicating the same specific control."
