,,,,,,,,,,,,,,,,,,,,,,,,,
,,FedRAMP® Tailored LI-SaaS Baseline Worksheets,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,
,"There are five (5) categories of FedRAMP Tailored Low Impact-Software as a Service (LI-SaaS) Baseline controls, based on the FedRAMP Low Impact Baseline, that are required to be addressed by the Cloud Service Provider (CSP). The following table provides a list of the tailoring symbols with a short description of the tailoring criteria.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Tailoring Symbol,Tailoring Criteria,,,,,,,,,,,,,,,,,,,,,,,
,FED,"The control is typically the responsibility of the Federal Government, not the CSP.",,,,,,,,,,,,,,,,,,,,,,,
,NSO  ,FedRAMP has determined the control does not impact the security of the Cloud SaaS.,,,,,,,,,,,,,,,,,,,,,,,
,Document and Assess,"The control must be documented in Appendix B, and independently assessed. This does not mean that a vendor will necessarily have each control fully implemented or implemented as stated. A vendor must address how they meet (or don't meet) the intent of the control so that it can be independently assessed and detail any risks associated with the implementation.",,,,,,,,,,,,,,,,,,,,,,,
,Document and Assess (Conditional),"If the condition exists, the control must be documented in Appendix B and independently assessed as above. If the condition does not exist, the CSP must attest to this in Appendix E. ",,,,,,,,,,,,,,,,,,,,,,,
,Attest,"The control must exist; however, the CSP may attest to its existence in Appendix E. (No documentation or independent assessment is required.)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The LI-SaaS Baseline worksheet provides provides details of the FedRAMP tailoring criteria for all FedRAMP Low Impact Baseline controls.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Click here to view the LI-SaaS Baseline worksheet,,,,,,,,,,,,,,,,,,,,,,,,
