id,title,description,rationale,audit,remediation,profile_applicability,impact,references,source_file,original_filename
1.1.1,Ensure that the API server pod specification file permissions are set to 600 or more restrictive,Automated,Ensure that the API server pod specification file has permissions of 600 or more restrictive.,The API server pod specification file controls various parameters that set the behavior of the API server. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-apiserver.yaml Default Value: By default, the kube-apiserver.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",kubernetes_api_server_pod_spec_file_permissions_600_or_more_restrictive; kubernetes_api_server_pod_spec_file_permissions_restricted; kubernetes_api_server_pod_spec_file_permissions_secure; kubernetes_api_server_pod_spec_file_permissions_strict; kubernetes_api_server_pod_spec_file_permissions_min_600,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/
1.1.2,Ensure that the API server pod specification file ownership is set to root:root,Automated,Ensure that the API server pod specification file ownership is set to root:root.,The API server pod specification file controls various parameters that set the behavior of the API server. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml Default Value: By default, the kube-apiserver.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",kubernetes_api_server_pod_spec_file_owner_root; kubernetes_api_server_pod_spec_file_group_root; kubernetes_api_server_pod_spec_file_ownership_root_root,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/
1.1.3,Ensure that the controller manager pod specification file permissions are set to 600 or more restrictive,Automated,Ensure that the controller manager pod specification file has permissions of 600 or more restrictive.,The controller manager pod specification file controls various parameters that set the behavior of the Controller Manager on the master node. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-controller-manager.yaml Default Value: By default, the kube-controller-manager.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",kubernetes_controller_manager_pod_spec_file_permissions_600_or_more_restrictive; kubernetes_controller_manager_pod_spec_file_permissions_restrictive; kubernetes_controller_manager_file_permissions_secure; kubernetes_controller_manager_pod_spec_file_permissions_compliant; kubernetes_controller_manager_file_permissions_600_or_stricter,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/
1.1.4,Ensure that the controller manager pod specification file ownership is set to root:root,Automated,Ensure that the controller manager pod specification file ownership is set to root:root.,The controller manager pod specification file controls various parameters that set the behavior of various components of the master node. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml Default Value: By default, kube-controller-manager.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-controller-manager",kubernetes_controller_manager_file_ownership_root; kubernetes_controller_manager_pod_spec_ownership_root; kubernetes_controller_manager_file_permissions_root; kubernetes_controller_manager_spec_file_ownership_root; kubernetes_controller_manager_pod_file_ownership_root_root,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-controller-manager
1.1.5,Ensure that the scheduler pod specification file permissions are set to 600 or more restrictive,Automated,Ensure that the scheduler pod specification file has permissions of 600 or more restrictive.,The scheduler pod specification file controls various parameters that set the behavior of the Scheduler service in the master node. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-scheduler.yaml Default Value: By default, kube-scheduler.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-scheduler/",kubernetes_scheduler_pod_spec_file_permissions_600_or_stricter; kubernetes_scheduler_pod_spec_file_permissions_restrictive; kubernetes_scheduler_pod_spec_file_permissions_secure; kubernetes_scheduler_pod_spec_file_permissions_compliant; kubernetes_scheduler_pod_spec_file_permissions_protected,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-scheduler/
1.1.6,Ensure that the scheduler pod specification file ownership is set to root:root,Automated,Ensure that the scheduler pod specification file ownership is set to root:root.,The scheduler pod specification file controls various parameters that set the behavior of the kube-scheduler service in the master node. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml Default Value: By default, kube-scheduler.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-scheduler/",kubernetes_scheduler_pod_file_ownership_root; kubernetes_scheduler_pod_spec_root_owned; kubernetes_scheduler_pod_file_root_root; kubernetes_scheduler_spec_file_ownership_root; kubernetes_scheduler_pod_root_ownership,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-scheduler/
1.1.7,Ensure that the etcd pod specification file permissions are set to 600 or more restrictive,Automated,Ensure that the /etc/kubernetes/manifests/etcd.yaml file has permissions of 600 or more restrictive.,The etcd pod specification file /etc/kubernetes/manifests/etcd.yaml controls various parameters that set the behavior of the etcd service in the master node. etcd is a highly- available key-value store which Kubernetes uses for persistent storage of all of its REST API object. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/etcd.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/etcd.yaml Default Value: By default, /etc/kubernetes/manifests/etcd.yaml file has permissions of 640. References: 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/",kubernetes_etcd_pod_spec_file_permissions_restrictive; kubernetes_etcd_manifest_file_permissions_600; kubernetes_etcd_yaml_file_permissions_secure; kubernetes_manifests_etcd_file_permissions_restricted; kubernetes_etcd_spec_file_permissions_600_or_stricter,• Level 1 - Master Node,None,1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/
1.1.8,Ensure that the etcd pod specification file ownership is set to root:root,Automated,Ensure that the /etc/kubernetes/manifests/etcd.yaml file ownership is set to root:root.,The etcd pod specification file /etc/kubernetes/manifests/etcd.yaml controls various parameters that set the behavior of the etcd service in the master node. etcd is a highly- available key-value store which Kubernetes uses for persistent storage of all of its REST API object. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/etcd.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/etcd.yaml Default Value: By default, /etc/kubernetes/manifests/etcd.yaml file ownership is set to root:root. References: 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/",kubernetes_etcd_manifest_file_ownership_root; kubernetes_etcd_pod_spec_file_ownership_root; kubernetes_etcd_yaml_file_ownership_root; kubernetes_manifest_etcd_file_ownership_root; kubernetes_etcd_config_file_ownership_root,• Level 1 - Master Node,None,1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/
1.1.9,Ensure that the Container Network Interface file permissions are set to 600 or more restrictive,Manual,Ensure that the Container Network Interface files have permissions of 600 or more restrictive.,Container Network Interface provides various networking options for overlay networking. You should consult their documentation and restrict their respective file permissions to maintain the integrity of those files. Those files should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a <path/to/cni/files> Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 <path/to/cni/files> Default Value: NA References: 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/",compute_container_network_interface_file_permissions_600_or_more_restrictive; compute_cni_file_permissions_600_or_more_restrictive; container_network_interface_file_permissions_secure; cni_file_permissions_600_or_stricter,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/concepts/cluster-administration/networking/
1.1.10,Ensure that the Container Network Interface file ownership is set to root:root,Manual,Ensure that the Container Network Interface files have ownership set to root:root.,Container Network Interface provides various networking options for overlay networking. You should consult their documentation and restrict their respective file permissions to maintain the integrity of those files. Those files should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G <path/to/cni/files> Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root <path/to/cni/files> Default Value: NA References: 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/",container_network_interface_file_ownership_root; container_network_interface_file_owner_root; container_network_interface_file_group_root; container_network_interface_file_permissions_root_only; container_network_interface_file_access_root_restricted,• Level 1 - Master Node,None,1. https://kubernetes.io/docs/concepts/cluster-administration/networking/
