id,unique_id,source,title,description,rationale,audit,remediation,profile_applicability,impact,references,section,assessment,default_value,additional_information,final_approach,final_confidence,program_name,justification,automation_summary,manual_summary,three_ai_consensus,decision_timestamp
3.1.1,cis-azure-foundation-v500-3-1-1,CIS_Microsoft_Azure_Foundations_Benchmark_v5_0_0,Ensure only MFA enabled identities can access privileged  Virtual Machine,"Verify identities without MFA that can log in to a privileged virtual machine using separate login credentials. An adversary can leverage the access to move laterally and perform actions with the virtual machine's managed identity. Make sure the virtual machine only has necessary permissions, and revoke the admin-level permissions according to the principle of least privilege.","Integrating multi-factor authentication (MFA) as part of the organizational policy can greatly reduce the risk of an identity gaining control of valid credentials that may be used for additional tactics such as initial access, lateral movement, and collecting information. MFA can also be used to restrict access to cloud resources and APIs. An Adversary may log into accessible cloud services within a compromised environment using Valid Accounts that are synchronized to move laterally and perform actions with the virtual machine's managed identity. The adversary may then perform management actions or access cloud-hosted resources as the logged-on managed identity.","Audit from Azure Portal 1. Log in to the Azure portal. 2. Select the Subscription, then click on Access control (IAM). 3. Click Role : All and click All to display the drop-down menu. 4. Type Virtual Machine Administrator Login and select Virtual Machine Administrator Login. 5. Review the list of identities that have been assigned the Virtual Machine Administrator Login role. 6. Go to Microsoft Entra ID. 7. For Per-user MFA: a) Under Manage, click Users. b) Click Per-user MFA. c) Ensure that none of the identities assigned the Virtual Machine Administrator Login role from step 4 have Status set to disabled. 8. For Conditional Access: a) Under Manage, click Security. b) Under Protect, click Conditional Access. c) Ensure that none of the identities assigned the Virtual Machine Administrator Login role from step 4 are exempt from a Conditional Access policy requiring MFA for all users.","Remediate from Azure Portal 1. Log in to the Azure portal. 2. This can be remediated by enabling MFA for user, Removing user access or Reducing access of managed identities attached to virtual machines. Case I : Enable MFA for users having access on virtual machines. 1. Go to Microsoft Entra ID. 2. For Per-user MFA: 1. Under Manage, click Users. 2. Click Per-user MFA. 3. For each user requiring remediation, check the box next to their name. 4. Click Enable MFA. 5. Click Enable. 3. For Conditional Access: 1. Under Manage, click Security. 2. Under Protect, click Conditional Access. 3. Update the Conditional Access policy requiring MFA for all users, removing each user requiring remediation from the Exclude list. Case II : Removing user access on a virtual machine. 1. Select the Subscription, then click on Access control (IAM). 2. Select Role assignments and search for Virtual Machine Administrator Login or Virtual Machine User Login or any role that provides access to log into virtual machines. 3. Click on Role Name, Select Assignments, and remove identities with no MFA configured. Case III : Reducing access of managed identities attached to virtual machines. 1. Select the Subscription, then click on Access control (IAM). 2. Select Role Assignments from the top menu and apply filters on Assignment type as Privileged administrator roles and Type as Virtual Machines. 3. Click on Role Name, Select Assignments, and remove identities access make sure this follows the least privileges principal.",• Level 2,"This recommendation requires the Entra ID P2 license to implement. Ensure that identities provisioned to a virtual machine utilize an RBAC/ABAC group and are allocated a role using Azure PIM, and that the role settings require MFA or use another third-party PAM solution for accessing virtual machines.",N/A,3 Section,Manual,,,,,,,,,,
3.2.2,cis-azure-aks-v170-3-2-2,CIS_Azure_Kubernetes_Service__AKS__Benchmark_v1_7_0_PDF,Ensure that the --authorization-mode argument is not set to  AlwaysAllow,Do not allow all requests. Enable explicit authorization.,"Kubelets, by default, allow all authenticated requests (even anonymous ones) without needing explicit authorization checks from the apiserver. You should restrict this behavior and only allow explicitly authorized requests.","Audit Method 1: If using a Kubelet configuration file, check that there is an entry for ""authentication"": ""webhook"": ""enabled"" set to true. First, SSH to the relevant node: Run the following command on each node to find the appropriate Kubelet config file: ps -ef | grep kubelet The output of the above command should return something similar to --config /etc/kubernetes/kubelet/kubelet-config.json which is the location of the Kubelet config file. Open the Kubelet config file: Internal Only - General sudo more /etc/kubernetes/kubelet/kubelet-config.json Verify that the ""authentication"": {""webhook"": { ""enabled"": is set to true. If the ""authentication"": {""mode"": { argument is present check that it is not set to AlwaysAllow. If it is not present check that there is a Kubelet config file specified by -- config, and that file sets ""authentication"": {""mode"": { to something other than AlwaysAllow. Audit Method 2: If using the api configz endpoint consider searching for the status of authentication... ""webhook"":{""enabled"":true} by extracting the live configuration from the nodes running kubelet. Set the local proxy port and the following variables and provide proxy port number and node name; HOSTNAME_PORT=""localhost-and-port-number"" NODE_NAME=""The-Name-Of-Node-To-Extract-Configuration"" from the output of ""kubectl get nodes"" kubectl proxy --port=8001 & export HOSTNAME_PORT=localhost:8001 (example host and port number) export NODE_NAME=ip-192.168.31.226.aks.internal (example node name from ""kubectl get nodes"") curl -sSL ""http://${HOSTNAME_PORT}/api/v1/nodes/${NODE_NAME}/proxy/configz""","Remediation Method 1: If modifying the Kubelet config file, edit the kubelet-config.json file /etc/kubernetes/kubelet/kubelet-config.json and set the below parameter to false ""authentication""... ""webhook"":{""enabled"":true Remediation Method 2: If using executable arguments, edit the kubelet service file /etc/systemd/system/kubelet.service.d/10-kubelet-args.conf on each worker node and add the below parameter at the end of the KUBELET_ARGS variable string. --authorization-mode=Webhook Remediation Method 3: If using the api configz endpoint consider searching for the status of ""authentication.*webhook"":{""enabled"":true"" by extracting the live configuration from the nodes running kubelet. **See detailed step-by-step configmap procedures in Reconfigure a Node's Kubelet in a Live Cluster, and then rerun the curl statement from audit process to check for kubelet configuration changes Internal Only - General kubectl proxy --port=8001 & export HOSTNAME_PORT=localhost:8001 (example host and port number) export NODE_NAME=ip-192.168.31.226.aks.internal (example node name from ""kubectl get nodes"") curl -sSL ""http://${HOSTNAME_PORT}/api/v1/nodes/${NODE_NAME}/proxy/configz"" For all three remediations: Based on your system, restart the kubelet service and check status systemctl daemon-reload systemctl restart kubelet.service systemctl status kubelet -l",• Level 1,Unauthorized requests will be denied.,1. https://kubernetes.io/docs/admin/kubelet/ 2. https://kubernetes.io/docs/admin/kubelet-authentication-authorization/#kubelet- authentication 3. https://kubernetes.io/docs/tasks/administer-cluster/reconfigure-kubelet/ 4. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- governance-strategy#gs-6-define-identity-and-privileged-access-strategy,3 Section,Automated,See the Azure AKS documentation for the default value.,,,,,,,,,
3.2.6,cis-azure-aks-v170-3-2-6,CIS_Azure_Kubernetes_Service__AKS__Benchmark_v1_7_0_PDF,Ensure that the --make-iptables-util-chains argument is set  to true,Allow Kubelet to manage iptables.,Kubelets can automatically manage the required changes to iptables based on how you choose your networking options for the pods. It is recommended to let kubelets manage the changes to iptables. This ensures that the iptables configuration remains in sync with pods networking configuration. Manually configuring iptables with dynamic pod network configuration changes might hamper the communication between pods/containers and to the outside world. You might have iptables rules too restrictive or too open.,"Audit Method 1: If using a Kubelet configuration file, check that there is an entry for makeIPTablesUtilChains set to true. First, SSH to the relevant node: Run the following command on each node to find the appropriate Kubelet config file: ps -ef | grep kubelet The output of the above command should return something similar to --config /etc/kubernetes/kubelet/kubelet-config.json which is the location of the Kubelet config file. Open the Kubelet config file: Internal Only - General cat /etc/kubernetes/kubelet/kubelet-config.json Verify that if the makeIPTablesUtilChains argument exists then it is set to true. If the --make-iptables-util-chains argument does not exist, and there is a Kubelet config file specified by --config, verify that the file does not set makeIPTablesUtilChains to false. Audit Method 2: If using the api configz endpoint consider searching for the status of authentication... ""makeIPTablesUtilChains"":true by extracting the live configuration from the nodes running kubelet. Set the local proxy port and the following variables and provide proxy port number and node name; HOSTNAME_PORT=""localhost-and-port-number"" NODE_NAME=""The-Name-Of-Node-To-Extract-Configuration"" from the output of ""kubectl get nodes"" kubectl proxy --port=8001 & export HOSTNAME_PORT=localhost:8001 (example host and port number) export NODE_NAME=ip-192.168.31.226.aks.internal (example node name from ""kubectl get nodes"") curl -sSL ""http://${HOSTNAME_PORT}/api/v1/nodes/${NODE_NAME}/proxy/configz""","Remediation Method 1: If modifying the Kubelet config file, edit the kubelet-config.json file /etc/kubernetes/kubelet/kubelet-config.json and set the below parameter to false ""makeIPTablesUtilChains"": true Remediation Method 2: If using executable arguments, edit the kubelet service file /etc/systemd/system/kubelet.service.d/10-kubelet-args.conf on each worker node and add the below parameter at the end of the KUBELET_ARGS variable string. --make-iptables-util-chains:true Remediation Method 3: If using the api configz endpoint consider searching for the status of ""makeIPTablesUtilChains"": true by extracting the live configuration from the nodes running kubelet. **See detailed step-by-step configmap procedures in Reconfigure a Node's Kubelet in a Live Cluster, and then rerun the curl statement from audit process to check for kubelet configuration changes Internal Only - General kubectl proxy --port=8001 & export HOSTNAME_PORT=localhost:8001 (example host and port number) export NODE_NAME=ip-192.168.31.226.aks.internal (example node name from ""kubectl get nodes"") curl -sSL ""http://${HOSTNAME_PORT}/api/v1/nodes/${NODE_NAME}/proxy/configz"" For all three remediations: Based on your system, restart the kubelet service and check status systemctl daemon-reload systemctl restart kubelet.service systemctl status kubelet -l",• Level 1,"Kubelet would manage the iptables on the system and keep it in sync. If you are using any other iptables management solution, then there might be some conflicts.",1. https://kubernetes.io/docs/admin/kubelet/ 2. https://kubernetes.io/docs/tasks/administer-cluster/reconfigure-kubelet/ 3. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- network-security#ns-1-implement-security-for-internal-traffic,3 Section,Automated,See the Azure AKS documentation for the default value.,,,,,,,,,
3.2.7,cis-azure-aks-v170-3-2-7,CIS_Azure_Kubernetes_Service__AKS__Benchmark_v1_7_0_PDF,Ensure that the --eventRecordQPS argument is set to 0 or a  level which ensures appropriate event capture,"Security relevant information should be captured. The --eventRecordQPS flag on the Kubelet can be used to limit the rate at which events are gathered. Setting this too low could result in relevant events not being logged, however the unlimited setting of 0 could result in a denial of service on the kubelet.",It is important to capture all events and not restrict event creation. Events are an important source of security information and analytics that ensure that your environment is consistently monitored using the event data.,"Audit Method 1: First, SSH to each node. Run the following command on each node to find the Kubelet process: ps -ef | grep kubelet In the output of the above command review the value set for the --eventRecordQPS argument and determine whether this has been set to an appropriate level for the cluster. The value of 0 can be used to ensure that all events are captured. If the --eventRecordQPS argument does not exist, check that there is a Kubelet config file specified by --config and review the value in this location. The output of the above command should return something similar to --config /etc/kubernetes/kubelet/kubelet-config.json which is the location of the Kubelet config file. Open the Kubelet config file: Internal Only - General cat /etc/kubernetes/kubelet/kubelet-config.json If there is an entry for eventRecordQPS check that it is set to 0 or an appropriate level for the cluster. Audit Method 2: If using the api configz endpoint consider searching for the status of eventRecordQPS by extracting the live configuration from the nodes running kubelet. Set the local proxy port and the following variables and provide proxy port number and node name; HOSTNAME_PORT=""localhost-and-port-number"" NODE_NAME=""The-Name-Of-Node-To-Extract-Configuration"" from the output of ""kubectl get nodes"" kubectl proxy --port=8001 & export HOSTNAME_PORT=localhost:8001 (example host and port number) export NODE_NAME=ip-192.168.31.226.aks.internal (example node name from ""kubectl get nodes"") curl -sSL ""http://${HOSTNAME_PORT}/api/v1/nodes/${NODE_NAME}/proxy/configz""","Remediation Method 1: If modifying the Kubelet config file, edit the kubelet-config.json file /etc/kubernetes/kubelet/kubelet-config.json and set the below parameter to 5 or a value greater or equal to 0 ""eventRecordQPS"": 5 Check that /etc/systemd/system/kubelet.service.d/10-kubelet-args.conf does not define an executable argument for eventRecordQPS because this would override your Kubelet config. Remediation Method 2: If using executable arguments, edit the kubelet service file /etc/systemd/system/kubelet.service.d/10-kubelet-args.conf on each worker node and add the below parameter at the end of the KUBELET_ARGS variable string. --eventRecordQPS=5 Remediation Method 3: If using the api configz endpoint consider searching for the status of ""eventRecordQPS"" by extracting the live configuration from the nodes running kubelet. **See detailed step-by-step configmap procedures in Reconfigure a Node's Kubelet in a Live Cluster, and then rerun the curl statement from audit process to check for kubelet configuration changes Internal Only - General kubectl proxy --port=8001 & export HOSTNAME_PORT=localhost:8001 (example host and port number) export NODE_NAME=ip-192.168.31.226.aks.internal (example node name from ""kubectl get nodes"") curl -sSL ""http://${HOSTNAME_PORT}/api/v1/nodes/${NODE_NAME}/proxy/configz"" For all three remediations: Based on your system, restart the kubelet service and check status systemctl daemon-reload systemctl restart kubelet.service systemctl status kubelet -l",• Level 2,Setting this parameter to 0 could result in a denial of service condition due to excessive events being created. The cluster's event processing and storage systems should be scaled to handle expected event loads.,1. https://kubernetes.io/docs/admin/kubelet/ 2. https://github.com/kubernetes/kubernetes/blob/master/pkg/kubelet/apis/kubeletco nfig/v1beta1/types.go 3. https://kubernetes.io/docs/tasks/administer-cluster/reconfigure-kubelet/ 4. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- logging-threat-detection,3 Section,Automated,See the AKS documentation for the default value.,,,,,,,,,
4.1.1,cis-azure-aks-v170-4-1-1,CIS_Azure_Kubernetes_Service__AKS__Benchmark_v1_7_0_PDF,Ensure that the cluster-admin role is only used where  required,The RBAC role cluster-admin provides wide-ranging powers over the environment and should be used only where and when needed.,"Kubernetes provides a set of default roles where RBAC is used. Some of these roles such as cluster-admin provide wide-ranging privileges which should only be applied where absolutely necessary. Roles such as cluster-admin allow super-user access to perform any action on any resource. When used in a ClusterRoleBinding, it gives full control over every resource in the cluster and in all namespaces. When used in a RoleBinding, it gives full control over every resource in the rolebinding's namespace, including the namespace itself.","Obtain a list of the principals who have access to the cluster-admin role by reviewing the clusterrolebinding output for each role binding that has access to the cluster- admin role. kubectl get clusterrolebindings -o=custom- columns=NAME:.metadata.name,ROLE:.roleRef.name,SUBJECT:.subjects[*].name Review each principal listed and ensure that cluster-admin privilege is required for it.","Identify all clusterrolebindings to the cluster-admin role. Check if they are used and if they need this role or if they could use a role with fewer privileges. Where possible, first bind users to a lower privileged role and then remove the clusterrolebinding to the cluster-admin role : Internal Only - General kubectl delete clusterrolebinding [name]",• Level 1,"Care should be taken before removing any clusterrolebindings from the environment to ensure they were not required for operation of the cluster. Specifically, modifications should not be made to clusterrolebindings with the system: prefix as they are required for the operation of system components.",1. https://kubernetes.io/docs/admin/authorization/rbac/#user-facing-roles 2. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- privileged-access#pa-7-follow-just-enough-administration-least-privilege-principle,4 Section,Automated,By default a single clusterrolebinding called cluster-admin is provided with the system:masters group as its principal.,,,,,,,,,
4.1.5,cis-azure-aks-v170-4-1-5,CIS_Azure_Kubernetes_Service__AKS__Benchmark_v1_7_0_PDF,Ensure that default service accounts are not actively used,The default service account should not be used to ensure that rights granted to applications can be more easily audited and reviewed.,"Kubernetes provides a default service account which is used by cluster workloads where no specific service account is assigned to the pod. Where access to the Kubernetes API from a pod is required, a specific service account should be created for that pod, and rights granted to that service account. The default service account should be configured such that it does not provide a service account token and does not have any explicit rights assignments.","For each namespace in the cluster, review the rights assigned to the default service account and ensure that it has no roles or cluster roles bound to it apart from the defaults. Additionally ensure that the automountServiceAccountToken: false setting is in place for each default service account.",Create explicit service accounts wherever a Kubernetes workload requires specific access to the Kubernetes API server. Modify the configuration of each default service account to include this value automountServiceAccountToken: false Automatic remediation for the default account: kubectl patch serviceaccount default -p $'automountServiceAccountToken: false' Internal Only - General,• Level 1,All workloads which require access to the Kubernetes API will require an explicit service account to be created.,1. https://kubernetes.io/docs/tasks/configure-pod-container/configure-service- account/ 2. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- identity-management#im-2-manage-application-identities-securely-and- automatically,4 Section,Automated,By default the default service account allows for its service account token to be mounted in pods in its namespace.,,,,,,,,,
4.1.6,cis-azure-aks-v170-4-1-6,CIS_Azure_Kubernetes_Service__AKS__Benchmark_v1_7_0_PDF,Ensure that Service Account Tokens are only mounted  where necessary,Service accounts tokens should not be mounted in pods except where the workload running in the pod explicitly needs to communicate with the API server,Mounting service account tokens inside pods can provide an avenue for privilege escalation attacks where an attacker is able to compromise a single pod in the cluster. Avoiding mounting these tokens removes this attack avenue.,"Review pod and service account objects in the cluster and ensure that the option below is set, unless the resource explicitly requires this access. Set SERVICE_ACCOUNT and POD variables to appropriate values automountServiceAccountToken: false",Modify the definition of pods and service accounts which do not need to mount service account tokens to disable it.,• Level 1,"Pods mounted without service account tokens will not be able to communicate with the API server, except where the resource is available to unauthenticated principals.",1. https://kubernetes.io/docs/tasks/configure-pod-container/configure-service- account/ 2. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- identity-management#im-2-manage-application-identities-securely-and- automatically Internal Only - General,4 Section,Automated,"By default, all pods get a service account token mounted in them.",,,,,,,,,
4.4.2,cis-azure-aks-v170-4-4-2,CIS_Azure_Kubernetes_Service__AKS__Benchmark_v1_7_0_PDF,Ensure that all Namespaces have Network Policies defined,Use network policies to isolate traffic in your cluster network.,"Running different applications on the same Kubernetes cluster creates a risk of one compromised application attacking a neighboring application. Network segmentation is important to ensure that containers can communicate only with those they are supposed to. A network policy is a specification of how selections of pods are allowed to communicate with each other and other network endpoints. Once there is any Network Policy in a namespace selecting a particular pod, that pod will reject any connections that are not allowed by any Network Policy. Other pods in the namespace that are not selected by any Network Policy will continue to accept all traffic""",Run the below command and review the NetworkPolicy objects created in the cluster. kubectl get networkpolicy --all-namespaces Ensure that each namespace defined in the cluster has at least one Network Policy.,Follow the documentation and create NetworkPolicy objects as you need them.,• Level 2,"Once there is any Network Policy in a namespace selecting a particular pod, that pod will reject any connections that are not allowed by any Network Policy. Other pods in the namespace that are not selected by any Network Policy will continue to accept all traffic""",1. https://kubernetes.io/docs/concepts/services-networking/networkpolicies/ 2. https://octetz.com/posts/k8s-network-policy-apis Internal Only - General 3. https://kubernetes.io/docs/tasks/configure-pod-container/declare-network-policy/ 4. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- network-security#ns-1-implement-security-for-internal-traffic,4 Section,Automated,"By default, network policies are not created.",,,,,,,,,
5.3.1,cis-azure-foundation-v500-5-3-1,CIS_Microsoft_Azure_Foundations_Benchmark_v5_0_0,Ensure that Azure admin accounts are not used for daily  operations,"Microsoft Azure admin accounts should not be used for routine, non-administrative tasks.",Using admin accounts for daily operations increases the risk of accidental misconfigurations and security breaches.,"Audit from Azure Portal Monitor: 1. Go to Monitor. 2. Click Activity log. 3. Review the activity log and ensure that admin accounts are not being used for daily operations. Microsoft Entra ID: 1. Go to Microsoft Entra ID. 2. Under Monitoring, click Sign-in logs. 3. Review the sign-in logs and ensure that admin accounts are not being accessed more frequently than necessary.","If admin accounts are being used for daily operations, consider the following: • Monitor and alert on unusual activity. • Enforce the principle of least privilege. • Revoke any unnecessary administrative access. • Use Conditional Access to limit access to resources. • Ensure that administrators have separate admin and user accounts. • Use Microsoft Entra ID Protection to detect, investigate, and remediate identity- based risks. • Use Privileged Identity Management (PIM) in Microsoft Entra ID to limit standing administrator access to privileged roles, discover who has access, and review privileged access.",• Level 1,"Minor administrative overhead includes managing separate accounts, enforcing stricter access controls, and potential licensing costs for advanced security features.",1. https://learn.microsoft.com/en-us/security/privileged-access-workstations/critical- impact-accounts,5 Section,Manual,,,,,,,,,,
5.4.2,cis-azure-aks-v170-5-4-2,CIS_Azure_Kubernetes_Service__AKS__Benchmark_v1_7_0_PDF,Ensure clusters are created with Private Endpoint Enabled  and Public Access Disabled,Disable access to the Kubernetes API from outside the node network if it is not required.,"In a private cluster, the master node has two endpoints, a private and public endpoint. The private endpoint is the internal IP address of the master, behind an internal load balancer in the master's wirtual network. Nodes communicate with the master using the private endpoint. The public endpoint enables the Kubernetes API to be accessed from outside the master's virtual network. Although Kubernetes API requires an authorized token to perform sensitive actions, a vulnerability could potentially expose the Kubernetes publically with unrestricted access. Additionally, an attacker may be able to identify the current cluster and Kubernetes API version and determine whether it is vulnerable to an attack. Unless required, disabling public endpoint will help prevent such threats, and require the attacker to be on the master's virtual network to perform any attack on the Kubernetes API.","Check for the following to be 'enabled: false' export CLUSTER_NAME= export RESOURCE_GROUP= az aks show --name ${CLUSTER_NAME} --resource-group ${RESOURCE_GROUP} --query ""apiServerAccessProfile.enablePublicFqdn"" This command queries for the enablePublicFqdn property within the apiServerAccessProfile of your AKS cluster. The output will be true if endpointPublicAccess is enabled, allowing access to the AKS cluster API server from the internet. If it's false, endpointPublicAccess is disabled, meaning the API server is not accessible over the internet, which is a common configuration for private clusters. Check for the following to be 'enabled: true' Internal Only - General az aks show --name ${CLUSTER_NAME} --resource-group ${RESOURCE_GROUP} --query ""apiServerAccessProfile.enablePrivateCluster"" This command queries the enablePrivateCluster property within the apiServerAccessProfile of your AKS cluster. If the output is true, it indicates that endpointPrivateAccess is enabled, and the AKS cluster API server is configured to be accessible only via a private endpoint. If the output is false, the cluster is not configured for private access only, and the API server might be accessible over the internet depending on other settings.","To use a private endpoint, create a new private endpoint in your virtual network then create a link between your virtual network and a new private DNS zone",• Level 2,N/A,1. https://docs.microsoft.com/security/benchmark/azure/security-controls-v2- network-security#ns-2-connect-private-networks-together 2. https://learn.microsoft.com/en-us/azure/aks/private-clusters,5 Section,Automated,,,,,,,,,,
