Control_ID,Title,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
A.10.1,Cryptographic Controls,automated,aws_elbv2_insecure_ssl_ciphers; aws_cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk; aws_elb_insecure_ssl_ciphers; aws_rds_instance_storage_encrypted,,,oracle_elbv2_insecure_ssl_ciphers; oracle_elb_insecure_ssl_ciphers; oracle_database_instance_storage_encrypted; oracle_cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_vault_cmk,ibm_elbv2_insecure_ssl_ciphers; ibm_elb_insecure_ssl_ciphers; ibm_cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_key_protect_cmk; ibm_database_instance_storage_encrypted,alicloud_elbv2_insecure_ssl_ciphers; alicloud_cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk; alicloud_elb_insecure_ssl_ciphers; alicloud_rds_instance_storage_encrypted,16
A.12.4,Logging and Monitoring,automated,aws_vpc_flow_logs_enabled; aws_cloudwatch_log_metric_filter_security_group_changes; aws_cloudwatch_log_metric_filter_root_usage; aws_cloudwatch_log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled; aws_cloudwatch_changes_to_network_route_tables_alarm_configured; aws_config_recorder_all_regions_enabled; aws_cloudwatch_log_metric_filter_sign_in_without_mfa; aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudwatch_log_metric_filter_policy_changes; aws_cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled; aws_cloudtrail_logs_s3_bucket_access_logging_enabled; aws_cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk; aws_cloudtrail_logs_s3_bucket_is_not_publicly_accessible; aws_cloudwatch_changes_to_vpcs_alarm_configured; aws_cloudwatch_log_metric_filter_authentication_failures; aws_cloudwatch_changes_to_network_acls_alarm_configured; aws_cloudwatch_log_metric_filter_unauthorized_api_calls; aws_cloudwatch_changes_to_network_gateways_alarm_configured; aws_cloudtrail_multi_region_enabled; aws_cloudwatch_log_metric_filter_for_s3_bucket_policy_changes,,,oracle_monitoring_log_metric_filter_root_usage; oracle_config_recorder_all_regions_enabled; oracle_monitoring_log_metric_filter_unauthorized_api_calls; oracle_monitoring_log_metric_filter_authentication_failures; oracle_monitoring_changes_to_network_route_tables_alarm_configured; oracle_monitoring_changes_to_network_acls_alarm_configured; oracle_cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_vault_cmk; oracle_monitoring_log_metric_filter_sign_in_without_mfa; oracle_cloudwatch_log_metric_filter_for_object_storage_bucket_policy_changes; oracle_monitoring_changes_to_vpcs_alarm_configured; oracle_cloudtrail_logs_object_storage_bucket_access_logging_enabled; oracle_monitoring_log_metric_filter_policy_changes; oracle_cloudwatch_log_metric_filter_and_alarm_for_audit_configuration_changes_enabled; oracle_monitoring_log_metric_filter_security_group_changes; oracle_audit_cloudwatch_logging_enabled; oracle_monitoring_changes_to_network_gateways_alarm_configured; oracle_cloudtrail_logs_object_storage_bucket_is_not_publicly_accessible; oracle_vcn_flow_logs_enabled; oracle_monitoring_log_metric_filter_and_alarm_for_oracle_config_configuration_changes_enabled; oracle_audit_multi_region_enabled,ibm_vpc_flow_logs_enabled; ibm_monitoring_log_metric_filter_root_usage; ibm_monitoring_log_metric_filter_and_alarm_for_ibm_config_configuration_changes_enabled; ibm_config_recorder_all_regions_enabled; ibm_monitoring_log_metric_filter_unauthorized_api_calls; ibm_cloudwatch_log_metric_filter_for_cos_bucket_policy_changes; ibm_monitoring_log_metric_filter_authentication_failures; ibm_monitoring_changes_to_network_route_tables_alarm_configured; ibm_cloudtrail_logs_cos_bucket_access_logging_enabled; ibm_monitoring_changes_to_network_acls_alarm_configured; ibm_cloudwatch_log_metric_filter_and_alarm_for_activity_tracker_configuration_changes_enabled; ibm_activity_tracker_cloudwatch_logging_enabled; ibm_monitoring_log_metric_filter_sign_in_without_mfa; ibm_monitoring_changes_to_vpcs_alarm_configured; ibm_cloudtrail_logs_cos_bucket_is_not_publicly_accessible; ibm_monitoring_log_metric_filter_policy_changes; ibm_monitoring_log_metric_filter_security_group_changes; ibm_monitoring_changes_to_network_gateways_alarm_configured; ibm_cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_key_protect_cmk; ibm_activity_tracker_multi_region_enabled,alicloud_vpc_flow_logs_enabled; alicloud_config_recorder_all_regions_enabled; alicloud_cloudmonitor_changes_to_network_route_tables_alarm_configured; alicloud_cloudmonitor_changes_to_vpcs_alarm_configured; alicloud_cloudtrail_logs_oss_bucket_is_not_publicly_accessible; alicloud_cloudmonitor_log_metric_filter_root_usage; alicloud_cloudtrail_logs_oss_bucket_access_logging_enabled; alicloud_cloudmonitor_log_metric_filter_authentication_failures; alicloud_cloudmonitor_log_metric_filter_sign_in_without_mfa; alicloud_cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk; alicloud_cloudmonitor_log_metric_filter_policy_changes; alicloud_cloudmonitor_changes_to_network_acls_alarm_configured; alicloud_actiontrail_cloudwatch_logging_enabled; alicloud_cloudwatch_log_metric_filter_for_oss_bucket_policy_changes; alicloud_cloudmonitor_log_metric_filter_unauthorized_api_calls; alicloud_cloudmonitor_changes_to_network_gateways_alarm_configured; alicloud_cloudmonitor_log_metric_filter_and_alarm_for_alicloud_config_configuration_changes_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_cloudwatch_log_metric_filter_and_alarm_for_actiontrail_configuration_changes_enabled; alicloud_cloudmonitor_log_metric_filter_security_group_changes,80
A.12.6,Technical Vulnerability Management,automated,aws_ec2_ebs_public_snapshot; aws_sns_topics_not_publicly_accessible; aws_ec2_securitygroup_default_restrict_traffic; aws_redshift_cluster_public_access; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_3389; aws_ec2_ami_public; aws_cloudtrail_logs_s3_bucket_is_not_publicly_accessible,,,oracle_sns_topics_not_publicly_accessible; oracle_redshift_cluster_public_access; oracle_cloudtrail_logs_object_storage_bucket_is_not_publicly_accessible; oracle_compute_securitygroup_default_restrict_traffic; oracle_compute_ami_public; oracle_database_snapshots_public_access; oracle_compute_ebs_public_snapshot; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_database_instance_no_public_access; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_3389,ibm_sns_topics_not_publicly_accessible; ibm_redshift_cluster_public_access; ibm_vsi_securitygroup_default_restrict_traffic; ibm_cloudtrail_logs_cos_bucket_is_not_publicly_accessible; ibm_database_snapshots_public_access; ibm_vsi_ebs_public_snapshot; ibm_database_instance_no_public_access; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_ami_public; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_3389,alicloud_sns_topics_not_publicly_accessible; alicloud_redshift_cluster_public_access; alicloud_cloudtrail_logs_oss_bucket_is_not_publicly_accessible; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_3389; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_ebs_public_snapshot; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_ecs_ami_public,40
A.13.1,Network Security Management,automated,aws_ec2_ebs_public_snapshot; aws_sns_topics_not_publicly_accessible; aws_ec2_securitygroup_default_restrict_traffic; aws_redshift_cluster_public_access; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_3389,,,oracle_sns_topics_not_publicly_accessible; oracle_redshift_cluster_public_access; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_snapshots_public_access; oracle_compute_ebs_public_snapshot; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_database_instance_no_public_access; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_3389,ibm_sns_topics_not_publicly_accessible; ibm_redshift_cluster_public_access; ibm_vsi_securitygroup_default_restrict_traffic; ibm_database_snapshots_public_access; ibm_vsi_ebs_public_snapshot; ibm_database_instance_no_public_access; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_3389,alicloud_sns_topics_not_publicly_accessible; alicloud_redshift_cluster_public_access; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_3389; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_ebs_public_snapshot; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access,32
A.5.1,Policies for information security,automated,aws_wellarchitected_workload_no_high_or_medium_risks; aws_securityhub_enabled,azure_entra_security_defaults_enabled; azure_policy_ensure_asc_enforcement_enabled,gcp_iam_cloud_asset_inventory_enabled,oracle_iam_cloud_asset_inventory_enabled; oracle_wellarchitected_workload_no_high_or_medium_risks; oracle_policy_ensure_asc_enforcement_enabled; oracle_securityhub_enabled; oracle_entra_security_defaults_enabled,ibm_wellarchitected_workload_no_high_or_medium_risks; ibm_entra_security_defaults_enabled; ibm_securityhub_enabled; ibm_iam_cloud_asset_inventory_enabled; ibm_policy_ensure_asc_enforcement_enabled,alicloud_wellarchitected_workload_no_high_or_medium_risks; alicloud_entra_security_defaults_enabled; alicloud_securityhub_enabled; alicloud_iam_cloud_asset_inventory_enabled; alicloud_policy_ensure_asc_enforcement_enabled,20
A.5.10,Acceptable Use Of Information And Other Associated Assets,manual,,,,,,,0
A.5.11,Return Of Assets,manual,,,,,,,0
A.5.12,Classification Of Information,manual,,,,,,,0
A.5.13,Labelling Of Information,automated,aws_neptune_cluster_copy_tags_to_snapshots; aws_organizations_tags_policies_enabled_and_attached; aws_fsx_file_system_copy_tags_to_backups_enabled; aws_rds_cluster_copy_tags_to_snapshots; aws_fsx_file_system_copy_tags_to_volumes_enabled,,,oracle_database_cluster_copy_tags_to_snapshots; oracle_neptune_cluster_copy_tags_to_snapshots; oracle_organizations_tags_policies_enabled_and_attached; oracle_fsx_file_system_copy_tags_to_backups_enabled; oracle_fsx_file_system_copy_tags_to_volumes_enabled,ibm_database_cluster_copy_tags_to_snapshots; ibm_neptune_cluster_copy_tags_to_snapshots; ibm_organizations_tags_policies_enabled_and_attached; ibm_fsx_file_system_copy_tags_to_backups_enabled; ibm_fsx_file_system_copy_tags_to_volumes_enabled,alicloud_neptune_cluster_copy_tags_to_snapshots; alicloud_organizations_tags_policies_enabled_and_attached; alicloud_fsx_file_system_copy_tags_to_backups_enabled; alicloud_rds_cluster_copy_tags_to_snapshots; alicloud_fsx_file_system_copy_tags_to_volumes_enabled,20
A.5.14,Information Transfer,manual,,,,,,,0
