compliance,section,id,title
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.1.1,Ensure Consistent Naming Convention is used for Organizational AMI
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.1.2,Ensure Amazon Machine Images (AMIs) are encrypted
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.1.3,Ensure Only Approved Amazon Machine Images (AMIs) are Used
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.1.4,Ensure Images (AMI) are not older than 90 days
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.1.5,Ensure Images are not Publicly Available
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.2.1,Ensure EBS volume encryption is enabled
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.2.2,Ensure Public Access to EBS Snapshots is Disabled
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.2.3,Ensure EBS volume snapshots are encrypted
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.2.4,Ensure unused EBS volumes are removed
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.3,Ensure Tag Policies are Enabled
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.4,Ensure an Organizational EC2 Tag Policy has been Created
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.5,Ensure no AWS EC2 Instances are Older than 180 days
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.6,Ensure detailed monitoring is enable for production EC2 Instances
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.7,Ensure Default EC2 Security groups are not being used.
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.8,Ensure the Use of IMDSv2 is Enforced on All Existing Instances
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.9,Ensure use of AWS Systems Manager to manage EC2 instances
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.10,Ensure unused ENIs are removed
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.11,Ensure instances stopped for over 90 days are removed
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.12,Ensure EBS volumes attached to an EC2 instance is marked for deletion upon instance termination
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.13,Ensure Secrets and Sensitive Data are not stored directly in EC2 User Data
CIS AWS Compute Services Benchmark v1.1.0,2 Section,2.14,Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.1,Ensure Amazon ECS task definitions using 'host' network mode do not allow privileged or root user access to the host
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.2,Ensure 'assignPublicIp' is set to 'DISABLED' for Amazon ECS services
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.3,Ensure Amazon ECS task definitions do not have 'pidMode' set to 'host'
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.4,Ensure Amazon ECS task definitions do not have 'privileged' set to 'true'
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.5,Ensure 'readonlyRootFilesystem' is set to 'true' for Amazon ECS task definitions
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.6,Ensure secrets are not passed as container environment variables in Amazon ECS task definitions
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.7,Ensure logging is configured for Amazon ECS task definitions
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.8,Ensure Amazon ECS Fargate services are using the latest Fargate platform version
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.9,Ensure monitoring is enabled for Amazon ECS clusters
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.10,Ensure Amazon ECS services are tagged
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.11,Ensure Amazon ECS clusters are tagged
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.12,Ensure Amazon ECS task definitions are tagged
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.13,Ensure only trusted images are used with Amazon ECS
CIS AWS Compute Services Benchmark v1.1.0,3 Section,3.14,Ensure 'assignPublicIp' is set to 'DISABLED' for Amazon ECS task sets
CIS AWS Compute Services Benchmark v1.1.0,5 Section,5.4,Ensure SSH is restricted to only IP address that should have this access.
CIS AWS Compute Services Benchmark v1.1.0,5 Section,5.5,Ensure RDP is restricted to only IP address that should have this access.
CIS AWS Compute Services Benchmark v1.1.0,5 Section,5.7,Ensure you are using an IAM policy to manage access to buckets in Lightsail.
CIS AWS Compute Services Benchmark v1.1.0,5 Section,5.8,Ensure Lightsail instances are attached to the buckets
CIS AWS Compute Services Benchmark v1.1.0,5 Section,5.9,Ensure that your Lightsail buckets are not publicly accessible
CIS AWS Compute Services Benchmark v1.1.0,5 Section,5.11,Ensure your Windows Server based lightsail instances are updated with the latest security patches.
CIS AWS Compute Services Benchmark v1.1.0,6 Section,6.1,Ensure you are using VPC Endpoints for source code access
CIS AWS Compute Services Benchmark v1.1.0,8 Section,8.1,Ensure AWS Batch is configured with AWS Cloudwatch Logs.
CIS AWS Compute Services Benchmark v1.1.0,8 Section,8.2,Ensure Batch roles are configured for cross-service confused deputy prevention
CIS AWS Compute Services Benchmark v1.1.0,10 Section,10.1,Ensure Managed Platform updates is configured
CIS AWS Compute Services Benchmark v1.1.0,10 Section,10.2,Ensure Persistent logs is setup and configured to S3
CIS AWS Compute Services Benchmark v1.1.0,10 Section,10.3,Ensure access logs are enabled.
CIS AWS Compute Services Benchmark v1.1.0,10 Section,10.4,Ensure that HTTPS is enabled on load balancer
CIS AWS Compute Services Benchmark v1.1.0,11 Section,11.1,Ensure customer-managed keys are used to encrypt AWS Fargate ephemeral storage data for Amazon ECS
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.1,Ensure AWS Config is Enabled for Lambda and Serverless
CIS AWS Compute Services Benchmark v1.1.0,12 Section,12.2,Ensure Cloudwatch Lambda insights is enabled
