unique_compliance_id,framework,framework_version,control_id,section,title,description,automation_type,aws_checks,azure_checks,gcp_checks,oracle_checks,ibm_checks,alicloud_checks,k8s_checks,source_file
canada_pbmm_moderate_CCCS_AC_1,CANADA_PBMM,Moderate,CCCS AC-1,,CCCS AC-1: Policy and Procedures,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_10,CANADA_PBMM,Moderate,CCCS AC-10,,CCCS AC-10: Concurrent Session Control,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_11,CANADA_PBMM,Moderate,CCCS AC-11,,CCCS AC-11: Device Lock,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_12,CANADA_PBMM,Moderate,CCCS AC-12,,CCCS AC-12: Session Termination,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_14,CANADA_PBMM,Moderate,CCCS AC-14,,CCCS AC-14: Permitted Actions Without Identification or Authentication,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_17,CANADA_PBMM,Moderate,CCCS AC-17,,CCCS AC-17: Remote Access,,automated,aws_ec2_ebs_public_snapshot;aws_ec2_instance_public_ip;aws_emr_cluster_master_nodes_no_public_ip;aws_awslambda_function_not_publicly_accessible;aws_awslambda_function_url_public;aws_rds_instance_no_public_access;aws_rds_snapshots_public_access;aws_redshift_cluster_public_access;aws_s3_bucket_public_access;aws_s3_bucket_policy_public_write_access,azure_compute_ebs_public_snapshot;azure_compute_instance_public_ip;azure_hdinsight_cluster_master_nodes_no_public_ip;azure_functions_function_not_publicly_accessible;azure_functions_function_url_public;azure_sql_instance_no_public_access;azure_sql_snapshots_public_access;azure_synapse_cluster_public_access;azure_storage_bucket_public_access;azure_storage_bucket_policy_public_write_access,gcp_compute_ebs_public_snapshot;gcp_compute_instance_public_ip;gcp_dataproc_cluster_master_nodes_no_public_ip;gcp_functions_function_not_publicly_accessible;gcp_functions_function_url_public;gcp_sql_instance_no_public_access;gcp_sql_snapshots_public_access;gcp_bigquery_cluster_public_access;gcp_storage_bucket_public_access;gcp_storage_bucket_policy_public_write_access,oracle_compute_ebs_public_snapshot;oracle_compute_instance_public_ip;oracle_big_data_cluster_master_nodes_no_public_ip;oracle_functions_function_not_publicly_accessible;oracle_functions_function_url_public;oracle_database_instance_no_public_access;oracle_database_snapshots_public_access;oracle_autonomous_dw_cluster_public_access;oracle_object_storage_bucket_public_access;oracle_object_storage_bucket_policy_public_write_access,ibm_vpc_ebs_public_snapshot;ibm_vpc_instance_public_ip;ibm_analytics_engine_cluster_master_nodes_no_public_ip;ibm_functions_function_not_publicly_accessible;ibm_functions_function_url_public;ibm_databases_instance_no_public_access;ibm_databases_snapshots_public_access;ibm_db2_warehouse_cluster_public_access;ibm_cos_bucket_public_access;ibm_cos_bucket_policy_public_write_access,alicloud_ecs_ebs_public_snapshot;alicloud_ecs_instance_public_ip;alicloud_emr_cluster_master_nodes_no_public_ip;alicloud_function_compute_function_not_publicly_accessible;alicloud_function_compute_function_url_public;alicloud_rds_instance_no_public_access;alicloud_rds_snapshots_public_access;alicloud_analyticdb_cluster_public_access;alicloud_oss_bucket_public_access;alicloud_oss_bucket_policy_public_write_access,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_18,CANADA_PBMM,Moderate,CCCS AC-18,,CCCS AC-18: Wireless Access,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_19,CANADA_PBMM,Moderate,CCCS AC-19,,CCCS AC-19: Access Control for Mobile Devices,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_2,CANADA_PBMM,Moderate,CCCS AC-2,,CCCS AC-2: Account Management,,automated,aws_iam_user_accesskey_unused;aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused;azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused;gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused;oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused;ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused;alicloud_ram_user_console_access_unused,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
canada_pbmm_moderate_CCCS_AC_20,CANADA_PBMM,Moderate,CCCS AC-20,,CCCS AC-20: Use of External Systems,,manual,,,,,,,,canada_pbmm/CANADA_PBMM_controls_with_checks.csv
