Control_ID,Title,FedRAMP_Baseline,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
AC-1,Policy and Procedures,High,manual,,,,,,,0
AC-2,Account Management,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (1),Account Management | Automated System Account Management,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (2),Account Management | Automated Temporary and Emergency Account Management,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (3),Account Management | Disable Accounts,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (4),Account Management | Automated Audit Actions,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (5),Account Management | Inactivity Logout,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (7),Account Management | Privileged User Accounts,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (9),Account Management | Restrictions on Use of Shared and Group Accounts,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (11),Account Management | Usage Conditions,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (12),Account Management | Account Monitoring for Atypical Usage,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-2 (13),Account Management | Disable Accounts for High-risk Individuals,High,automated,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,azure_active_directory_user_accesskey_unused; azure_active_directory_user_console_access_unused,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,12
AC-3,Access Enforcement,High,manual,,,,,,,0
