Control_ID,Title,Section,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
164_308_a_1_ii_a,164_308_a_1_ii_a: 164.308(a)(1)(ii)(A) Risk analysis,164.308 Administrative Safeguards,automated,config_recorder_all_regions_enabled; guardduty_is_enabled,azure_monitor_enabled; microsoft_defender_enabled,gcp_logging_enabled; gcp_security_command_center_enabled,oracle_cloud_guard_is_enabled; oracle_config_recorder_all_regions_enabled,ibm_config_recorder_all_regions_enabled; ibm_security_advisor_is_enabled,alicloud_config_recorder_all_regions_enabled; alicloud_threat_detection_is_enabled,12
164_308_a_1_ii_b,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164.308 Administrative Safeguards,automated,awslambda_function_not_publicly_accessible; awslambda_function_url_public; cloudtrail_kms_encryption_enabled; cloudtrail_log_file_validation_enabled; cloudwatch_log_group_kms_encryption_enabled; dynamodb_tables_pitr_enabled; ec2_ebs_default_encryption; ec2_ebs_public_snapshot; ec2_ebs_volume_encryption; ec2_instance_older_than_specific_days; ec2_instance_public_ip; ec2_networkacl_allow_ingress_any_port; ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; efs_encryption_at_rest_enabled; elb_ssl_listeners; elbv2_deletion_protection; emr_cluster_master_nodes_no_public_ip; iam_aws_attached_policy_no_administrative_privileges; iam_customer_attached_policy_no_administrative_privileges; iam_inline_policy_no_administrative_privileges; iam_no_root_access_key; opensearch_service_domains_encryption_at_rest_enabled; rds_instance_backup_enabled; rds_instance_multi_az; rds_instance_storage_encrypted; rds_snapshots_public_access; redshift_cluster_audit_logging; redshift_cluster_public_access; s3_account_level_public_access_blocks; s3_bucket_default_encryption; s3_bucket_object_versioning; s3_bucket_policy_public_write_access; s3_bucket_public_access; s3_bucket_secure_transport_policy; sagemaker_notebook_instance_encryption_enabled; sagemaker_notebook_instance_without_direct_internet_access_configured; sns_topics_kms_encryption_at_rest_enabled,azure_functions_not_publicly_accessible; azure_functions_url_public; azure_monitor_kms_encryption_enabled; azure_monitor_log_file_validation_enabled; azure_monitor_log_group_kms_encryption_enabled; azure_cosmos_db_pitr_enabled; azure_vm_default_encryption; azure_vm_public_snapshot; azure_vm_volume_encryption; azure_vm_instance_older_than_specific_days; azure_vm_instance_public_ip; azure_virtual_network_acl_allow_ingress_any_port; azure_vm_security_group_allow_ingress_from_internet_to_tcp_port_22; azure_files_encryption_at_rest_enabled; azure_load_balancer_ssl_listeners; azure_load_balancer_deletion_protection; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_encryption_attached_policy_no_administrative_privileges; azure_encryption_customer_attached_policy_no_administrative_privileges; azure_encryption_inline_policy_no_administrative_privileges; azure_encryption_no_root_access_key; azure_search_service_domains_encryption_at_rest_enabled; azure_sql_database_backup_enabled; azure_sql_database_multi_az; azure_sql_database_storage_encrypted; azure_sql_snapshots_public_access; azure_synapse_cluster_audit_logging; azure_synapse_cluster_public_access; azure_storage_account_level_public_access_blocks; azure_storage_blob_default_encryption; azure_storage_blob_object_versioning; azure_storage_blob_policy_public_write_access; azure_storage_blob_public_access; azure_storage_blob_secure_transport_policy; azure_ml_notebook_instance_encryption_enabled; azure_ml_notebook_instance_without_direct_internet_access_configured; azure_service_bus_topics_kms_encryption_at_rest_enabled,gcp_cloud_functions_not_publicly_accessible; gcp_cloud_functions_url_public; gcp_logging_kms_encryption_enabled; gcp_logging_log_file_validation_enabled; gcp_logging_log_group_kms_encryption_enabled; gcp_datastore_pitr_enabled; gcp_compute_engine_default_encryption; gcp_compute_engine_public_snapshot; gcp_compute_engine_volume_encryption; gcp_compute_engine_instance_older_than_specific_days; gcp_compute_engine_instance_public_ip; gcp_vpc_network_acl_allow_ingress_any_port; gcp_compute_engine_security_group_allow_ingress_from_internet_to_tcp_port_22; gcp_filestore_encryption_at_rest_enabled; gcp_cloud_load_balancing_ssl_listeners; gcp_cloud_load_balancing_deletion_protection; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_iam_attached_policy_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges; gcp_iam_no_root_access_key; gcp_elasticsearch_service_domains_encryption_at_rest_enabled; gcp_cloud_sql_instance_backup_enabled; gcp_cloud_sql_instance_multi_az; gcp_cloud_sql_instance_storage_encrypted; gcp_cloud_sql_snapshots_public_access; gcp_bigquery_cluster_audit_logging; gcp_bigquery_cluster_public_access; gcp_cloud_storage_account_level_public_access_blocks; gcp_cloud_storage_bucket_default_encryption; gcp_cloud_storage_bucket_object_versioning; gcp_cloud_storage_bucket_policy_public_write_access; gcp_cloud_storage_bucket_public_access; gcp_cloud_storage_bucket_secure_transport_policy; gcp_vertex_ai_notebook_instance_encryption_enabled; gcp_vertex_ai_notebook_instance_without_direct_internet_access_configured; gcp_pubsub_topics_kms_encryption_at_rest_enabled,oracle_audit_kms_encryption_enabled; oracle_audit_log_file_validation_enabled; oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_default_encryption; oracle_compute_ebs_public_snapshot; oracle_compute_ebs_volume_encryption; oracle_compute_instance_older_than_specific_days; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_database_instance_backup_enabled; oracle_database_instance_multi_az; oracle_database_instance_storage_encrypted; oracle_database_snapshots_public_access; oracle_dynamodb_tables_pitr_enabled; oracle_efs_encryption_at_rest_enabled; oracle_elb_ssl_listeners; oracle_elbv2_deletion_protection; oracle_emr_cluster_master_nodes_no_public_ip; oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_monitoring_log_group_kms_encryption_enabled; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_default_encryption; oracle_object_storage_bucket_object_versioning; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_encryption_at_rest_enabled; oracle_redshift_cluster_audit_logging; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_encryption_enabled; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured; oracle_sns_topics_kms_encryption_at_rest_enabled,ibm_activity_tracker_kms_encryption_enabled; ibm_activity_tracker_log_file_validation_enabled; ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_default_encryption; ibm_cos_bucket_object_versioning; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_cos_bucket_secure_transport_policy; ibm_database_instance_backup_enabled; ibm_database_instance_multi_az; ibm_database_instance_storage_encrypted; ibm_database_snapshots_public_access; ibm_dynamodb_tables_pitr_enabled; ibm_efs_encryption_at_rest_enabled; ibm_elb_ssl_listeners; ibm_elbv2_deletion_protection; ibm_emr_cluster_master_nodes_no_public_ip; ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_monitoring_log_group_kms_encryption_enabled; ibm_opensearch_service_domains_encryption_at_rest_enabled; ibm_redshift_cluster_audit_logging; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_encryption_enabled; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_sns_topics_kms_encryption_at_rest_enabled; ibm_vsi_ebs_default_encryption; ibm_vsi_ebs_public_snapshot; ibm_vsi_ebs_volume_encryption; ibm_vsi_instance_older_than_specific_days; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22,alicloud_actiontrail_kms_encryption_enabled; alicloud_actiontrail_log_file_validation_enabled; alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_cloudmonitor_log_group_kms_encryption_enabled; alicloud_dynamodb_tables_pitr_enabled; alicloud_ecs_ebs_default_encryption; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_ebs_volume_encryption; alicloud_ecs_instance_older_than_specific_days; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_efs_encryption_at_rest_enabled; alicloud_elb_ssl_listeners; alicloud_elbv2_deletion_protection; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_opensearch_service_domains_encryption_at_rest_enabled; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_default_encryption; alicloud_oss_bucket_object_versioning; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_oss_bucket_secure_transport_policy; alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_rds_instance_backup_enabled; alicloud_rds_instance_multi_az; alicloud_rds_instance_storage_encrypted; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_audit_logging; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_encryption_enabled; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured; alicloud_sns_topics_kms_encryption_at_rest_enabled,222
164_308_a_1_ii_d,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,164.308 Administrative Safeguards,automated,apigateway_restapi_logging_enabled; cloudtrail_cloudwatch_logging_enabled; cloudtrail_kms_encryption_enabled; cloudtrail_log_file_validation_enabled; cloudtrail_multi_region_enabled; cloudtrail_s3_dataevents_read_enabled; cloudtrail_s3_dataevents_write_enabled; elb_logging_enabled; elbv2_logging_enabled; guardduty_is_enabled; redshift_cluster_audit_logging; s3_bucket_server_access_logging_enabled; securityhub_enabled; vpc_flow_logs_enabled,monitor_enabled; monitor_audit_logging_enabled; keyvault_encryption_enabled; monitor_log_file_validation_enabled; multi_region_enabled; storage_server_access_logging_enabled; microsoft_defender_enabled; virtual_network_flow_logs_enabled,cloud_logging_enabled; cloud_logging_audit_logging_enabled; cloud_kms_encryption_enabled; cloud_logging_log_file_validation_enabled; multi_region_enabled; cloud_storage_server_access_logging_enabled; security_command_center_enabled; vpc_flow_logs_enabled,oracle_apigateway_restapi_logging_enabled; oracle_audit_cloudwatch_logging_enabled; oracle_audit_kms_encryption_enabled; oracle_audit_log_file_validation_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_elb_logging_enabled; oracle_elbv2_logging_enabled; oracle_object_storage_bucket_server_access_logging_enabled; oracle_redshift_cluster_audit_logging; oracle_vcn_flow_logs_enabled,ibm_activity_tracker_cloudwatch_logging_enabled; ibm_activity_tracker_kms_encryption_enabled; ibm_activity_tracker_log_file_validation_enabled; ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_elb_logging_enabled; ibm_elbv2_logging_enabled; ibm_redshift_cluster_audit_logging; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vpc_flow_logs_enabled,alicloud_actiontrail_cloudwatch_logging_enabled; alicloud_actiontrail_kms_encryption_enabled; alicloud_actiontrail_log_file_validation_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_elb_logging_enabled; alicloud_elbv2_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_redshift_cluster_audit_logging; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_vpc_flow_logs_enabled,72
164_308_a_3_i,164_308_a_3_i: 164.308(a)(3)(i) Workforce security,164.308 Administrative Safeguards,automated,awslambda_function_not_publicly_accessible; awslambda_function_url_public; ec2_ebs_public_snapshot; ec2_instance_public_ip; iam_aws_attached_policy_no_administrative_privileges; iam_customer_attached_policy_no_administrative_privileges; iam_inline_policy_no_administrative_privileges; iam_no_root_access_key; rds_instance_no_public_access; rds_snapshots_public_access; redshift_cluster_public_access; s3_account_level_public_access_blocks; s3_bucket_policy_public_write_access; s3_bucket_public_access; sagemaker_notebook_instance_without_direct_internet_access_configured,azure_functions_not_publicly_accessible; azure_functions_url_public; azure_virtual_machines_ebs_public_snapshot; azure_virtual_machines_instance_public_ip; azure_entra_attached_policy_no_administrative_privileges; azure_entra_customer_attached_policy_no_administrative_privileges; azure_entra_inline_policy_no_administrative_privileges; azure_entra_no_root_access_key; azure_sql_database_no_public_access; azure_sql_database_snapshots_public_access; azure_synapse_cluster_public_access; azure_storage_account_level_public_access_blocks; azure_storage_bucket_policy_public_write_access; azure_storage_bucket_public_access; azure_ml_notebook_instance_without_direct_internet_access_configured,gcp_cloud_functions_not_publicly_accessible; gcp_cloud_functions_url_public; gcp_compute_engine_ebs_public_snapshot; gcp_compute_engine_instance_public_ip; gcp_iam_attached_policy_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges; gcp_iam_no_root_access_key; gcp_cloud_sql_instance_no_public_access; gcp_cloud_sql_snapshots_public_access; gcp_bigquery_cluster_public_access; gcp_cloud_storage_account_level_public_access_blocks; gcp_cloud_storage_bucket_policy_public_write_access; gcp_cloud_storage_bucket_public_access; gcp_vertex_ai_notebook_instance_without_direct_internet_access_configured,oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_database_instance_no_public_access; oracle_database_snapshots_public_access; oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_database_instance_no_public_access; ibm_database_snapshots_public_access; ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_public_ip,alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_rds_instance_no_public_access; alicloud_rds_snapshots_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,90
164_308_a_3_ii_a,164_308_a_3_ii_a: 164.308(a)(3)(ii)(A) Authorization and/or supervision,164.308 Administrative Safeguards,automated,apigateway_restapi_logging_enabled; cloudtrail_multi_region_enabled; cloudtrail_s3_dataevents_read_enabled; cloudtrail_s3_dataevents_write_enabled; elb_logging_enabled; elbv2_logging_enabled; guardduty_is_enabled; iam_root_hardware_mfa_enabled; iam_root_mfa_enabled; iam_user_mfa_enabled_console_access; redshift_cluster_audit_logging; s3_bucket_server_access_logging_enabled; securityhub_enabled; vpc_flow_logs_enabled,azure_monitor_enabled; azure_monitor_multi_region_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_load_balancer_logging_enabled; azure_load_balancer_v2_logging_enabled; azure_defender_enabled; azure_entra_root_hardware_mfa_enabled; azure_entra_root_mfa_enabled; azure_entra_user_mfa_enabled_console_access; azure_sql_audit_logging_enabled; azure_storage_server_access_logging_enabled; azure_defender_enabled; azure_virtual_network_flow_logs_enabled,gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_load_balancing_logging_enabled; gcp_load_balancing_v2_logging_enabled; gcp_guardduty_enabled; gcp_iam_root_hardware_mfa_enabled; gcp_iam_root_mfa_enabled; gcp_iam_user_mfa_enabled_console_access; gcp_redshift_cluster_audit_logging; gcp_storage_server_access_logging_enabled; gcp_security_command_center_enabled; gcp_vpc_flow_logs_enabled,oracle_apigateway_restapi_logging_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_elb_logging_enabled; oracle_elbv2_logging_enabled; oracle_identity_root_hardware_mfa_enabled; oracle_identity_root_mfa_enabled; oracle_identity_user_mfa_enabled_console_access; oracle_object_storage_bucket_server_access_logging_enabled; oracle_redshift_cluster_audit_logging; oracle_vcn_flow_logs_enabled,ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_cos_bucket_server_access_logging_enabled; ibm_elb_logging_enabled; ibm_elbv2_logging_enabled; ibm_iam_root_hardware_mfa_enabled; ibm_iam_root_mfa_enabled; ibm_iam_user_mfa_enabled_console_access; ibm_redshift_cluster_audit_logging; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vpc_flow_logs_enabled,alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_elb_logging_enabled; alicloud_elbv2_logging_enabled; alicloud_oss_bucket_server_access_logging_enabled; alicloud_ram_root_hardware_mfa_enabled; alicloud_ram_root_mfa_enabled; alicloud_ram_user_mfa_enabled_console_access; alicloud_redshift_cluster_audit_logging; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_vpc_flow_logs_enabled,84
164_308_a_3_ii_b,164_308_a_3_ii_b: 164.308(a)(3)(ii)(B) Workforce clearance procedure,164.308 Administrative Safeguards,automated,iam_aws_attached_policy_no_administrative_privileges; iam_customer_attached_policy_no_administrative_privileges; iam_inline_policy_no_administrative_privileges; iam_no_root_access_key; iam_user_accesskey_unused; iam_user_console_access_unused,azure_iam_attached_policy_no_administrative_privileges; azure_iam_customer_attached_policy_no_administrative_privileges; azure_iam_inline_policy_no_administrative_privileges; azure_iam_no_root_access_key; azure_iam_user_accesskey_unused; azure_iam_user_console_access_unused,gcp_iam_attached_policy_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges; gcp_iam_no_root_access_key; gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges; oracle_identity_no_root_access_key; oracle_identity_user_accesskey_unused; oracle_identity_user_console_access_unused,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges; ibm_iam_no_root_access_key; ibm_iam_user_accesskey_unused; ibm_iam_user_console_access_unused,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges; alicloud_ram_no_root_access_key; alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,36
164_308_a_3_ii_c,164_308_a_3_ii_c: 164.308(a)(3)(ii)(C) Termination procedures,164.308 Administrative Safeguards,automated,iam_rotate_access_key_90_days,azure_entra_rotate_access_key_90_days,gcp_iam_rotate_access_key_90_days,oracle_identity_rotate_access_key_90_days,ibm_iam_rotate_access_key_90_days,alicloud_ram_rotate_access_key_90_days,6
164_308_a_4_i,164_308_a_4_i: 164.308(a)(4)(i) Information access management,164.308 Administrative Safeguards,automated,iam_aws_attached_policy_no_administrative_privileges; iam_customer_attached_policy_no_administrative_privileges; iam_inline_policy_no_administrative_privileges,azure_entra_attached_policy_no_administrative_privileges; azure_entra_customer_attached_policy_no_administrative_privileges; azure_entra_inline_policy_no_administrative_privileges,gcp_iam_attached_policy_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges,18
164_308_a_4_ii_a,164_308_a_4_ii_a: 164.308(a)(4)(ii)(A) Isolating health care clearinghouse functions,164.308 Administrative Safeguards,automated,acm_certificates_expiration_check; cloudfront_distributions_https_enabled; cloudtrail_kms_encryption_enabled; cloudwatch_log_group_kms_encryption_enabled; dynamodb_accelerator_cluster_encryption_enabled; dynamodb_tables_kms_cmk_encryption_enabled; ec2_ebs_default_encryption; ec2_ebs_volume_encryption; efs_encryption_at_rest_enabled; eks_cluster_kms_cmk_encryption_in_secrets_enabled; elb_ssl_listeners; opensearch_service_domains_encryption_at_rest_enabled; opensearch_service_domains_node_to_node_encryption_enabled; rds_instance_backup_enabled; rds_instance_integration_cloudwatch_logs; rds_instance_storage_encrypted; redshift_cluster_audit_logging; redshift_cluster_automated_snapshot; s3_bucket_default_encryption; sagemaker_notebook_instance_encryption_enabled; sns_topics_kms_encryption_at_rest_enabled,azure_keyvault_encryption_enabled; azure_storage_default_encryption; azure_monitor_enabled; azure_sql_database_backup_enabled; azure_sql_database_storage_encrypted; azure_sql_database_integration_logging_enabled; azure_synapse_audit_logging; azure_synapse_automated_snapshot; azure_functions_encryption_enabled; azure_cosmos_db_encryption_enabled; azure_app_service_encryption_enabled; azure_monitor_kms_encryption_enabled; azure_cosmos_db_kms_encryption_enabled; azure_app_service_kms_encryption_enabled; azure_monitor_https_enabled,gcp_kms_encryption_enabled; gcp_cloud_storage_default_encryption; gcp_logging_enabled; gcp_cloud_sql_backup_enabled; gcp_cloud_sql_storage_encrypted; gcp_cloud_sql_integration_logging_enabled; gcp_bigquery_audit_logging; gcp_bigquery_automated_snapshot; gcp_cloud_functions_encryption_enabled; gcp_cloud_datastore_encryption_enabled; gcp_cloud_run_encryption_enabled; gcp_cloud_logging_kms_encryption_enabled; gcp_cloud_datastore_kms_encryption_enabled; gcp_cloud_run_kms_encryption_enabled; gcp_cloud_logging_https_enabled,oracle_acm_certificates_expiration_check; oracle_audit_kms_encryption_enabled; oracle_cloudfront_distributions_https_enabled; oracle_compute_ebs_default_encryption; oracle_compute_ebs_volume_encryption; oracle_database_instance_backup_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_database_instance_storage_encrypted; oracle_dynamodb_accelerator_cluster_encryption_enabled; oracle_dynamodb_tables_kms_cmk_encryption_enabled; oracle_efs_encryption_at_rest_enabled; oracle_eks_cluster_kms_cmk_encryption_in_secrets_enabled; oracle_elb_ssl_listeners; oracle_monitoring_log_group_kms_encryption_enabled; oracle_object_storage_bucket_default_encryption; oracle_opensearch_service_domains_encryption_at_rest_enabled; oracle_opensearch_service_domains_node_to_node_encryption_enabled; oracle_redshift_cluster_audit_logging; oracle_redshift_cluster_automated_snapshot; oracle_sagemaker_notebook_instance_encryption_enabled; oracle_sns_topics_kms_encryption_at_rest_enabled,ibm_acm_certificates_expiration_check; ibm_activity_tracker_kms_encryption_enabled; ibm_cloudfront_distributions_https_enabled; ibm_cos_bucket_default_encryption; ibm_database_instance_backup_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_database_instance_storage_encrypted; ibm_dynamodb_accelerator_cluster_encryption_enabled; ibm_dynamodb_tables_kms_cmk_encryption_enabled; ibm_efs_encryption_at_rest_enabled; ibm_eks_cluster_kms_cmk_encryption_in_secrets_enabled; ibm_elb_ssl_listeners; ibm_monitoring_log_group_kms_encryption_enabled; ibm_opensearch_service_domains_encryption_at_rest_enabled; ibm_opensearch_service_domains_node_to_node_encryption_enabled; ibm_redshift_cluster_audit_logging; ibm_redshift_cluster_automated_snapshot; ibm_sagemaker_notebook_instance_encryption_enabled; ibm_sns_topics_kms_encryption_at_rest_enabled; ibm_vsi_ebs_default_encryption; ibm_vsi_ebs_volume_encryption,alicloud_acm_certificates_expiration_check; alicloud_actiontrail_kms_encryption_enabled; alicloud_cloudfront_distributions_https_enabled; alicloud_cloudmonitor_log_group_kms_encryption_enabled; alicloud_dynamodb_accelerator_cluster_encryption_enabled; alicloud_dynamodb_tables_kms_cmk_encryption_enabled; alicloud_ecs_ebs_default_encryption; alicloud_ecs_ebs_volume_encryption; alicloud_efs_encryption_at_rest_enabled; alicloud_eks_cluster_kms_cmk_encryption_in_secrets_enabled; alicloud_elb_ssl_listeners; alicloud_opensearch_service_domains_encryption_at_rest_enabled; alicloud_opensearch_service_domains_node_to_node_encryption_enabled; alicloud_oss_bucket_default_encryption; alicloud_rds_instance_backup_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_rds_instance_storage_encrypted; alicloud_redshift_cluster_audit_logging; alicloud_redshift_cluster_automated_snapshot; alicloud_sagemaker_notebook_instance_encryption_enabled; alicloud_sns_topics_kms_encryption_at_rest_enabled,114
164_308_a_4_ii_b,164_308_a_4_ii_b: 164.308(a)(4)(ii)(B) Access authorization,164.308 Administrative Safeguards,automated,iam_aws_attached_policy_no_administrative_privileges; iam_customer_attached_policy_no_administrative_privileges; iam_inline_policy_no_administrative_privileges,azure_entra_attached_policy_no_administrative_privileges; azure_entra_customer_attached_policy_no_administrative_privileges; azure_entra_inline_policy_no_administrative_privileges,gcp_iam_attached_policy_no_administrative_privileges; gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges,18
