compliance_group,AWS,AZURE,GCP,OCI,IBM,ALICLOUD,K8S,TOTAL
FedRamp,459.0,191.0,569.0,0.0,459.0,1310.0,0.0,2988.0
canada_pbmm,122.0,68.0,182.0,0.0,143.0,382.0,0.0,897.0
cisa_ce,55.0,41.0,127.0,0.0,36.0,139.0,0.0,398.0
gdpr,39.0,0.0,0.0,0.0,40.0,129.0,0.0,208.0
hipaa,199.0,0.0,0.0,0.0,197.0,598.0,0.0,994.0
iso27001-2022,288.0,56.0,189.0,0.0,580.0,1676.0,0.0,2789.0
nist_800_171,1124.0,677.0,1804.0,0.0,1287.0,4319.0,0.0,9211.0
pci_compliance_agent,365.0,28.0,82.0,0.0,42.0,123.0,0.0,640.0
rbi_bank,62.0,34.0,116.0,0.0,55.0,184.0,0.0,451.0
rbi_nbfc,51.0,33.0,100.0,0.0,47.0,152.0,0.0,383.0
soc2,121.0,36.0,135.0,0.0,392.0,1102.0,0.0,1786.0
