csp,total_mapped_functions,total_needs_development
canada_pbmm_moderate_multi_cloud_CCCS_AC-17_0013,72606017,16219400000
canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002,1220104,5110100000
canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005,1170103,7116120000
canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006,2180106,7117120000
canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,45509013,1438400000
canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,45509013,1438400000
canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,45509013,1438400000
canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,4040105,0200000
canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,45509013,1438400000
canada_pbmm_moderate_multi_cloud_CCCS_AU-9_0031,3010103,1291210000
canada_pbmm_moderate_multi_cloud_CCCS_CA-2_0035,1030106,531180000
canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,43908028,21212300000
canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040,12204012,6811180000
canada_pbmm_moderate_multi_cloud_CCCS_CM-2_0042,32404013,15221430000
canada_pbmm_moderate_multi_cloud_CCCS_CM-3_0043,1110202,44790000
canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,731009028,27339620000
canada_pbmm_moderate_multi_cloud_CCCS_CM-7_0047,0010103,1321100000
canada_pbmm_moderate_multi_cloud_CCCS_CM-8_0048,1120205,3717270000
canada_pbmm_moderate_multi_cloud_CCCS_CM-9_0049,63908024,19629530000
canada_pbmm_moderate_multi_cloud_CCCS_CP-2_0053,1120204,83890000
canada_pbmm_moderate_multi_cloud_CCCS_CP-6_0056,41304012,11411300000
canada_pbmm_moderate_multi_cloud_CCCS_CP-9_0059,1331109032,21027610000
canada_pbmm_moderate_multi_cloud_CCCS_IA-2_0062,54150108,72950000
canada_pbmm_moderate_multi_cloud_CCCS_IA-4_0064,2290106,7618210000
canada_pbmm_moderate_multi_cloud_CCCS_IA-5_0065,1160103,4515160000
canada_pbmm_moderate_multi_cloud_CCCS_IR-4_0072,1020103,30110000
canada_pbmm_moderate_multi_cloud_CCCS_MA-4_0080,1160103,4515160000
canada_pbmm_moderate_multi_cloud_CCCS_RA-1_0112,1010103,521170000
canada_pbmm_moderate_multi_cloud_CCCS_RA-5_0115,1010103,521170000
canada_pbmm_moderate_multi_cloud_CCCS_SC-12_0135,2020306,1043160000
canada_pbmm_moderate_multi_cloud_CCCS_SC-13_0136,53508018,19422390000
canada_pbmm_moderate_multi_cloud_CCCS_SC-22_0142,1120204,83890000
canada_pbmm_moderate_multi_cloud_CCCS_SC-28_0144,52404010,12511330000
canada_pbmm_moderate_multi_cloud_CCCS_SC-5_0131,1010103,521170000
canada_pbmm_moderate_multi_cloud_CCCS_SC-7_0132,72606017,16219400000
canada_pbmm_moderate_multi_cloud_CCCS_SC-8_0133,3660409,5110000
canada_pbmm_moderate_multi_cloud_CCCS_SI-16_0156,3040106,52300000
canada_pbmm_moderate_multi_cloud_CCCS_SI-2_0147,30504015,1717360000
canada_pbmm_moderate_multi_cloud_CCCS_SI-4_0149,4020206,1382320000
cis_alicloud_alicloud_1.10_0135,0000003,0000000
cis_alicloud_alicloud_1.11_0136,0000003,0000000
cis_alicloud_alicloud_1.12_0137,0000003,0000000
cis_alicloud_alicloud_1.13_0138,0000003,0000000
cis_alicloud_alicloud_1.14_0139,0000003,0000000
cis_alicloud_alicloud_1.15_0140,0000003,0000000
cis_alicloud_alicloud_1.16_0141,0000003,0000000
cis_alicloud_alicloud_1.2.29_0049,0000003,0000000
cis_alicloud_alicloud_1.2_0127,0000003,0000000
cis_alicloud_alicloud_1.3_0128,0000003,0000000
cis_alicloud_alicloud_1.4_0129,0000003,0000000
cis_alicloud_alicloud_1.6_0131,0000003,0000000
cis_alicloud_alicloud_1.7_0132,0000003,0000000
cis_alicloud_alicloud_1.8_0133,0000003,0000000
cis_alicloud_alicloud_1.9_0134,0000003,0000000
cis_alicloud_alicloud_2.10_0144,0000003,0000000
cis_alicloud_alicloud_2.11_0145,0000003,0000000
cis_alicloud_alicloud_2.12_0146,0000003,0000000
cis_alicloud_alicloud_2.13_0147,0000003,0000000
cis_alicloud_alicloud_2.14_0148,0000001,0000000
cis_alicloud_alicloud_2.15_0149,0000003,0000000
cis_alicloud_alicloud_2.16_0150,0000003,0000000
cis_alicloud_alicloud_2.17_0151,0000003,0000000
cis_alicloud_alicloud_2.18_0152,0000003,0000000
cis_alicloud_alicloud_2.19_0153,0000003,0000000
cis_alicloud_alicloud_2.1_0062,0000003,0000000
cis_alicloud_alicloud_2.20_0154,0000003,0000000
cis_alicloud_alicloud_2.21_0155,0000003,0000000
cis_alicloud_alicloud_2.22_0156,0000003,0000000
cis_alicloud_alicloud_2.23_0157,0000003,0000000
cis_alicloud_alicloud_2.2_0063,0000003,0000000
cis_alicloud_alicloud_2.3_0064,0000003,0000000
cis_alicloud_alicloud_2.4_0065,0000003,0000000
cis_alicloud_alicloud_2.5_0066,0000003,0000000
cis_alicloud_alicloud_2.6_0067,0000003,0000000
cis_alicloud_alicloud_2.7_0068,0000003,0000000
cis_alicloud_alicloud_2.8_0142,0000003,0000000
cis_alicloud_alicloud_2.9_0143,0000003,0000000
cis_alicloud_alicloud_3.1_0158,0000003,0000000
cis_alicloud_alicloud_3.2_0159,0000003,0000000
cis_alicloud_alicloud_3.3_0160,0000003,0000000
cis_alicloud_alicloud_3.4_0161,0000003,0000000
cis_alicloud_alicloud_3.5_0162,0000003,0000000
cis_alicloud_alicloud_4.1_0163,0000003,0000000
cis_alicloud_alicloud_4.2_0164,0000001,0000000
cis_alicloud_alicloud_4.3_0165,0000003,0000000
cis_alicloud_alicloud_4.4_0166,0000003,0000000
cis_alicloud_alicloud_4.5_0167,0000003,0000000
cis_alicloud_alicloud_4.6_0168,0000003,0000000
cis_alicloud_alicloud_5.1.2_0090,0000003,0000000
cis_alicloud_alicloud_5.1.4_0092,0000003,0000000
cis_alicloud_alicloud_5.1.5_0093,0000003,0000000
cis_alicloud_alicloud_5.1.6_0094,0000003,0000000
cis_alicloud_alicloud_5.1_0169,0000003,0000000
cis_alicloud_alicloud_5.2.6_0100,0000003,0000000
cis_alicloud_alicloud_5.2.7_0101,0000003,0000000
cis_alicloud_alicloud_5.2_0170,0000003,0000000
cis_alicloud_alicloud_5.3_0171,0000003,0000000
cis_alicloud_alicloud_5.4_0172,0000003,0000000
cis_alicloud_alicloud_5.6.2_0107,0000003,0000000
cis_alicloud_alicloud_5.6.3_0108,0000003,0000000
cis_alicloud_alicloud_5.7_0175,0000003,0000000
cis_alicloud_alicloud_5.8_0176,0000003,0000000
cis_alicloud_alicloud_5.9_0177,0000003,0000000
cis_alicloud_alicloud_6.1.1_0110,0000003,0000000
cis_alicloud_alicloud_6.1.2_0111,0000003,0000000
cis_alicloud_alicloud_6.1.3_0112,0000003,0000000
cis_alicloud_alicloud_6.1.4_0113,0000003,0000000
cis_alicloud_alicloud_6.1_0178,0000003,0000000
cis_alicloud_alicloud_6.2.1_0114,0000003,0000000
