,AWS,AZURE,GCP,OCI,IBM,ALICLOUD,K8S,TOTAL
FedRamp,49.0,25.0,69.0,0.0,28.0,138.0,0.0,309.0
canada_pbmm,49.0,25.0,69.0,0.0,28.0,138.0,0.0,309.0
cisa_ce,33.0,21.0,58.0,0.0,18.0,89.0,0.0,219.0
gdpr,30.0,0.0,0.0,0.0,30.0,102.0,0.0,162.0
hipaa,44.0,0.0,0.0,0.0,39.0,141.0,0.0,224.0
iso27001-2022,111.0,16.0,33.0,0.0,229.0,429.0,0.0,818.0
nist_800_171,45.0,22.0,61.0,0.0,44.0,161.0,0.0,333.0
nist_compliance_agent,,,,,,,,
pci_compliance_agent,55.0,14.0,30.0,0.0,17.0,59.0,0.0,175.0
rbi_bank,42.0,28.0,72.0,0.0,24.0,115.0,0.0,281.0
rbi_nbfc,33.0,19.0,61.0,0.0,19.0,95.0,0.0,227.0
soc2,65.0,16.0,43.0,0.0,156.0,318.0,0.0,598.0
