id,unique_id,source,title,description,rationale,audit,remediation,profile_applicability,impact,references,final_approach,final_confidence,program_name,justification,automation_summary,manual_summary,three_ai_consensus,decision_timestamp,section,assessment,default_value,additional_information
1.2,cis-ibm-foundation-v110-1-2,CIS_IBM_Cloud_Foundations_Benchmark_v1_1_0,Ensure API keys unused for 180 days are detected and  optionally disabled,Monitor API key usage in your account and search for API keys that are unused or used infrequently.,"If an API key is unused for long period in your account, it must be disabled (locked) as a security best practice. All API keys, even those that are used infrequently, must be rotated periodically.","Console: 1. Log in to IBM Cloud at https://cloud.ibm.com. 2. Go to the Menu icon. Then, select Observability to access the Observability dashboard. 3. Select Activity Tracker from the page navigation menu 4. Check for instances of IBM Cloud Activity Tracker with LogDNA API:N/A","You must create an instance of the Activity Tracker with LogDNA service in the Frankfurt region to start tracking IAM events. Use a minimum of a 7-day event search. Generate events and configure a view in Activity Tracker with LogDNA, see https://www.ibm.com/cloud/blog/improve-security-track-api-keys-using-iam-and-logdna",• Level 1,"To reduce the likelihood of accidental exposure or leaking, monitoring for infrequently used API keys can indicate that an API key can be locked and even deleted, if there is no anticipated future usage.",1. https://www.ibm.com/cloud/blog/improve-security-track-api-keys-using-iam-and- logdna 2. https://ibm.github.io/cloud-enterprise-examples/logging/create-logdna-instance/,Automated,HIGH,ibm_iam_api_key_unused_detection,"Both AI opinions agree that the task of monitoring API key usage can be automated using IBM Cloud APIs and CLI commands. The IBM Cloud Activity Tracker API can be used to query logs for IAM activities, which includes API key usage. The initial setup might require manual intervention, but the ongoing monitoring can be automated effectively.","- **IBM Cloud Resource/Service:** IAM, Activity Tracker - **API/CLI Method:** Use IBM Cloud CLI to list API keys and IBM Cloud Activity Tracker API to query logs for IAM activities. - **Properties to Check:** API key last used timestamp from Activity Tracker logs. - **Pass Criteria:** No API keys are found to be unused for 180 days or more. - **Fail Criteria:** Any API keys are found that have not been used for over 180 days, indicating a need for remediation to disable them.",,Yes,2025-11-02T12:51:27.911372,1 Section,Manual,"By default, API key monitoring with Activity Tracker with LogDNA is not enabled.",
1.3,cis-ibm-foundation-v110-1-3,CIS_IBM_Cloud_Foundations_Benchmark_v1_1_0,Ensure API keys are rotated every 90 days,"Replace production API keys with new API keys regularly, every 90 days for example, as a best practice to secure your account.","API key rotation can help reduce the impact to your organization if an API key becomes exposed or compromised. If you suspect that a key might have been leaked or compromised, the key must be rotated out of production and deleted.","Console: To find out when an API key was created, complete the following steps: 1. Log in to IBM Cloud at https://cloud.ibm.com. 2. From the Menu bar, click Manage > Access(IAM) > API keys. 3. Identify an API key and from the Actions menu, select Details. 4. View the date the API key was created. API:N/A","To create new API key, complete the following steps: 1. Log in to IBM Cloud at https://cloud.ibm.com. 2. From the Menu bar, click Manage > Access (IAM) > API keys. 3. Click Create an IBM Cloud API key. To rotate an API key, replace an old API key anywhere it is used with the newly created API key. Delete an old API key: 1. Log in to IBM Cloud at https://cloud.ibm.com. 2. From the Menu bar, click Manage > Access (IAM) > API keys. 3. Identify the API key you want to delete, and from the Actions menu, select Delete.",• Level 1,Any resource that is using an API key that has been rotated out of production will encounter errors until the API key has been updated.,1. https://cloud.ibm.com/docs/iam?topic=iam-userapikey,Automated,HIGH,ibm_iam_api_keys_rotation_90_days_check,"The task of ensuring API keys are rotated every 90 days can be efficiently automated using the IBM Cloud CLI. The CLI provides commands to list API keys and their creation dates, which can be scripted to identify keys older than 90 days. This approach enhances efficiency, reduces human error, and is scalable across environments with numerous API keys, aligning with the second AI's suggestion for automation.",- IBM Cloud Resource/Service: IAM API Keys - API/CLI Method: `ibmcloud iam api-keys` - Properties to Check: Creation date of each API key - Pass Criteria: All API keys have a creation date within the last 90 days - Fail Criteria: Any API key has a creation date older than 90 days,,Yes,2025-11-02T13:10:23.905870,1 Section,Manual,"By default, an API key rotation mechanism is not enabled. API key rotation is a manual process",
1.5,cis-ibm-ocp-vm-v100-1-5,CIS_Redhat_OpenShift_Virtual_Machine_Extension_Benchmark_V1.0.0_PDF_,Enforce the use of trusted registries using TLS,Transport Layer Security (TLS) is a cryptographic protocol used in this context to protect data in transit. Restricting operations to the use of trusted registries ensures the use of approved container images.,"By only pulling container images from trusted registries, organizations can reduce the risk of introducing unknown vulnerabilities or malicious software into their systems. This ensure that their applications and systems remain secure and stable. helps",Use the following command to view any insecure registries: $ cnv - openshift n - hyperconverged - kubevirt hyperconverged get oc -ojsonpath='{.spec.storageImport.insecureRegistries}' Verify no registries are returned.,"Do not allow connections to insecure registries from hyperconverged resources. The cluster administrator can remove any insecure registry: $ oc patch hyperconverged kubevirt-hyperconverged cnv - n openshift - --type='json' -p='[ {""op"": ""remove"", ""path"": ""/spec/storageImport/insecureRegistries""}, ]'",• Level 1,Enforcing trusted container image registries limits which container images users are able to deploy and manage. This restriction may also limit the use of some platforms and/or tools.,N/A,Automated,HIGH,ibm_openshift_insecure_registry_check,"Both AI opinions agree that the audit approach should be automated, leveraging IBM Cloud CLI commands to check for insecure registries in an OpenShift environment. The task involves querying configurations that are accessible via the IBM Cloud CLI, making automation feasible and efficient. The second opinion correctly points out the need for command validation, which can be addressed by using the correct `oc` command syntax.","- IBM Cloud Resource/Service: OpenShift on IBM Cloud - API/CLI Method: `oc get hyperconverged -n kubevirt -o jsonpath='{.spec.storageImport.insecureRegistries}'` - Properties to Check: `.spec.storageImport.insecureRegistries` - Pass Criteria: The command returns an empty list, indicating no insecure registries are configured. - Fail Criteria: The command returns one or more entries, indicating the presence of insecure registries.",,Yes,2025-11-02T12:42:11.448744,1 Section,Automated,TLS is enabled by default. No insecure registries are configured or enabled by default. . empty The result of the command should be Internal Only - General,
1.6,cis-ibm-ocp-vm-v100-1-6,CIS_Redhat_OpenShift_Virtual_Machine_Extension_Benchmark_V1.0.0_PDF_,Restrict patching operations in the annotations for Hyperconverged,"provides a mechanism to customize hyperconverged (HCO) object - The kubevirt OpenShift Virtualization components through the control of patching operations. Although this approach itself does not inherently introduce security risks, enabling have unintended consequences and might not be officially experimental features may benefits of using these options against any supported. It is essential to weigh thepotential security implications before proceeding.","Cloud administrators should not patch OpenShift Virtualization objects, but rather configure the OpenShift Virtualization options available in HCO.","Ensure there are no patching operations for the Openshift Virtualization component $ o - cnv - openshift n - hyperconverged - kubevirt hyperconverged get oc jsonpath='{.metadata.annotations}'| jq '.|has(""kubevirt.kubevirt.io/jsonpatch"")' $ oc get hyperconverged kubevirt-hyperconverged -n openshift-cnv -o jsonpath='{.metadata.annotations}'| jq '.|has(""containerizeddataimporter.kubevirt.io/jsonpatch"")' $ oc get hyperconverged kubevirt-hyperconverged -n openshift-cnv -o jsonpath='{.metadata.annotations}'| jq '.|has(""networkaddonsconfigs.kubevirt.io/jsonpatch"")' $ oc get hyperconverged kubevirt-hyperconverged -n openshift-cnv -o jsonpath='{.metadata.annotations}'| jq '.|has(""ssp.kubevirt.io/jsonpatch"")' All the commands should return . an empty string Internal Only - General","The annotations should be removed from the Hyperconverged. For example, by directly editing the object with hyperconverged - kubevirt oc edit hyperconverged -n openshift-cnv command. Example: annotate the or by removing the annotation with $ oc annotate --overwrite -n openshift-cnv hco kubevirt-hyperconverged 'containerizeddataimporter.kubevirt.io/jsonpatch-'",• Level 1,Restrictions to patching operations may prevent the use of experimental features not yet supported or considered insecure.,N/A,Manual,HIGH,,"The task involves checking for specific annotations in the OpenShift Virtualization components, which requires manual inspection of the annotations using the OpenShift CLI. While some aspects could potentially be automated, the need for precise verification and manual editing of annotations makes a fully automated approach impractical. The manual steps ensure thorough verification and compliance with the control requirements.",,"1. Connect to the OpenShift cluster using the IBM Cloud CLI. - Command: `ibmcloud oc cluster config --cluster <your-cluster-name>` 2. Retrieve the annotations for the Hyperconverged object. - Command: `oc get hyperconverged kubevirt-hyperconverged -n openshift-cnv -o jsonpath='{.metadata.annotations}'` 3. Check each annotation for the presence of the following keys: - `kubevirt.kubevirt.io/jsonpatch` - `containerizeddataimporter.kubevirt.io/jsonpatch` - `networkaddonsconfigs.kubevirt.io/jsonpatch` - `ssp.kubevirt.io/jsonpatch` 4. Verify that none of these annotations are present. The expected secure configuration is that these keys should not exist or should return an empty string. 5. If any annotations are present, remove them using: - Command: `oc annotate --overwrite -n openshift-cnv hco kubevirt-hyperconverged 'containerizeddataimporter.kubevirt.io/jsonpatch-'` - Alternatively, manually edit the object with `oc edit hyperconverged -n openshift-cnv` to remove offending annotations. 6. Confirm compliance by re-running the command from step 2 to ensure the annotations have been removed.",Yes,2025-11-02T13:23:42.162777,1 Section,Manual,None of the annotations should be set and the result of the commands should always be false,
1.7,cis-ibm-ocp-vm-v100-1-7,CIS_Redhat_OpenShift_Virtual_Machine_Extension_Benchmark_V1.0.0_PDF_,Ensure KSM is disabled,"Kernel Samepage Merging (KSM) is a Linux kernel feature that merges identical memory pages across virtual machines running on a single host, potentially reducing memory usage and improving system performance.","Sharing resources introduces the risk of memory corruption attacks, unauthorized or unintended sharing of information, and the manipulation of data flow restrictions.",Use the following command to list KSM configuration for hyperconverged resources: $ oc cnv - openshift n - hyperconverged - kubevirt hyperconvergeds get -ojsonpath='{.spec.ksmConfiguration}',"by directly editing the object with Disable the KSM feature.For example, oc edit hyperconverged kubevirt-hyperconverged -n openshift-cnv and set the field to false",• Level 2,Disabling Kernel Samepage Merging (KSM) does not impact normal node operations. Workloads requiring a high amount of memory usage could potentially see an impact on system performance.,N/A,Automated,HIGH,ibm_openshift_hyperconverged_ksm_configuration_check,"Both AI opinions agree that the audit can be automated using IBM Cloud CLI commands within the OpenShift context. The task involves checking a configuration setting that is accessible through the CLI, and there is no need for manual inspection or SSH access. The command provided allows for direct verification of the KSM configuration, which aligns with IBM Cloud's capabilities for automation.","- IBM Cloud Resource/Service: OpenShift Hyperconverged Infrastructure - API/CLI Method: `oc cnv - openshift n - hyperconverged - kubevirt hyperconvergeds get -ojsonpath='{.spec.ksmConfiguration}'` - Properties to Check: `.spec.ksmConfiguration` - Pass Criteria: The KSM configuration should be set to `false`, indicating that KSM is disabled. - Fail Criteria: If the KSM configuration returned is `true`, KSM is enabled, violating the compliance requirement.",,Yes,2025-11-02T12:25:46.412171,1 Section,Automated,KSM in disabled by default. The command should . false return,
1.8,cis-ibm-foundation-v110-1-8,CIS_IBM_Cloud_Foundations_Benchmark_v1_1_0,Ensure multi-factor authentication (MFA) is enabled for the  account owner,Requires account owner to provide multiple factors of login credentials to authenticate their identity and gain access to IBM Cloud resources.,"Multifactor authentication (MFA) adds an additional layer of security to an account by requiring users to provide an additional login credential. This requirement helps protect accounts from stolen, phished, or weak password exploits.","Console: 1. Log in to IBM Cloud at https://cloud.ibm.com. 2. From the Menubar, click Manage > Access (IAM). 3. Click Settings > Account login. 4. Verify Multifactor authentication does not say None. API:N/A","1. Log in to IBM Cloud at https://cloud.ibm.com. 2. From the Menubar, click Manage > Access (IAM). 3. Click Settings > Account login. 4. Click Edit for the Account login setting. 5. Select None, Non-federated users only, or All users depending on which type of authentication you want to require. 6. Select the checkbox to confirm that you understand the impact of requiring MFA for users in your account, if you select the non-federated users only option. 7. Click Update.",• Level 1,"Depending on the administrator’s selection, users might be required to provide an additional authentication factor prior to gaining access to IBM Cloud resources. API keys for users and service IDs continue to work after MFA is enabled.",1. https://cloud.ibm.com/docs/iam?topic=iam-enablemfa,Automated,HIGH,ibm_iam_account_mfa_check,"The second AI opinion correctly identifies that the IBM Cloud CLI can be used to automate the verification of MFA settings. The command `ibmcloud iam account-settings` can retrieve account settings, including MFA configurations, allowing for an automated compliance check. This approach is efficient and repeatable, leveraging IBM Cloud's capabilities to automate the process rather than relying on manual inspection.","- IBM Cloud Resource/Service: IAM (Identity and Access Management) - API/CLI Method: `ibmcloud iam account-settings` - Properties to Check: `mfa` setting in the account settings response - Pass Criteria: MFA is set to ""Non-federated users only"" or ""All users"" - Fail Criteria: MFA is set to ""None""",,Yes,2025-11-02T12:58:45.249109,1 Section,Manual,"By default, MFA is disabled.",
1.9,cis-ibm-foundation-v110-1-9,CIS_IBM_Cloud_Foundations_Benchmark_v1_1_0,Ensure multi-factor authentication (MFA) is enabled at the  account level,Requires users to provide multiple factors of login credentials to authenticate their identity and gain access to IBM Cloud resources.,"Multifactor authentication (MFA) adds an additional layer of security to an account by requiring users to provide an additional login credential. This requirement helps protect accounts from stolen, phished, or weak password exploits.","Console: 1. Log in to IBM Cloud at https://cloud.ibm.com. 2. From the Menubar, click Manage > Access (IAM). 3. Click Settings > Account login. 4. Verify Multifactor authentication does not say None API:N/A","1. Log in to IBM Cloud at https://cloud.ibm.com. 2. From the Menubar, click Manage > Access (IAM). 3. Click Settings > Account login. 4. Click Edit for the Account login setting. 5. Select None, Non-federated users only, or All users depending on which type of authentication you want to require. 6. Select the checkbox to confirm that you understand the impact of requiring MFA for users in your account, if you select the non-federated users only option. 7. Click Update.",• Level 1,"Depending on the administrator’s selection, users might be required to provide an additional authentication factor prior to gaining access to IBM Cloud resources. API keys for users and service IDs continue to work after MFA is enabled.",1. https://cloud.ibm.com/docs/iam?topic=iam-enablemfa,Automated,HIGH,ibm_iam_account_mfa_status_check,"Both AI opinions agree that the audit for ensuring multi-factor authentication (MFA) is enabled at the account level can be automated using IBM Cloud IAM API and CLI commands. The necessary checks can be performed programmatically without manual intervention, as the IBM Cloud IAM API provides the required endpoints to verify MFA settings.","- IBM Cloud Resource/Service: IAM Account Settings - API/CLI Method: Use the `getAccountSettings()` API from the IAM Control API and the CLI command `ibmcloud iam account-mfa`. - Properties to Check: Verify the MFA setting in the response, ensuring it is set to ""Non-federated users only"" or ""All users"". - Pass Criteria: MFA is set to ""Non-federated users only"" or ""All users"". - Fail Criteria: MFA is set to ""None"".",,Yes,2025-11-02T13:14:01.102299,1 Section,Manual,"By default, MFA is disabled.",
1.10,cis-ibm-ocp-vm-v100-1-10,CIS_Redhat_OpenShift_Virtual_Machine_Extension_Benchmark_V1.0.0_PDF_,Restrict namespace administrator access to migration tools,"Namespace administrators have the capability to perform live migrations, which can potentially impact other users of the system. Live migration is a process where virtual machines can be moved from one physical host to another without any downtime, making it a valuable tool for managing clusters and ensuring high availability. However, since live migration involves moving data between hosts, it can have an impact on other users who may have applications running on the same hosts. As such, it is important to exercise caution when granting access to namespace administrators and ensure that appropriate safeguards are in place to minimize any potential disruptions.","Limiting the number of virtual machine migrations occurring simultaneously can help to ensure that the system remains stable and performs optimally during periods of high activity. If too many migrations are occurring at once, it can lead to increased migrationresource usage,reduced processing power, and potential network congestion, all of which can impact system performance and availability. The KubeVirt community is working towards removing migration functionality from namespace administrators in order to make it safer and more manageable. Live migration, on the other hand, will be reserved for cluster administrators. This separation of duties helps ensure that live migrations can be performed safely and without impacting other users of the system. Please refer to the upstream proposal for more information.","Use the following command to find users, service accounts and groups who are to allowed MigrationPolicy and VirtualMachineInterfaceMigration create resources: Internal Only - General $ vmim create can - who policy adm oc $ migrationpolicy create can - who policy adm oc Ensure users are authorized to perform those actions.","Remove and migrationpolicy access to virtualmachineinstancemigration create objects in the cluster. clusterRoleBinding access given by the create Example: Remove for the I migrationpolicy user test for the Internal Only - General # Get all the users and service accounts who can create migrationpolicies $ oc adm policy who-can create migrationpolicy Users: system:admin .. Test # Verify that the test user can create the migrationpolicy $ oc auth can-i create migrationpolicies --as test Warning: resource 'migrationpolicies' is not namespace scoped in group 'migrations.kubevirt.io' yes # Find out which rolebinding or clusterrolbinding associated to the test user $ oc get rolebindings,clusterrolebindings --all-namespaces -o custom-columns='KIND:kind,NAMESPACE:metadata.namespace,NAME:metadata.n ame,SERVICE_ACCOUNTS:subjects[?(@.kind==""User"")].name' |grep test ClusterRoleBinding <none> migration-creator test # Inspect the cluster role binding $ oc get clusterrolebindings migration-creator -oyaml apiVersion: rbac.authorization.k8s.io/v1 kind: ClusterRoleBinding metadata: annotations: kubectl.kubernetes.io/last-applied-configuration: | {""apiVersion"":""rbac.authorization.k8s.io/v1"",""kind"":""ClusterRoleBindin g"",""metadata"":{""annotations"":{},""name"":""migration-creator""},""roleRef"": {""apiGroup"":""rbac.authorization.k8s.io"",""kind"":""ClusterRole"",""name"":""m igration-creator""},""subjects"":[{""apiGroup"":""rbac.authorization.k8s.io"" ,""kind"":""User"",""name"":""test""},{""kind"":""ServiceAccount"",""name"":""test"","" namespace"":""default""}]} creationTimestamp: ""2025-03-06T14:05:04Z"" name: migration-creator resourceVersion: ""1093678"" uid: 96be5dc2-2b30-4734-b5ef-16d9342bbdbf roleRef: apiGroup: rbac.authorization.k8s.io kind: ClusterRole name: migration-creator subjects: - apiGroup: rbac.authorization.k8s.io kind: User name: test - kind: ServiceAccount name: test namespace: default # Remove the cluster role binding $ oc delete clusterrolebindings migration-creator clusterrolebinding.rbac.authorization.k8s.io ""migration-creator"" deleted # Re-verify that the test user cannot create the migrationpolicy Internal Only - General $ oc auth can-i create migrationpolicies --as test Warning: resource 'migrationpolicies' is not namespace scoped in group 'migrations.kubevirt.io' no",• Level 1,"Using introduce additional overhead can VirtualMachineInterfaceMigrations to the system, particularly if a large number of migrations are occurring simultaneously. This can lead to increased resource usage and potential performance degradation, as the migration process requires significant processing power and network bandwidth. Additionally, if a migration fails or encounters errors during the migration process, it can cause downtime for the associated VM and potentially impact system availability.",N/A,Manual,HIGH,,"The audit steps provided require specific checks on user permissions and role bindings within an OpenShift environment, which are best performed through direct command-line interactions. While some aspects could potentially be automated, the detailed verification of role bindings and user permissions, especially in a dynamic environment like OpenShift, necessitates manual inspection to ensure accuracy and context-specific understanding. The current IBM Cloud CLI and SDK do not fully support the automation of these nuanced checks.",,"1. **List Users with Migration Capabilities:** - Execute the command to list all users, service accounts, and groups with the ability to create `MigrationPolicy`: ``` oc adm policy who-can create migrationpolicy ``` - Review the output to identify users with migration capabilities. 2. **Verify Specific User Permissions:** - Check if a specific user (e.g., `test`) can create a `MigrationPolicy`: ``` oc auth can-i create migrationpolicies --as test ``` - Confirm whether the output indicates permission (yes/no). 3. **Review Role Bindings:** - List all `rolebindings` and `clusterrolebindings` to identify roles granted to users: ``` oc get rolebindings,clusterrolebindings --all-namespaces -o custom-columns='KIND:kind,NAMESPACE:metadata.namespace,NAME:metadata.name,SERVICE_ACCOUNTS:subjects[?(@.kind==""User"")].name' ``` - Look for any associations with the `migration-creator` role. 4. **Inspect Cluster Role Binding:** - If unauthorized access is detected, inspect the `ClusterRoleBinding` details: ``` oc get clusterrolebindings migration-creator -oyaml ``` - Examine the subjects and permissions granted. 5. **Remove Unauthorized Role Bindings:** - If unauthorized access is confirmed, remove the `ClusterRoleBinding` associated with `migration-creator` to prevent unauthorized actions.",Yes,2025-11-02T13:02:00.971774,1 Section,Manual,"By default, cluster administrators and namespace administrators can trigger virtual machine migrations. Internal Only -",
1.11,cis-ibm-ocp-vm-v100-1-11,CIS_Redhat_OpenShift_Virtual_Machine_Extension_Benchmark_V1.0.0_PDF_,Restrict exec access to the pods,"allows for arbitrary execution by users. This commands in a pod exec The ability to includes administrative functions which normally require elevation of privileges by an - administrator, and could lead to unauthorized use of both security and non approved administrative functions. security related",The exec command is not necessary for the proper functioning of OpenShift Virtualization.,"the following command: To verify who can exec commands in pods, use $ pod exec can - who policy adm oc",Assign only to approved administrators. in the cluster pods access to exec,• Level 1,Limiting access to exec can restrict access to utilities used to accomplish tasks users are authorized to perform. These restrictions may require more granular role or attribute based access controls to be defined.,N/A,Automated,HIGH,ibm_openshift_pod_exec_access_check,"Given the capabilities of the OpenShift CLI (`oc`) and the potential for integration with IBM Cloud's configuration management tools, this control can be automated. The second AI opinion correctly identifies the potential for automation by scripting the checks to run periodically. This approach can leverage IBM Cloud CLI and OpenShift CLI to automate the verification of role bindings and permissions, ensuring compliance without manual intervention.","- IBM Cloud Resource/Service: OpenShift on IBM Cloud - API/CLI Method: OpenShift CLI (`oc`) commands, potentially integrated with IBM Cloud CLI for broader automation - Properties to Check: Role bindings and permissions related to pod exec access - Pass Criteria: Only approved administrators have exec access to pods - Fail Criteria: Any non-approved users have exec access to pods",,Yes,2025-11-02T13:08:49.080188,1 Section,Manual,The ability to run reserved for cluster administrators by commands is exec default.,
1.12,cis-ibm-ocp-vm-v100-1-12,CIS_Redhat_OpenShift_Virtual_Machine_Extension_Benchmark_V1.0.0_PDF_,Restrict VNC access to cluster workloads,"Access to each workload’s virtual screen is provided via VNC. Permission to use VNC is granted via a role, which means users with role assigned can access the VNC console of all workloads in a namespace.",Access to use VNC should be carefully considered as it is usually preferable to access workloads via other means which support a stronger encryption and authentication mechanism.,"Verify to which users have the necessary permissions to create tokens: $ oc ojson - rolebinding get select(.roleRef.name | '.items[] c - jq | | contains(""token.kubevirt.io:generate""))'","Assign this RoleBinding only to users with approval to use it, otherwise remove unapproved users.",• Level 1,Limiting VNC access to cluster workloads means users will need to access the machine using approved communication mechanisms.,N/A,Automated,HIGH,ibm_openshift_vnc_access_restriction_check,"The task of verifying RoleBindings in OpenShift can be automated using scripting with the IBM Cloud CLI, which allows for efficient and repeatable checks. The second AI opinion correctly identifies the potential for automation using IBM Cloud Schematics or IBM Cloud Config, which can continuously monitor and enforce compliance policies. Automating this process reduces human error and ensures consistent compliance checks.","- IBM Cloud Resource/Service: OpenShift on IBM Cloud - API/CLI Method: `oc get rolebindings --all-namespaces -o json | jq '.items[] | select(.roleRef.name == ""token.kubevirt.io:generate"")'` - Properties to Check: RoleBindings with the roleRef name ""token.kubevirt.io:generate"" - Pass Criteria: Only approved users are assigned to these RoleBindings - Fail Criteria: Presence of unapproved users in these RoleBindings",,Yes,2025-11-02T13:30:42.923579,1 Section,Manual,"No default value, the command returns thelist of rolebindings which has the roleName empty to generate the kubevirt token. If none was created then the command returns an list.",
