csp,unique_compliance_id,framework,control_id,title,missing_check_name,suggested_rule_id,priority,rule_type,notes
azure,cis_azure_10.1,CIS_AZURE,10.1,Ensure 'Encryption key source' is set to 'Customer Managed  Key' for Azure NetApp Files accounts,azure_netappfiles_encryption_key_source_cmk_check,azure.netappfiles.encryption.key_source_cmk_check,1,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2,FedRAMP_Moderate,AC-2,Account Management,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_1,FedRAMP_Moderate,AC-2 (1),Account Management | Automated System Account Management,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_11,FedRAMP_Moderate,AC-2 (11),Account Management | Usage Conditions,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_12,FedRAMP_Moderate,AC-2 (12),Account Management | Account Monitoring for Atypical Usage,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_13,FedRAMP_Moderate,AC-2 (13),Account Management | Disable Accounts for High-risk Individuals,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_2,FedRAMP_Moderate,AC-2 (2),Account Management | Automated Temporary and Emergency Account Management,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_3,FedRAMP_Moderate,AC-2 (3),Account Management | Disable Accounts,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_4,FedRAMP_Moderate,AC-2 (4),Account Management | Automated Audit Actions,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_5,FedRAMP_Moderate,AC-2 (5),Account Management | Inactivity Logout,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_7,FedRAMP_Moderate,AC-2 (7),Account Management | Privileged User Accounts,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_2_9,FedRAMP_Moderate,AC-2 (9),Account Management | Restrictions on Use of Shared and Group Accounts,azure_active_directory_user_accesskey_unused,azure.active.directory.user_accesskey_unused,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_5,FedRAMP_Moderate,AC-5,Separation of Duties,azure_active_directory_aws_attached_policy_no_administrative_privileges,azure.active.directory.aws_attached_policy_no_administrative_privileges,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_5,FedRAMP_Moderate,AC-5,Separation of Duties,azure_active_directory_customer_attached_policy_no_administrative_privileges,azure.active.directory.customer_attached_policy_no_administrative_privileges,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AC_5,FedRAMP_Moderate,AC-5,Separation of Duties,azure_active_directory_inline_policy_no_administrative_privileges,azure.active.directory.inline_policy_no_administrative_privileges,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AU_12,FedRAMP_Moderate,AU-12,Audit Record Generation,azure_sql_instance_integration_cloudwatch_logs,azure.sql.instance.integration_cloudwatch_logs,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AU_12_1,FedRAMP_Moderate,AU-12 (1),Audit Record Generation | System-wide and Time-correlated Audit Trail,azure_sql_instance_integration_cloudwatch_logs,azure.sql.instance.integration_cloudwatch_logs,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AU_12_3,FedRAMP_Moderate,AU-12 (3),Audit Record Generation | Changes by Authorized Individuals,azure_sql_instance_integration_cloudwatch_logs,azure.sql.instance.integration_cloudwatch_logs,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AU_2,FedRAMP_Moderate,AU-2,Event Logging,azure_sql_instance_integration_cloudwatch_logs,azure.sql.instance.integration_cloudwatch_logs,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AU_3,FedRAMP_Moderate,AU-3,Content of Audit Records,azure_sql_instance_integration_cloudwatch_logs,azure.sql.instance.integration_cloudwatch_logs,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AU_3_1,FedRAMP_Moderate,AU-3 (1),Content of Audit Records | Additional Audit Information,azure_sql_instance_integration_cloudwatch_logs,azure.sql.instance.integration_cloudwatch_logs,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_AU_8,FedRAMP_Moderate,AU-8,Time Stamps,azure_sql_instance_integration_cloudwatch_logs,azure.sql.instance.integration_cloudwatch_logs,2,config,Generated from compliance_agent check name; refine during rule development
azure,fedramp_moderate_CA_9,FedRAMP_Moderate,CA-9,Internal System Connections,azure_api_management_restapi_client_certificate_enabled,azure.api.management.restapi_client_certificate_enabled,2,config,Generated from compliance_agent check name; refine during rule development
