csp,unique_compliance_id,framework,control_id,title,missing_check_name,suggested_rule_id,priority,rule_type,notes
ibm,cis_ibm_1.1.10,CIS_IBM,1.1.10,Ensure that the Container Network Interface file ownership is set to root:root,ibm_openshift_cni_file_ownership_check,ibm.openshift.cni.file_ownership_check,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.1.11,CIS_IBM,1.1.11,Ensure that the etcd data directory permissions are set to 700 or more restrictive,ibm_openshift_etcd_permissions_check,ibm.openshift.etcd.permissions_check,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.1.20,CIS_IBM,1.1.20,Ensure that the OpenShift PKI certificate file permissions are set to 600 or more restrictive,ibm_openshift_pki_certificate_permissions_check,ibm.openshift.pki.certificate_permissions_check,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.1.21,CIS_IBM,1.1.21,Ensure that the OpenShift PKI key file permissions are set to 600,ibm_openshift_pki_keyfile_permissions_check,ibm.openshift.pki.keyfile_permissions_check,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.1.6,CIS_IBM,1.1.6,Ensure that the scheduler pod specification file ownership is set to root:root,ibm_openshift_scheduler_file_ownership_check,ibm.openshift.scheduler.file_ownership_check,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.12,CIS_IBM,1.12,Restrict VNC access to cluster workloads,ibm_openshift_vnc_access_restriction_check,ibm.openshift.vnc.access_restriction_check,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.14,CIS_IBM,1.14,Restrict update access to the CDI CR,ibm_openshift_cdi_access_check,ibm.openshift.cdi.access_check,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.17,CIS_IBM,1.17,Ensure Inactive User Accounts are Suspend,ibm_iam_user_inactive_accounts_check,ibm.iam.user.inactive_accounts_check,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.19,CIS_IBM,1.19,Ensure Identity Federation is set up with a Corporate IDP,ibm_iam_identity_federation_status,ibm.iam.identity.federation_status,1,config,Generated from compliance_agent check name; refine during rule development
ibm,cis_ibm_1.2,CIS_IBM,1.2,Ensure API keys unused for 180 days are detected and  optionally disabled,ibm_iam_api_key_unused_detection,ibm.iam.api.key_unused_detection,1,config,Generated from compliance_agent check name; refine during rule development
