id,title,program_name,final_confidence,automation_summary,source
2.1.1,Enable audit Logs,azure_aks_control_plane_diagnostics_audit_logs_enabled,HIGH,Resource: ** AKS Clusters | API: ** `az aks show` and `az monitor diagnostic-settings list`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.1.1,Ensure that the kubeconfig file permissions are set to 644 or more restrictive,azure_aks_node_kubeconfig_permission_check,HIGH,Resource: ** AKS Clusters | API: ** `az vm run-command invoke`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.1.2,Ensure that the kubelet kubeconfig file ownership is set to root:root,azure_databricks_network_security_groups_configured,HIGH,"Resource: ** Azure Databricks, Network Security Groups | API: ** `az network nsg list --query ""[].{Name:name, Rules:securityRules}"" -o table`",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.1.3,Ensure that the azure.json file has permissions set to 644 or more restrictive,azure_databricks_cluster_verify_encryption,HIGH,Resource: Azure Databricks Clusters | API: `databricks clusters get`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.1.4,Ensure that the azure.json file ownership is set to root:root,azure_databricks_scim_provisioning_enabled,HIGH,"Resource: Azure Databricks | API: `az ad app show --id <databricks-app-id>`, `az ad app list`",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.1,Ensure that the --anonymous-auth argument is set to false,azure_aks_kubelet_anonymous_auth_check,HIGH,Resource: ** AKS Clusters | API: ** Use Azure CLI with `az aks show` to retrieve the AKS cluster configuration.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.2,Ensure that the --authorization-mode argument is not set to AlwaysAllow,azure_aks_cluster_authorization_mode_check,HIGH,Resource: ** AKS Clusters | API: ** `az aks show`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.3,Ensure that the --client-ca-file argument is set as appropriate,azure_aks_kubelet_client_ca_file_check,HIGH,Resource: ** AKS Clusters | API: ** Use Azure Policy to audit AKS configurations and Azure Monitor for compliance reporting.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.4,Ensure that the --read-only-port is secured,azure_aks_kubelet_read_only_port_check,HIGH,Resource: AKS Clusters | API: Azure Policy and Azure CLI,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.7,Ensure that the --eventRecordQPS argument is set to 0 or a level which ensures appropriate event capture,azure_aks_kubelet_event_record_qps_check,HIGH,Resource: AKS Clusters | API: Azure Policy and Azure Monitor integration,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.8,Ensure that the --rotate-certificates argument is not set to false,azure_aks_kubelet_rotate_certificates_check,HIGH,Resource: AKS Clusters | API: `az aks show`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.9,Ensure that the RotateKubeletServerCertificate argument is set to true,azure_aks_kubelet_rotate_certificate_check,HIGH,Resource: ** AKS Clusters | API: ** Use `az aks show` to retrieve cluster configurations and `kubectl get nodes -o json` to inspect kubelet settings.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.1,Ensure that the cluster-admin role is only used where required,azure_aks_rbac_cluster_admin_role_verified,HIGH,"Resource: AKS Clusters | API: Use `az aks get-credentials` to configure access, then `kubectl get clusterrolebindings`",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.2,Minimize access to secrets,azure_aks_secrets_access_minimized,HIGH,"Resource: AKS Clusters | API: `kubectl get rolebinding --all-namespaces`, `kubectl get clusterrolebinding`",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.3,Minimize wildcard use in Roles and ClusterRoles,azure_aks_roles_clusterroles_minimized_wildcards,HIGH,Resource: ** Azure Kubernetes Service (AKS) | API: ** Use `kubectl` commands via Azure CLI or Kubernetes API,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.4,Minimize access to create pods,azure_aks_pod_creation_access_check,HIGH,Resource: ** AKS Clusters | API: **,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.5,Ensure that default service accounts are not actively used,azure_aks_service_account_default_not_in_use,HIGH,Resource: ** AKS Clusters | API: ** `kubectl get serviceaccounts --all-namespaces -o json`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.1.6,Ensure that Service Account Tokens are only mounted where necessary,azure_aks_pod_service_account_token_check,HIGH,"Resource: AKS Clusters | API: Use `az aks get-credentials` to authenticate and set the context, followed by `kubectl get pods -o json` to retrieve pod configurations.",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.2.1,Minimize the admission of privileged containers,azure_aks_privileged_containers_restriction_enforced,HIGH,Resource: ** AKS Clusters | API: ** `kubectl get pods --all-namespaces -o json`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.2.2,Minimize the admission of containers wishing to share the host process ID namespace,azure_aks_pod_hostpid_restriction_check,HIGH,Resource: ** AKS Clusters | API: ** Use `kubectl get pods --all-namespaces -o json` and filter with `jq` to identify Pods with `hostPID` set to `true`.,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.2.3,Minimize the admission of containers wishing to share the host IPC namespace,azure_aks_pod_hostipc_restriction_verified,HIGH,Resource: AKS Clusters | API: `kubectl get pods --all-namespaces -o json | jq -r '.items[] | select(.spec.hostIPC == true)'`,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
4.2.4,Minimize the admission of containers wishing to share the host network namespace,azure_aks_pod_host_network_policy_check,HIGH,"Resource: AKS Clusters | API: `kubectl get pods --all-namespaces -o json | jq -r '.items[] | select(.spec.hostNetwork == true) | ""\(.metadata.namespace)/\(.metadata.name)""'`",CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
