id,title,manual_summary,final_confidence,source
3.2.5,Ensure that the --streaming-connection-idle-timeout argument is not set to 0,"The specific kubelet configuration settings required for this compliance check are not exposed through Azure's APIs or CLI tools, necessitating direct inspection on the node itself.",HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
3.2.6,Ensure that the --make-iptables-util-chains argument is set to true,"The specific configuration setting `makeIPTablesUtilChains` is not accessible via Azure's standard APIs or CLI tools, requiring manual file inspection on each node.",HIGH,CIS AZURE KUBERNETES SERVICE (AKS) BENCHMARK V1.7.0 PDF_updated_20250825_190647.json
1.1.3.2,Ensure nosuid option set on /dev/shm partition,"The verification of mount options on a node's file system requires direct shell access, which cannot be automated through Azure APIs or CLI as these do not expose file system mount configurations.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.2.1,Ensure DNF gpgcheck is globally activated,"The specific configuration files and their contents are not accessible via Azure's standard APIs or CLI tools, requiring manual inspection to ensure compliance.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.1,Ensure local login warning banner is configured properly,"The Azure APIs do not provide direct access to the contents of the `/etc/issue` file, and SSH access is required to manually verify the file's contents and ensure compliance with the specific policy r",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.2,Ensure remote login warning banner is configured properly,"Direct automation is not feasible because Azure APIs or CLI do not provide access to the contents of the `/etc/issue.net` file on AKS nodes. SSH access is required to perform this check, which inheren",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
1.4.3,Ensure permissions on /etc/motd are configured,"Azure does not provide direct APIs or CLI commands to check or modify file permissions on individual files within AKS nodes. This operation requires SSH access to the node, which is inherently a manua",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
2.2.17,Ensure mail transfer agent is configured for local-only mode,"The MTA configuration is not exposed via Azure APIs, requiring direct node access and command execution to verify settings, which cannot be automated through Azure's existing capabilities.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.2,Ensure ICMP redirects are not accepted,"The required kernel parameters are not accessible via Azure's standard resource APIs or CLI, necessitating direct system access and command execution, which is inherently manual.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
3.3.3,Ensure secure ICMP redirects are not accepted,"Azure does not expose kernel parameters through its APIs, and direct node access is required to verify these settings, which cannot be fully automated through Azure's native tools.",HIGH,CIS_AKS_OPTIMIZED_AZURE_LINUX_BENCHMARK_V1.0.0_updated_20250825_190750.json
