rule_id,provider,service,category,severity,title,description,check_type,source_file
azure.aad.app_registration.access_oidc_allowed_client_ids_audiences_restricted,azure,aad,app_registration,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.app_registration.access_oidc_issuer_https_and_matches_discovery,azure,aad,app_registration,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.app_registration.access_oidc_thumbprints_or_jwks_pinning,azure,aad,app_registration,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.app_registration.access_oidc_token_lifetime_reasonable,azure,aad,app_registration,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_password_policy_lockout_threshold_defined,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_password_policy_max_age_90_days_or_less,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_password_policy_min_length_14,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_password_policy_prevent_reuse_last_24,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_password_policy_require_upper_lower_number_special,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_tenant_api_access_keys_root_or_owner_disallowed,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_tenant_break_glass_accounts_mfa_enforced,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_tenant_console_mfa_required_org_wide,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_tenant_inuser_disable_threshold,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_tenant_password_policy_compliant,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.directory_tenant.access_tenant_sso_federation_where_supported,azure,aad,directory_tenant,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.enterprise_application.access_saml_assertion_lifetime_reasonable,azure,aad,enterprise_application,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.enterprise_application.access_saml_audience_restriction,azure,aad,enterprise_application,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.enterprise_application.access_saml_certificates_not_expired,azure,aad,enterprise_application,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.enterprise_application.access_saml_idp_metadata_signed,azure,aad,enterprise_application,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.group.access_group_attached_policies_not_admin_star,azure,aad,group,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.group.access_group_membership_review_enabled_where_supported,azure,aad,group,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.group.access_group_no_inline_policies,azure,aad,group,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.group.access_rbac_group_attached_policies_not_admin_star,azure,aad,group,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.group.access_rbac_group_external_sharing_restricted_where_supported,azure,aad,group,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.group.access_rbac_group_no_inline_policies,azure,aad,group,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
azure.aad.identity_service_principal.access_service_account_keys_not_used_or_rotated_90_days_or_less,azure,aad,identity_service_principal,MEDIUM,,,config,azure_rule_check/aad/aad.checks.yaml
