rule_id,provider,service,category,severity,title,description,check_type,source_file
ibm.block_storage.volume.encryption_at_rest_enabled,ibm,block_storage,volume,HIGH,,,config,ibm_rule_check/block_storage/block_storage.checks.yaml
ibm.block_storage.volume.snapshot_enabled,ibm,block_storage,volume,MEDIUM,,,config,ibm_rule_check/block_storage/block_storage.checks.yaml
ibm.certificate_manager.certificate.auto_renewal_enabled,ibm,certificate_manager,certificate,HIGH,,,config,ibm_rule_check/certificate_manager/certificate_manager.checks.yaml
ibm.certificate_manager.certificate.not_expired,ibm,certificate_manager,certificate,CRITICAL,,,config,ibm_rule_check/certificate_manager/certificate_manager.checks.yaml
ibm.certificate_manager.certificate.not_expiring_soon,ibm,certificate_manager,certificate,MEDIUM,,,config,ibm_rule_check/certificate_manager/certificate_manager.checks.yaml
ibm.certificate_manager.certificate.strong_key_algorithm,ibm,certificate_manager,certificate,HIGH,,,config,ibm_rule_check/certificate_manager/certificate_manager.checks.yaml
ibm.ciem.chain.data_exfiltration_via_cos,ibm,ciem,chain,CRITICAL,,,config,ibm_rule_check/ciem/ciem.checks.yaml
ibm.ciem.chain.defense_evasion_log_destroy,ibm,ciem,chain,CRITICAL,,,config,ibm_rule_check/ciem/ciem.checks.yaml
ibm.ciem.chain.privilege_escalation_via_trusted_profile,ibm,ciem,chain,CRITICAL,,,config,ibm_rule_check/ciem/ciem.checks.yaml
ibm.code_engine.app.requires_authentication,ibm,code_engine,app,HIGH,,,config,ibm_rule_check/code_engine/code_engine.checks.yaml
ibm.code_engine.app.secrets_from_secrets_manager,ibm,code_engine,app,MEDIUM,,,config,ibm_rule_check/code_engine/code_engine.checks.yaml
ibm.code_engine.project.activity_tracking_configured,ibm,code_engine,project,MEDIUM,,,config,ibm_rule_check/code_engine/code_engine.checks.yaml
ibm.code_engine.project.private_network_access,ibm,code_engine,project,HIGH,,,config,ibm_rule_check/code_engine/code_engine.checks.yaml
ibm.container_registry.image.content_trust_signed,ibm,container_registry,image,HIGH,,,config,ibm_rule_check/container_registry/container_registry.checks.yaml
ibm.container_registry.image.no_critical_vulnerabilities,ibm,container_registry,image,CRITICAL,,,config,ibm_rule_check/container_registry/container_registry.checks.yaml
ibm.container_registry.image.not_stale,ibm,container_registry,image,MEDIUM,,,config,ibm_rule_check/container_registry/container_registry.checks.yaml
ibm.container_registry.namespace.not_publicly_accessible,ibm,container_registry,namespace,CRITICAL,,,config,ibm_rule_check/container_registry/container_registry.checks.yaml
ibm.container_registry.namespace.resource_group_assigned,ibm,container_registry,namespace,LOW,,,config,ibm_rule_check/container_registry/container_registry.checks.yaml
ibm.containers.cluster.latest_kubernetes_version,ibm,containers,cluster,MEDIUM,,,config,ibm_rule_check/containers/containers.checks.yaml
ibm.containers.cluster.logging_configured,ibm,containers,cluster,MEDIUM,,,config,ibm_rule_check/containers/containers.checks.yaml
ibm.containers.cluster.private_endpoint_enabled,ibm,containers,cluster,HIGH,,,config,ibm_rule_check/containers/containers.checks.yaml
ibm.containers.cluster.public_endpoint_disabled,ibm,containers,cluster,HIGH,,,config,ibm_rule_check/containers/containers.checks.yaml
ibm.context_based_restrictions.rule.covers_critical_service,ibm,context_based_restrictions,rule,MEDIUM,,,config,ibm_rule_check/context_based_restrictions/context_based_restrictions.checks.yaml
ibm.context_based_restrictions.rule.enforcement_mode_enabled,ibm,context_based_restrictions,rule,HIGH,,,config,ibm_rule_check/context_based_restrictions/context_based_restrictions.checks.yaml
ibm.context_based_restrictions.rule.network_zone_defined,ibm,context_based_restrictions,rule,MEDIUM,,,config,ibm_rule_check/context_based_restrictions/context_based_restrictions.checks.yaml
ibm.context_based_restrictions.zone.ip_addresses_specified,ibm,context_based_restrictions,zone,MEDIUM,,,config,ibm_rule_check/context_based_restrictions/context_based_restrictions.checks.yaml
ibm.cos.activity.bucket_change,ibm,cos,activity,HIGH,,,config,ibm_rule_check/cos/cos.checks.yaml
ibm.databases.backup.encrypted,ibm,databases,backup,HIGH,,,config,ibm_rule_check/databases/databases.checks.yaml
ibm.databases.backup.pitr_enabled,ibm,databases,backup,MEDIUM,,,config,ibm_rule_check/databases/databases.checks.yaml
ibm.databases.deployment.encryption_at_rest_enabled,ibm,databases,deployment,HIGH,,,config,ibm_rule_check/databases/databases.checks.yaml
ibm.databases.deployment.high_availability_configured,ibm,databases,deployment,MEDIUM,,,config,ibm_rule_check/databases/databases.checks.yaml
ibm.databases.deployment.ip_allowlist_configured,ibm,databases,deployment,MEDIUM,,,config,ibm_rule_check/databases/databases.checks.yaml
ibm.databases.deployment.private_endpoint_only,ibm,databases,deployment,HIGH,,,config,ibm_rule_check/databases/databases.checks.yaml
ibm.databases.deployment.tls_12_minimum,ibm,databases,deployment,HIGH,,,config,ibm_rule_check/databases/databases.checks.yaml
ibm.db.activity.audit_config_change,ibm,db,activity,HIGH,,,config,ibm_rule_check/db/db.checks.yaml
ibm.db.activity.db_admin_activity,ibm,db,activity,HIGH,,,config,ibm_rule_check/db/db.checks.yaml
ibm.db.activity.db_schema_change,ibm,db,activity,HIGH,,,config,ibm_rule_check/db/db.checks.yaml
ibm.db.activity.user_management,ibm,db,activity,HIGH,,,config,ibm_rule_check/db/db.checks.yaml
ibm.dns.zone.no_wildcard_records,ibm,dns,zone,MEDIUM,,,config,ibm_rule_check/dns/dns.checks.yaml
ibm.dns.zone.permitted_networks_configured,ibm,dns,zone,HIGH,,,config,ibm_rule_check/dns/dns.checks.yaml
ibm.dns.zone.private_zone_only,ibm,dns,zone,MEDIUM,,,config,ibm_rule_check/dns/dns.checks.yaml
ibm.event_streams.instance.encryption_at_rest_enabled,ibm,event_streams,instance,HIGH,,,config,ibm_rule_check/event_streams/event_streams.checks.yaml
ibm.event_streams.instance.private_endpoint_only,ibm,event_streams,instance,HIGH,,,config,ibm_rule_check/event_streams/event_streams.checks.yaml
ibm.event_streams.instance.schema_registry_enabled,ibm,event_streams,instance,LOW,,,config,ibm_rule_check/event_streams/event_streams.checks.yaml
ibm.iam.activity.access_group_change,ibm,iam,activity,HIGH,,,config,ibm_rule_check/iam/iam.checks.yaml
