rule_id,provider,service,category,severity,title,description,check_type,source_file
alicloud.accessanalyzer.enabled.configured,alicloud,accessanalyzer,enabled,MEDIUM,,,config,alicloud_rule_check/accessanalyzer/accessanalyzer.checks.yaml
alicloud.accessanalyzer.enabled.without_findings,alicloud,accessanalyzer,enabled,MEDIUM,,,config,alicloud_rule_check/accessanalyzer/accessanalyzer.checks.yaml
alicloud.ack.addon.addon_no_privileged_permissions,alicloud,ack,addon,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.admission_webhook.admission_host_namespace_usage_denied,alicloud,ack,admission_webhook,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.admission_webhook.admission_image_registry_allowlist_enforced,alicloud,ack,admission_webhook,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.admission_webhook.admission_image_signature_verification_enabled,alicloud,ack,admission_webhook,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.admission_webhook.admission_pod_security_admission_restricted_default,alicloud,ack,admission_webhook,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.admission_webhook.admission_privilege_escalation_denied,alicloud,ack,admission_webhook,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.backup.encryption_enabled,alicloud,ack,backup,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.certificates.expiration_check,alicloud,ack,certificates,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.certificates.not_expired_and_valid,alicloud,ack,certificates,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.approved_container_registries_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.audit_logging_remote_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.basic_auth_disabled_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.cloud_monitoring_enabled,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.control_plane_private_access_ip_allowlist_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.dashboard_access_restricted,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.endpoint_private_access_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.kms_cmk_encryption_for_secrets_enabled,alicloud,ack,cluster,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.kms_cmk_encryption_in_secrets_enabled,alicloud,ack,cluster,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.logging_service_enabled,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.network_plugin_terway_compliance_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.network_policy_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.nodes_private_ip_required,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.not_publicly_accessible,alicloud,ack,cluster,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.pod_security_policy_compliance_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.private_access_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.private_nodes_only,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.public_access_blocked,alicloud,ack,cluster,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.rbac_authorization_enforced,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.rbac_permissions_least_privilege,alicloud,ack,cluster,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.secret_encryption_kms_enforced,alicloud,ack,cluster,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.uses_latest_supported_version,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.cluster.weekly_health_checks_enabled,alicloud,ack,cluster,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.configuration_management.parameter_access_rbac_least_privilege,alicloud,ack,configuration_management,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.configuration_management.parameter_kms_key_configured,alicloud,ack,configuration_management,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.configuration_management.parameter_secure_string_type_for_sensitive,alicloud,ack,configuration_management,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.admission_psa_enforce_mode,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.anonymous_auth_disabled,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.apiserver_anonymous_auth_disabled,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.apiserver_audit_logging_enabled,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.apiserver_authorization_mode_rbac,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.apiserver_etcd_connection_encrypted,alicloud,ack,control_plane,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.apiserver_insecure_port_disabled,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.apiserver_tls_min_1_2_enforced,alicloud,ack,control_plane,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.root_ca_file_configured,alicloud,ack,control_plane,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.secure_port_enabled,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.secure_port_tls_enabled,alicloud,ack,control_plane,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.token_signing_enabled,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.control_plane.use_service_account_credentials_enabled,alicloud,ack,control_plane,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.disk.data_disk_cmek_encryption_enforced,alicloud,ack,disk,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.ebs.data_disk_cmek_encryption_check,alicloud,ack,ebs,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.enabled.for_ec2,alicloud,ack,enabled,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.endpoints.not_publicly_accessible,alicloud,ack,endpoints,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.endpoints.private_access_only,alicloud,ack,endpoints,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.etcd.at_rest_enabled,alicloud,ack,etcd,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.etcd.auth_enabled,alicloud,ack,etcd,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.etcd.cert_auth_enabled,alicloud,ack,etcd,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.etcd.client_tls_enabled,alicloud,ack,etcd,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.etcd.encryption_at_rest_enabled,alicloud,ack,etcd,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.etcd.peer_tls_enabled,alicloud,ack,etcd,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.instance.access_policy_network_restriction_enforced,alicloud,ack,instance,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.kube.apiserver_client_ca_file_check,alicloud,ack,kube,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.kube_apiserver.client_ca_file_properly_configured,alicloud,ack,kube_apiserver,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.kubernetes.pod_create_access_least_privilege,alicloud,ack,kubernetes,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.load_balancer.https_tls_encryption_in_transit_enforced,alicloud,ack,load_balancer,HIGH,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.log.service_integration_check,alicloud,ack,log,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
alicloud.ack.log_service.integration_enabled,alicloud,ack,log_service,MEDIUM,,,config,alicloud_rule_check/ack/ack.checks.yaml
