rule_id,provider,service,category,severity,title,description,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,source_file
aws.alb.alb_log.admin_path_access,aws,alb,alb,medium,ALB: Admin Path Access,Request to admin path detected via load balancer — reconnaissance of admin interfaces.,log,web_attack,discovery,T1595.002,55,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.admin_path_access.yaml
aws.alb.alb_log.api_key_path_access,aws,alb,alb,medium,ALB: API Key Path Access,Request targeting API key path — may indicate credential harvesting attempt.,log,web_attack,credential_access,T1552.001,55,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.api_key_path_access.yaml
aws.alb.alb_log.bad_gateway,aws,alb,alb,low,ALB: Bad Gateway,HTTP 502 Bad Gateway from ALB — upstream server unavailable or misconfigured.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.bad_gateway.yaml
aws.alb.alb_log.connection_timeout,aws,alb,alb,low,ALB: Connection Timeout,Connection timeout at load balancer — service unavailability or DoS indicator.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.connection_timeout.yaml
aws.alb.alb_log.dot_dot_path_traversal,aws,alb,alb,high,ALB: Dot Dot Path Traversal,Path traversal attempt detected by WAF — directory traversal attack.,log,web_attack,initial_access,T1190,78,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.dot_dot_path_traversal.yaml
aws.alb.alb_log.health_check_failure,aws,alb,alb,low,ALB: Health Check Failure,ALB health check failure — backend target unhealthy or unreachable.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.health_check_failure.yaml
aws.alb.alb_log.http_401_unauthorized,aws,alb,alb,medium,ALB: HTTP 401 Unauthorized,HTTP 401 Unauthorized — authentication required; possible credential enumeration.,log,initial_access,credential_access,T1110.001,45,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.http_401_unauthorized.yaml
aws.alb.alb_log.http_403_forbidden,aws,alb,alb,low,ALB: HTTP 403 Forbidden,HTTP 403 Forbidden — authorization denied; possible path enumeration.,log,initial_access,discovery,T1595.002,25,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.http_403_forbidden.yaml
aws.alb.alb_log.http_404_not_found,aws,alb,alb,low,ALB: HTTP 404 Not Found,HTTP 404 Not Found — resource not found; common during web enumeration.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.http_404_not_found.yaml
aws.alb.alb_log.http_5xx_error,aws,alb,alb,low,ALB: HTTP 5xx Error,HTTP 5xx server error — backend failure; may indicate exploitation causing crashes.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.http_5xx_error.yaml
aws.alb.alb_log.http_delete_method,aws,alb,alb,medium,ALB: HTTP Delete Method,HTTP DELETE method used via load balancer — destructive web request recorded.,log,web_attack,initial_access,T1190,50,network_security_and_connectivity,delete,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.http_delete_method.yaml
aws.alb.alb_log.http_options_method,aws,alb,alb,low,ALB: HTTP Options Method,HTTP OPTIONS method detected — CORS preflight or server capability enumeration.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.http_options_method.yaml
aws.alb.alb_log.http_patch_method,aws,alb,alb,low,ALB: HTTP Patch Method,HTTP PATCH method detected — partial resource modification request.,log,web_attack,initial_access,T1190,30,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.http_patch_method.yaml
aws.alb.alb_log.repeated_server_errors,aws,alb,alb,medium,ALB: Repeated Server Errors,Repeated server-side errors from same client — possible fuzzing or exploitation attempts.,log,discovery,discovery,T1595.002,50,network_security_and_connectivity,create,threat_posture,aws_rule_ciem/alb/aws.alb.alb_log.repeated_server_errors.yaml
aws.alb.alb_log.websocket_connection,aws,alb,alb,low,ALB: Websocket Connection,WebSocket connection initiated — persistent bidirectional channel established.,log,execution,execution,T1190,25,network_security_and_connectivity,execute,workload_posture,aws_rule_ciem/alb/aws.alb.alb_log.websocket_connection.yaml
aws.ciem.correlation.backdoor_account,aws,ciem,ciem,critical,Correlation: Backdoor Account,Backdoor account creation pattern detected — attacker establishing hidden persistence.,log_correlation,persistence,persistence,T1136.003,90,identity_and_access_management,create,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.backdoor_account.yaml
aws.ciem.correlation.cloudtrail.access_key_created,aws,ciem,ciem,high,CIEM: Access Key Created,IAM access key created — programmatic credential established.,log,persistence,persistence;credential_access,T1552.005,72,identity_and_access_management,create,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.access_key_created.yaml
aws.ciem.correlation.cloudtrail.access_key_used_after_rotation_due,aws,ciem,ciem,high,CIEM: Access Key Used After Rotation Due,Access key used after it was due for rotation — stale credential still active.,log,persistence,credential_access,T1552.005,70,identity_and_access_management,audit_activity,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.access_key_used_after_rotation_due.yaml
aws.ciem.correlation.cloudtrail.admin_api_call,aws,ciem,ciem,medium,CIEM: Admin API Call,Administrative API call made — management-plane action recorded.,log,discovery,discovery,T1087.004,50,threat_detection,privilege_escalation,threat_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.admin_api_call.yaml
aws.ciem.correlation.cloudtrail.cross_account_assume_role,aws,ciem,ciem,high,CIEM: Cross Account Assume Role,Cross-account role assumption — application access token used for lateral movement between accounts.,log,lateral_movement,lateral_movement,T1550.001,75,network_security_and_connectivity,audit_activity,network_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.cross_account_assume_role.yaml
aws.ciem.correlation.cloudtrail.oidc_provider_created,aws,ciem,ciem,high,CIEM: OIDC Provider Created,OIDC identity provider created — external hybrid identity federation enabled.,log,persistence,persistence,T1556.007,75,identity_and_access_management,create,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.oidc_provider_created.yaml
aws.ciem.correlation.cloudtrail.permission_boundary_removed,aws,ciem,ciem,critical,CIEM: Permission Boundary Removed,IAM permission boundary removed — principal may now exceed original maximum permissions.,log,privilege_escalation,privilege_escalation,T1548.005,90,identity_and_access_management,delete,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.permission_boundary_removed.yaml
aws.ciem.correlation.cloudtrail.policy_attached,aws,ciem,ciem,high,CIEM: Policy Attached,IAM policy attached — permissions granted to principal.,log,privilege_escalation,privilege_escalation,T1098.003,78,identity_and_access_management,audit_activity,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.policy_attached.yaml
aws.ciem.correlation.cloudtrail.policy_created,aws,ciem,ciem,medium,CIEM: Policy Created,IAM policy created — new permission set defined.,log,privilege_escalation,privilege_escalation,T1098.003,55,identity_and_access_management,create,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.policy_created.yaml
aws.ciem.correlation.cloudtrail.root_access_key_used,aws,ciem,ciem,critical,CIEM: Root Access Key Used,Root account access key used — highest-privilege credential exercised programmatically.,log,credential_access,initial_access;credential_access,T1552.005;T1078.004,95,identity_and_access_management,audit_activity,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.root_access_key_used.yaml
aws.ciem.correlation.cloudtrail.saml_provider_created,aws,ciem,ciem,high,CIEM: SAML Provider Created,SAML identity provider created — hybrid identity federated access enabled.,log,persistence,persistence,T1556.007,75,identity_and_access_management,create,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.saml_provider_created.yaml
aws.ciem.correlation.cloudtrail.service_role_assumed,aws,ciem,ciem,medium,CIEM: Service Role Assumed,AWS service role assumed — application access token reused for service-to-service movement.,log,lateral_movement,lateral_movement,T1550.001,55,network_security_and_connectivity,audit_activity,network_posture,aws_rule_ciem/ciem/aws.ciem.correlation.cloudtrail.service_role_assumed.yaml
aws.ciem.correlation.federation_abuse,aws,ciem,ciem,critical,Correlation: Federation Abuse,Federation abuse pattern: identity provider created then used for role assumption.,log_correlation,persistence,persistence;lateral_movement,T1556.007;T1550.001,88,identity_and_access_management,create,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.federation_abuse.yaml
aws.ciem.correlation.persistence,aws,ciem,ciem,critical,Correlation: Persistence,"Persistence chain detected: new user or identity provider created, followed by access key.",log_correlation,persistence,persistence;credential_access,T1136.003;T1552.005,90,identity_and_access_management,create,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.persistence.yaml
aws.ciem.correlation.privilege_escalation,aws,ciem,ciem,critical,Correlation: Privilege Escalation,Privilege escalation chain detected: permission boundary removed → policies attached → cross-account role assumed.,log_correlation,privilege_escalation,privilege_escalation,T1548.005,92,identity_and_access_management,privilege_escalation,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.privilege_escalation.yaml
aws.ciem.correlation.stale_credentials,aws,ciem,ciem,high,Correlation: Stale Credentials,Stale credentials pattern: access key in use significantly past rotation deadline.,log_correlation,persistence,credential_access,T1552.005,75,identity_and_access_management,create,iam_posture,aws_rule_ciem/ciem/aws.ciem.correlation.stale_credentials.yaml
aws.cloudfront.access_log.cache_miss,aws,cloudfront,cloudfront,low,CloudFront: Cache Miss,CloudFront cache miss — request passed to origin; baseline traffic indicator.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.cache_miss.yaml
aws.cloudfront.access_log.error_from_origin,aws,cloudfront,cloudfront,low,CloudFront: Error From Origin,CloudFront received error from origin — origin server issue detected.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.error_from_origin.yaml
aws.cloudfront.access_log.http_403_forbidden,aws,cloudfront,cloudfront,low,CloudFront: HTTP 403 Forbidden,HTTP 403 Forbidden — authorization denied; possible path enumeration.,log,initial_access,discovery,T1595.002,25,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_403_forbidden.yaml
aws.cloudfront.access_log.http_4xx_error,aws,cloudfront,cloudfront,low,CloudFront: HTTP 4xx Error,HTTP 4xx error from CloudFront — client-side error; may indicate web enumeration.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_4xx_error.yaml
aws.cloudfront.access_log.http_5xx_error,aws,cloudfront,cloudfront,low,CloudFront: HTTP 5xx Error,HTTP 5xx server error — backend failure; may indicate exploitation causing crashes.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_5xx_error.yaml
aws.cloudfront.access_log.http_delete_method,aws,cloudfront,cloudfront,medium,CloudFront: HTTP Delete Method,HTTP DELETE method used via load balancer — destructive web request recorded.,log,web_attack,initial_access,T1190,50,network_security_and_connectivity,delete,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_delete_method.yaml
aws.cloudfront.access_log.http_options_method,aws,cloudfront,cloudfront,low,CloudFront: HTTP Options Method,HTTP OPTIONS method detected — CORS preflight or server capability enumeration.,log,discovery,discovery,T1595.002,20,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_options_method.yaml
aws.cloudfront.access_log.http_put_method,aws,cloudfront,cloudfront,low,CloudFront: HTTP Put Method,HTTP PUT method via CloudFront — resource creation/replacement request.,log,web_attack,initial_access,T1190,30,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.http_put_method.yaml
aws.cloudfront.access_log.path_traversal,aws,cloudfront,cloudfront,high,CloudFront: Path Traversal,Path traversal attempt detected by WAF — directory traversal attack.,log,web_attack,initial_access,T1190,78,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.path_traversal.yaml
aws.cloudfront.access_log.sensitive_path_access,aws,cloudfront,cloudfront,medium,CloudFront: Sensitive Path Access,"Access to sensitive path via CloudFront — .env, config, or credential paths targeted.",log,web_attack,discovery,T1595.002,55,network_security_and_connectivity,network,threat_posture,aws_rule_ciem/cloudfront/aws.cloudfront.access_log.sensitive_path_access.yaml
aws.compute.cloudtrail.batch_create_compute_environment,aws,compute,compute,medium,Compute: Batch Create Compute Environment,Batch compute environment created — cloud execution infrastructure provisioned.,log,execution,execution,T1651,50,compute_and_workload_security,create,workload_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.batch_create_compute_environment.yaml
aws.compute.cloudtrail.batch_register_job_definition,aws,compute,compute,low,Compute: Batch Register Job Definition,Batch job definition registered — cloud execution template created.,log,execution,execution,T1651,30,compute_and_workload_security,create,workload_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.batch_register_job_definition.yaml
aws.compute.cloudtrail.batch_submit_job,aws,compute,compute,medium,Compute: Batch Submit Job,AWS Batch job submitted — cloud-managed workload execution triggered.,log,execution,execution,T1651,50,compute_and_workload_security,audit_activity,workload_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.batch_submit_job.yaml
aws.compute.cloudtrail.ec2_create_image,aws,compute,compute,medium,Compute: EC2 Create Image,EC2 AMI created from running instance — snapshot of instance state captured.,log,persistence,persistence,T1578.001,60,compute_and_workload_security,create,iam_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_create_image.yaml
aws.compute.cloudtrail.ec2_create_key_pair,aws,compute,compute,high,Compute: EC2 Create Key Pair,EC2 key pair created — SSH credentials established for persistent instance access.,log,persistence,persistence,T1552.004,70,compute_and_workload_security,create,iam_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_create_key_pair.yaml
aws.compute.cloudtrail.ec2_get_console_screenshot,aws,compute,compute,high,Compute: EC2 Get Console Screenshot,EC2 console screenshot captured — may expose credentials or sensitive data displayed on screen.,log,credential_access,credential_access;discovery,T1552.005;T1082,72,compute_and_workload_security,read,iam_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_get_console_screenshot.yaml
aws.compute.cloudtrail.ec2_get_password_data,aws,compute,compute,high,Compute: EC2 Get Password Data,Windows EC2 instance password retrieved — attacker obtained encrypted password data for decryption.,log,credential_access,credential_access,T1552.005,80,compute_and_workload_security,read,iam_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_get_password_data.yaml
aws.compute.cloudtrail.ec2_import_key_pair,aws,compute,compute,high,Compute: EC2 Import Key Pair,EC2 key pair imported — externally-controlled SSH credential added to account.,log,persistence,persistence,T1552.004,72,compute_and_workload_security,create,iam_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_import_key_pair.yaml
aws.compute.cloudtrail.ec2_modify_image_attribute,aws,compute,compute,high,Compute: EC2 Modify Image Attribute,EC2 AMI attribute modified — launch permissions or description changed.,log,defense_evasion,defense_evasion,T1578.004,72,compute_and_workload_security,modify,security_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_modify_image_attribute.yaml
aws.compute.cloudtrail.ec2_modify_instance_attribute,aws,compute,compute,medium,Compute: EC2 Modify Instance Attribute,EC2 instance attribute modified — instance configuration changed.,log,defense_evasion,defense_evasion,T1578.004,55,compute_and_workload_security,modify,security_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_modify_instance_attribute.yaml
aws.compute.cloudtrail.ec2_modify_instance_metadata_options,aws,compute,compute,high,Compute: EC2 Modify Instance Metadata Options,EC2 IMDS v1 enabled or hop limit increased — exposes instance metadata to SSRF attacks.,log,defense_evasion,defense_evasion,T1562.001,70,compute_and_workload_security,modify,security_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_modify_instance_metadata_options.yaml
aws.compute.cloudtrail.ec2_run_instances,aws,compute,compute,high,Compute: EC2 Run Instances,EC2 instances launched — new compute resources provisioned.,log,execution,execution;persistence,T1578.002,70,compute_and_workload_security,execute,workload_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_run_instances.yaml
aws.compute.cloudtrail.ec2_stop_instances,aws,compute,compute,medium,Compute: EC2 Stop Instances,EC2 instances stopped — compute resources taken offline.,log,defense_evasion,impact,T1529,55,compute_and_workload_security,audit_activity,security_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ec2_stop_instances.yaml
aws.compute.cloudtrail.ecs_create_service,aws,compute,compute,medium,Compute: ECS Create Service,ECS service created — containerized workload deployed.,log,execution,execution;persistence,T1610,50,compute_and_workload_security,create,workload_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ecs_create_service.yaml
aws.compute.cloudtrail.ecs_delete_service,aws,compute,compute,medium,Compute: ECS Delete Service,ECS service deleted — containerized workload stopped.,log,data_destruction,impact,T1578.003,50,compute_and_workload_security,delete,data_security_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ecs_delete_service.yaml
aws.compute.cloudtrail.ecs_execute_command,aws,compute,compute,high,Compute: ECS Execute Command,ECS Exec command — shell access via container CLI/API obtained.,log,execution,execution,T1059.013,80,compute_and_workload_security,audit_activity,workload_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ecs_execute_command.yaml
aws.compute.cloudtrail.ecs_run_task,aws,compute,compute,medium,Compute: ECS Run Task,ECS task run — container workload deployed and executed.,log,execution,execution,T1610,55,compute_and_workload_security,audit_activity,workload_posture,aws_rule_ciem/compute/aws.compute.cloudtrail.ecs_run_task.yaml
