rule_id,provider,service,category,severity,title,description,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,source_file
oci.ciem.chain.data_exfiltration_via_par,oci,ciem,ciem,critical,OCI CIEM: Data Exfiltration via Bucket Public Access + PAR Creation,"Detect a data exfiltration pattern: bucket made public or PAR created → large object download activity, indicating exfiltration of Object Storage data.",log_correlation,data_exfiltration,exfiltration,T1530,97,data_protection_and_privacy,exfiltration,data_security_posture,oci_rule_ciem/ciem/oci.ciem.chain.data_exfiltration_via_par.yaml
oci.ciem.chain.defense_evasion_log_destroy,oci,ciem,ciem,critical,OCI CIEM: Defense Evasion via Log Group Deletion + Cloud Guard Disable,"Detect an evidence destruction chain: log group deleted + Cloud Guard disabled within a short window, indicating an attacker eliminating detection capabilities.",log_correlation,defense_evasion,defense_evasion,T1562,99,logging_monitoring_and_alerting,modify,security_posture,oci_rule_ciem/ciem/oci.ciem.chain.defense_evasion_log_destroy.yaml
oci.ciem.chain.privilege_escalation_via_policy,oci,ciem,ciem,critical,OCI CIEM: Privilege Escalation via Policy Creation + API Key,"Detect the OCI privilege escalation chain: IAM policy created with broad permissions → new API key created → privileged API calls, indicating a multi-step takeover.",log_correlation,privilege_escalation,privilege_escalation,T1548,98,identity_and_access_management,privilege_escalation,iam_posture,oci_rule_ciem/ciem/oci.ciem.chain.privilege_escalation_via_policy.yaml
oci.cloudguard.audit.cloud_guard_disabled,oci,cloudguard,cloudguard,critical,OCI Cloud Guard: Cloud Guard Disabled,Oracle Cloud Guard was disabled for the tenancy. Cloud Guard is the primary threat detection service in OCI; disabling it blinds the security team.,log,defense_evasion,defense_evasion,T1562,97,logging_monitoring_and_alerting,modify,security_posture,oci_rule_ciem/cloudguard/oci.cloudguard.audit.cloud_guard_disabled.yaml
oci.cloudguard.audit.critical_problem,oci,cloudguard,cloudguard,critical,OCI Cloud Guard: Critical Problem Detected,Cloud Guard detected a critical-severity security problem. Critical problems indicate active threats or severe misconfigurations requiring immediate remediation.,log,initial_access,initial_access,T1190,95,threat_detection,create,threat_posture,oci_rule_ciem/cloudguard/oci.cloudguard.audit.critical_problem.yaml
oci.cloudguard.audit.detector_recipe_change,oci,cloudguard,cloudguard,high,OCI Cloud Guard: Detector Recipe Modified,A Cloud Guard detector recipe was modified. Attackers may disable specific detectors to blind detection for their specific attack techniques.,log,defense_evasion,defense_evasion,T1562,85,logging_monitoring_and_alerting,modify,security_posture,oci_rule_ciem/cloudguard/oci.cloudguard.audit.detector_recipe_change.yaml
oci.cloudguard.audit.security_zone_violation,oci,cloudguard,cloudguard,high,OCI Cloud Guard: Security Zone Policy Violation,A Cloud Guard Security Zone policy violation was detected. Security Zones enforce mandatory security policies; violations indicate a deliberate policy bypass attempt.,log,defense_evasion,defense_evasion,T1562,82,logging_monitoring_and_alerting,modify,security_posture,oci_rule_ciem/cloudguard/oci.cloudguard.audit.security_zone_violation.yaml
oci.compute.audit.boot_volume_clone,oci,compute,compute,high,OCI Compute: Boot Volume Cloned,A boot volume was cloned. Volume cloning is used by attackers to create exfiltration copies of disk data outside the victim account.,log,collection,collection;exfiltration,T1005,78,compute_and_workload_security,read,data_security_posture,oci_rule_ciem/compute/oci.compute.audit.boot_volume_clone.yaml
oci.compute.audit.custom_image_created,oci,compute,compute,high,OCI Compute: Custom Image Created,A custom compute image was created from an instance. Attackers create images to persist backdoors that survive instance termination.,log,persistence,persistence,T1525,75,compute_and_workload_security,create,iam_posture,oci_rule_ciem/compute/oci.compute.audit.custom_image_created.yaml
oci.compute.audit.instance_action,oci,compute,compute,medium,OCI Compute: Instance Action Performed (Start/Stop/Reset),"An instance action (START, STOP, RESET, SOFTRESET) was performed. Unauthorized stop/reset actions can cause service disruption.",log,impact,impact,T1529,62,compute_and_workload_security,delete,workload_posture,oci_rule_ciem/compute/oci.compute.audit.instance_action.yaml
oci.compute.audit.instance_console_connection,oci,compute,compute,critical,OCI Compute: Instance Console Connection Created,An instance console connection (serial console or VNC) was created. Console connections bypass network-level controls and provide direct VM access.,log,persistence,persistence,T1098,88,compute_and_workload_security,create,iam_posture,oci_rule_ciem/compute/oci.compute.audit.instance_console_connection.yaml
oci.compute.audit.instance_pool_change,oci,compute,compute,medium,OCI Compute: Instance Pool Modified,"An instance pool was created, updated, or deleted. Unauthorized pool modifications can scale out attacker-controlled compute resources.",log,execution,execution,T1496,65,compute_and_workload_security,modify,workload_posture,oci_rule_ciem/compute/oci.compute.audit.instance_pool_change.yaml
oci.compute.audit.launch_instance,oci,compute,compute,medium,OCI Compute: Instance Launched,A new compute instance was launched. Unauthorized instance launches may indicate resource hijacking for cryptomining or infrastructure pivoting.,log,execution,execution,T1204,65,compute_and_workload_security,execute,workload_posture,oci_rule_ciem/compute/oci.compute.audit.launch_instance.yaml
oci.compute.audit.terminate_instance,oci,compute,compute,high,OCI Compute: Instance Terminated,A compute instance was terminated. Mass termination of instances is a destructive impact technique in ransomware or wiperware attacks.,log,impact,impact,T1485,80,compute_and_workload_security,delete,workload_posture,oci_rule_ciem/compute/oci.compute.audit.terminate_instance.yaml
oci.database.audit.admin_activity,oci,database,database,high,OCI DB Audit: Privileged Admin Activity,"DBA or SYSDBA-privileged activity was recorded in database audit logs. Unauthorized admin actions can modify schema, bypass row security, or exfiltrate data.",log,privilege_escalation,privilege_escalation,T1078,80,identity_and_access_management,privilege_escalation,iam_posture,oci_rule_ciem/database/oci.database.audit.admin_activity.yaml
oci.database.audit.atp_wallet_downloaded,oci,database,database,critical,OCI Database: ATP/ADW Connection Wallet Downloaded,An ATP or Autonomous Data Warehouse connection wallet was generated and downloaded. Wallets contain TLS certificates and connection details that allow remote database access.,log,credential_access,credential_access,T1552,88,identity_and_access_management,read,iam_posture,oci_rule_ciem/database/oci.database.audit.atp_wallet_downloaded.yaml
oci.database.audit.db_backup_deleted,oci,database,database,high,OCI Database: DB Backup Deleted,A database backup was deleted. Removing backups leaves the database without recovery options in the event of ransomware or accidental deletion.,log,impact,impact,T1485,85,impact,delete,workload_posture,oci_rule_ciem/database/oci.database.audit.db_backup_deleted.yaml
oci.database.audit.db_failed_login,oci,database,database,medium,OCI DB Audit: Failed Database Login,"Multiple failed login attempts were recorded in OCI Database audit logs, indicating potential brute force activity.",log,credential_access,credential_access,T1110,68,identity_and_access_management,read,iam_posture,oci_rule_ciem/database/oci.database.audit.db_failed_login.yaml
oci.database.audit.db_system_deleted,oci,database,database,critical,OCI Database: DB System Deleted,"An OCI DB System was deleted. Without a recent backup, database deletion results in permanent data loss.",log,impact,impact,T1485,95,impact,delete,workload_posture,oci_rule_ciem/database/oci.database.audit.db_system_deleted.yaml
oci.database.audit.ddl_table_change,oci,database,database,high,OCI DB Audit: DDL Table Change (DROP/ALTER),"A DDL statement (DROP TABLE, ALTER TABLE, TRUNCATE) was executed. Unauthorized DDL changes can destroy data or modify schema to bypass security controls.",log,impact,impact,T1485,82,impact,modify,workload_posture,oci_rule_ciem/database/oci.database.audit.ddl_table_change.yaml
oci.iam.audit.add_user_to_group,oci,iam,iam,high,OCI IAM: User Added to Group,A user was added to an OCI IAM group. Attackers add compromised users to privileged groups to escalate permissions.,log,privilege_escalation,privilege_escalation,T1098,82,identity_and_access_management,privilege_escalation,iam_posture,oci_rule_ciem/iam/oci.iam.audit.add_user_to_group.yaml
oci.iam.audit.create_api_key,oci,iam,iam,high,OCI IAM: API Signing Key Created for User,An API signing key was added to an OCI user account. API keys are long-lived credentials that allow programmatic access and should be monitored for unauthorized creation.,log,credential_access,credential_access,T1098,78,identity_and_access_management,read,iam_posture,oci_rule_ciem/iam/oci.iam.audit.create_api_key.yaml
