rule_id,provider,service,category,severity,title,description,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,source_file
k8s.admissionwebhook.audit.delete,k8s,admissionwebhook,admissionwebhook,critical,Admission Webhook: ValidatingWebhookConfiguration Deleted,"Kubernetes ValidatingWebhookConfiguration deleted — removes policy enforcement (OPA/Gatekeeper, Kyverno, PSA) allowing deployment of any workload including privileged containers.",log,defense_evasion,defense_evasion,T1562.001,95,logging_monitoring_and_alerting,modify,security_posture,k8s_rule_ciem/admissionwebhook/k8s.admissionwebhook.audit.delete.yaml
k8s.admissionwebhook.audit.mutating_delete,k8s,admissionwebhook,admissionwebhook,critical,Admission Webhook: MutatingWebhookConfiguration Deleted,"MutatingWebhookConfiguration deleted — removes mutation policies that enforce security contexts, sidecar injection, or policy defaults for all pods.",log,defense_evasion,defense_evasion,T1562.001,93,logging_monitoring_and_alerting,delete,security_posture,k8s_rule_ciem/admissionwebhook/k8s.admissionwebhook.audit.mutating_delete.yaml
k8s.audit.audit.policy_configmap_delete,k8s,audit,audit,high,Audit: Audit Policy ConfigMap Deleted,"ConfigMap containing K8s audit policy deleted — audit logging rules destroyed, potentially disabling audit log capture for sensitive resource categories.",log,defense_evasion,defense_evasion,T1562.008,88,logging_monitoring_and_alerting,delete,security_posture,k8s_rule_ciem/audit/k8s.audit.audit.policy_configmap_delete.yaml
k8s.ciem.correlation.cluster_destruction_chain,k8s,ciem,ciem,,K8s: Cluster Destruction — Admin Binding → Namespace Delete → Node Delete,"Correlated cluster destruction: cluster-admin binding created, followed by namespace deletion, followed by node deletion — systematic cluster teardown.",log_correlation,impact,impact,T1485,99,impact,delete,workload_posture,k8s_rule_ciem/ciem/k8s.ciem.correlation.cluster_destruction_chain.yaml
k8s.ciem.correlation.container_escape_chain,k8s,ciem,ciem,critical,K8s: Container Escape Chain — Privileged Pod + Exec,"Correlated container escape attempt: privileged pod or sensitive hostPath pod created, followed immediately by exec into that pod — active container escape scenario.",log_correlation,privilege_escalation,privilege_escalation;execution,T1611;T1609,97,identity_and_access_management,privilege_escalation,iam_posture,k8s_rule_ciem/ciem/k8s.ciem.correlation.container_escape_chain.yaml
k8s.ciem.correlation.credential_exfil_chain,k8s,ciem,ciem,critical,K8s: Credential Exfiltration Chain — Secret List + External Service,Correlated credential exfiltration: bulk Secrets enumeration followed by Service with external IP creation — secrets harvested and an exfiltration channel established.,log_correlation,data_exfiltration,credential_access;exfiltration,T1552.001;T1205,96,data_protection_and_privacy,exfiltration,data_security_posture,k8s_rule_ciem/ciem/k8s.ciem.correlation.credential_exfil_chain.yaml
k8s.ciem.correlation.credential_theft_chain,k8s,ciem,ciem,,K8s: Credential Theft Chain — Secret List → Token Create → RBAC Binding,"Correlated credential theft: Secrets bulk-listed, followed by service account token creation, followed by new RBAC binding — full credential harvest and persistence.",log_correlation,credential_access,credential_access;persistence,T1552.001;T1098.006,96,identity_and_access_management,read,iam_posture,k8s_rule_ciem/ciem/k8s.ciem.correlation.credential_theft_chain.yaml
k8s.ciem.correlation.defense_evasion_chain,k8s,ciem,ciem,critical,K8s: Defense Evasion Chain — Webhook Delete + Privileged Pod,Correlated defense evasion: admission webhook deleted (removing policy enforcement) followed by privileged pod creation — exploiting the enforcement gap to deploy unrestricted workload.,log_correlation,defense_evasion,defense_evasion;privilege_escalation,T1562.001;T1611,98,logging_monitoring_and_alerting,modify,security_posture,k8s_rule_ciem/ciem/k8s.ciem.correlation.defense_evasion_chain.yaml
k8s.ciem.correlation.persistence_daemonset_chain,k8s,ciem,ciem,critical,K8s: Cluster-Wide Persistence Chain — DaemonSet + RBAC Grant,Correlated cluster-wide persistence: DaemonSet created (cluster-wide execution) followed by ClusterRoleBinding — malicious workload granted ongoing cluster admin access.,log_correlation,persistence,persistence;privilege_escalation,T1543;T1098.006,97,identity_and_access_management,create,iam_posture,k8s_rule_ciem/ciem/k8s.ciem.correlation.persistence_daemonset_chain.yaml
k8s.ciem.correlation.privilege_escalation_chain,k8s,ciem,ciem,critical,K8s: Privilege Escalation Chain — SA Create + ClusterRoleBinding,Correlated privilege escalation: new ServiceAccount created followed immediately by ClusterRoleBinding granting it elevated permissions — classic attacker SA setup.,log_correlation,privilege_escalation,privilege_escalation,T1098.006;T1136.003,96,identity_and_access_management,privilege_escalation,iam_posture,k8s_rule_ciem/ciem/k8s.ciem.correlation.privilege_escalation_chain.yaml
k8s.ciem.correlation.supply_chain_attack_chain,k8s,ciem,ciem,,K8s: Supply Chain Attack — Never-Pull Image → Privileged Container → Exec,"Correlated supply chain attack: Pod using imagePullPolicy=Never launched as privileged, followed by exec session — tampered local image executed with full host access.",log_correlation,supply_chain_compromise,execution;privilege_escalation,T1610;T1611;T1609,97,configuration_and_change_management,create,workload_posture,k8s_rule_ciem/ciem/k8s.ciem.correlation.supply_chain_attack_chain.yaml
k8s.clusterrole.audit.delete_system,k8s,clusterrole,clusterrole,critical,ClusterRole: System ClusterRole Deleted,"Built-in system ClusterRole deleted (cluster-admin, system:node, system:kube-controller-manager, etc.) — may break cluster functionality or remove RBAC safety rails.",log,impact,impact,T1485,94,impact,delete,workload_posture,k8s_rule_ciem/clusterrole/k8s.clusterrole.audit.delete_system.yaml
k8s.clusterrole.audit.wildcard_resource_create,k8s,clusterrole,clusterrole,high,ClusterRole: Created with Wildcard Resources,"ClusterRole created with resources: [""*""] — grants all API resource types as scope, giving the role broad access comparable to cluster-admin on matched verbs.",log,privilege_escalation,privilege_escalation,T1098.006,87,identity_and_access_management,create,iam_posture,k8s_rule_ciem/clusterrole/k8s.clusterrole.audit.wildcard_resource_create.yaml
k8s.configmap.audit.bulk_list,k8s,configmap,configmap,medium,ConfigMap: Bulk ConfigMap Enumeration,"ConfigMaps listed in bulk — may contain application credentials, connection strings, or configuration secrets stored outside proper Secrets management.",log,collection,collection;credential_access,T1552.001,60,data_protection_and_privacy,read,data_security_posture,k8s_rule_ciem/configmap/k8s.configmap.audit.bulk_list.yaml
k8s.configmap.audit.create_with_credentials,k8s,configmap,configmap,high,ConfigMap: Created in kube-system with Credential Patterns,"ConfigMap created in kube-system namespace with data keys matching credential patterns (token, password, key, secret) — may store credentials in cleartext.",log,credential_access,credential_access,T1552.001,76,identity_and_access_management,read,iam_posture,k8s_rule_ciem/configmap/k8s.configmap.audit.create_with_credentials.yaml
